"","PNR.Open","PNR.High","PNR.Low","PNR.Close","PNR.Volume","PNR.Adjusted"
"2009-10-06",19.805239,20.188046,19.771658,19.858965,1437700,16.218126
"2009-10-07",19.744795,19.993284,19.691069,19.832102,597900,16.196186
"2009-10-08",19.986568,20.584284,19.952988,20.557421,937900,16.788532
"2009-10-09",20.463398,20.812626,20.463398,20.785763,526300,16.97501
"2009-10-12",20.87307,21.054399,20.839489,21.020819,737500,17.166975
"2009-10-13",20.879786,21.155138,20.725319,21.114841,1156800,17.243757
"2009-10-14",21.28274,21.719275,21.202148,21.672264,1539600,17.69899
"2009-10-15",21.464069,21.813297,21.464069,21.79315,662400,17.79771
"2009-10-16",21.652115,22.068502,21.437206,21.981195,1243000,17.951277
"2009-10-19",21.961048,22.78039,21.920752,22.585629,1822200,18.444899
"2009-10-20",21.558092,22.135662,20.658159,21.867025,2105800,17.858038
"2009-10-21",22.451309,23.015446,22.256548,22.578913,1631900,18.439415
"2009-10-22",22.552048,22.612492,21.490934,21.779718,2249500,17.786741
"2009-10-23",21.887173,21.887173,21.141706,21.524513,1931800,17.57832
"2009-10-26",21.484217,21.873741,21.175285,21.403627,989800,17.479597
"2009-10-27",21.437206,21.625252,20.967093,21.027534,980800,17.172459
"2009-10-28",20.859638,20.940228,20.141035,20.201477,1358200,16.593241
"2009-10-29",20.349228,20.644728,20.241774,20.396238,1718900,16.753212
"2009-10-30",20.308931,20.369375,19.456011,19.543318,1727900,16.052639
"2009-11-02",19.684351,20.194761,19.281397,19.81867,1495500,16.278811
"2009-11-03",19.644056,20.261921,19.637341,20.006716,2195500,16.433275
"2009-11-04",20.100739,20.342512,19.899261,19.939556,1188600,16.378105
"2009-11-05",20.147751,20.752182,20.147751,20.711887,1472400,17.012486
"2009-11-06",20.591002,20.839489,20.362659,20.617865,443200,16.935255
"2009-11-09",20.879786,21.188717,20.718603,21.134991,460300,17.360018
"2009-11-10",21.000671,21.336468,20.832773,21.121557,1082800,17.348984
"2009-11-11",21.249161,21.289455,20.913364,21.114841,783300,17.343466
"2009-11-12",21.047684,21.262592,20.678308,20.732035,1046900,17.029036
"2009-11-13",20.839489,21.027534,20.490261,20.967093,892200,17.222113
"2009-11-16",21.148422,21.685696,21.087978,21.511082,895100,17.668932
"2009-11-17",21.484217,21.484217,21.255877,21.356615,607300,17.542061
"2009-11-18",21.289455,21.423775,20.973808,21.121557,545100,17.348984
"2009-11-19",20.906649,20.98724,20.409672,20.597717,436400,16.918707
"2009-11-20",20.543989,20.591002,20.268637,20.483545,378600,16.82493
"2009-11-23",20.611149,20.87307,20.470114,20.517126,750300,16.85251
"2009-11-24",20.496979,20.530558,20.188046,20.449966,723200,16.79735
"2009-11-25",20.557421,20.852921,20.436535,20.752182,752900,17.045582
"2009-11-27",20.268637,20.664875,20.040295,20.376091,400300,16.736664
"2009-11-30",20.443251,20.490261,19.959705,20.214909,742500,16.604271
"2009-12-01",20.335796,20.671591,20.208193,20.604433,1121500,16.924219
"2009-12-02",20.550705,20.752182,20.449966,20.617865,708400,16.935255
"2009-12-03",20.62458,20.785763,20.523842,20.584284,772300,16.907675
"2009-12-04",20.812626,21.087978,20.591002,20.913364,1033500,17.177973
"2009-12-07",20.926796,21.49765,20.826057,21.276024,2078400,17.475861
"2009-12-08",21.10141,21.155138,20.685024,20.893217,751900,17.16143
"2009-12-09",20.80591,20.899933,20.456682,20.698456,543000,17.001453
"2009-12-10",20.886501,21.161854,20.812626,20.899933,476900,17.166941
"2009-12-11",21.081263,21.188717,20.913364,21.141706,368800,17.365538
"2009-12-14",21.262592,21.625252,21.155138,21.598389,422500,17.740646
"2009-12-15",21.443922,21.773003,21.31632,21.625252,518300,17.762712
"2009-12-16",21.79315,22.028208,21.598389,21.719275,955400,17.839941
"2009-12-17",21.470785,21.779718,21.363331,21.564808,952300,17.713068
"2009-12-18",21.625252,21.84016,21.000671,21.403627,1850800,17.580675
"2009-12-21",21.49765,21.773003,21.464069,21.692411,746100,17.817881
"2009-12-22",21.699127,21.920752,21.43049,21.631968,989200,17.768229
"2009-12-23",21.746138,22.155809,21.638683,22.041639,917500,18.104729
"2009-12-24",21.947617,22.155809,21.947617,22.081934,212000,18.137823
"2009-12-28",22.068502,22.142378,21.947617,22.075218,550100,18.132311
"2009-12-29",22.048355,22.269979,21.947617,22.108797,464800,18.159887
"2009-12-30",21.967764,22.249832,21.867025,21.987911,610700,18.060591
"2009-12-31",21.967764,22.061787,21.658831,21.692411,412700,17.817881
"2010-01-04",21.752853,22.64607,21.746138,22.41773,1060900,18.413651
"2010-01-05",22.30356,22.404299,21.786434,21.994627,1031700,18.066114
"2010-01-06",21.934183,22.075218,21.813297,22.061787,720500,18.121275
"2010-01-07",22.014774,22.693083,21.947617,22.659504,846000,18.612234
"2010-01-08",22.558764,22.968435,22.471457,22.8274,722300,18.750143
"2010-01-11",22.934856,22.934856,22.59906,22.753527,535100,18.689459
"2010-01-12",22.538616,22.59906,22.175957,22.330423,1008600,18.341934
"2010-01-13",22.431162,22.451309,22.115513,22.444593,531800,18.435703
"2010-01-14",22.330423,22.538616,22.276695,22.505037,779700,18.485361
"2010-01-15",22.397583,22.518469,21.947617,21.981195,686700,18.055077
"2010-01-19",22.001343,22.59906,22.001343,22.357286,974600,18.363997
"2010-01-20",22.115513,22.229685,21.773003,21.90732,1001500,17.994398
"2010-01-21",21.954332,21.994627,21.470785,21.732706,787000,17.850975
"2010-01-22",21.625252,21.72599,21.242445,21.28274,616700,17.481379
"2010-01-25",21.423775,21.49765,20.967093,21.087978,659700,17.321407
"2010-01-26",21.081263,21.208864,20.913364,20.953661,300900,17.211082
"2010-01-27",20.73875,20.852921,20.503695,20.785763,620100,17.177774
"2010-01-28",20.792479,20.866354,20.402954,20.678308,560000,17.08897
"2010-01-29",20.812626,21.10141,20.47683,20.51041,881700,16.950214
"2010-02-01",20.631296,21.10141,20.517126,21.054399,882500,17.399782
"2010-02-02",21.141706,21.799866,20.711887,20.832773,1811200,17.216621
"2010-02-03",20.80591,21.014103,20.664875,20.980524,867600,17.338722
"2010-02-04",20.852921,21.027534,20.47683,20.47683,909400,16.922464
"2010-02-05",20.436535,20.436535,19.845533,20.362659,679800,16.828108
"2010-02-08",20.429819,20.765614,20.073875,20.349228,894200,16.817011
"2010-02-09",20.604433,20.899933,20.456682,20.678308,849000,17.08897
"2010-02-10",20.557421,20.745466,20.248489,20.389523,704800,16.850311
"2010-02-11",20.282068,20.671591,20.100739,20.617865,757300,17.039019
"2010-02-12",20.456682,20.92008,20.228342,20.906649,1243700,17.277674
"2010-02-16",21.121557,21.262592,20.940228,21.255877,452600,17.566292
"2010-02-17",21.323036,21.343184,21.175285,21.323036,762500,17.621792
"2010-02-18",21.336468,21.504366,21.182001,21.443922,496200,17.721691
"2010-02-19",21.349899,21.820013,21.349899,21.752853,821000,17.976992
"2010-02-22",21.752853,21.934183,21.558092,21.914036,566200,18.110193
"2010-02-23",21.880457,22.028208,21.584957,21.618536,861800,17.865995
"2010-02-24",21.638683,21.799866,21.524513,21.759571,442800,17.982548
"2010-02-25",21.390194,21.799866,21.182001,21.779718,541500,17.999205
"2010-02-26",21.79315,21.920752,21.571524,21.867025,584400,18.071348
"2010-03-01",22.659504,23.425117,22.437878,23.049026,2384000,19.04818
"2010-03-02",23.002014,23.210209,22.914707,22.988583,969100,18.998224
"2010-03-03",23.102753,23.176628,22.746809,22.881128,1001300,18.909426
"2010-03-04",22.995298,23.230356,22.78039,22.941572,1382900,18.959375
"2010-03-05",23.129618,23.183344,22.887844,23.062458,766300,19.05928
"2010-03-08",23.00873,23.10947,22.8274,22.860981,836500,18.892771
"2010-03-09",22.800537,23.136333,22.726662,22.995298,489100,19.003775
"2010-03-10",22.975151,23.122902,22.881128,23.055742,452800,19.05373
"2010-03-11",22.881128,23.055742,22.693083,23.035595,448600,19.037079
"2010-03-12",23.055742,23.055742,22.686367,22.941572,488900,18.959375
"2010-03-15",22.881128,23.237072,22.686367,23.237072,908100,19.203583
"2010-03-16",23.237072,23.673607,23.149765,23.646742,962900,19.542143
"2010-03-17",23.680323,23.935528,23.646742,23.720617,521800,19.603193
"2010-03-18",23.687038,23.935528,23.619879,23.734049,531400,19.614294
"2010-03-19",22.921423,23.774345,22.914707,22.921423,1385800,18.942724
"2010-03-22",22.807253,23.250504,22.538616,23.002014,906600,19.009323
"2010-03-23",23.116186,23.834789,22.847549,23.754198,1068900,19.630951
"2010-03-24",23.720617,24.150436,23.324379,23.324379,584100,19.275736
"2010-03-25",23.525856,23.807924,23.196775,23.216925,668100,19.186934
"2010-03-26",23.310947,23.505709,23.07589,23.263935,604200,19.22578
"2010-03-29",23.324379,23.525856,23.2908,23.492277,596900,19.41449
"2010-03-30",23.572868,23.915379,23.465412,23.908663,1272300,19.758602
"2010-03-31",23.888515,24.39221,23.861652,23.922096,1260100,19.769701
"2010-04-01",24.110142,24.445936,24.009403,24.231028,724900,20.025013
"2010-04-05",24.264606,24.586971,24.184015,24.492949,366200,20.241468
"2010-04-06",24.425789,24.43922,24.237743,24.365345,446700,20.136017
"2010-04-07",24.251175,24.304903,24.002686,24.130289,476400,19.941755
"2010-04-08",23.962391,24.278038,23.754198,24.264606,334100,20.052759
"2010-04-09",24.271322,24.667562,24.103426,24.580256,957400,20.313614
"2010-04-12",24.57354,24.580256,24.110142,24.271322,1129400,20.05831
"2010-04-13",24.163868,24.331766,23.895231,24.264606,669400,20.052759
"2010-04-14",24.432505,24.526527,24.231028,24.513096,870000,20.258112
"2010-04-15",24.385494,24.848892,24.338482,24.68771,627400,20.402426
"2010-04-16",24.513096,24.748154,24.197449,24.486233,420900,20.23592
"2010-04-19",24.345198,24.445936,23.955675,24.331766,747100,20.108261
"2010-04-20",24.372063,24.963062,24.372063,24.701141,979400,20.413513
"2010-04-21",24.680994,25.177971,24.680994,25.177971,769300,20.807581
"2010-04-22",24.922768,25.439892,24.680994,25.419744,529700,21.007383
"2010-04-23",25.37945,26.037609,25.211552,25.983881,982400,21.473604
