"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"2001-03-14",22.745001,22.745001,22.275,22.395,4435600,13.535578
"2001-03-15",22.395,22.6,22.200001,22.5,2643600,13.599041
"2001-03-16",22.5,22.775,22.125,22.299999,5420800,13.478166
"2001-03-19",22.299999,22.65,22.004999,22.57,2889400,13.641349
"2001-03-20",22.57,22.785,21.875,21.934999,4723800,13.257556
"2001-03-21",21.625,21.625,20.775,21.09,5537800,12.746841
"2001-03-22",20.985001,20.985001,20.075001,20.684999,4427400,12.50205
"2001-03-23",20.684999,20.99,20.27,20.885,4683200,12.62293
"2001-03-26",21.115,21.875,21.115,21.469999,4582600,12.976511
"2001-03-27",21.469999,22.4,21.235001,22.4,4729400,13.538608
"2001-03-28",22.4,22.754999,21.785,22.75,4884800,13.750145
"2001-03-29",22.375,22.375,21.629999,22.309999,6493200,13.484208
"2001-03-30",22.309999,22.465,21.885,22.190001,3046800,13.41168
"2001-04-02",22.190001,22.85,21.9,22.219999,4333600,13.429811
"2001-04-03",21.975,21.975,20.75,21.08,6232800,12.740796
"2001-04-04",21.08,21.965,20.950001,21.775,3690000,13.160853
"2001-04-05",21.775,23,21.775,22.889999,4707800,13.834758
"2001-04-06",22.545,22.545,21.940001,22.275,4044600,13.463052
"2001-04-09",22.285,22.844999,22.285,22.49,4280200,13.593
"2001-04-10",22.5,23.5,22.5,22.85,5092000,13.810587
"2001-04-11",22.85,23.049999,22.459999,22.57,3430400,13.641349
"2001-04-12",22.57,23.504999,22.475,23.504999,3300200,14.20647
"2001-04-16",23.504999,23.620001,22.809999,23.375,3760800,14.127892
"2001-04-17",23.254999,23.254999,22.715,22.875,5792800,13.825698
"2001-04-18",22.875,24.5,22.825001,24.225,7891400,14.64164
"2001-04-19",24,24,23.48,23.84,3230600,14.51077
"2001-04-20",23.84,24.110001,23.43,23.940001,3095800,14.571641
"2001-04-23",23.940001,24.200001,23.875,24.125,3266800,14.684241
"2001-04-24",24.125,24.58,24.1,24.15,5042400,14.699457
"2001-04-25",24.15,25.014999,23.775,25,5245800,15.216837
"2001-04-26",25,25.200001,24.559999,24.674999,5166800,15.019011
"2001-04-27",24.709999,25.415001,24.709999,25.155001,4117400,15.311175
"2001-04-30",25.155001,25.745001,25.1,25.1,5055000,15.277695
"2001-05-01",25.1,25.5,24.780001,25.389999,4617200,15.454218
"2001-05-02",25.389999,25.504999,24.700001,25.15,4183200,15.308137
"2001-05-03",25.125,25.125,24.469999,25.02,2766400,15.229008
"2001-05-04",25.02,25.299999,24.525,25.275,4072200,15.384219
"2001-05-07",25.275,26.059999,25.049999,25.754999,5946200,15.676381
"2001-05-08",25.825001,26.125,25.825001,25.924999,4680800,15.779847
"2001-05-09",25.924999,26.35,25.815001,26,3524200,15.8255
"2001-05-10",26.08,27.004999,26.08,26.715,5403800,16.2607
"2001-05-11",26.715,26.950001,26.485001,26.6,5804600,16.190708
"2001-05-14",26.6,26.605,26.200001,26.41,3302800,16.07506
"2001-05-15",26.41,26.799999,25.9,26.57,6048200,16.172445
"2001-05-16",26.57,28.25,26.355,27.955,7436400,17.015463
"2001-05-17",27.955,28.025,27.625,27.625,7476400,16.8146
"2001-05-18",27.625,27.75,27.15,27.625,3682600,16.8146
"2001-05-21",27.625,27.85,27.1,27.85,4775200,16.951548
"2001-05-22",27.85,28.25,27.725,28.1,4368400,17.10372
"2001-05-23",28.1,28.415001,27.450001,27.5,6325200,16.738516
"2001-05-24",27.5,27.625,27,27.200001,6181000,16.555914
"2001-05-25",27.200001,27.325001,26.92,27,3140600,16.434177
"2001-05-29",27,27.645,26.76,27.57,3883800,16.781132
"2001-05-30",27.5,27.5,26.629999,26.700001,4958800,16.251579
"2001-05-31",26.77,27.35,26.77,27.08,2933600,16.482868
"2001-06-01",27.08,27.545,26.895,27.424999,3008000,16.692871
"2001-06-04",27.424999,28.02,27.190001,27.889999,2770600,16.975895
"2001-06-05",27.889999,27.975,27.469999,27.945,3469800,17.009375
"2001-06-06",27.924999,27.924999,27.219999,27.325001,2307400,16.631998
"2001-06-07",27.325001,27.565001,26.965,27.49,3108000,16.732431
"2001-06-08",27.49,27.49,26.780001,27.165001,2791800,16.534609
"2001-06-11",27.049999,27.049999,26.4,26.68,3129600,16.239407
"2001-06-12",26.68,27.030001,26.5,26.91,3202800,16.379402
"2001-06-13",26.91,27.24,26.875,27.02,1698200,16.446348
"2001-06-14",27.02,27.299999,26.775,27.094999,4250600,16.492001
"2001-06-15",27.094999,27.24,26.975,27.075001,6508600,16.479828
"2001-06-18",27.075001,27.405001,27.025,27.23,2958200,16.574173
"2001-06-19",27.23,27.35,26.844999,26.945,4550200,16.400703
"2001-06-20",27,27.865,27,27.75,4243600,16.890688
"2001-06-21",27.75,28.25,27.66,27.995001,5216600,17.039806
"2001-06-22",27.945,27.945,27.145,27.325001,3723400,16.631998
"2001-06-25",27.32,27.32,26.299999,26.325001,5444400,16.023323
"2001-06-26",26.325001,26.85,25.855,26.6,7310200,16.190708
"2001-06-27",26.6,26.975,26,26.145,5119800,15.913768
"2001-06-28",26.145,26.43,25.200001,25.33,9970000,15.4177
"2001-06-29",24.875,25.450001,24.75,25.025,8198400,15.23205
"2001-07-02",25.025,26.125,25.025,25.98,4130200,15.813331
"2001-07-03",25.98,26.139999,25.799999,25.995001,2145800,15.822464
"2001-07-05",25.995001,26.1,25.775,25.84,3213600,15.728119
"2001-07-06",25.84,25.875,24.799999,24.799999,3758600,15.095098
"2001-07-09",25,25.575001,25,25.200001,2726600,15.338568
"2001-07-10",25.200001,25.459999,24.385,24.389999,4267800,14.845538
"2001-07-11",24.424999,25.040001,24.424999,24.5,4122600,14.912486
"2001-07-12",24.950001,26.025,24.950001,25.950001,4698000,15.795074
"2001-07-13",25.950001,26.344999,25.950001,26.24,4343800,15.971591
"2001-07-16",26.225,26.225,25.075001,25.184999,3250800,15.329431
"2001-07-17",25.700001,27.25,25.700001,26.775,10336200,16.297228
"2001-07-18",26.775,26.915001,25.92,26.34,6169800,16.137932
"2001-07-19",26.445,27.415001,26.445,27.1,6136000,16.603563
"2001-07-20",27.1,27.475,26.875,27,3240400,16.542295
"2001-07-23",27,27.225,26.530001,26.950001,2934800,16.51166
"2001-07-24",26.950001,27.1,26.34,26.450001,6603800,16.205322
"2001-07-25",26.450001,26.799999,26.155001,26.5,7029400,16.23596
"2001-07-26",26.5,26.549999,25.950001,26.285,4773200,16.104235
"2001-07-27",26.285,26.375,26.1,26.375,4358600,16.15937
"2001-07-30",26.65,26.885,26.540001,26.775,2818200,16.404444
"2001-07-31",27,27.75,26.875,27.549999,5094800,16.879269
"2001-08-01",27.424999,27.860001,26.75,26.975,5074000,16.526983
"2001-08-02",27.125,27.365,26.75,27.299999,3682400,16.726103
"2001-08-03",27.225,27.280001,26.620001,27.225,2265200,16.680155
"2001-08-06",27,27.01,26.145,26.475,2360600,16.220636
"2001-08-07",26.375,26.785,26.225,26.65,2774800,16.327862
"2001-08-08",26.35,26.65,26.254999,26.379999,4668400,16.162437
"2001-08-09",26.1,26.205,25.690001,26.174999,4725600,16.03684
"2001-08-10",26.15,27.254999,25.85,26.825001,4256400,16.435081
"2001-08-13",26.65,27.16,26.639999,27.01,2607200,16.548424
"2001-08-14",26.875,27.035,26.639999,26.93,3528400,16.499409
"2001-08-15",26.940001,27.684999,26.940001,27.615,4810400,16.919094
"2001-08-16",27.6,27.6,27.035,27.075001,4940400,16.588249
"2001-08-17",27.125,27.235001,26.530001,26.875,3456600,16.465719
"2001-08-20",26.799999,26.799999,26.125,26.375,4281000,16.15937
"2001-08-21",26.5,26.545,26.129999,26.205,5605600,16.055222
"2001-08-22",26.299999,26.65,26.125,26.65,5213800,16.327862
"2001-08-23",26.299999,26.299999,25.43,25.9,5342400,15.868354
"2001-08-24",25.9,26.139999,25.5,26.120001,4917000,16.003147
"2001-08-27",26.15,26.34,26.1,26.23,2026600,16.070534
"2001-08-28",26.225,26.23,25.785,26.07,2104800,15.972506
"2001-08-29",26,26,25.43,25.584999,3142200,15.675361
"2001-08-30",25.4,25.700001,24.75,25,3885600,15.316939
"2001-08-31",24.950001,25.59,24.775,25,3360200,15.316939
"2001-09-04",25.004999,25.725,24.700001,25.190001,5479800,15.433352
"2001-09-05",25.4,25.4,24.895,25.15,3536600,15.408844
"2001-09-06",25.275,25.875,25.27,25.565001,6206800,15.663106
"2001-09-07",25.57,25.57,24.375,24.43,5106400,14.967713
"2001-09-10",24,24.174999,23.525,24.049999,5512000,14.734903
"2001-09-17",23.5,24.225,21.924999,22.344999,8090600,13.690283
"2001-09-18",22.75,23.725,22.450001,22.855,5560200,14.002748
"2001-09-19",22.924999,23.174999,21.65,22.200001,4928400,13.601448
"2001-09-20",22.25,22.485001,20.725,20.85,5984200,12.77433
"2001-09-21",20.85,22.049999,20.155001,22.025,9900000,13.494228
"2001-09-24",22.525,23.705,22.525,23.059999,5672400,14.128348
"2001-09-25",23.059999,23.389999,22.545,23.190001,4536800,14.207994
"2001-09-26",22.9,22.9,21.834999,22.035,6343400,13.500357
"2001-09-27",22.049999,22.25,21.315001,21.9,4878400,13.417643
"2001-09-28",21.9,22.745001,21.65,22.4,4313000,13.723976
"2001-10-01",22.424999,22.424999,21.674999,21.99,4220200,13.472775
"2001-10-02",22.115,22.860001,22.035,22.700001,3610600,13.907785
"2001-10-03",22.575001,23.9,22.35,23.709999,4648200,14.526589
"2001-10-04",23.75,24.184999,23.68,23.715,4269400,14.52965
"2001-10-05",23.91,24.125,23.5,24.125,3797400,14.780849
"2001-10-08",23.85,23.85,23.135,23.32,4105400,14.287639
"2001-10-09",23.055,23.52,23,23.450001,2772600,14.367295
"2001-10-10",22.9,23.75,22.75,23.655001,6813000,14.492894
"2001-10-11",23.780001,24.950001,23.735001,24.65,4795400,15.102504
"2001-10-12",24.299999,24.49,23.85,24.275,5467200,14.872753
"2001-10-15",24.025,24.174999,23.85,24.1,2232000,14.765534
"2001-10-16",23.5,24.1,23.299999,24.014999,6628600,14.713457
"2001-10-17",24.049999,24.200001,23.415001,23.459999,5843200,14.373418
"2001-10-18",23.290001,23.475,22.934999,23.195,3185600,14.31786
"2001-10-19",23.4,23.4,22.65,22.879999,3867600,14.123418
"2001-10-22",22.83,23.35,22.700001,23.285,5437600,14.37342
"2001-10-23",23.5,23.530001,22.98,23.09,2885000,14.253044
"2001-10-24",23.075001,23.225,22.6,22.725,3301000,14.02774
"2001-10-25",22.525,23.365,22.155001,23.184999,3676600,14.311689
"2001-10-26",23.225,23.805,23.209999,23.65,2532400,14.598725
"2001-10-29",23.549999,23.75,22.85,22.85,2402000,14.104897
"2001-10-30",22.85,22.85,22.299999,22.455,3526200,13.861074
"2001-10-31",22.725,22.825001,22.34,22.360001,3441600,13.802431
"2001-11-01",22.6,22.674999,21.85,22.6,4934600,13.950583
"2001-11-02",22.549999,22.9,22.325001,22.855,3090600,14.107986
"2001-11-05",22.975,23.235001,22.9,23.049999,3519400,14.228362
"2001-11-06",23.125,23.9,22.870001,23.895,4498600,14.749968
"2001-11-07",23.799999,24.424999,23.6,24.15,4813400,14.907371
"2001-11-08",24.200001,24.905001,24.15,24.195,4637600,14.935141
"2001-11-09",24.290001,24.475,23.805,24.125,2983200,14.891936
"2001-11-12",24.025,24.379999,23.5,23.889999,2079800,14.746877
"2001-11-13",24.375,24.695,24.200001,24.48,3655000,15.111066
"2001-11-14",24.975,24.985001,24.15,24.190001,4704000,14.932064
"2001-11-15",24.15,24.15,23.709999,23.985001,4999800,14.805514
"2001-11-16",24.25,24.625,24.075001,24.549999,5166600,15.154286
"2001-11-19",24.674999,25.075001,24.379999,25.004999,4674200,15.435147
"2001-11-20",24.75,24.870001,24.26,24.6,4779200,15.185146
"2001-11-21",24.6,24.674999,24.135,24.209999,3313200,14.944407
"2001-11-23",24.209999,24.32,24.094999,24.32,2175000,15.012308
"2001-11-26",24.445,24.625,24.174999,24.625,2495200,15.200578
"2001-11-27",24.325001,24.625,23.975,24.35,3714000,15.03083
"2001-11-28",24.35,24.35,24,24.094999,2016200,14.873423
"2001-11-29",24.094999,24.200001,23.775,24.1,3087000,14.876508
"2001-11-30",23.875,24.094999,23.665001,23.709999,3615200,14.635763
"2001-12-03",23.709999,23.75,23.35,23.705,3487000,14.632673
"2001-12-04",23.825001,24.245001,23.610001,24.23,2364400,14.956748
"2001-12-05",24.5,25.5,24.424999,25.275,4670600,15.601808
"2001-12-06",25.475,25.844999,25.235001,25.254999,4728800,15.58947
"2001-12-07",25.1,25.825001,25.055,25.575001,4309200,15.786999
"2001-12-10",25.575001,25.575001,24.950001,25.004999,4095000,15.435147
"2001-12-11",25.004999,25.549999,25,25.25,2909200,15.586375
"2001-12-12",25.25,25.525,25.105,25.5,3784600,15.740701
"2001-12-13",25.325001,25.575001,25.049999,25.105,2454000,15.496874
"2001-12-14",25.014999,25.120001,24.35,25.035,4585600,15.453664
"2001-12-17",24.85,25.280001,24.85,24.950001,2463000,15.401195
"2001-12-18",25.25,25.885,25.23,25.68,2632000,15.851813
"2001-12-19",25.68,26.075001,25.51,26.025,3861600,16.064775
"2001-12-20",25.9,25.905001,25.27,25.299999,2752600,15.617247
"2001-12-21",25.625,25.834999,25.6,25.725,3410000,15.879585
"2001-12-24",25.725,26.125,25.725,26,858800,16.049341
"2001-12-26",25.924999,26.4,25.879999,26.225,1760400,16.188231
"2001-12-27",26.23,26.475,26.120001,26.379999,1336400,16.283909
"2001-12-28",26.450001,26.620001,26.165001,26.594999,2038400,16.41662
"2001-12-31",26.424999,26.549999,26.1,26.125,2041000,16.126499
"2002-01-02",26.174999,26.299999,25.5,25.825001,4030200,15.941319
"2002-01-03",25.83,26.174999,25.73,26.165001,3149000,16.151192
"2002-01-04",26.200001,27.02,26.200001,26.93,5030600,16.623411
"2002-01-07",26.875,27.045,26.525,26.575001,2739800,16.404278
"2002-01-08",26.184999,26.190001,25.495001,25.674999,6399000,15.848723
"2002-01-09",25.924999,26.415001,25.725,25.780001,3375800,15.913545
"2002-01-10",25.700001,25.9,25.389999,25.57,2487000,15.78391
"2002-01-11",25.674999,25.950001,25.41,25.41,2428000,15.685142
"2002-01-14",25.379999,25.625,25.209999,25.245001,2803600,15.583289
"2002-01-15",25.25,25.450001,24.85,24.875,3242400,15.354894
"2002-01-16",24.875,24.875,24.01,24.01,4496600,14.820949
"2002-01-17",24.049999,24.825001,24.049999,24.655001,3986600,15.330837
"2002-01-18",24.655001,24.785,24.475,24.49,3320800,15.228238
"2002-01-22",24.504999,24.674999,24.09,24.09,3211600,14.979513
"2002-01-23",23.85,24.424999,23.375,24.379999,5761000,15.159843
"2002-01-24",24.375,24.93,24.299999,24.549999,2495400,15.265545
"2002-01-25",24.65,25.139999,24.450001,25.049999,2583600,15.576455
"2002-01-28",25.075001,25.684999,25.049999,25.415001,3452200,15.803418
"2002-01-29",25.42,25.495001,24.85,24.85,3274600,15.452085
"2002-01-30",24.725,25.110001,24,25.1,5645200,15.607541
"2002-01-31",25.049999,25.215,24.555,25.139999,3247000,15.632419
"2002-02-01",25.25,25.325001,24.860001,25.26,2875400,15.707033
"2002-02-04",25.15,25.565001,24.514999,24.514999,2927000,15.243786
"2002-02-05",24.51,24.950001,24.33,24.389999,3406400,15.16605
"2002-02-06",24.389999,24.565001,23.85,24.309999,5246800,15.116306
"2002-02-07",24.25,24.325001,23.715,23.715,2981600,14.746334
"2002-02-08",23.799999,24.25,23.66,24.25,2533600,15.078998
"2002-02-11",24.125,24.975,24.094999,24.889999,3458800,15.476959
"2002-02-12",24.799999,25.299999,24.549999,25.120001,4191200,15.619982
"2002-02-13",25.120001,25.57,25.055,25.385,4430200,15.784763
"2002-02-14",25.424999,25.725,25.24,25.264999,2681400,15.710144
"2002-02-15",25.375,25.389999,24.9,24.965,3135600,15.523598
"2002-02-19",24.9,25.1,24.5,24.950001,3483600,15.514276
"2002-02-20",25.1,25.735001,24.965,25.549999,5018600,15.887348
"2002-02-21",25.625,26.290001,25.535,25.940001,4004800,16.129869
"2002-02-22",25.65,26.445,25.65,26.34,4282000,16.378593
"2002-02-25",26.75,28.1,26.75,28.030001,10458000,17.429464
"2002-02-26",28.049999,28.4,27.525,27.98,6491800,17.398375
"2002-02-27",28.025,28.209999,27.674999,27.950001,3990000,17.379719
"2002-02-28",27.950001,28.15,27.66,27.754999,4525000,17.258461
"2002-03-01",27.700001,28.450001,27.375,28.165001,5744400,17.513411
"2002-03-04",28.200001,29.6,28.190001,29.540001,6646000,18.368397
"2002-03-05",29.475,29.65,28.549999,29,7229600,18.032618
"2002-03-06",28.9,29.615,28.855,29.51,5500200,18.349751
"2002-03-07",29.85,29.9,29.184999,29.26,4782000,18.194294
"2002-03-08",29.575001,29.969999,29.5,29.665001,5518000,18.446131
"2002-03-11",29.540001,29.75,29.375,29.549999,3407400,18.374619
"2002-03-12",29.200001,29.65,29.200001,29.455,4690400,18.315548
"2002-03-13",29.35,29.445,28.745001,28.745001,4973000,17.874063
"2002-03-14",28.84,29.799999,28.834999,29.33,5973000,18.237822
"2002-03-15",29.440001,29.995001,29.4,29.895,7082600,18.589149
"2002-03-18",29.895,29.895,29.4,29.559999,4261200,18.380842
"2002-03-19",29.790001,29.969999,29.5,29.65,4446200,18.436798
"2002-03-20",29.625,29.875,29.004999,29.014999,4366000,18.04195
"2002-03-21",28.775,28.924999,28.299999,28.549999,4292000,17.7528
"2002-03-22",28.549999,29,28.18,28.565001,3561000,17.762129
"2002-03-25",28.825001,28.924999,27.950001,27.969999,4208000,17.392151
"2002-03-26",27.924999,28.700001,27.825001,28.125,4717000,17.488531
"2002-03-27",28.200001,29,28.15,28.745001,4481000,17.874063
"2002-03-28",28.889999,28.915001,28.424999,28.424999,3043000,17.675076
"2002-04-01",28.5,28.615,28.004999,28.459999,2571800,17.69684
"2002-04-02",28.459999,28.48,28.1,28.200001,3016600,17.535162
"2002-04-03",28.075001,28.08,27.200001,27.459999,4972000,17.075024
"2002-04-04",27.459999,28.275,27.450001,27.705,5235800,17.227371
"2002-04-05",27.9,28.875,27.9,28.68,4895400,17.833639
"2002-04-08",28.674999,28.965,28.215,28.875,3595200,17.954899
"2002-04-09",28.965,29.42,28.799999,28.940001,3133400,17.995312
"2002-04-10",29.174999,29.809999,29.055,29.745001,4472000,18.495874
"2002-04-11",29.525,29.795,29.115,29.215,3746400,18.166315
"2002-04-12",29.549999,29.6,28.924999,28.985001,3429400,18.023296
"2002-04-15",29.049999,29.15,28.525,28.995001,3042600,18.029516
"2002-04-16",28.995001,28.995001,28.215,28.325001,8827000,17.612898
"2002-04-17",28.25,28.43,27.625,27.9,6017200,17.348621
"2002-04-18",27.725,27.73,27.25,27.459999,4835600,17.1828
"2002-04-19",27.700001,27.725,27.385,27.52,2650600,17.22035
"2002-04-22",27.52,27.545,26.799999,26.915001,3961600,16.84178
"2002-04-23",26.950001,27,26.530001,26.549999,4493600,16.613379
"2002-04-24",26.6,27.41,26.5,26.5,2973400,16.582092
"2002-04-25",26.5,26.84,26.110001,26.799999,4477200,16.769819
"2002-04-26",27.075001,27.25,26.575001,27.075001,4913800,16.941893
"2002-04-29",27.08,27.155001,26.445,26.445,3202400,16.547684
"2002-04-30",26.6,27.575001,26.450001,27.309999,4513600,17.088945
"2002-05-01",27.309999,27.4,26.535,27.065001,4887800,16.935633
"2002-05-02",27.200001,27.57,26.98,27.325001,3114800,17.098333
"2002-05-03",27.32,27.424999,26.65,27,3797400,16.894958
"2002-05-06",26.745001,26.825001,26.1,26.200001,4039800,16.394375
"2002-05-07",26.450001,26.475,26.059999,26.305,3821000,16.460075
"2002-05-08",26.924999,27.6,26.875,27.51,4473600,17.21409
"2002-05-09",27.5,27.504999,26.76,26.93,3082000,16.851164
"2002-05-10",26.93,26.93,26.355,26.405001,3722000,16.52265
"2002-05-13",26.4,26.620001,26.045,26.375,3825400,16.503874
"2002-05-14",27.075001,27.174999,26.629999,27.120001,5012600,16.970049
"2002-05-15",27.245001,28.174999,27.174999,28,5891600,17.520702
"2002-05-16",27.950001,28.1,27.375,27.584999,3536600,17.261011
"2002-05-17",27.645,27.844999,27.25,27.395,3274600,17.14213
"2002-05-20",27.395,27.4,26.809999,27.02,4206000,16.907475
"2002-05-21",27.15,27.25,26.67,26.719999,2663800,16.719757
"2002-05-22",26.725,27.145,26.514999,27.135,3077400,16.979437
"2002-05-23",27.125,27.35,26.809999,27.125,3868600,16.973185
"2002-05-24",27.110001,27.26,26.965,26.975,2402600,16.879322
"2002-05-28",27.1,27.195,26.555,26.745001,1914400,16.735403
"2002-05-29",26.74,26.745001,26.084999,26.25,4295200,16.425659
"2002-05-30",25.975,26.120001,25.625,26,4096600,16.269222
"2002-05-31",26,26.49,25.940001,26.135,3257400,16.353697
"2002-06-03",26.26,26.49,25.775,25.924999,3852600,16.222298
"2002-06-04",25.875,25.959999,24.790001,25.42,4567600,15.906297
"2002-06-05",25.299999,25.895,25.275,25.715,3471200,16.090881
"2002-06-06",25.75,25.825001,24.924999,25.125,2373800,15.721702
"2002-06-07",25.125,25.5,24.924999,25.309999,3197800,15.837462
"2002-06-10",25.4,25.49,24.99,25.264999,1805400,15.809302
"2002-06-11",25.549999,25.940001,24.775,24.775,3502200,15.502693
"2002-06-12",24.51,24.575001,24.025,24.575001,5566800,15.377543
"2002-06-13",24.450001,24.799999,24.440001,24.625,3302000,15.408834
"2002-06-14",24.1,24.475,23.825001,24.450001,4745000,15.299329
"2002-06-17",24.200001,24.995001,24,24.02,7378400,15.030255
"2002-06-18",24.25,24.945,24.225,24.725,4493600,15.471408
"2002-06-19",24.4,24.860001,24,24.110001,4015800,15.086576
"2002-06-20",24,24.25,23.875,23.875,3008800,14.939526
"2002-06-21",23.65,24.059999,23.65,23.84,5601400,14.917631
"2002-06-24",23.59,24.025,22.950001,23.775,5069200,14.876951
"2002-06-25",24.025,24.424999,23.825001,24.1,4491800,15.080322
"2002-06-26",23.424999,23.985001,23.424999,23.83,4223000,14.911372
"2002-06-27",23.924999,24.35,23.565001,24.35,3374400,15.236756
"2002-06-28",24.275,25.025,24.25,24.475,5297000,15.31497
"2002-07-01",24.6,24.700001,23.950001,24,5174200,15.017746
"2002-07-02",24.075001,24.200001,23.275,23.58,4130200,14.754938
"2002-07-03",23.5,23.75,22.424999,23.09,5858200,14.448319
"2002-07-05",23.15,24.120001,23.15,24.120001,2349000,15.092834
"2002-07-08",24.1,24.299999,23.700001,23.924999,3334600,14.970813
"2002-07-09",23.875,24.41,23.565001,23.565001,3163200,14.745548
"2002-07-10",23.809999,23.85,22.674999,22.75,4294400,14.235573
"2002-07-11",22.6,22.66,21.834999,22.535,5269800,14.101035
"2002-07-12",22.545,23.1,22.200001,22.75,3908200,14.235573
"2002-07-15",22.75,22.75,21.475,22.594999,4771200,14.138583
"2002-07-16",20.125,21.77,20.125,21.5,17151400,13.4534
"2002-07-17",21.625,22.075001,21.4,21.625,5660400,13.531616
"2002-07-18",21.4,21.6,21.08,21.34,4562400,13.46222
"2002-07-19",21.344999,21.52,20.700001,20.705,5382800,13.061635
"2002-07-22",20.6,21.299999,20,20.315001,6402800,12.815602
"2002-07-23",20.315001,20.625,19.950001,20,5347400,12.616889
"2002-07-24",19.875,21.6,19.525,21.6,6252800,13.626242
"2002-07-25",21.35,21.75,20.639999,21.395,4592600,13.496917
"2002-07-26",21.549999,21.825001,21.395,21.775,3050000,13.736639
"2002-07-29",22.200001,23,22,22.950001,4221800,14.477877
"2002-07-30",22.825001,22.860001,22,22.655001,3988400,14.29178
"2002-07-31",22.75,22.75,21.895,22.35,4328800,14.099368
"2002-08-01",22.200001,22.4,21.424999,21.629999,6466000,13.645166
"2002-08-02",21.65,21.75,20.424999,20.799999,5427400,13.121558
"2002-08-05",20.674999,20.905001,20.15,20.200001,4414000,12.743059
"2002-08-06",20.549999,21.725,20.549999,21.195,4102000,13.370749
"2002-08-07",21.575001,21.700001,20.684999,21.424999,3193400,13.515844
"2002-08-08",21.65,22.475,21.5,22.275,3584800,14.052058
"2002-08-09",22.15,22.49,21.825001,22.285,3895800,14.058374
"2002-08-12",22.049999,22.200001,21.525,22.110001,2619400,13.947971
"2002-08-13",22.450001,22.73,22.035,22.1,5746600,13.941664
