"","APC.Open","APC.High","APC.Low","APC.Close","APC.Volume","APC.Adjusted"
"2001-02-20",34.105,34.645,33.349998,33.525002,4462200,28.805317
"2001-02-21",33.849998,34.105,32.314999,32.415001,4618600,27.851583
"2001-02-22",32.825001,33.035,31.775,31.924999,4223000,27.430574
"2001-02-23",32.049999,32.299999,31.174999,31.4,3326200,26.979471
"2001-02-26",31.4,31.99,31.225,31.73,2565800,27.26302
"2001-02-27",31.950001,32.299999,31.545,31.975,2721200,27.473534
"2001-02-28",32,32.174999,31.105,31.25,2729200,26.850595
"2001-03-01",31.299999,31.815001,31.27,31.75,5695200,27.280209
"2001-03-02",32.150002,32.625,31.719999,32.5,3503200,27.924616
"2001-03-05",32.724998,33.5,32.375,33.27,2437400,28.586224
"2001-03-06",33.950001,34.375,33.349998,34.235001,3576600,29.415363
"2001-03-07",34.525002,36.5,34.5,36.494999,9917600,31.357201
"2001-03-08",35.25,36.005001,34.75,35.325001,12314800,30.351919
"2001-03-09",35.450001,35.93,35.075001,35.285,5450400,30.317541
"2001-03-12",34.974998,34.98,33.125,33.279999,5904800,28.615095
"2001-03-13",33.424999,33.459999,32.25,32.805,5057800,28.206676
"2001-03-14",32.805,32.825001,32.055,32.365002,5183400,27.828339
"2001-03-15",32.775002,32.799999,31.504999,31.715,4058600,27.269447
"2001-03-16",31.450001,32.18,30.875,31.014999,5484000,26.667574
"2001-03-19",31.365,32.299999,31.200001,31.665001,4699800,27.226465
"2001-03-20",32.400002,33.474998,32.084999,33.025002,7746200,28.395834
"2001-03-21",32.900002,33.044998,31.5,31.67,4971200,27.230761
"2001-03-22",31.700001,31.725,29.6,30.35,6265200,26.095783
"2001-03-23",31.225,31.625,30.389999,31.299999,4329400,26.912626
"2001-03-26",31.625,32.375,31.525,32.200001,4127000,27.686468
"2001-03-27",32.139999,32.599998,31.025,31.219999,4299200,26.843836
"2001-03-28",31.275,31.475,30.59,30.77,4191800,26.456923
"2001-03-29",30.5,30.655001,29.5,30.055,8701400,25.842148
"2001-03-30",30.15,31.959999,30.15,31.389999,7482800,26.990009
"2001-04-02",31.365,31.49,29.674999,29.889999,5286000,25.700268
"2001-04-03",29.875,30.025,28.1,28.174999,8388600,24.225664
"2001-04-04",28.25,29.9,28.25,29.575001,7007600,25.429419
"2001-04-05",30.625,30.674999,29.209999,30.43,5338000,26.164579
"2001-04-06",30.25,31.040001,29.42,30.85,4361200,26.525703
"2001-04-09",31.174999,31.93,31.1,31.625,4157400,27.192068
"2001-04-10",32,32.650002,31.77,32.595001,5490400,28.0261
"2001-04-11",32.474998,32.700001,31.825001,32,3806400,27.514509
"2001-04-12",32.5,33.185001,32.305,32.674999,3758800,28.094885
"2001-04-16",33,34.174999,33,34.154999,4191400,29.367434
"2001-04-17",34.125,34.695,33.674999,34.5,6711800,29.664059
"2001-04-18",34.125,34.424999,32.904999,33.275002,5651600,28.610783
"2001-04-19",32.900002,32.904999,31.25,31.775,9752400,27.321033
"2001-04-20",32,32.400002,31.25,31.575001,5776000,27.149076
"2001-04-23",32.325001,32.695,32.18,32.59,4096200,28.021807
"2001-04-24",32.599998,33.049999,32.25,32.404999,4603200,27.862734
"2001-04-25",32.5,33.575001,32.275002,33.400002,4163800,28.718262
"2001-04-26",34.049999,34.52,33.299999,33.299999,5471800,28.632292
"2001-04-27",33.549999,34.145,33,33,6167600,28.374338
"2001-04-30",33.5,33.549999,32,32.310001,7171800,27.781036
"2001-05-01",32.025002,32.564999,31.65,32.275002,6004400,27.750957
"2001-05-02",31.525,31.530001,29.975,30.125,9798600,25.902325
"2001-05-03",30.200001,30.875,29.65,30.5,10422400,26.224771
"2001-05-04",30.75,31.405001,30.65,31.030001,4983800,26.680471
"2001-05-07",31.525,31.620001,31.01,31.52,6052000,27.101789
"2001-05-08",31.299999,31.305,30.85,31.1,3226800,26.740664
"2001-05-09",31.225,31.875,31.125,31.775,4617000,27.321033
"2001-05-10",31.795,32.150002,31.4,31.625,4233600,27.192068
"2001-05-11",31.4,31.450001,31.065001,31.245001,3031800,26.865335
"2001-05-14",31.9,31.995001,31.375,31.905001,4412600,27.432817
"2001-05-15",32.049999,33.075001,32.005001,33,5002800,28.374338
"2001-05-16",33,33.950001,32.799999,33.075001,6620000,28.438818
"2001-05-17",33.075001,33.915001,32.650002,33.790001,6664600,29.053596
"2001-05-18",33.875,34.59,33.849998,34.169998,5388000,29.380333
"2001-05-21",34.25,34.59,34.075001,34.240002,4141400,29.440525
"2001-05-22",34.25,34.25,33.465,33.5,4978000,28.804253
"2001-05-23",33.25,33.494999,32.459999,32.5,6075400,27.944418
"2001-05-24",32.5,32.5,32,32.150002,4802000,27.643478
"2001-05-25",32.049999,32.049999,30.875,31.1,9677000,26.740664
"2001-05-29",31.549999,31.785,30.424999,30.700001,6513800,26.396729
"2001-05-30",30.700001,31.25,30.025,31.15,7487200,26.783648
"2001-05-31",31.35,31.5,30.334999,31.305,7083400,26.916929
"2001-06-01",30.875,31.4,30.5,31.094999,3745200,26.736364
"2001-06-04",31.950001,32.075001,31.584999,31.815001,4174200,27.355442
"2001-06-05",31.915001,31.975,31.48,31.495001,3925800,27.080299
"2001-06-06",30.775,30.924999,30.26,30.299999,7070600,26.052805
"2001-06-07",30.174999,30.200001,29.25,29.530001,8345200,25.390734
"2001-06-08",29.475,29.955,28.855,29.940001,6708600,25.743254
"2001-06-11",30.275,30.450001,29.945,29.985001,5232000,25.80349
"2001-06-12",30.075001,31.049999,30,30.815001,5700000,26.51775
"2001-06-13",30.924999,31.200001,29.615,29.855,6211400,25.691624
"2001-06-14",29.855,29.875,29.325001,29.355,4444600,25.261354
"2001-06-15",29.360001,29.82,29.075001,29.495001,4565200,25.381832
"2001-06-18",29.615,29.65,29.059999,29.4,5489800,25.300081
"2001-06-19",29.4,29.625,28.785,29.120001,3631800,25.059124
"2001-06-20",29.120001,29.625,28.549999,28.555,5264400,24.57291
"2001-06-21",28.555,28.84,27.35,27.700001,8534200,23.837158
"2001-06-22",27.85,28.450001,27.200001,28.35,5828200,24.396502
"2001-06-25",28.25,28.575001,27.684999,27.799999,5538800,23.923199
"2001-06-26",27.775,28.65,27.450001,28.514999,5564400,24.538498
"2001-06-27",28.325001,28.325001,27.450001,27.695,7940000,23.832846
"2001-06-28",27.75,27.875,26.549999,26.700001,9171200,22.976597
"2001-06-29",26.875,27.799999,26.75,26.955,8008800,23.196035
"2001-07-02",27.225,27.549999,26.75,27.004999,5371200,23.239071
"2001-07-03",27.125,27.32,26.700001,26.799999,2490000,23.062654
"2001-07-05",26.865,27.375,26.865,27.155001,6353000,23.368153
"2001-07-06",27.155001,27.875,26.629999,27.764999,3961800,23.893082
"2001-07-09",27.6,27.6,26.215,26.215,7845400,22.559235
"2001-07-10",26.215,26.700001,25.735001,26.375,7380200,22.696926
"2001-07-11",25.75,25.754999,24.5,25.389999,9322800,21.849281
"2001-07-12",25.389999,25.825001,24.639999,24.875,9225200,21.406103
"2001-07-13",24.75,25.700001,24.6,25.295,5452000,21.767534
"2001-07-16",25.200001,25.68,24.254999,24.485001,5056800,21.070494
"2001-07-17",24.674999,24.9,24.165001,24.440001,7576200,21.031769
"2001-07-18",24.025,24.245001,23.26,24.174999,7592000,20.803726
"2001-07-19",24.184999,24.799999,24.184999,24.625,4973600,21.190968
"2001-07-20",24.775,25.805,24.775,25.754999,5138600,22.163378
"2001-07-23",26.25,26.705,26.15,26.49,7000600,22.795887
"2001-07-24",26.49,26.625,26,26.195,6857200,22.542021
"2001-07-25",26.475,27.950001,25.875,27.85,9236400,23.96624
"2001-07-26",27.85,28.85,27.805,28.625,7150600,24.63316
"2001-07-27",28.6,29.450001,27.975,29.280001,6437200,25.196814
"2001-07-30",29.35,30,28.690001,28.9,5335400,24.869804
"2001-07-31",28.995001,29.334999,28.1,28.4,5073200,24.439528
"2001-08-01",28.9,29.325001,27.76,27.924999,5995000,24.030771
"2001-08-02",28.025,28.700001,27.610001,28.575001,4818800,24.590124
"2001-08-03",28.575001,28.674999,27.594999,28.004999,2978200,24.099617
"2001-08-06",28.379999,28.6,28.025,28.360001,2812400,24.405113
"2001-08-07",28.700001,28.700001,27.889999,28.1,3831400,24.181372
"2001-08-08",28.174999,28.485001,26.65,26.84,5727000,23.097071
"2001-08-09",26.924999,27.355,26.605,27.049999,4016000,23.277796
"2001-08-10",27.174999,27.754999,27,27.6,3682400,23.751093
"2001-08-13",27.6,28.075001,27.6,27.93,3092200,24.035072
"2001-08-14",27.93,28.415001,27.915001,28.32,3765800,24.370687
"2001-08-15",28.424999,30,28.375,29.875,8022000,25.708847
"2001-08-16",29.725,29.875,28.905001,29.5,6651200,25.386126
"2001-08-17",29.5,29.5,28.775,29.125,4953400,25.063427
"2001-08-20",28.75,28.975,27.924999,27.975,5919000,24.073795
"2001-08-21",27.975,28.09,27.495001,27.6,6436400,23.751093
"2001-08-22",27.825001,28.299999,27.049999,27.225,5901200,23.428387
"2001-08-23",27.495001,27.495001,26.549999,26.870001,8409400,23.122885
"2001-08-24",26.870001,26.870001,26.370001,26.745001,4563400,23.015331
"2001-08-27",26.6,26.92,26.405001,26.9,3235000,23.148705
"2001-08-28",26.85,27,26.615,26.745001,3481400,23.015331
"2001-08-29",26.65,27,26.01,26.575001,4120400,22.869036
"2001-08-30",26.625,26.834999,25.75,26.125,5708800,22.481789
"2001-08-31",26.129999,26.280001,25.875,25.875,3002800,22.266657
"2001-09-04",26.15,26.799999,26.1,26.655001,5597400,22.937878
"2001-09-05",26.5,26.525,26.01,26.504999,5430600,22.80879
"2001-09-06",26.299999,26.809999,26.15,26.59,6867200,22.881947
"2001-09-07",26.59,27.030001,26.4,26.684999,4048000,22.963686
"2001-09-10",26.5,26.975,26.125,26.745001,3833800,23.036919
"2001-09-17",26.700001,27.299999,25.200001,25.674999,9484800,22.115255
"2001-09-18",25.674999,25.719999,24.125,24.5,4191600,21.103176
"2001-09-19",24.6,24.6,22.549999,23.5,8151200,20.241814
"2001-09-20",23.475,24.26,23.075001,23.76,5832800,20.465757
"2001-09-21",23,24.15,22.9,23.65,6891400,20.371021
"2001-09-24",23.375,23.950001,21.93,22.35,8463800,19.251251
"2001-09-25",21.950001,22.5,21.5,22.5,6491800,19.380457
"2001-09-26",22.525,22.799999,21.75,22.025,5582400,18.971321
"2001-09-27",22.225,23.35,22.075001,22.985001,4144800,19.79822
"2001-09-28",23.110001,24.125,23.110001,24.040001,4486600,20.706945
"2001-10-01",24.040001,24.040001,23,23.725,3231800,20.435617
"2001-10-02",23.299999,24.075001,23.275,23.940001,3276600,20.620813
"2001-10-03",23.725,24.065001,23.25,24.004999,6956800,20.67679
"2001-10-04",24.35,25.875,24.235001,25.35,7122200,21.83532
"2001-10-05",25.375,25.875,24.875,25.58,4992000,22.033438
"2001-10-08",25.58,26.475,25.275,26.08,4686000,22.464108
"2001-10-09",26.205,26.4,25.6,26.200001,3159000,22.567474
"2001-10-10",26.200001,27.6,26.125,27.5,5184400,23.687231
"2001-10-11",27.450001,28.045,27.049999,27.65,5111400,23.816431
"2001-10-12",27.549999,28.025,27.139999,27.620001,3661400,23.790588
"2001-10-15",27.275,27.6,26.35,27,6275600,23.256552
"2001-10-16",27,28.025,26.905001,27.995001,3869000,24.113604
"2001-10-17",28.120001,28.375,27.450001,27.705,5829000,23.863813
"2001-10-18",27.625,27.629999,26.799999,27.045,5209400,23.295315
"2001-10-19",27,27.799999,26.424999,27.565001,5396800,23.743212
"2001-10-22",27.565001,28.195,27.15,28.190001,4282400,24.281565
"2001-10-23",28.025,28.65,27.344999,27.6,5156000,23.773371
"2001-10-24",27.6,28.32,27.15,28.045,5836200,24.156666
"2001-10-25",28.045,28.885,27.895,28.885,6575400,24.880211
"2001-10-26",28.924999,30,28.799999,30,6308400,25.840616
"2001-10-29",30,30.875,29.700001,30.219999,6085600,26.030107
"2001-10-30",29.625,29.629999,28.575001,28.705,5210800,24.725161
"2001-10-31",28.65,29.225,27.905001,28.525,6988000,24.570124
"2001-11-01",28.6,29.15,28.084999,28.975,4504400,24.957735
"2001-11-02",28.975,28.98,28.1,28.514999,3816600,24.561506
"2001-11-05",28.325001,28.700001,27.605,27.924999,3735000,24.053303
"2001-11-06",27.575001,28.200001,27.264999,28.135,5327000,24.234186
"2001-11-07",28,28.75,27.450001,28.535,4811200,24.578733
"2001-11-08",28.700001,29.075001,28.35,28.799999,4986600,24.806992
"2001-11-09",29.049999,29.75,29.049999,29.584999,3587800,25.48315
"2001-11-12",29.299999,29.35,28.625,29.26,3169400,25.203217
"2001-11-13",29.35,29.465,28.705,29.440001,3714200,25.358261
"2001-11-14",28.5,28.605,27.555,27.58,5899800,23.756136
"2001-11-15",26,26.434999,25.125,25.375,12062200,21.856857
"2001-11-16",25.5,26.025,25.049999,25.825001,7324800,22.244471
"2001-11-19",26.125,26.125,25.275,26.025,8541600,22.416727
"2001-11-20",26.625,27.275,26.469999,27.155001,5826800,23.390059
"2001-11-21",27.049999,27.225,26.25,26.700001,4274000,22.998142
"2001-11-23",26.424999,27.215,26.129999,27.110001,1865800,23.351305
"2001-11-26",26.5,26.6,25.950001,26.200001,5404800,22.567474
"2001-11-27",26.1,26.93,25.65,26.594999,5871800,22.907707
"2001-11-28",26.225,26.65,25.9,25.99,5353000,22.386587
"2001-11-29",26.049999,26.325001,25.879999,26.105,6152800,22.485641
"2001-11-30",26.35,26.35,25.629999,25.950001,5196800,22.352131
"2001-12-03",25.75,26.65,25.51,26.4,5170000,22.739738
"2001-12-04",26.389999,27.25,26.084999,27.105,4036800,23.346998
"2001-12-05",27.725,28.225,27.299999,27.615,5431400,23.78628
"2001-12-06",27.525,27.700001,27.075001,27.280001,4458000,23.497728
"2001-12-07",27.049999,27.59,26.719999,27.375,3657000,23.579557
"2001-12-10",27.209999,27.25,26.754999,27.075001,2873200,23.353138
"2001-12-11",27.075001,27.15,26.65,26.85,3427400,23.159071
"2001-12-12",26.75,26.75,25.67,25.934999,6247200,22.369846
"2001-12-13",25.655001,25.844999,25.26,25.495001,4599400,21.990341
"2001-12-14",25.620001,26.195,25.379999,26.025,3185800,22.447479
"2001-12-17",26.049999,26.075001,25.375,25.5,4467600,21.99465
"2001-12-18",25.549999,26.115,25.285,26.094999,6411600,22.507862
"2001-12-19",26.1,27.09,26.004999,26.475,6701600,22.835621
"2001-12-20",26.6,27.049999,26.4,26.635,4046400,22.973635
"2001-12-21",27,27.33,26.799999,26.799999,3524000,23.115942
"2001-12-24",26.924999,27.24,26.855,26.879999,1536200,23.184952
"2001-12-26",27.200001,27.950001,27.174999,27.76,3316600,23.943985
"2001-12-27",27.65,28.379999,27.504999,28.014999,4560800,24.163929
"2001-12-28",28.475,28.950001,28.125,28.715,5538200,24.767702
"2001-12-31",28.440001,28.85,28.27,28.424999,2849800,24.51757
"2002-01-02",27.6,27.950001,27.049999,27.525,5374800,23.741287
"2002-01-03",27.15,27.575001,26.639999,26.825001,4637000,23.137516
"2002-01-04",26.950001,27.139999,26.825001,26.924999,5250600,23.223763
"2002-01-07",27.1,27.545,26.75,27.219999,3340400,23.47821
"2002-01-08",27.219999,27.295,26.440001,26.495001,3494800,22.852882
"2002-01-09",26.495001,26.594999,26,26.379999,5065800,22.753679
"2002-01-10",26.379999,26.379999,25.6,25.674999,7244400,22.145596
"2002-01-11",25.299999,25.305,24.475,24.48,8835400,21.114864
"2002-01-14",23.5,24.799999,23.450001,24.530001,10964200,21.157997
"2002-01-15",24.834999,25.120001,24.645,25,8245000,21.563385
"2002-01-16",24.625,24.875,24.26,24.639999,5054600,21.252865
"2002-01-17",24.674999,24.725,23.83,23.98,4515200,20.683594
"2002-01-18",24.209999,24.295,23.575001,23.67,3297200,20.416216
"2002-01-22",23.674999,23.825001,23.35,23.424999,4735000,20.204891
"2002-01-23",23.75,24,23.719999,23.82,4952400,20.545591
"2002-01-24",23.885,24.65,23.725,24.540001,3950000,21.166613
"2002-01-25",24.75,24.99,24.209999,24.4,2867600,21.045862
"2002-01-28",24.4,24.424999,23.690001,24.139999,3268000,20.821606
"2002-01-29",24.004999,24.1,23.424999,23.700001,4470000,20.442083
"2002-01-30",22.25,23.485001,21.85,23.445,19433800,20.222141
"2002-01-31",23.525,24.65,23.475,24.565001,5881000,21.188183
"2002-02-01",24.450001,25.049999,23.885,24.379999,4241800,21.028603
"2002-02-04",24.280001,24.299999,23.504999,23.559999,2746200,20.321333
"2002-02-05",23.385,24.325001,23.200001,24.07,5219000,20.761229
"2002-02-06",24.1,24.735001,23.905001,24.030001,4790200,20.726725
"2002-02-07",24.030001,24.030001,23.455,23.795,3510600,20.524035
"2002-02-08",23.65,24.155001,23.549999,24.120001,2560400,20.804358
"2002-02-11",24.120001,24.635,23.700001,24.395,4459400,21.041553
"2002-02-12",24.395,24.4,24.049999,24.200001,2437400,20.873356
"2002-02-13",24.125,24.33,23.725,24.25,3458600,20.916487
"2002-02-14",24.4,24.85,24.200001,24.455,2994800,21.093306
"2002-02-15",24.5,24.924999,24.145,24.790001,4092800,21.382256
"2002-02-19",24.549999,24.73,24.25,24.424999,1962600,21.067423
"2002-02-20",24.43,24.51,23.975,24.344999,2345800,20.998421
"2002-02-21",24.395,24.99,24.395,24.709999,2977200,21.31325
"2002-02-22",24.950001,25.370001,24.825001,25.305,5063000,21.826464
"2002-02-25",25.25,26.5,25.125,26.35,4178800,22.727814
"2002-02-26",26.325001,26.450001,25.924999,26.094999,4021800,22.507862
"2002-02-27",26.145,26.325001,25.775,25.9,2526600,22.339666
"2002-02-28",26.075001,26.395,25.9,26.049999,2705800,22.46904
"2002-03-01",25.6,26.075001,25.575001,25.969999,4127600,22.400045
"2002-03-04",26.125,26.42,26.049999,26.25,2799800,22.641558
"2002-03-05",26.25,26.360001,26.049999,26.33,2804600,22.710562
"2002-03-06",26.625,27.655001,26.299999,27.440001,4577600,23.667967
"2002-03-07",28,28.65,27.780001,28.23,6523600,24.349373
"2002-03-08",28.15,28.225,27.450001,27.66,3807400,23.857725
"2002-03-11",27.68,28.125,27.68,27.860001,2618600,24.062855
"2002-03-12",27.674999,28,27.5,27.93,2354200,24.123318
"2002-03-13",28,28.49,27.995001,28.34,4194200,24.477442
"2002-03-14",28.040001,28.385,27.889999,28.105,2753800,24.274464
"2002-03-15",27.75,28.4,27.75,28.35,3303400,24.486076
"2002-03-18",28.5,28.75,28.24,28.695,2921400,24.784046
"2002-03-19",28.695,29.200001,28.58,29.145,4404600,25.17272
"2002-03-20",29.145,29.275,28.51,29.030001,5141200,25.073393
"2002-03-21",28.85,29.1,28.375,29.004999,2863000,25.051805
"2002-03-22",28.674999,28.73,27.75,27.959999,3613400,24.149233
"2002-03-25",27.85,28.355,27.690001,28.030001,3183800,24.209688
"2002-03-26",28.1,28.225,27.35,27.719999,2370400,23.94194
"2002-03-27",27.950001,28.68,27.945,28.51,2860800,24.624269
"2002-03-28",28.4,28.6,28.15,28.219999,2972000,24.373795
"2002-04-01",28.65,28.799999,28.555,28.65,3061200,24.74518
"2002-04-02",28.745001,29.065001,28.66,29.004999,6052600,25.051805
"2002-04-03",29.004999,29.004999,28.254999,28.360001,3529400,24.494722
"2002-04-04",28.25,28.559999,27.245001,27.245001,4592600,23.531681
"2002-04-05",27.49,27.58,26.9,27.115,3566800,23.419399
"2002-04-08",27.475,28.25,27.200001,27.540001,3338800,23.78648
"2002-04-09",27.625,27.674999,26.75,27.030001,4110600,23.345976
"2002-04-10",27.030001,27.809999,26.9,27.5,3163000,23.751921
"2002-04-11",27.275,27.885,27.184999,27.415001,2869800,23.678511
"2002-04-12",27.014999,27.1,25.9,26.025,6374600,22.477953
"2002-04-15",26.450001,27.07,26.450001,26.83,3373800,23.173244
"2002-04-16",27.049999,27.209999,26.85,27.1,2472800,23.406448
"2002-04-17",27.5,27.665001,27.254999,27.370001,4341200,23.639639
"2002-04-18",27.725,27.865,27.25,27.4,3745600,23.665558
"2002-04-19",27.405001,27.625,26.950001,27.5,2938200,23.751921
"2002-04-22",27.625,27.780001,27.1,27.225,2460000,23.514412
"2002-04-23",27.225,28.035,26.945,27.799999,3800400,24.01103
"2002-04-24",27.375,27.620001,26.719999,26.725,4516600,23.082561
"2002-04-25",26.725,27.344999,26.514999,26.709999,6879200,23.069599
"2002-04-26",26.875,26.91,26.34,26.709999,2521600,23.069599
"2002-04-29",26.715,26.975,26.35,26.68,1948800,23.043686
"2002-04-30",26.9,27.115,26.615,26.91,2775400,23.24234
"2002-05-01",26.594999,27.035,26.504999,26.885,2431800,23.220755
"2002-05-02",26.635,27.040001,26.424999,26.690001,3482200,23.052319
"2002-05-03",26.9,27.174999,26.6,26.865,2996600,23.203478
"2002-05-06",26.424999,26.43,25.825001,25.870001,3067400,22.344093
"2002-05-07",25.924999,26.125,25.605,25.92,3077600,22.387262
"2002-05-08",26.27,26.514999,26.15,26.360001,3189200,22.7673
"2002-05-09",26.325001,26.450001,26.030001,26.094999,2819200,22.538416
"2002-05-10",26.219999,26.775,26.17,26.5,3593400,22.888216
"2002-05-13",26.495001,27.09,26.235001,26.985001,2120000,23.307116
"2002-05-14",27.325001,27.450001,27.02,27.129999,2393800,23.432348
"2002-05-15",26.700001,26.879999,26.290001,26.4,3376000,22.801851
"2002-05-16",26.475,26.799999,26.205,26.58,2612800,22.957315
"2002-05-17",26.475,26.5,25.775,26.395,3138800,22.797527
"2002-05-20",26.16,26.504999,26.049999,26.379999,2080000,22.784569
"2002-05-21",26.385,26.795,26.200001,26.360001,2500400,22.7673
"2002-05-22",26.25,26.540001,26.049999,26.434999,2520000,22.832079
"2002-05-23",26.545,26.59,26.125,26.365,2899000,22.771622
"2002-05-24",26.305,26.33,25.9,26.08,1772400,22.525461
"2002-05-28",26.1,26.200001,25.754999,25.860001,1545600,22.335445
"2002-05-29",25.6,25.665001,25.25,25.475,3260000,22.002924
"2002-05-30",25.325001,25.665001,24.905001,25.26,3312200,21.817223
"2002-05-31",25.549999,26.094999,25.225,25.375,3896200,21.916552
"2002-06-03",25.475,25.525,24.865,24.875,2665800,21.484694
"2002-06-04",25,25.16,24.629999,24.940001,2706800,21.540833
"2002-06-05",24.889999,24.895,24.5,24.809999,2271800,21.428553
"2002-06-06",25.059999,25.225,24.105,24.254999,4313200,20.949202
"2002-06-07",24.254999,24.584999,24.09,24.445,2363000,21.113306
"2002-06-10",24.5,24.5,23.775,23.965,2653400,20.730534
"2002-06-11",23.825001,24.1,23.190001,23.465,3317800,20.298002
"2002-06-12",23.594999,23.9,23.225,23.43,3369400,20.267733
"2002-06-13",23.375,24.379999,23.125,24,4517000,20.760796
"2002-06-14",23.9,24.610001,23.549999,24.584999,3949800,21.266834
"2002-06-17",25.125,25.275,24.860001,24.969999,3892200,21.599884
"2002-06-18",25.049999,25.225,24.9,25.15,3163800,21.755581
"2002-06-19",25.075001,25.200001,24.575001,24.65,3577400,21.323074
"2002-06-20",24.85,25.125,24.469999,24.540001,2918200,21.227911
"2002-06-21",24.299999,24.715,23.905001,24.15,3337000,20.890564
"2002-06-24",24.155001,24.540001,24.059999,24.475,2478400,21.171682
"2002-06-25",25.1,25.15,24.635,24.65,2817800,21.323074
"2002-06-26",24.655001,24.655001,24.065001,24.465,3118200,21.163036
"2002-06-27",24.4,24.52,24.25,24.475,3170000,21.171682
"2002-06-28",24.5,24.75,24.42,24.65,3207600,21.323074
"2002-07-01",24.65,24.68,24.25,24.440001,1727200,21.141417
"2002-07-02",24.440001,24.620001,23.76,23.795,2381200,20.583477
"2002-07-03",23.75,24.145,23.620001,23.9,3069000,20.674294
"2002-07-05",23.975,24.674999,23.924999,24.610001,2176800,21.288469
"2002-07-08",24.4,24.440001,23.695,23.895,2734000,20.669977
"2002-07-09",23.825001,23.969999,23.424999,23.58,2515400,20.397491
"2002-07-10",24,24.004999,23.174999,23.275,4113600,20.133654
"2002-07-11",22.924999,23.209999,22.620001,22.719999,4208800,19.653557
"2002-07-12",22.969999,22.98,21.875,22.34,3136600,19.32485
"2002-07-15",22.465,22.5,21.445,22.1,3617400,19.117241
"2002-07-16",21.950001,22.32,21.475,21.84,3934000,18.892326
"2002-07-17",22.700001,22.775,21.73,22.094999,3597800,19.112919
"2002-07-18",22,22.379999,21.799999,21.805,2044200,18.862057
"2002-07-19",21.629999,21.895,20.715,20.780001,2877800,17.975388
"2002-07-22",20.549999,20.950001,19.5,19.645,4933200,16.993578
"2002-07-23",19.275,19.940001,18.844999,19,4930600,16.435635
"2002-07-24",18.889999,20.094999,18.385,19.924999,6867200,17.235788
"2002-07-25",19.924999,20.305,19.41,20.030001,6655200,17.326616
"2002-07-26",19.975,20.299999,19.75,20.299999,3602400,17.560175
"2002-07-29",20.700001,21.725,20.535,21.655001,4428400,18.732298
"2002-07-30",21.655001,21.844999,21.209999,21.43,4710800,18.537668
"2002-07-31",21.43,21.775,21.1,21.75,3235000,18.814476
"2002-08-01",21.674999,21.75,20.879999,20.950001,3241200,18.122452
"2002-08-02",20.625,21.200001,20.25,20.620001,3295600,17.836992
"2002-08-05",20.530001,20.785,19.559999,19.565001,3112800,16.924374
"2002-08-06",19.799999,20.559999,19.75,20.01,4287000,17.309317
"2002-08-07",20.375,20.450001,19.9,20.42,2686200,17.663982
"2002-08-08",20.375,20.655001,20.245001,20.575001,5460000,17.798061
"2002-08-09",20.375,21,20.075001,20.945,2884600,18.118126
"2002-08-12",20.575001,21.084999,20.25,20.91,2845000,18.087843
