"","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"2001-06-26",7.845076,7.925952,7.800144,7.852264,6896000,5.200153
"2001-06-27",7.852264,7.863048,7.755212,7.800144,4014900,5.165637
"2001-06-28",7.674335,8.037383,7.674335,7.890007,4127900,5.225149
"2001-06-29",7.934939,7.934939,7.854062,7.890007,5054300,5.225149
"2001-07-02",7.891805,7.925952,7.854062,7.884615,1931800,5.221578
"2001-07-03",7.839684,7.88821,7.800144,7.86844,939700,5.210865
"2001-07-05",7.823508,7.940331,7.823508,7.906183,1693600,5.23586
"2001-07-06",7.854062,7.854062,7.643782,7.71028,2750800,5.106125
"2001-07-09",7.71028,7.854062,7.71028,7.843278,1431000,5.194202
"2001-07-10",7.746226,7.88821,7.712078,7.728253,2888800,5.118029
"2001-07-11",7.719267,7.818117,7.654565,7.686916,1817200,5.090652
"2001-07-12",7.659957,7.721064,7.570094,7.63839,5996800,5.058515
"2001-07-13",7.647376,7.881021,7.624012,7.866642,3561500,5.209677
"2001-07-16",7.890007,8.213515,7.748023,8.130841,3820200,5.384641
"2001-07-17",8.087707,8.130841,7.800144,7.983465,3696700,5.287041
"2001-07-18",7.983465,7.99964,7.854062,7.893602,2032500,5.227529
"2001-07-19",7.898993,8.01941,7.879223,7.90798,1998500,5.237051
"2001-07-20",7.90798,8.159597,7.90798,8.087707,4777200,5.356073
"2001-07-23",8.10568,8.258447,8.10568,8.130841,3064000,5.384641
"2001-07-24",8.087707,8.1578,8.069734,8.096693,1707000,5.362028
"2001-07-25",8.042775,8.132638,7.945723,8.116463,4238000,5.375121
"2001-07-26",8.087707,8.087707,7.925952,8.033789,2578300,5.320367
"2001-07-27",7.665349,7.882818,7.431704,7.818117,14617100,5.177541
"2001-07-30",7.819914,8.204529,7.728253,8.164989,5471000,5.407256
"2001-07-31",8.120057,8.222502,7.934939,8.222502,3909800,5.445344
"2001-08-01",8.096693,8.263839,7.997843,8.220704,5706900,5.444151
"2001-08-02",8.150611,8.240475,8.087707,8.168584,2434200,5.409636
"2001-08-03",8.166786,8.173976,7.979871,8.10568,2562700,5.367976
"2001-08-06",8.060748,8.075126,7.881021,7.979871,2319600,5.28466
"2001-08-07",7.934939,7.940331,7.744429,7.798347,4373800,5.164446
"2001-08-08",7.791157,7.952911,7.762401,7.818117,3020600,5.177541
"2001-08-09",7.80913,7.909777,7.764198,7.881021,2112000,5.219198
"2001-08-10",7.881021,7.925952,7.755212,7.836089,1588500,5.189441
"2001-08-13",7.898993,7.898993,7.703091,7.798347,2040300,5.164446
"2001-08-14",7.782171,7.836089,7.746226,7.836089,1797100,5.189441
"2001-08-15",7.827103,7.877426,7.737239,7.818117,1912300,5.177541
"2001-08-16",7.719267,7.904386,7.719267,7.879223,2698500,5.218007
"2001-08-17",7.854062,8.024802,7.735442,7.915169,2053100,5.241811
"2001-08-20",7.915169,8.015816,7.893602,7.994249,1132800,5.294181
"2001-08-21",7.997843,8.024802,7.943925,7.958303,2485400,5.270378
"2001-08-22",7.997843,8.033789,7.92775,7.961898,2798600,5.272757
"2001-08-23",7.954709,8.060748,7.952911,7.992452,2830400,5.292994
"2001-08-24",7.997843,8.023005,7.92775,7.98706,2356900,5.289422
"2001-08-27",7.988857,7.988857,7.90798,7.925952,2433600,5.248953
"2001-08-28",7.934939,7.958303,7.881021,7.897196,2358500,5.229908
"2001-08-29",7.90798,7.938533,7.904386,7.909777,3314400,5.238241
"2001-08-30",7.909777,7.988857,7.898993,7.943925,4963000,5.260856
"2001-08-31",7.940331,7.970884,7.59166,7.659957,8378200,5.072799
"2001-09-04",7.645579,7.812725,7.530553,7.557513,6723500,5.004954
"2001-09-05",7.584472,7.593458,7.462257,7.53954,5109400,4.993054
"2001-09-06",7.512581,7.548526,7.284328,7.327462,2692900,4.852602
"2001-09-07",7.225018,7.359813,7.219626,7.314881,5102100,4.844272
"2001-09-10",7.278936,7.476635,7.278936,7.345435,3802900,4.864507
"2001-09-17",7.345435,7.345435,6.793674,7.066858,5856600,4.680019
"2001-09-18",7.066858,7.296909,6.982387,7.126168,3902500,4.719297
"2001-09-19",7.126168,7.320273,6.874551,6.99317,3412900,4.631219
"2001-09-20",6.964414,7.296909,6.80266,7.088426,5118800,4.694302
"2001-09-21",6.874551,7.135155,6.748742,6.928469,5972300,4.58837
"2001-09-24",6.982387,7.07225,6.946441,7.034508,4933500,4.658594
"2001-09-25",7.081236,7.180086,6.978792,7.050683,2798100,4.669308
"2001-09-26",7.095614,7.149533,7.03271,7.038102,1176700,4.660976
"2001-09-27",7.009346,7.099209,6.976995,7.047089,1822200,4.666925
"2001-09-28",7.018332,7.118979,6.987779,7.048886,3610400,4.668116
"2001-10-01",6.919482,6.94105,6.80266,6.851186,7163000,4.53719
"2001-10-02",6.851186,7.041697,6.757728,7.003954,5734200,4.638361
"2001-10-03",7.003954,7.588066,6.899713,7.476635,7117400,4.951393
"2001-10-04",7.467649,7.728253,7.413731,7.561107,4116800,5.007336
"2001-10-05",7.597053,7.692307,7.476635,7.597053,2268400,5.03114
"2001-10-08",7.557513,7.63839,7.386772,7.5,2183300,4.966866
"2001-10-09",7.501797,7.541337,7.458663,7.516175,1539500,4.977579
"2001-10-10",7.521567,7.659957,7.507189,7.59885,2641200,5.032331
"2001-10-11",7.773185,8.067937,7.773185,7.972682,8101700,5.2799
"2001-10-12",8.017613,8.093099,7.776779,8.024802,4450000,5.314418
"2001-10-15",8.060748,8.087707,7.916966,8.087707,4934100,5.356073
"2001-10-16",8.240475,8.537024,8.213515,8.357297,7276000,5.534613
"2001-10-17",8.402228,8.628684,8.402228,8.554996,7831800,5.665535
"2001-10-18",8.554996,8.725737,8.483106,8.720345,5409800,5.77504
"2001-10-19",8.626887,9.022286,8.590941,8.986341,10026800,5.951192
"2001-10-22",8.909059,8.986341,8.864126,8.932423,10042400,5.915486
"2001-10-23",8.932423,8.932423,8.443565,8.447161,10518700,5.594121
"2001-10-24",8.447161,8.71675,8.382459,8.580158,5304100,5.682199
"2001-10-25",8.580158,8.770669,8.465133,8.740115,3498600,5.788132
"2001-10-26",8.738317,8.91445,8.661036,8.89468,5872200,5.890491
"2001-10-29",8.912653,8.991733,8.838964,8.971963,6631100,5.941673
"2001-10-30",8.971963,8.977354,8.790439,8.941409,4936300,5.921439
"2001-10-31",8.941409,9.12473,8.939611,9.09238,9050900,6.021417
"2001-11-01",9.09238,9.228972,8.932423,9.20381,6000700,6.095212
"2001-11-02",9.193027,9.291877,9.112149,9.182243,5876600,6.080931
"2001-11-05",9.166067,9.363767,9.094177,9.214594,4134600,6.102355
"2001-11-06",9.219986,9.417686,9.130122,9.417686,3808000,6.236854
"2001-11-07",9.148095,9.270309,8.921639,9.094177,7021200,6.022608
"2001-11-08",9.094177,9.234364,8.986341,9.173257,5383100,6.074978
"2001-11-09",9.130122,9.202013,9.060029,9.149892,2380200,6.059506
"2001-11-12",9.130122,9.16427,8.991733,9.133717,2239500,6.048792
"2001-11-13",9.133717,9.246944,9.130122,9.207405,3853600,6.097595
"2001-11-14",9.228972,9.252337,9.112149,9.180446,3062900,6.07974
"2001-11-15",9.180446,9.210999,9.088785,9.166067,3964300,6.070217
"2001-11-16",9.210999,9.210999,9.067218,9.069016,2764700,6.005945
"2001-11-19",9.112149,9.112149,8.788641,8.876707,4141200,5.878588
"2001-11-20",8.761683,8.851545,8.707765,8.786844,4082300,5.819077
"2001-11-21",8.662832,8.732926,8.628684,8.69698,2143200,5.759565
"2001-11-23",8.734723,8.8156,8.673616,8.777858,992000,5.813124
"2001-11-26",8.806614,8.923436,8.781452,8.838964,2409700,5.853595
"2001-11-27",8.797627,8.912653,8.71675,8.754493,3680000,5.797654
"2001-11-28",8.752696,8.806614,8.662832,8.680805,2802000,5.748856
"2001-11-29",8.680805,8.734723,8.603522,8.653846,2789200,5.731001
"2001-11-30",8.64486,8.671819,8.465133,8.528037,4908500,5.647682
"2001-12-03",8.537024,8.689792,8.483106,8.623293,3421300,5.710767
"2001-12-04",8.617901,8.946801,8.610712,8.883897,2692400,5.883351
"2001-12-05",8.932423,9.018692,8.80302,8.912653,6857000,5.902392
"2001-12-06",8.950396,8.995327,8.844357,8.968369,3558100,5.939292
"2001-12-07",8.959382,8.959382,8.71675,8.862329,2399700,5.869068
"2001-12-10",8.864126,9.03307,8.831776,8.923436,2139300,5.909535
"2001-12-11",8.925234,9.067218,8.842559,8.986341,2537700,5.951192
"2001-12-12",9.097772,9.210999,9.018692,9.085191,5946200,6.016655
"2001-12-13",9.085191,9.193027,8.948598,9.094177,3005600,6.022608
"2001-12-14",9.112149,9.327822,9.112149,9.304458,6319500,6.161866
"2001-12-17",9.309849,9.581237,9.309849,9.5399,4878500,6.317788
"2001-12-18",9.525521,9.579439,9.399713,9.448238,11208600,6.257087
"2001-12-19",9.450036,9.489575,9.202013,9.250539,4511800,6.126161
"2001-12-20",9.28289,9.417686,9.166067,9.202013,3810700,6.094023
"2001-12-21",9.264917,9.264917,9.056435,9.110353,5195600,6.033319
"2001-12-24",9.139109,9.157082,9.031273,9.112149,1150600,6.034509
"2001-12-26",9.112149,9.133717,8.936017,8.989935,3695600,5.953575
"2001-12-27",8.989935,9.022286,8.817397,8.909059,5524400,5.900017
"2001-12-28",8.932423,8.932423,8.806614,8.849749,5482700,5.860736
"2001-12-31",8.851545,8.930626,8.616103,8.842559,5981300,5.855975
"2002-01-02",8.896478,8.932423,8.599928,8.62509,6378500,5.711956
"2002-01-03",8.634076,8.806614,8.630482,8.806614,5461000,5.832173
"2002-01-04",8.770669,9.148095,8.770669,9.148095,8121200,6.058317
"2002-01-07",9.268512,9.390726,9.205607,9.318835,8309800,6.171387
"2002-01-08",9.435658,9.525521,9.435658,9.498562,8023200,6.290413
"2002-01-09",9.507548,9.588426,9.482387,9.507548,6147600,6.296363
"2002-01-10",9.498562,9.626168,9.489575,9.588426,4677600,6.349924
"2002-01-11",9.597412,9.65133,9.485981,9.545291,2794700,6.321357
"2002-01-14",9.525521,9.534508,9.426671,9.478792,2925500,6.27732
"2002-01-15",9.570453,9.606399,9.482387,9.579439,3439600,6.343974
"2002-01-16",9.561466,9.804098,9.529116,9.536304,4944100,6.315409
"2002-01-17",9.462617,9.649532,9.462617,9.536304,3987100,6.315409
"2002-01-18",9.529116,9.61179,9.419482,9.556075,4063300,6.328499
"2002-01-22",9.543494,9.543494,9.291877,9.44105,4616400,6.252326
"2002-01-23",9.476995,9.775341,9.45363,9.658519,5077700,6.396345
"2002-01-24",9.525521,9.633357,9.457225,9.521927,3450200,6.305888
"2002-01-25",9.390726,9.417686,9.255931,9.354781,2612200,6.195192
"2002-01-28",9.354781,9.543494,9.336808,9.536304,2709100,6.315409
"2002-01-29",9.507548,9.615385,9.417686,9.588426,4563000,6.349924
"2002-01-30",9.615385,9.82207,9.588426,9.759166,7479600,6.462995
"2002-01-31",9.875989,10.055716,9.716032,10.028756,7616500,6.641533
"2002-02-01",9.956865,9.974838,9.84903,9.919123,2846500,6.568928
"2002-02-04",9.902947,10.017973,9.877786,9.915528,2684000,6.566547
"2002-02-05",9.92092,10.073688,9.92092,10.041337,3761200,6.649863
"2002-02-06",10.073688,10.100647,9.818476,9.88138,4429500,6.543933
"2002-02-07",9.82207,9.899353,9.750179,9.795112,2782500,6.486801
"2002-02-08",9.750179,9.795112,9.568656,9.795112,2774700,6.486801
"2002-02-11",9.795112,9.841841,9.61179,9.760963,2643400,6.464187
"2002-02-12",9.884974,9.922717,9.525521,9.645938,5035900,6.388013
"2002-02-13",9.858016,9.978433,9.786125,9.978433,5987900,6.608208
"2002-02-14",9.974838,10.082674,9.928109,10.066499,4250300,6.666527
"2002-02-15",10.125809,10.203092,9.935298,9.98023,3652200,6.609396
"2002-02-19",9.98023,10.11862,9.947879,10.028756,4594100,6.641533
"2002-02-20",10.037743,10.084472,9.929907,10.055716,4667000,6.659388
"2002-02-21",10.055716,10.116822,9.884974,9.893961,2859800,6.552264
"2002-02-22",9.84903,10.185119,9.84903,10.174335,4845100,6.737943
"2002-02-25",10.271387,10.560748,10.246225,10.4601,6726800,6.92719
"2002-02-26",10.424155,10.452911,10.318116,10.406182,3957600,6.891483
"2002-02-27",10.415169,10.506829,10.350468,10.490654,4228000,6.947424
"2002-02-28",10.514019,10.774623,10.514019,10.627247,5336900,7.037885
"2002-03-01",10.603882,10.762042,10.582314,10.630841,5562800,7.040266
"2002-03-04",10.693746,10.83573,10.6578,10.747663,4344300,7.117627
"2002-03-05",10.747663,10.799785,10.636233,10.670381,2695700,7.066446
"2002-03-06",10.675773,10.801581,10.614666,10.767433,3492500,7.130721
"2002-03-07",10.684759,10.75665,10.630841,10.690151,3311100,7.079541
"2002-03-08",10.780014,10.864486,10.337887,10.451115,7799000,6.921241
"2002-03-11",10.433142,10.433142,10.244429,10.336089,5631800,6.845066
"2002-03-12",10.136592,10.235442,9.983825,9.992811,15316000,6.617729
"2002-03-13",10.064702,10.420561,10.012581,10.168943,9131600,6.734371
"2002-03-14",10.323508,10.422358,10.154565,10.334291,4586900,6.843873
"2002-03-15",10.298347,10.514019,10.298347,10.512221,4479500,6.961709
"2002-03-18",10.424155,10.514019,10.38821,10.469087,4176300,6.933143
"2002-03-19",10.48706,10.549964,10.46729,10.505033,2680700,6.956946
"2002-03-20",10.4601,10.6578,10.370237,10.598491,3879200,7.018842
"2002-03-21",10.639828,10.67757,10.361251,10.451115,2512700,6.921241
"2002-03-22",10.406182,10.584112,10.336089,10.377426,3365100,6.872437
"2002-03-25",10.433142,10.469087,10.316319,10.384615,3473000,6.877202
"2002-03-26",10.343278,10.625449,10.343278,10.582314,3024000,7.008127
"2002-03-27",10.58591,10.781812,10.540977,10.738677,2968300,7.111676
"2002-03-28",10.729691,10.729691,10.549964,10.564342,5388700,6.996222
"2002-04-01",10.566139,10.566139,10.231848,10.449317,3948200,6.920052
"2002-04-02",10.456506,10.643422,10.433142,10.564342,2324000,6.996222
"2002-04-03",10.567937,10.567937,10.363049,10.461898,4448400,6.92838
"2002-04-04",10.416966,10.531991,10.34867,10.514019,4988600,6.962898
"2002-04-05",10.540977,10.647017,10.505033,10.630841,2775300,7.040266
"2002-04-08",10.469087,10.81596,10.451115,10.783609,3728400,7.141433
"2002-04-09",10.846514,11.062185,10.846514,10.9867,7036200,7.275929
"2002-04-10",10.999281,11.286844,10.999281,11.195184,5532200,7.414001
"2002-04-11",11.232926,11.409059,11.056793,11.10532,3982700,7.354483
"2002-04-12",11.134076,11.317397,11.089145,11.204169,3526400,7.41995
"2002-04-15",11.143063,11.214953,11.035227,11.071172,2976100,7.331871
"2002-04-16",11.116103,11.205967,10.984903,11.008267,2382500,7.290214
"2002-04-17",10.999281,11.017254,10.693746,10.760244,3980400,7.12596
"2002-04-18",10.778217,10.963336,10.751258,10.939971,3874200,7.244983
"2002-04-19",10.963336,11.060389,10.893242,11.051402,3298300,7.318775
"2002-04-22",11.143063,11.349749,11.116103,11.250898,5029200,7.450895
"2002-04-23",11.19698,11.37491,11.152049,11.304816,2363000,7.486601
"2002-04-24",11.340762,11.443207,11.326384,11.389288,3390700,7.542549
"2002-04-25",11.39468,11.489935,11.286844,11.418045,2671800,7.561587
"2002-04-26",11.418045,11.430626,11.058591,11.071172,3301100,7.331871
"2002-04-29",11.076564,11.180805,10.979511,11.011862,3336700,7.292592
"2002-04-30",11.116103,11.439611,11.107118,11.333573,6428600,7.505649
"2002-05-01",11.062185,11.187994,10.96693,11.096334,6334600,7.348535
"2002-05-02",11.08555,11.356937,11.054996,11.338964,5500500,7.509216
"2002-05-03",11.286844,11.45399,11.231129,11.294033,4122300,7.479459
"2002-05-06",11.295831,11.358735,11.22394,11.313803,4686000,7.492552
"2002-05-07",11.340762,11.412653,11.270669,11.378505,5110500,7.535401
"2002-05-08",11.502516,11.516894,11.310208,11.443207,7641000,7.578249
"2002-05-09",11.373113,11.522286,11.373113,11.441409,3772900,7.577062
"2002-05-10",11.340762,11.480949,11.333573,11.360532,4485100,7.5235
"2002-05-13",11.360532,11.495327,11.322789,11.457584,4220200,7.587772
"2002-05-14",11.497125,11.574407,11.367721,11.529475,4285300,7.635383
"2002-05-15",11.484544,11.82243,11.484544,11.66427,7693300,7.724648
"2002-05-16",11.691229,11.737958,11.583393,11.612149,4263100,7.690132
"2002-05-17",11.619339,11.768512,11.601366,11.691229,3952100,7.742503
"2002-05-20",11.66427,11.76312,11.595974,11.74335,2639500,7.777021
"2002-05-21",11.736161,11.745148,11.669662,11.671459,4055500,7.729413
"2002-05-22",11.682243,11.727175,11.502516,11.588785,3442400,7.674662
"2002-05-23",11.588785,11.700215,11.529475,11.597772,5738700,7.680613
"2002-05-24",11.601366,11.628325,11.412653,11.452192,4052200,7.584199
"2002-05-28",11.502516,11.570812,11.410855,11.410855,2808700,7.55683
"2002-05-29",11.412653,11.626528,11.412653,11.561826,3681100,7.656808
"2002-05-30",11.567218,11.612149,11.383897,11.430626,4071700,7.569922
"2002-05-31",11.277858,11.502516,11.232926,11.484544,5404300,7.605627
"2002-06-03",11.511502,11.579799,11.400072,11.401869,3976500,7.550876
"2002-06-04",11.340762,11.527678,11.252696,11.297627,3387300,7.481841
"2002-06-05",11.272466,11.673257,11.268871,11.667865,6232200,7.727028
"2002-06-06",11.66427,11.817039,11.635514,11.710999,4781100,7.755599
"2002-06-07",11.710999,11.86197,11.705607,11.727175,3364500,7.766308
"2002-06-10",11.700215,11.887132,11.682243,11.790079,5483300,7.80797
"2002-06-11",11.808052,11.852983,11.556435,11.610353,5720900,7.688944
"2002-06-12",11.628325,11.673257,11.520489,11.579799,4354900,7.668713
"2002-06-13",11.59238,11.610353,11.502516,11.502516,2662900,7.617531
"2002-06-14",11.466571,11.484544,11.161036,11.263479,5706900,7.459224
"2002-06-17",11.304816,11.59238,11.286844,11.522286,4774400,7.630621
"2002-06-18",11.556435,11.714594,11.506111,11.682243,3112500,7.736552
"2002-06-19",11.682243,11.790079,11.556435,11.66427,4219400,7.724648
"2002-06-20",11.826024,11.923077,11.696621,11.82243,4749900,7.829392
"2002-06-21",11.574407,11.908699,11.574407,11.667865,6236400,7.727028
"2002-06-24",11.671459,11.718188,11.322789,11.466571,5380600,7.593725
"2002-06-25",11.495327,11.516894,11.00647,11.020848,3062100,7.298543
"2002-06-26",11.020848,11.135874,10.744069,10.963336,6953000,7.260457
"2002-06-27",11.089145,11.179008,10.898634,11.081955,4047200,7.339014
"2002-06-28",11.081955,11.081955,10.514019,10.514019,8395200,6.962898
"2002-07-01",10.639828,10.77642,10.305535,10.506829,6977200,6.958134
"2002-07-02",10.452911,10.600287,10.208483,10.398993,4548500,6.886721
"2002-07-03",10.384615,10.600287,9.942488,10.154565,4484800,6.724848
