"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"2001-04-06",8.521657,8.712336,8.411017,8.712336,1393800,1.815344
"2001-04-09",8.806498,9.206685,8.806498,9.143126,2528000,1.905106
"2001-04-10",9.298493,9.378531,8.921845,9.013654,1632500,1.878127
"2001-04-11",8.945386,8.945386,8.67467,8.757062,1047100,1.824663
"2001-04-12",8.757062,8.841808,8.498116,8.841808,933700,1.842321
"2001-04-16",8.827683,9.063088,8.72646,8.775894,738300,1.828587
"2001-04-17",8.804143,9.041903,8.792373,9.041903,792300,1.884014
"2001-04-18",9.13371,9.510358,9.129002,9.336158,1138500,1.945325
"2001-04-19",9.336158,9.336158,9.15725,9.310264,771400,1.939931
"2001-04-20",9.310264,9.322034,8.921845,9.051318,663100,1.885976
"2001-04-23",9.12194,9.322034,9.086629,9.223164,658000,1.921781
"2001-04-24",9.05838,9.169021,8.945386,9.154897,2043700,1.907558
"2001-04-25",9.119586,9.322034,8.968926,9.31968,907800,1.941893
"2001-04-26",9.298493,9.439736,9.263183,9.406779,983400,1.960041
"2001-04-27",9.427966,9.69162,9.427966,9.564501,1142300,1.992904
"2001-04-30",9.51742,9.557439,9.322034,9.555085,1663900,1.990944
"2001-05-01",9.555085,9.668079,9.498588,9.611582,906500,2.002715
"2001-05-02",9.613936,9.682203,9.510358,9.597458,902300,1.999772
"2001-05-03",9.566855,9.623352,9.472693,9.531545,780800,1.986038
"2001-05-04",9.59275,9.828155,9.533898,9.726931,1347900,2.026749
"2001-05-07",9.651601,9.741055,9.620998,9.639831,746800,2.008601
"2001-05-08",9.62806,9.630414,9.449153,9.475047,974500,1.974266
"2001-05-09",9.510358,9.512712,9.369115,9.423258,826700,1.963475
"2001-05-10",9.420904,9.745763,9.416196,9.637477,1140600,2.008111
"2001-05-11",9.646893,9.649247,9.427966,9.611582,622300,2.002715
"2001-05-14",9.580979,9.646893,9.522128,9.550377,538600,1.989963
"2001-05-15",9.545669,9.661017,9.486817,9.61629,538200,2.003696
"2001-05-16",9.416196,9.766949,9.416196,9.759887,1003800,2.033616
"2001-05-17",9.762241,9.790489,9.557439,9.639831,1089200,2.008601
"2001-05-18",9.639831,9.689265,9.580979,9.689265,868700,2.018901
"2001-05-21",9.689265,9.733993,9.663371,9.731638,637200,2.02773
"2001-05-22",9.733993,9.887006,9.731638,9.863465,1191600,2.0552
"2001-05-23",9.884651,9.884651,9.792844,9.879944,1388700,2.058632
"2001-05-24",9.884651,9.887006,9.745763,9.882298,745900,2.059123
"2001-05-25",9.887006,9.887006,9.745763,9.863465,821100,2.0552
"2001-05-29",9.863465,10.051789,9.863465,9.884651,1113400,2.059613
"2001-05-30",9.931732,9.978813,9.618644,9.661017,1097700,2.013016
"2001-05-31",9.661017,9.736346,9.60452,9.736346,833000,2.028712
"2001-06-01",9.769303,9.851695,9.670433,9.828155,535200,2.047842
"2001-06-04",9.839925,9.851695,9.670433,9.741055,521700,2.029693
"2001-06-05",9.764595,9.858757,9.649247,9.67985,954500,2.016939
"2001-06-06",9.618644,9.651601,9.486817,9.557439,1102400,2.039904
"2001-06-07",9.559793,9.59275,9.392655,9.463277,757800,2.019806
"2001-06-08",9.45386,9.456215,9.180791,9.357345,970200,1.997197
"2001-06-11",9.404426,9.404426,8.945386,9.020716,1574300,1.925347
"2001-06-12",9.063088,9.063088,8.709981,8.754708,1666900,1.868571
"2001-06-13",8.768832,8.987759,8.709981,8.874764,1884800,1.894196
"2001-06-14",8.914783,8.943032,8.571093,8.58757,1315600,1.832898
"2001-06-15",8.67467,8.768832,8.596987,8.679379,2391200,1.852493
"2001-06-18",8.780602,8.804143,8.677025,8.677025,3151600,1.85199
"2001-06-19",8.592278,8.780602,8.592278,8.709981,1369100,1.859024
"2001-06-20",8.709981,8.799435,8.700565,8.705273,1306300,1.858021
"2001-06-21",8.733521,8.827683,8.709981,8.721751,1963900,1.861537
"2001-06-22",8.757062,8.757062,8.545197,8.559322,787600,1.826869
"2001-06-25",8.559322,8.827683,8.474576,8.486346,1069200,1.811293
"2001-06-26",8.474576,8.535782,8.427495,8.462806,1387000,1.806269
"2001-06-27",8.474576,8.514595,8.335688,8.338041,633400,1.779639
"2001-06-28",8.356874,8.6629,8.345103,8.500471,637200,1.814308
"2001-06-29",8.451035,8.721751,8.403955,8.56403,1011400,1.827873
"2001-07-02",8.592278,8.693502,8.521657,8.566384,1175000,1.828377
"2001-07-03",8.533427,8.56403,8.420433,8.540489,375100,1.82285
"2001-07-05",8.540489,8.540489,8.321563,8.408663,953300,1.794713
"2001-07-06",8.392184,8.392184,8.173258,8.239171,980400,1.758537
"2001-07-09",8.215631,8.286252,8.16855,8.250941,757800,1.761049
"2001-07-10",8.253296,8.425141,8.201507,8.321563,865700,1.776122
"2001-07-11",8.345103,8.474576,8.333333,8.427495,895900,1.798732
"2001-07-12",8.474576,8.641714,8.451035,8.545197,1246800,1.823855
"2001-07-13",8.556968,8.65113,8.498116,8.59934,794800,1.83541
"2001-07-16",8.59934,8.806498,8.594633,8.801789,1042500,1.87862
"2001-07-17",8.792373,8.792373,8.698211,8.698211,622800,1.856513
"2001-07-18",8.815913,9.225518,8.804143,9.225518,1810100,1.96906
"2001-07-19",9.274953,9.380885,9.211393,9.241996,1493600,1.972576
"2001-07-20",9.24435,9.404426,9.190207,9.249059,731100,1.974084
"2001-07-23",9.399717,9.399717,9.201978,9.204331,2085800,1.964536
"2001-07-24",9.204331,9.227872,9.016007,9.020716,431600,1.925347
"2001-07-25",8.992467,9.084275,8.874764,9.07015,860600,1.935898
"2001-07-26",9.023069,9.023069,8.806498,8.879473,779900,1.8952
"2001-07-27",8.886535,8.907722,8.568738,8.594633,863200,1.834405
"2001-07-30",8.618174,8.72646,8.545197,8.639359,799500,1.843952
"2001-07-31",8.615819,8.757062,8.615819,8.618174,1030100,1.839429
"2001-08-01",8.568738,8.571093,8.411017,8.540489,1613800,1.82285
"2001-08-02",8.521657,8.709981,8.451035,8.688795,961300,1.854503
"2001-08-03",8.68644,8.691149,8.589925,8.669962,655900,1.850484
"2001-08-06",8.709981,8.709981,8.467514,8.469868,326200,1.807776
"2001-08-07",8.451035,8.479284,8.262712,8.380414,1547100,1.788683
"2001-08-08",8.333333,8.521657,8.333333,8.392184,898500,1.791196
"2001-08-09",8.368644,8.568738,8.368644,8.524012,654600,1.819333
"2001-08-10",8.498116,8.677025,8.418079,8.613465,576500,1.838425
"2001-08-13",8.604049,8.677025,8.514595,8.646421,652100,1.845459
"2001-08-14",8.622881,8.733521,8.613465,8.667608,323700,1.849981
"2001-08-15",8.68644,8.792373,8.648776,8.780602,466000,1.874099
"2001-08-16",8.780602,8.780602,8.514595,8.540489,959200,1.82285
"2001-08-17",8.493408,8.516949,8.333333,8.389831,825000,1.790693
"2001-08-20",8.474576,8.498116,8.345103,8.411017,1114700,1.795216
"2001-08-21",8.462806,8.571093,8.451035,8.495763,844900,1.813302
"2001-08-22",8.307439,8.307439,7.671845,8.039077,5305300,1.715829
"2001-08-23",7.980226,8.039077,7.886064,7.956686,2715300,1.698245
"2001-08-24",7.980226,8.086158,7.968456,8.039077,997400,1.715829
"2001-08-27",8.027307,8.060264,7.991996,8.022599,868700,1.712312
"2001-08-28",8.022599,8.048493,7.933145,7.935499,1776500,1.693723
"2001-08-29",7.956686,8.027307,7.947269,8.003766,1631700,1.708293
"2001-08-30",8.006121,8.006121,7.909605,7.930791,1157600,1.692718
"2001-08-31",7.930791,8.16855,7.909605,8.137947,1011400,1.736932
"2001-09-04",8.097928,8.321563,8.097928,8.107345,1093900,1.7304
"2001-09-05",8.013183,8.121469,7.853107,7.989642,952400,1.705279
"2001-09-06",7.876648,7.909605,7.662429,7.681262,1554300,1.688054
"2001-09-07",7.650659,7.70951,7.532957,7.532957,1977000,1.655461
"2001-09-10",7.532957,7.815443,7.509416,7.693032,1761200,1.69064
"2001-09-17",7.415254,7.441149,7.252825,7.252825,2564100,1.593899
"2001-09-18",7.297552,7.415254,7.274011,7.31403,1810900,1.60735
"2001-09-19",7.297552,7.429379,7.198682,7.372881,1319900,1.620283
"2001-09-20",7.365819,7.368173,7.00565,7.00565,1980400,1.539579
"2001-09-21",6.873823,6.991526,6.803202,6.932674,2136700,1.523542
"2001-09-24",6.932674,7.483521,6.932674,7.464689,2069200,1.640458
"2001-09-25",7.464689,7.474105,7.099812,7.179849,2074300,1.577862
"2001-09-26",7.120998,7.132768,6.807909,6.845574,2333000,1.5044
"2001-09-27",6.862053,6.862053,6.666667,6.767891,1362300,1.487328
"2001-09-28",6.850283,7.026836,6.661959,6.890301,1940100,1.51423
"2001-10-01",6.880885,6.942091,6.723164,6.734934,1340700,1.480086
"2001-10-02",6.73258,7.026836,6.636064,6.949152,1516500,1.527163
"2001-10-03",6.650188,7.521186,6.626648,7.467043,3334300,1.640977
"2001-10-04",7.419962,7.627119,7.403484,7.47646,1757000,1.643046
"2001-10-05",7.474105,7.474105,7.285781,7.375236,1867400,1.6208
"2001-10-08",7.375236,7.403484,7.274011,7.299906,746400,1.604246
"2001-10-09",7.321092,7.321092,7.2387,7.299906,516100,1.604246
"2001-10-10",7.283428,7.596516,7.2387,7.591808,1683500,1.668395
"2001-10-11",7.603578,8.024953,7.603578,7.911959,1544100,1.738752
"2001-10-12",7.886064,7.886064,7.537665,7.763653,1028400,1.70616
"2001-10-15",7.728343,7.754237,7.591808,7.744821,527200,1.702021
"2001-10-16",7.650659,7.857815,7.617702,7.838983,790600,1.722714
"2001-10-17",7.791902,7.987288,7.718926,7.801318,594700,1.714437
"2001-10-18",7.356403,7.803672,7.299906,7.711864,2692800,1.694779
"2001-10-19",7.688324,7.721281,7.572976,7.700094,1002100,1.692193
"2001-10-22",7.532957,7.754237,7.509416,7.725989,1569200,1.697883
"2001-10-23",7.667138,8.003766,7.662429,7.754237,1558200,1.704092
"2001-10-24",7.754237,7.815443,7.568267,7.601224,3330900,1.670464
"2001-10-25",7.544727,7.723635,7.485876,7.671845,1435400,1.685984
"2001-10-26",7.827213,8.229755,7.768362,8.229755,1306300,1.808592
"2001-10-29",8.229755,8.229755,7.923729,7.947269,1174600,1.746512
"2001-10-30",7.933145,7.933145,7.629473,7.653013,893400,1.681846
"2001-10-31",7.631827,7.874294,7.629473,7.820151,1293100,1.718576
"2001-11-01",7.820151,7.90725,7.678908,7.88371,1020800,1.732544
"2001-11-02",7.850753,8.19209,7.850753,8.170904,673300,1.795659
"2001-11-05",8.121469,8.356874,8.121469,8.333333,1015300,1.831354
"2001-11-06",8.323917,8.627589,8.293315,8.568738,924400,1.883088
"2001-11-07",8.498116,8.733521,8.427495,8.712336,1549700,1.914645
"2001-11-08",8.688795,8.860641,8.67467,8.695857,720000,1.911024
"2001-11-09",8.6629,8.688795,8.578155,8.677025,618500,1.906884
"2001-11-12",8.594633,8.596987,8.474576,8.573446,602400,1.884122
"2001-11-13",8.571093,8.827683,8.571093,8.818268,862300,1.937925
"2001-11-14",8.851224,9.204331,8.851224,9.169021,1590000,2.015007
"2001-11-15",9.180791,9.406779,9.107816,9.12194,1801200,2.004661
"2001-11-16",9.13371,9.13371,8.919492,8.968926,1131200,1.971033
"2001-11-19",9.016007,9.350283,9.016007,9.274953,1217500,2.038287
"2001-11-20",9.256121,9.256121,9.063088,9.081921,712000,1.995865
"2001-11-21",9.011299,9.025424,8.860641,8.968926,916700,1.971033
"2001-11-23",8.980697,9.178437,8.968926,9.143126,427800,2.009316
"2001-11-26",9.143126,9.164312,8.891243,9.164312,1093000,2.013973
"2001-11-27",9.086629,9.086629,8.874764,8.943032,818200,1.965343
"2001-11-28",8.921845,8.921845,8.707627,8.707627,897600,1.91361
"2001-11-29",8.707627,8.943032,8.641714,8.919492,824500,1.96017
"2001-11-30",8.919492,9.025424,8.903013,8.940678,827500,1.964826
"2001-12-03",8.940678,8.950094,8.790019,8.839454,753200,1.942581
"2001-12-04",8.839454,8.945386,8.839454,8.898305,1175800,1.955514
"2001-12-05",8.945386,9.187853,8.945386,9.14548,1065800,2.009834
"2001-12-06",9.14548,9.340866,9.098399,9.326742,1083200,2.104906
"2001-12-07",9.298493,9.300847,9.129002,9.13371,1134600,2.061342
"2001-12-10",9.086629,9.166667,9.020716,9.074859,1378500,2.04806
"2001-12-11",9.129002,9.251412,9.086629,9.143126,1410800,2.063467
"2001-12-12",9.150188,9.298493,9.12194,9.152542,757800,2.065591
"2001-12-13",9.117231,9.227872,8.990113,9.143126,888700,2.063467
"2001-12-14",9.14548,9.192561,8.928907,8.928907,948600,2.015121
"2001-12-17",8.987759,9.204331,8.964218,9.107816,1192800,2.055498
"2001-12-18",9.053673,9.411488,9.053673,9.357345,1103200,2.111813
"2001-12-19",9.359698,9.411488,9.241996,9.340866,1093000,2.108094
"2001-12-20",9.293785,9.378531,9.100753,9.225518,957900,2.082062
"2001-12-21",9.274953,9.404426,9.204331,9.310264,1441300,2.101187
"2001-12-24",9.33145,9.357345,9.20904,9.234934,204800,2.084187
"2001-12-26",9.251412,9.651601,9.251412,9.562147,1150400,2.158034
"2001-12-27",9.569209,9.613936,9.256121,9.286723,803700,2.095874
"2001-12-28",9.286723,9.289077,9.100753,9.100753,1152500,2.053903
"2001-12-31",9.154897,9.380885,9.105461,9.183145,738700,2.072498
"2002-01-02",9.239642,9.303202,9.216102,9.263183,810900,2.090562
"2002-01-03",9.251412,9.475047,9.227872,9.456215,995300,2.134126
"2002-01-04",9.479755,9.698682,9.479755,9.613936,556900,2.169722
"2002-01-07",9.639831,9.653955,9.566855,9.583333,461300,2.162814
"2002-01-08",9.500941,9.642184,9.498588,9.618644,616400,2.170784
"2002-01-09",9.665725,9.693974,9.336158,9.402072,1008900,2.121907
"2002-01-10",9.378531,9.475047,9.340866,9.44209,716200,2.130939
"2002-01-11",9.44209,9.486817,9.298493,9.298493,525900,2.098531
"2002-01-14",9.310264,9.533898,9.303202,9.467985,1249300,2.136783
"2002-01-15",9.475047,9.729284,9.45386,9.637477,1589200,2.175035
"2002-01-16",9.67985,9.719868,9.267891,9.274953,1414600,2.093218
"2002-01-17",9.277307,9.277307,9.180791,9.234934,1819800,2.084187
"2002-01-18",9.204331,9.380885,9.192561,9.286723,1811300,2.095874
"2002-01-22",9.298493,9.451507,9.227872,9.326742,1073000,2.104906
"2002-01-23",9.333804,9.533898,9.333804,9.477401,1115100,2.138908
"2002-01-24",9.486817,9.668079,9.486817,9.632769,995300,2.173972
"2002-01-25",9.632769,9.717514,9.510358,9.578626,952000,2.161752
"2002-01-28",9.519774,9.736346,9.510358,9.684558,885700,2.18566
"2002-01-29",9.701035,9.717514,9.404426,9.416196,963000,2.125095
"2002-01-30",9.322034,9.416196,9.234934,9.352636,897600,2.11075
"2002-01-31",9.369115,9.562147,9.298493,9.562147,1327500,2.158034
"2002-02-01",9.569209,9.580979,9.404426,9.460923,919700,2.135188
"2002-02-04",9.460923,9.585688,9.345574,9.427966,974100,2.127751
"2002-02-05",9.437383,9.606874,9.352636,9.425612,768000,2.12722
"2002-02-06",9.437383,9.510358,9.333804,9.435028,1024600,2.129345
"2002-02-07",9.482109,9.564501,9.33145,9.33145,969000,2.105969
"2002-02-08",9.333804,9.369115,9.256121,9.298493,1203500,2.098531
"2002-02-11",9.322034,9.693974,9.30791,9.661017,718800,2.180347
"2002-02-12",9.61629,9.698682,9.486817,9.522128,777400,2.149002
"2002-02-13",9.411488,9.67985,9.239642,9.625707,2559000,2.172378
"2002-02-14",9.649247,9.830508,9.550377,9.646893,997000,2.17716
"2002-02-15",9.649247,9.698682,9.555085,9.564501,900200,2.158564
"2002-02-19",9.52919,9.531545,9.416196,9.416196,1166900,2.125095
"2002-02-20",9.475047,9.557439,9.427966,9.54096,1436700,2.153252
"2002-02-21",9.564501,9.649247,9.526836,9.562147,902700,2.158034
"2002-02-22",9.571563,9.769303,9.526836,9.736346,1185600,2.197347
"2002-02-25",9.736346,9.851695,9.642184,9.781074,1015300,2.207442
"2002-02-26",9.698682,9.868174,9.630414,9.788136,1014400,2.209035
"2002-02-27",9.745763,9.934087,9.733993,9.931732,1056900,2.241444
"2002-02-28",9.929379,10.028249,9.863465,9.898776,991900,2.234006
"2002-03-01",9.863465,10.025894,9.851695,9.929379,1288000,2.240913
"2002-03-04",9.870527,10.122411,9.870527,10.122411,1285400,2.284476
"2002-03-05",10.169492,10.258945,9.945857,10.240113,1957100,2.31104
"2002-03-06",10.127119,10.357816,10.016479,10.336629,1490600,2.38881
"2002-03-07",10.277778,10.287194,10.120056,10.183616,750200,2.353448
"2002-03-08",10.183616,10.256592,9.983521,10.002354,1270600,2.311558
"2002-03-11",9.957627,10.122411,9.858757,10.047081,717900,2.321894
"2002-03-12",9.98823,10.204803,9.945857,10.169492,754000,2.350184
"2002-03-13",10.122411,10.322505,10.122411,10.310735,1223800,2.382825
"2002-03-14",10.310735,10.421374,10.277778,10.379002,999100,2.398601
"2002-03-15",10.451978,10.553202,10.388418,10.532015,1373000,2.433963
"2002-03-18",10.428437,10.484934,10.228343,10.447269,1001300,2.414379
"2002-03-19",10.416667,10.588512,10.355461,10.524953,770200,2.432332
"2002-03-20",10.437853,10.567326,10.437853,10.536723,563700,2.435052
"2002-03-21",10.456685,10.496704,10.190678,10.214218,871300,2.36052
"2002-03-22",10.167137,10.181262,10.044727,10.089454,666500,2.331687
"2002-03-25",10.089454,10.190678,10.049435,10.06356,380200,2.325702
"2002-03-26",10.051789,10.291903,10.051789,10.268362,737000,2.373034
"2002-03-27",10.251884,10.404897,10.167137,10.353107,885300,2.392618
"2002-03-28",10.350753,10.388418,10.157722,10.181262,637200,2.352904
"2002-04-01",10.09887,10.127119,9.903484,10.07533,744200,2.328422
"2002-04-02",10.047081,10.193032,9.915255,9.945857,1276100,2.298502
"2002-04-03",9.934087,10.044727,9.898776,9.952919,1607000,2.300133
"2002-04-04",9.922317,10.058851,9.910546,10.037664,1249800,2.319719
"2002-04-05",10.037664,10.202448,10.030602,10.131826,727300,2.34148
"2002-04-08",10.131826,10.334275,10.131826,10.301318,1525500,2.380649
"2002-04-09",10.209511,10.473164,10.197741,10.404897,1135100,2.404587
"2002-04-10",10.426083,10.475518,10.390772,10.47081,818600,2.419818
"2002-04-11",10.451978,10.473164,10.374293,10.397834,1591300,2.402954
"2002-04-12",10.397834,10.47081,10.357816,10.447269,849600,2.414379
"2002-04-15",10.400188,10.47081,10.303673,10.303673,777400,2.381193
"2002-04-16",10.30838,10.440207,10.287194,10.404897,1450300,2.404587
"2002-04-17",10.404897,10.40725,10.324859,10.374293,638900,2.397514
"2002-04-18",10.374293,10.379002,10.197741,10.306026,663100,2.381737
"2002-04-19",10.322505,10.346045,10.237759,10.327212,1702600,2.386633
"2002-04-22",10.357816,10.369586,10.216573,10.230697,544200,2.364328
"2002-04-23",10.204803,10.440207,10.164783,10.32015,1696200,2.385003
"2002-04-24",10.275424,10.473164,10.195386,10.235405,834300,2.365417
"2002-04-25",10.141243,10.414312,10.134181,10.381356,1947700,2.399147
"2002-04-26",10.381356,10.510829,10.336629,10.336629,2008900,2.38881
"2002-04-29",10.298965,10.374293,10.247175,10.261299,2230200,2.3714
"2002-04-30",10.263654,10.331921,10.181262,10.303673,3048800,2.381193
"2002-05-01",10.303673,10.40725,10.291903,10.357816,3186400,2.393705
"2002-05-02",10.37194,10.673258,10.369586,10.670904,2306700,2.466062
"2002-05-03",10.699153,10.741526,10.58145,10.590866,1548800,2.447565
"2002-05-06",10.593221,10.607345,10.517891,10.517891,1616400,2.430699
"2002-05-07",10.522599,10.682674,10.475518,10.649717,2808400,2.461164
"2002-05-08",10.616761,10.743879,10.534369,10.58145,2798200,2.445388
"2002-05-09",10.522599,10.614407,10.475518,10.506121,1168600,2.42798
"2002-05-10",10.510829,10.522599,10.317797,10.40725,2706800,2.405131
"2002-05-13",10.416667,10.437853,10.357816,10.388418,2375500,2.400778
"2002-05-14",10.357816,10.475518,10.357816,10.433145,3476600,2.411114
"2002-05-15",10.440207,10.527307,10.414312,10.414312,2607800,2.406762
"2002-05-16",10.440207,10.510829,10.411959,10.423729,1584900,2.408939
"2002-05-17",10.393126,10.586158,10.393126,10.449623,1477500,2.414922
"2002-05-20",10.451978,10.475518,10.360169,10.416667,1794400,2.407307
"2002-05-21",10.451978,10.487288,10.275424,10.353107,2952800,2.392618
"2002-05-22",10.360169,10.393126,10.0871,10.115349,1150800,2.337672
"2002-05-23",10.122411,10.29661,10.09887,10.155367,1512300,2.34692
"2002-05-24",10.18597,10.310735,10.169492,10.214218,1346200,2.36052
"2002-05-28",10.202448,10.202448,10.016479,10.120056,1161400,2.338759
"2002-05-29",10.028249,10.136535,9.995292,10.037664,635900,2.319719
"2002-05-30",10.037664,10.105932,9.927025,9.934087,1441800,2.295782
"2002-05-31",9.910546,10.06356,9.910546,10.004708,1600200,2.312104
"2002-06-03",10.016479,10.091808,9.870527,9.879944,1772300,2.283269
"2002-06-04",9.821093,9.821093,9.576271,9.67985,918400,2.237026
"2002-06-05",9.62806,9.978813,9.62806,9.952919,907800,2.300133
"2002-06-06",9.802259,9.931732,9.741055,9.856403,1153800,2.334112
"2002-06-07",9.762241,9.957627,9.755178,9.865819,1449800,2.336343
"2002-06-10",9.875236,9.917608,9.8258,9.854049,1213700,2.333555
"2002-06-11",9.851695,9.93644,9.67985,9.745763,1767200,2.307912
"2002-06-12",9.710452,9.811676,9.644539,9.710452,1394600,2.29955
"2002-06-13",9.580979,9.646893,9.54096,9.557439,848800,2.263314
"2002-06-14",9.557439,9.557439,9.366761,9.44209,1574700,2.235999
"2002-06-17",9.44209,9.635122,9.437383,9.618644,1559900,2.277808
"2002-06-18",9.632769,9.70339,9.564501,9.649247,1180100,2.285056
"2002-06-19",9.656309,9.733993,9.439736,9.486817,1324100,2.246591
"2002-06-20",9.451507,9.576271,9.404426,9.423258,1260800,2.231538
"2002-06-21",9.345574,9.402072,9.15725,9.213748,1656300,2.181924
"2002-06-24",9.216102,9.317326,9.086629,9.253766,1724700,2.191401
"2002-06-25",9.256121,9.336158,9.138418,9.138418,1820700,2.164086
"2002-06-26",9.15725,9.190207,8.992467,9.178437,1723800,2.173562
"2002-06-27",9.178437,9.256121,9.067797,9.183145,1146100,2.174677
"2002-06-28",9.185499,9.369115,9.185499,9.230226,2570000,2.185827
"2002-07-01",9.180791,9.239642,9.063088,9.07015,1124000,2.147919
"2002-07-02",9.077212,9.192561,9.016007,9.025424,1877200,2.137327
"2002-07-03",8.992467,9.060735,8.684087,8.702919,1438800,2.060953
"2002-07-05",8.709981,8.987759,8.707627,8.973635,722200,2.125062
"2002-07-08",8.973635,9.004237,8.877119,8.959511,997400,2.121717
"2002-07-09",8.921845,9.206685,8.775894,8.775894,1802400,2.078236
"2002-07-10",8.851224,8.959511,8.735876,8.764124,1282000,2.075449
"2002-07-11",8.768832,8.822975,8.528719,8.669962,1308400,2.05315
