"","FDX.Open","FDX.High","FDX.Low","FDX.Close","FDX.Volume","FDX.Adjusted"
"2015-03-09",172.850006,174.179993,172.639999,172.910004,1539100,166.066833
"2015-03-10",171.220001,172.059998,170,170,1478400,163.271957
"2015-03-11",170,172.330002,170,171.559998,1351800,164.770218
"2015-03-12",171.970001,173.630005,171.970001,173.580002,987900,166.710297
"2015-03-13",173.589996,174.809998,172.330002,173.320007,1150600,166.460587
"2015-03-16",174.210007,177.460007,174.210007,177.320007,1796700,170.302277
"2015-03-17",176.889999,178.600006,175.710007,175.710007,2721100,168.755997
"2015-03-18",172,174.139999,170.509995,173.300003,4244300,166.441376
"2015-03-19",173.589996,175.130005,172.5,173.850006,2095900,166.969604
"2015-03-20",174.100006,174.339996,171.880005,172.039993,2701600,165.231216
"2015-03-23",172.169998,172.279999,170.639999,170.639999,1754200,163.886627
"2015-03-24",170.289993,170.5,169.160004,169.160004,1237400,162.46521
"2015-03-25",169.740005,169.800003,165.350006,165.429993,1978400,158.882813
"2015-03-26",164.279999,166.630005,163.600006,165.490005,1752700,158.940491
"2015-03-27",165.050003,165.619995,164.509995,164.589996,917100,158.076065
"2015-03-30",165.050003,167.380005,164.979996,166.75,1529600,160.150589
"2015-03-31",166,166.470001,165,165.449997,1568200,158.902054
"2015-04-01",165.020004,166.5,164.279999,166.240005,1611200,159.660797
"2015-04-02",166.710007,166.809998,165.699997,166.220001,1642500,159.641586
"2015-04-06",165.369995,167.259995,165,166.669998,1270600,160.073761
"2015-04-07",172.75,173.839996,170.710007,171.160004,5488700,164.386078
"2015-04-08",171.080002,171.889999,169.309998,171.839996,3196100,165.039139
"2015-04-09",171.460007,173.449997,171.089996,172.919998,1944100,166.076401
"2015-04-10",173.309998,174.5,172.520004,174.369995,2235100,167.469025
"2015-04-13",173.639999,175.300003,173.009995,173.130005,1397700,166.278076
"2015-04-14",172.009995,173.130005,171.100006,171.5,1816200,164.712601
"2015-04-15",171.580002,172.360001,169.320007,169.520004,2058000,162.810974
"2015-04-16",169.570007,170.259995,168.679993,169.240005,1760400,162.542053
"2015-04-17",168.229996,168.580002,167.330002,168,1642400,161.351135
"2015-04-20",168.289993,170,168.289993,169.059998,1244000,162.369171
"2015-04-21",169.429993,170.449997,169.080002,169.910004,1086500,163.185532
