"","LH.Open","LH.High","LH.Low","LH.Close","LH.Volume","LH.Adjusted"
"2001-03-27",28.950001,29.875,27.375,29.424999,2126800,29.424999
"2001-03-28",29.174999,29.174999,28.125,28.75,2371600,28.75
"2001-03-29",28.75,29.987499,28.75,29.575001,1354800,29.575001
"2001-03-30",29.875,30.25,29.307501,30.0625,1462800,30.0625
"2001-04-02",29.8125,30.1625,29.362499,30.1625,894800,30.1625
"2001-04-03",30,31,28.225,28.6625,1596400,28.6625
"2001-04-04",28.6325,29.35,28.25,28.799999,1080000,28.799999
"2001-04-05",29.5,30.15,29.1,30.025,1322000,30.025
"2001-04-06",29.875,30.125,29.299999,29.612499,1166400,29.612499
"2001-04-09",30.1,30.475,29.875,30.049999,1204800,30.049999
"2001-04-10",30.075001,31.975,30.075001,31.602501,1425200,31.602501
"2001-04-11",33.125,33.205002,32.224998,32.700001,1556000,32.700001
"2001-04-12",32.625,32.9375,32.337502,32.900002,649600,32.900002
"2001-04-16",32.862499,33.75,32.525002,33.75,886000,33.75
"2001-04-17",33.5,34.5975,33.5,34.512501,812800,34.512501
"2001-04-18",34.75,35.075001,32.9375,33.549999,1409600,33.549999
"2001-04-19",33.625,33.924999,33.099998,33.5,623600,33.5
"2001-04-20",33.5,34.474998,32.927502,34.325001,1132800,34.325001
"2001-04-23",34.25,34.25,32.9375,33.252499,906000,33.252499
"2001-04-24",35.125,36.5,35.012501,36.357498,3086800,36.357498
"2001-04-25",36.25,37.779999,35.950001,36.25,2276400,36.25
"2001-04-26",36.375,36.75,35.400002,36.125,1674800,36.125
"2001-04-27",36.25,36.375,35.400002,35.974998,965200,35.974998
"2001-04-30",36.224998,36.75,35.25,35.25,2135600,35.25
"2001-05-01",35.25,36.299999,35,35.75,1716400,35.75
"2001-05-02",35.875,35.9375,34.924999,35.75,1419600,35.75
"2001-05-03",35.575001,35.625,34.150002,35.150002,1036000,35.150002
"2001-05-04",35,35.099998,34.200001,34.849998,1503600,34.849998
"2001-05-07",34.599998,34.887501,34.25,34.302502,1696000,34.302502
"2001-05-08",34.375,34.375,33.087502,33.395,1135600,33.395
"2001-05-09",33.375,34.040001,32.9375,33,3231200,33
"2001-05-10",33.25,33.5,31.645,31.825001,1490000,31.825001
"2001-05-11",31.825001,31.825001,30.875,31.1625,2360000,31.1625
"2001-05-14",31.25,31.525,30.625,31.375,1579600,31.375
"2001-05-15",31.5,31.8125,31.0625,31.4,1610400,31.4
"2001-05-16",31.4,33.5,31.252501,33.375,1430400,33.375
"2001-05-17",33.625,34.900002,33.25,34.8125,2116400,34.8125
"2001-05-18",34.700001,35.387501,34.252499,35.287498,2414400,35.287498
"2001-05-21",35.1875,35.345001,34,34.055,1076400,34.055
"2001-05-22",34.057499,35.0625,33.912498,34.950001,1012000,34.950001
"2001-05-23",34.849998,34.852501,34.0625,34.25,718000,34.25
"2001-05-24",34.125,34.650002,34,34.25,838400,34.25
"2001-05-25",34.5,34.5,33.450001,33.549999,750400,33.549999
"2001-05-29",33.125,33.717499,32.637501,33.630001,1268000,33.630001
"2001-05-30",33.474998,35.375,33.25,35.255001,2070800,35.255001
"2001-05-31",34.625,35.247501,34.224998,35.064999,6559600,35.064999
"2001-06-01",35.025002,37.5,35,37.087502,11565200,37.087502
"2001-06-04",37.087502,38.75,36.674999,38.75,3237200,38.75
"2001-06-05",38.75,40.349998,38.650002,39.787498,4784800,39.787498
"2001-06-06",39.787498,40.849998,39.474998,40.102501,2274000,40.102501
"2001-06-07",40.1325,40.674999,39.700001,40.602501,1754400,40.602501
"2001-06-08",40.575001,41.25,40.264999,40.994999,1657200,40.994999
"2001-06-11",40.950001,41.174999,39.700001,40.424999,1950000,40.424999
"2001-06-12",39.75,39.75,38.549999,39.099998,1452000,39.099998
"2001-06-13",39.224998,39.599998,38.294998,39.095001,927600,39.095001
"2001-06-14",39.220001,39.25,37.775002,38.23,988400,38.23
"2001-06-15",37.900002,40.174999,37.900002,39.549999,926600,39.549999
"2001-06-18",39.799999,40.450001,39.400002,39.400002,1024800,39.400002
"2001-06-19",39.945,40.049999,38.75,38.965,798400,38.965
"2001-06-20",38.650002,38.650002,38.005001,38.5,1758600,38.5
"2001-06-21",39,39.974998,38.75,39.5,1213600,39.5
"2001-06-22",39.5,39.650002,38.75,39.650002,887200,39.650002
"2001-06-25",39.525002,39.525002,37.75,37.75,878600,37.75
"2001-06-26",37.650002,37.75,36.799999,37.48,902600,37.48
"2001-06-27",37.48,38,36.650002,37.724998,1233800,37.724998
"2001-06-28",37.799999,39.5,37.799999,38.849998,1433200,38.849998
"2001-06-29",38.900002,39.150002,37.939999,38.450001,1785400,38.450001
"2001-07-02",38.349998,39.450001,38.25,38.689999,847800,38.689999
"2001-07-03",38.700001,40.145,38.305,39.474998,490800,39.474998
"2001-07-05",39.400002,39.790001,38.145,39.005001,532400,39.005001
"2001-07-06",39,39.125,38.005001,38.75,491600,38.75
"2001-07-09",38.625,39.724998,38.275002,39.450001,1009200,39.450001
"2001-07-10",39.490002,40.755001,39.490002,40.75,1251800,40.75
"2001-07-11",40.674999,40.875,39.125,39.285,1015600,39.285
"2001-07-12",39.349998,40.849998,38.900002,40.654999,922000,40.654999
"2001-07-13",40.625,42.494999,40.285,41.990002,1254400,41.990002
"2001-07-16",41.990002,42.599998,41.375,42.599998,915800,42.599998
"2001-07-17",42.599998,43.345001,41.799999,43.200001,668000,43.200001
"2001-07-18",43.450001,44,41.904999,42.389999,1588800,42.389999
"2001-07-19",42.389999,43.200001,42.325001,42.549999,507400,42.549999
"2001-07-20",42.599998,43.654999,42.599998,43.25,558800,43.25
"2001-07-23",43.5,43.700001,41.200001,42.57,1056400,42.57
"2001-07-24",44,44.099998,41.450001,42.810001,3129000,42.810001
"2001-07-25",43.5,43.974998,43.125,43.625,1325800,43.625
"2001-07-26",43.625,44.875,43.5,44.494999,1746400,44.494999
"2001-07-27",44.599998,45.445,44.099998,45.400002,1675600,45.400002
"2001-07-30",45.400002,45.674999,44.400002,45.099998,1093800,45.099998
"2001-07-31",45,45.580002,44.799999,44.98,1021600,44.98
"2001-08-01",45,45.099998,43.025002,43.174999,820800,43.174999
"2001-08-02",43.299999,43.299999,41.584999,42.450001,1146400,42.450001
"2001-08-03",41.799999,42.200001,40.900002,41.619999,915000,41.619999
"2001-08-06",41.549999,41.740002,39.625,39.75,836000,39.75
"2001-08-07",39.875,41,39.875,40.93,1083200,40.93
"2001-08-08",40.93,42.494999,40.575001,40.575001,884600,40.575001
"2001-08-09",40.75,41.5,40.025002,40.994999,486600,40.994999
"2001-08-10",41.119999,41.59,40.650002,41.060001,520400,41.060001
"2001-08-13",41,42.125,41,42,814200,42
"2001-08-14",41.98,42.349998,41,41.645,611000,41.645
"2001-08-15",41.77,41.849998,40.650002,40.744999,403200,40.744999
"2001-08-16",40.744999,40.849998,40.16,40.290001,610200,40.290001
"2001-08-17",39.75,41.150002,39.639999,40.825001,364200,40.825001
"2001-08-20",40.825001,40.825001,40,40,403600,40
"2001-08-21",40,41.450001,40,41.099998,824200,41.099998
"2001-08-22",41.099998,41.619999,41,41.5,881000,41.5
"2001-08-23",41.5,42.200001,41.474998,42.099998,875800,42.099998
"2001-08-24",42.150002,42.924999,42.139999,42.424999,573200,42.424999
"2001-08-27",42.349998,43.150002,42.16,43.150002,377600,43.150002
"2001-08-28",43.125,43.125,40.759998,41.474998,1422400,41.474998
"2001-08-29",41.599998,41.744999,39.950001,40.095001,1076000,40.095001
"2001-08-30",40.075001,40.599998,38.935001,39.950001,729200,39.950001
"2001-08-31",39.950001,39.950001,38.724998,38.950001,563400,38.950001
"2001-09-04",39,40.5,38.799999,40.299999,1127200,40.299999
"2001-09-05",39.025002,39.424999,37.375,37.375,5318600,37.375
"2001-09-06",37.380001,38.299999,37.150002,37.724998,4399000,37.724998
"2001-09-07",37.849998,38.5,37.41,37.599998,2993200,37.599998
"2001-09-10",37.625,37.895,37.005001,37.084999,1624000,37.084999
"2001-09-17",37,37,34.775002,35.450001,1502000,35.450001
"2001-09-18",35.400002,35.5,33.419998,33.450001,1755400,33.450001
"2001-09-19",34.400002,35.049999,34.349998,34.950001,3646800,34.950001
"2001-09-20",34.849998,36.125,34.5,35.75,1931400,35.75
"2001-09-21",35,35.75,33.875,34.650002,1502000,34.650002
"2001-09-24",34.525002,36.25,34.43,36.025002,1940400,36.025002
"2001-09-25",36.625,37.299999,36.450001,37.189999,2332200,37.189999
"2001-09-26",37.299999,38.950001,37.299999,38.485001,1641000,38.485001
"2001-09-27",38.490002,40.349998,38.25,40.035,2253400,40.035
"2001-09-28",40,41.099998,40,40.424999,2035400,40.424999
"2001-10-01",40.43,40.744999,39.224998,39.625,1025400,39.625
"2001-10-02",39.75,40.494999,39.674999,40.205002,1009400,40.205002
"2001-10-03",40.700001,41.700001,40.450001,40.450001,1228200,40.450001
"2001-10-04",41,41.25,40.5,40.924999,1211000,40.924999
"2001-10-05",40.75,40.75,39.150002,39.904999,1318000,39.904999
"2001-10-08",40.400002,40.625,39.755001,39.825001,849000,39.825001
"2001-10-09",39.900002,40.275002,39.805,40.220001,773800,40.220001
"2001-10-10",40.5,41.700001,40.400002,41.014999,938200,41.014999
"2001-10-11",41.075001,41.134998,40.705002,40.799999,1143000,40.799999
"2001-10-12",40.674999,41.345001,40.674999,41.174999,633000,41.174999
"2001-10-15",41.075001,41.209999,40.674999,41.099998,977400,41.099998
"2001-10-16",41.400002,42.200001,41.400002,41.880001,1092000,41.880001
"2001-10-17",41.884998,42.099998,41.25,41.875,1042000,41.875
"2001-10-18",41.849998,41.924999,41.040001,41.400002,1113400,41.400002
"2001-10-19",41.400002,42.450001,41.150002,42.299999,3036400,42.299999
"2001-10-22",42.174999,43.825001,42,43.630001,1907800,43.630001
"2001-10-23",44.25,45,42.91,43.349998,2637000,43.349998
"2001-10-24",43.325001,43.494999,42.700001,42.700001,1459800,42.700001
"2001-10-25",42.355,43.23,41.599998,42.619999,1048000,42.619999
"2001-10-26",42.5,44.099998,41.799999,43.450001,782800,43.450001
"2001-10-29",43.5,44.419998,43.099998,43.810001,726800,43.810001
"2001-10-30",43.814999,43.814999,42.389999,43.400002,798800,43.400002
"2001-10-31",43.404999,43.404999,42.549999,43.099998,890800,43.099998
"2001-11-01",43.029999,43.029999,42.494999,42.599998,1104000,42.599998
"2001-11-02",42.724998,43.150002,42.549999,43.075001,1461400,43.075001
"2001-11-05",43.075001,43.849998,43.075001,43.834999,1197000,43.834999
"2001-11-06",43.709999,44.34,43.494999,44.290001,1365200,44.290001
"2001-11-07",44.099998,44.105,42.07,42.349998,1462000,42.349998
"2001-11-08",42.400002,42.549999,39.400002,40.349998,4219600,40.349998
"2001-11-09",40.400002,40.75,39.105,39.924999,1885400,39.924999
"2001-11-12",39.900002,40.349998,39.450001,40.055,763400,40.055
"2001-11-13",39.98,40.625,39.650002,40,1326200,40
"2001-11-14",40.474998,40.625,39.305,39.365002,1505400,39.365002
"2001-11-15",38.549999,39.974998,38.549999,39.740002,1785400,39.740002
"2001-11-16",39.799999,39.799999,39.279999,39.445,1942800,39.445
"2001-11-19",39.445,40.125,39.125,40.125,1290200,40.125
"2001-11-20",40.5,41.25,40.25,41.095001,1659800,41.095001
"2001-11-21",41.599998,41.599998,40.549999,40.740002,1590200,40.740002
"2001-11-23",41,41,40.650002,40.900002,389400,40.900002
"2001-11-26",41,41.049999,40.450001,40.450001,831800,40.450001
"2001-11-27",40.325001,40.549999,38.700001,38.700001,2260800,38.700001
"2001-11-28",38.299999,39.369999,36.5,38,5247000,38
"2001-11-29",38.224998,38.740002,37.75,38.625,1290800,38.625
"2001-11-30",38.5,38.919998,37.75,38.450001,1142800,38.450001
"2001-12-03",38.200001,38.700001,37.799999,38.535,932200,38.535
"2001-12-04",38.900002,39.244999,38.715,38.75,932400,38.75
"2001-12-05",38.75,39.924999,38.75,39.125,1248000,39.125
"2001-12-06",38.799999,39.150002,38.005001,38.900002,1413600,38.900002
"2001-12-07",38.700001,39.125,38.075001,38.125,811800,38.125
"2001-12-10",38,38.400002,36.555,37.125,1973200,37.125
"2001-12-11",37.240002,38.584999,37.125,38.009998,1259000,38.009998
"2001-12-12",38.25,38.744999,37.619999,38.09,753800,38.09
"2001-12-13",37.950001,39.145,37.950001,39.125,941600,39.125
"2001-12-14",39.075001,39.400002,38.369999,38.994999,787200,38.994999
"2001-12-17",38.974998,39.375,38.75,38.834999,659400,38.834999
"2001-12-18",38.834999,39.5,38.825001,39.365002,667600,39.365002
"2001-12-19",39.299999,39.549999,39.150002,39.375,756800,39.375
"2001-12-20",39.25,39.419998,39.02,39.174999,554000,39.174999
"2001-12-21",39.299999,39.75,39.200001,39.650002,1416000,39.650002
"2001-12-24",39.599998,40.345001,39.599998,40.099998,402200,40.099998
"2001-12-26",40.049999,40.445,39.799999,40.445,616000,40.445
"2001-12-27",40.299999,40.325001,39.625,39.880001,940800,39.880001
"2001-12-28",39.880001,40.5,39.5,40.5,931200,40.5
"2001-12-31",39.875,40.494999,39.825001,40.424999,529400,40.424999
"2002-01-02",40.299999,40.299999,38.900002,39.415001,1160400,39.415001
"2002-01-03",39.005001,39.200001,38.57,38.794998,1040400,38.794998
"2002-01-04",38.775002,39.474998,38.700001,39.34,539400,39.34
"2002-01-07",39.5,39.595001,38.775002,38.919998,974000,38.919998
"2002-01-08",38.919998,38.919998,38.299999,38.575001,1679800,38.575001
"2002-01-09",38.5,38.950001,38.150002,38.32,757200,38.32
"2002-01-10",38.299999,38.849998,38.299999,38.849998,831600,38.849998
"2002-01-11",38.849998,39.404999,38.445,39.349998,979600,39.349998
"2002-01-14",39.224998,39.825001,39.105,39.25,632400,39.25
"2002-01-15",39.474998,39.849998,39.25,39.779999,856200,39.779999
"2002-01-16",40.200001,40.209999,39.564999,39.605,1326800,39.605
"2002-01-17",39.900002,39.900002,39.275002,39.599998,894600,39.599998
"2002-01-18",39.700001,40.424999,39.599998,40.16,904800,40.16
"2002-01-22",40.049999,40.775002,40.049999,40.650002,796000,40.650002
"2002-01-23",40.549999,40.77,39.974998,40.025002,558200,40.025002
"2002-01-24",40.02,40.650002,40.02,40.200001,486400,40.200001
"2002-01-25",39.349998,41.099998,39.349998,40.360001,1030600,40.360001
"2002-01-28",40.349998,40.625,39.900002,40.125,491200,40.125
"2002-01-29",40.25,41.244999,40.099998,40.509998,2161600,40.509998
"2002-01-30",40.514999,40.849998,39.849998,40.209999,1064600,40.209999
"2002-01-31",40.200001,40.810001,40.099998,40.700001,607800,40.700001
"2002-02-01",40.724998,40.994999,40.689999,40.855,345200,40.855
"2002-02-04",41,41.195,40.880001,41.119999,999800,41.119999
"2002-02-05",41.119999,41.799999,40.849998,41.455002,791400,41.455002
"2002-02-06",41.575001,41.575001,41.049999,41.25,891400,41.25
"2002-02-07",41.130001,41.790001,41.099998,41.66,799600,41.66
"2002-02-08",42.125,44.099998,42.005001,43.75,2884800,43.75
"2002-02-11",43.869999,43.994999,43.174999,43.275002,1346800,43.275002
"2002-02-12",43.075001,43.325001,42.470001,43.130001,872200,43.130001
"2002-02-13",43.5,43.700001,43.25,43.529999,921000,43.529999
"2002-02-14",44.25,44.400002,43.700001,44,2619800,44
"2002-02-15",43.25,44.244999,43.25,43.549999,1595200,43.549999
"2002-02-19",42.775002,42.865002,41.595001,41.994999,1352200,41.994999
"2002-02-20",42.119999,42.5,41.75,42.200001,817000,42.200001
"2002-02-21",40.125,42.375,40.125,41.75,2446000,41.75
"2002-02-22",41.5,42.365002,41.360001,41.474998,1125200,41.474998
"2002-02-25",41.75,41.825001,40.650002,40.889999,1172800,40.889999
"2002-02-26",41.125,41.459999,40.904999,41.25,811200,41.25
"2002-02-27",41.25,41.25,40.924999,40.924999,1039400,40.924999
"2002-02-28",40.924999,41.049999,40.674999,40.740002,742800,40.740002
"2002-03-01",40.615002,40.75,40.580002,40.75,886200,40.75
"2002-03-04",40.75,41.849998,40.75,41.755001,1143400,41.755001
"2002-03-05",41.775002,42.639999,41.514999,42.450001,1774600,42.450001
"2002-03-06",42.455002,43.494999,42.224998,43.404999,2087200,43.404999
"2002-03-07",43.625,43.625,42.900002,43,7354400,43
"2002-03-08",43,43.240002,42.625,43,1770600,43
"2002-03-11",43,43.095001,42.299999,42.650002,1867400,42.650002
"2002-03-12",42.349998,43.349998,42.349998,43.174999,1559000,43.174999
"2002-03-13",43.299999,44.349998,43.075001,43.98,2135000,43.98
"2002-03-14",44.950001,45.689999,44.235001,45.450001,3668200,45.450001
"2002-03-15",45.325001,45.575001,44.904999,45.009998,1486400,45.009998
"2002-03-18",45.025002,45.970001,44.84,45.900002,1625600,45.900002
"2002-03-19",46.025002,46.435001,45.599998,45.865002,1738600,45.865002
"2002-03-20",45.869999,46.400002,45.724998,46.125,641000,46.125
"2002-03-21",46.130001,46.130001,44.630001,45.950001,675800,45.950001
"2002-03-22",45.950001,46.220001,45.625,45.955002,461600,45.955002
"2002-03-25",46,46.075001,45.299999,45.625,648600,45.625
"2002-03-26",45.575001,46.950001,45.575001,46.805,1110000,46.805
"2002-03-27",46.75,48.200001,46.75,48.025002,1959000,48.025002
"2002-03-28",48.150002,49.119999,47.009998,47.93,2794400,47.93
"2002-04-01",47.93,48.09,47.474998,48.009998,689400,48.009998
"2002-04-02",47.884998,48.02,47.174999,47.75,1911000,47.75
"2002-04-03",47.75,47.799999,46.400002,46.599998,1481000,46.599998
"2002-04-04",46,46.744999,45.650002,46.450001,1150200,46.450001
"2002-04-05",47,48.185001,46.855,47.625,1388200,47.625
"2002-04-08",47.650002,48.400002,47.5,48.150002,492800,48.150002
"2002-04-09",48.5,48.865002,48.099998,48.575001,1191200,48.575001
"2002-04-10",48.575001,48.775002,47.924999,48.349998,1267600,48.349998
"2002-04-11",48.099998,48.639999,47.875,48.125,1619000,48.125
"2002-04-12",48.275002,48.275002,47.299999,47.299999,764600,47.299999
"2002-04-15",47.299999,48.220001,47.134998,47.900002,516200,47.900002
"2002-04-16",48.5,48.5,47.700001,48.014999,574800,48.014999
"2002-04-17",48.014999,48.674999,47.685001,48.349998,442000,48.349998
"2002-04-18",48.25,49.59,48.25,49.200001,1010400,49.200001
"2002-04-19",49.5,50.540001,49.259998,50.299999,1239600,50.299999
"2002-04-22",50.305,50.75,49.525002,49.549999,1148200,49.549999
"2002-04-23",47,48.25,46.5,47.25,5501600,47.25
"2002-04-24",47.200001,47.650002,47.049999,47.525002,1496800,47.525002
"2002-04-25",47.5,48.900002,47.23,47.895,1915400,47.895
"2002-04-26",48.5,49.049999,48.349998,48.950001,1265000,48.950001
"2002-04-29",48.825001,48.950001,48.299999,48.895,951800,48.895
"2002-04-30",48.900002,49.75,48.799999,49.599998,1465600,49.599998
"2002-05-01",49.599998,51.5,49.599998,51.200001,1928800,51.200001
"2002-05-02",50.75,51.485001,50.700001,51.244999,1546400,51.244999
"2002-05-03",51.125,51.799999,50.875,51.310001,1707400,51.310001
"2002-05-06",51.25,52.375,51.099998,51.610001,1092800,51.610001
"2002-05-07",51.5,51.740002,50.099998,50.555,2112600,50.555
"2002-05-08",50,50.740002,49.549999,50.255001,1676600,50.255001
"2002-05-09",50.25,51.240002,49,51.02,3388000,51.02
"2002-05-10",51.299999,52.189999,51.299999,51.98,1045600,51.98
"2002-05-13",52.200001,52.25,49.450001,50.099998,1480800,50.099998
"2002-05-14",50.200001,50.200001,47.990002,48.02,2200000,48.02
"2002-05-15",48.200001,49.439999,48,48.860001,1048900,48.860001
"2002-05-16",49.099998,49.099998,47.549999,48.099998,991800,48.099998
"2002-05-17",48.099998,49.5,47.990002,48.82,1031000,48.82
"2002-05-20",48.990002,48.990002,48.009998,48.5,531000,48.5
"2002-05-21",48.599998,48.700001,47.82,48.16,744600,48.16
"2002-05-22",48,48.25,46.200001,46.59,1302800,46.59
"2002-05-23",46.5,46.900002,46.099998,46.75,1244200,46.75
"2002-05-24",46.630001,47.049999,46.450001,46.82,823600,46.82
"2002-05-28",46,47.700001,45.950001,47.610001,1115000,47.610001
"2002-05-29",47.610001,48.349998,47.470001,48.169998,809100,48.169998
"2002-05-30",49.099998,49.400002,48.169998,49.139999,876600,49.139999
"2002-05-31",49.200001,49.400002,47.990002,49.049999,1006300,49.049999
"2002-06-03",49.150002,49.200001,48.209999,48.720001,453500,48.720001
"2002-06-04",48.200001,48.200001,47.009998,47.25,757100,47.25
"2002-06-05",47.450001,48.700001,47.23,48.549999,561300,48.549999
"2002-06-06",48.299999,48.299999,47.650002,47.950001,515700,47.950001
"2002-06-07",47.200001,49.099998,47,49.099998,628200,49.099998
"2002-06-10",49.099998,50.650002,48.799999,50.639999,858200,50.639999
"2002-06-11",50,50.299999,49.5,49.509998,970700,49.509998
"2002-06-12",49.5,49.700001,47.529999,47.73,635300,47.73
"2002-06-13",47.099998,48.419998,47.099998,47.630001,662100,47.630001
"2002-06-14",47.299999,47.799999,46.799999,47.700001,508200,47.700001
"2002-06-17",48.200001,48.849998,47.560001,47.75,1112700,47.75
"2002-06-18",48,48.400002,47.200001,47.799999,814500,47.799999
"2002-06-19",47.200001,49.099998,47.200001,48.900002,987700,48.900002
"2002-06-20",49.049999,49.75,48.5,48.5,997600,48.5
"2002-06-21",48.509998,48.549999,45.799999,45.810001,1258000,45.810001
"2002-06-24",45.75,45.799999,43.299999,44.84,1726300,44.84
"2002-06-25",46,46,44.900002,44.91,1045500,44.91
"2002-06-26",44.200001,46.369999,43.5,45.740002,785800,45.740002
"2002-06-27",46.599998,46.990002,45.48,46.150002,1392800,46.150002
"2002-06-28",46.299999,46.599998,45.049999,45.650002,1608700,45.650002
"2002-07-01",45.200001,45.209999,41,42.959999,3758800,42.959999
"2002-07-02",41,42.439999,38.560001,40.299999,4802600,40.299999
"2002-07-03",40.049999,42.310001,39.799999,42.099998,1415900,42.099998
"2002-07-05",43,43.75,42.900002,43.75,526900,43.75
"2002-07-08",43.990002,44.5,43.009998,43.060001,829000,43.060001
"2002-07-09",42.700001,42.950001,40.25,40.5,1017200,40.5
"2002-07-10",40.599998,40.630001,38.799999,39.099998,1981200,39.099998
"2002-07-11",38.900002,39.610001,37.099998,38.98,1752100,38.98
"2002-07-12",38.98,39.900002,38.509998,39.099998,1890800,39.099998
"2002-07-15",39.139999,39.150002,36,38.25,1751000,38.25
"2002-07-16",37.380001,39,37.380001,38.25,1747700,38.25
"2002-07-17",38.549999,40.450001,38.450001,40.450001,1433900,40.450001
"2002-07-18",40.450001,40.450001,37.700001,37.849998,1904200,37.849998
"2002-07-19",36.849998,38.25,36.189999,38.25,1336500,38.25
"2002-07-22",37,37.75,33.700001,34.610001,2305200,34.610001
"2002-07-23",34.799999,35.139999,30.82,32.950001,3119300,32.950001
"2002-07-24",32,37.900002,32,37.900002,2840600,37.900002
"2002-07-25",27,30.4,26,28.200001,11739000,28.200001
"2002-07-26",30,30,28.5,28.85,4694600,28.85
"2002-07-29",30,31.4,30,30.98,4422300,30.98
"2002-07-30",31.1,33.299999,30.799999,33,4939700,33
"2002-07-31",33,34.5,32.810001,34.299999,2626200,34.299999
"2002-08-01",34.099998,34.110001,32.220001,32.860001,1439300,32.860001
"2002-08-02",32.009998,32.75,31.700001,32.25,2093000,32.25
"2002-08-05",32.299999,32.450001,31.5,31.5,1248900,31.5
"2002-08-06",32,33.099998,32,32.580002,1676500,32.580002
"2002-08-07",33.099998,33.599998,32.389999,33.290001,1337900,33.290001
"2002-08-08",33.299999,34.240002,33.049999,34.23,1242000,34.23
"2002-08-09",34.23,34.580002,32.82,34.259998,2024900,34.259998
"2002-08-12",34.009998,34.009998,33,33.700001,958500,33.700001
"2002-08-13",33.950001,33.98,32.599998,32.900002,1292800,32.900002
"2002-08-14",32.900002,33.200001,31.959999,32.75,2278000,32.75
"2002-08-15",32.700001,34.459999,32.700001,34,1690900,34
