"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2015-07-14",175.360001,176.770004,174.990005,175.679993,566600,156.040344
"2015-07-15",174.820007,175.229996,172.149994,173.5,1056000,154.10408
"2015-07-16",174.559998,174.919998,169.919998,170,942800,150.995331
"2015-07-17",170.190002,171.889999,167.990005,168.720001,956300,149.858414
"2015-07-20",168.470001,168.889999,159.210007,163.139999,3575300,144.902191
"2015-07-21",163.139999,166.610001,162.479996,166.210007,1631700,147.629013
"2015-07-22",173.5,180.75,172.979996,178.360001,3137100,158.420731
"2015-07-23",176.960007,180.5,176.300003,179.429993,1940700,159.37114
"2015-07-24",179.899994,180.160004,175.830002,176.100006,1299900,156.413376
"2015-07-27",174.639999,174.949997,170.889999,171.839996,1391100,152.629623
"2015-07-28",173.410004,176.910004,173.089996,176.720001,964300,156.964081
"2015-07-29",177.009995,179.669998,176.020004,178.75,619100,158.767151
"2015-07-30",178.270004,179.899994,176.559998,178.119995,557700,158.207581
"2015-07-31",178.75,179.279999,177.289993,177.729996,477500,157.861176
"2015-08-03",177.669998,178.309998,174.869995,175.970001,568100,156.297928
"2015-08-04",175.979996,176.259995,174.350006,174.880005,741700,155.329773
"2015-08-05",175.770004,176.369995,172.910004,173.839996,917900,154.406021
"2015-08-06",174.529999,175.240005,169.729996,170.520004,898000,151.457199
"2015-08-07",170.850006,171.929993,169.600006,170.410004,660000,151.359512
"2015-08-10",172.050003,176.089996,171,174.860001,652100,155.311996
"2015-08-11",173.490005,174,170.580002,171.470001,668200,152.300949
"2015-08-12",170.039993,172.929993,168.669998,172.789993,843800,153.473434
"2015-08-13",172.800003,176.149994,172.800003,174.570007,910600,155.054443
"2015-08-14",174.520004,177.660004,174.240005,177.220001,713700,157.408203
"2015-08-17",176.020004,179.279999,175.300003,178.490005,603300,158.536209
"2015-08-18",178.490005,183.339996,177.559998,182.949997,1414300,162.497604
"2015-08-19",182.660004,186.820007,180.529999,184.580002,1397300,163.945389
"2015-08-20",182.729996,185.720001,181.809998,183.100006,1063600,162.630844
"2015-08-21",181.600006,182.5,176.509995,177.600006,1503000,157.745712
"2015-08-24",168,173.550003,163.300003,167.690002,1920600,148.943558
"2015-08-25",173.149994,173.850006,166.449997,166.460007,1195500,147.851074
"2015-08-26",169.029999,169.639999,162.929993,168.089996,1254100,150.110458
"2015-08-27",169.850006,175.289993,168.350006,170.649994,1470700,152.396591
"2015-08-28",170.669998,171,167.399994,168.490005,1150500,150.467651
"2015-08-31",168.809998,170.949997,167.039993,168.100006,695800,150.1194
"2015-09-01",164.610001,167.160004,159.289993,160.199997,1446100,143.064362
"2015-09-02",162,166.259995,161.050003,166.25,1132400,148.467224
"2015-09-03",167.199997,168.490005,164.75,165.339996,995400,147.654602
"2015-09-04",163.779999,165.259995,162.5,163.869995,557500,146.341812
"2015-09-08",166.449997,167.179993,164.759995,165.669998,851200,147.94931
"2015-09-09",167.589996,168.490005,164.679993,165.070007,900500,147.413452
"2015-09-10",164.809998,164.970001,160.289993,162.130005,967600,144.787933
"2015-09-11",161.649994,163.610001,161.279999,163.039993,683700,145.600632
"2015-09-14",162.690002,163.570007,160.779999,161.550003,459100,144.269989
"2015-09-15",164.100006,168.759995,163.550003,167.460007,962400,149.547836
"2015-09-16",168.229996,168.339996,164.929993,168.080002,696200,150.101486
"2015-09-17",168.100006,171.289993,167.119995,168.460007,740400,150.440857
"2015-09-18",166.160004,168.020004,163.360001,164.100006,1011300,146.547241
"2015-09-21",164.949997,165.270004,161.279999,162.660004,668500,145.261261
"2015-09-22",161.020004,161.600006,156.279999,157.929993,1108400,141.037201
"2015-09-23",158.070007,159.699997,156.649994,157.929993,707500,141.037201
"2015-09-24",156.899994,157.429993,153.410004,156.479996,1057200,139.742294
"2015-09-25",158.300003,158.770004,153.729996,154.949997,735100,138.375961
"2015-09-28",153.080002,153.639999,146.979996,147.190002,1159600,131.445984
"2015-09-29",146.509995,148.139999,143.75,145.460007,1081500,129.901016
"2015-09-30",146.490005,147.75,143.779999,147.259995,854000,131.508484
"2015-10-01",147.210007,148.679993,145.270004,148.089996,972700,132.24971
"2015-10-02",146.479996,148.839996,144.470001,148.600006,900900,132.7052
"2015-10-05",149.979996,156.639999,149.979996,156.110001,1439900,139.41188
"2015-10-06",154.919998,156.289993,151.559998,154.240005,991000,137.741882
"2015-10-07",154.970001,159.100006,154.289993,157.699997,740300,140.831772
"2015-10-08",157.089996,160.979996,156.639999,160.229996,508100,143.091171
"2015-10-09",159.830002,160.960007,156.809998,158.649994,648200,141.680161
"2015-10-12",158.979996,159.169998,157.460007,158.869995,253200,141.876648
"2015-10-13",157,158.919998,155.080002,155.220001,949600,138.617065
"2015-10-14",155.279999,156.020004,150.160004,151.509995,868100,135.303879
"2015-10-15",151.75,154.729996,149.190002,154.649994,955100,138.108002
"2015-10-16",155.710007,157.320007,153.050003,156.770004,844900,140.001282
"2015-10-19",156.309998,156.690002,154.169998,156.270004,712600,139.554764
"2015-10-20",155.919998,156.639999,153.149994,155.559998,802700,138.920731
"2015-10-21",156.570007,158.5,152.440002,152.860001,933000,136.509521
"2015-10-22",153.259995,160.520004,152.869995,159.809998,1626400,142.716095
"2015-10-23",166.169998,167.660004,140.5,145.899994,6520100,130.293991
"2015-10-26",147.690002,151.869995,146.330002,150.169998,2037600,134.107224
"2015-10-27",149.899994,154.550003,148.039993,153.690002,1479800,137.250717
"2015-10-28",153.800003,158.089996,153.419998,157.839996,1629100,140.956802
"2015-10-29",157.330002,163.029999,156.360001,162.699997,2074900,145.296967
"2015-10-30",162.490005,164.889999,160.089996,160.139999,1604400,143.010803
"2015-11-02",160.940002,162.020004,159.449997,161.199997,943900,143.957428
"2015-11-03",161.220001,161.949997,158.729996,160.889999,759400,143.680573
