"","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
"2001-02-28",34.985001,35.075001,33.814999,34.09,1333600,21.650124
"2001-03-01",34,34,33.064999,33.549999,2419000,21.307175
"2001-03-02",33.424999,33.724998,32.990002,33.299999,2188600,21.148397
"2001-03-05",33.974998,34.959999,33.799999,34.549999,1642000,21.942259
"2001-03-06",34.950001,35.049999,34.639999,34.865002,1062000,22.142307
"2001-03-07",35.150002,36.07,34.924999,36.035,1711800,22.885372
"2001-03-08",35.924999,36.095001,35.555,36.07,1014000,22.907595
"2001-03-09",36,36.275002,35.549999,35.974998,1311800,22.847256
"2001-03-12",35.974998,35.974998,34.52,34.560001,1334600,21.948616
"2001-03-13",34.974998,35.07,34.555,34.895,2007200,22.161371
"2001-03-14",34.799999,34.98,34.625,34.700001,1562000,22.037529
"2001-03-15",35,35.025002,34.025002,34.305,2040000,21.786671
"2001-03-16",34.305,34.759998,33.900002,33.950001,2552000,21.561211
"2001-03-19",33.849998,34.275002,33.849998,34.169998,1006600,21.700918
"2001-03-20",34.169998,34.174999,33.575001,33.625,1033200,21.354807
"2001-03-21",33.549999,33.555,32.695,32.75,1650200,20.799105
"2001-03-22",33.5,33.674999,31.764999,32.18,2613400,20.437107
"2001-03-23",32.25,32.494999,31.924999,32.400002,1977200,20.576832
"2001-03-26",32.5,32.575001,31.635,32,3587200,20.322786
"2001-03-27",32.075001,32.185001,31.25,31.27,4676600,19.859171
"2001-03-28",31.27,31.27,30.25,30.5,4482600,19.370153
"2001-03-29",30.65,31.290001,30.5,30.975,2530200,19.671822
"2001-03-30",31.375,31.475,30.9,31.370001,2034600,19.922686
"2001-04-02",31.495001,32.264999,31.469999,32.264999,3036000,20.491087
"2001-04-03",32.150002,32.415001,31.75,31.825001,2200000,20.211643
"2001-04-04",31.950001,32.299999,31.65,31.865,1938200,20.237045
"2001-04-05",32.25,32.5,31.9,32.349998,1448200,20.545071
"2001-04-06",32.349998,32.799999,31.725,32.424999,1911800,20.592699
"2001-04-09",32.299999,32.974998,32.290001,32.855,1100400,20.865784
"2001-04-10",33.125,34.049999,32.830002,34.009998,2201200,21.784966
"2001-04-11",34.075001,35.599998,33.349998,33.834999,2700000,21.672873
"2001-04-12",33.775002,34.674999,33.5,34.674999,2133200,22.21093
"2001-04-16",34.650002,34.68,33.77,34.244999,1164800,21.935493
"2001-04-17",34.150002,34.525002,33.75,33.900002,1327600,21.714514
"2001-04-18",34.299999,35.424999,34.099998,35.244999,2207400,22.576038
"2001-04-19",35.900002,36.939999,35.849998,36.75,2989000,23.540077
"2001-04-20",36.724998,36.724998,35.950001,35.950001,2697400,23.027626
"2001-04-23",36.650002,36.650002,35.709999,35.950001,2725000,23.027626
"2001-04-24",36.075001,37.064999,36.075001,37.055,4394400,23.735441
"2001-04-25",36.25,36.68,35.849998,36.365002,5120600,23.293449
"2001-04-26",36.849998,38.5,36.575001,37.75,4611600,24.180609
"2001-04-27",37.75,39,37.724998,38.25,3136400,24.500887
"2001-04-30",38.5,38.674999,38.25,38.540001,1911400,24.686644
"2001-05-01",38.549999,39.25,38.450001,38.849998,4433400,24.88522
"2001-05-02",38.700001,39.674999,38.599998,39.470001,3791400,25.282349
"2001-05-03",38.970001,39.575001,38.48,39.330002,3343000,25.19268
"2001-05-04",38.950001,39.400002,38.575001,39.259998,3191000,25.147831
"2001-05-07",38.5,39.150002,38.5,39,2378200,24.981295
"2001-05-08",38.924999,39.474998,38.900002,39.150002,1574600,25.077383
"2001-05-09",39.075001,39.115002,37.950001,39.075001,5509200,25.029329
"2001-05-10",39,39.150002,38.775002,38.950001,1719000,24.949274
"2001-05-11",39,39.375,38.875,39.125,1179200,25.061359
"2001-05-14",39,39.349998,38.650002,39.334999,1272200,25.195885
"2001-05-15",39.700001,40.044998,39.275002,39.735001,2750400,25.452099
"2001-05-16",39.150002,40.375,39.150002,40.009998,2043800,25.628254
"2001-05-17",40.025002,41.474998,40.009998,40.939999,2389000,26.223961
"2001-05-18",40.349998,41.25,40.349998,40.985001,2003000,26.252789
"2001-05-21",40.860001,41.525002,40.860001,41.445,2096400,26.547424
"2001-05-22",41.450001,42,41.255001,41.825001,1425800,26.790829
"2001-05-23",41.950001,42.139999,39.845001,40.005001,2784000,25.62505
"2001-05-24",39.950001,40.174999,38.349998,38.59,2358000,24.71867
"2001-05-25",38.599998,39.040001,38.389999,38.740002,1671800,24.81476
"2001-05-29",38.615002,38.84,38.134998,38.25,1142200,24.500887
"2001-05-30",38.244999,39.735001,38.244999,39.584999,1897800,25.356012
"2001-05-31",39.580002,39.584999,38.650002,38.759998,1779800,24.827564
"2001-06-01",38.950001,39.375,38.799999,39.279999,1435400,25.160643
"2001-06-04",39.275002,39.424999,38.599998,39.23,910600,25.128613
"2001-06-05",39.535,40.139999,39.450001,40.060001,1169400,25.660275
"2001-06-06",39.959999,40,38.915001,39.049999,1427000,25.013317
"2001-06-07",39,39.09,38.299999,38.895,1580400,24.914036
"2001-06-08",38.75,38.75,37.865002,38.615002,1206600,24.734684
"2001-06-11",38.674999,38.869999,38.075001,38.215,1264600,24.478472
"2001-06-12",38.215,38.695,37.755001,38.400002,1655200,24.596966
"2001-06-13",38.424999,38.650002,37.740002,37.939999,1248000,24.302311
"2001-06-14",37.700001,37.814999,36.924999,37.060001,1259800,23.738646
"2001-06-15",36.75,37.650002,36.724998,37.174999,2252400,23.812294
"2001-06-18",37.5,37.549999,37.049999,37.365002,1169600,23.934013
"2001-06-19",37.625,37.900002,37.084999,37.740002,1968000,24.174212
"2001-06-20",37.740002,38.25,37.740002,38.080002,2206000,24.391996
"2001-06-21",38.075001,38.075001,37.205002,37.830002,2341800,24.231857
"2001-06-22",37.200001,37.259998,36.625,36.82,2212000,23.584906
"2001-06-25",36.82,37.139999,36.310001,36.584999,1359800,23.434376
"2001-06-26",36.474998,37.5,36.25,37.244999,1191600,23.857138
"2001-06-27",37.285,37.599998,37.200001,37.400002,1221400,23.956421
"2001-06-28",37.049999,37.599998,37,37.5,1337200,24.020477
"2001-06-29",37.5,39,37.275002,38.904999,2604400,24.920444
"2001-07-02",38.5,38.630001,38.005001,38.189999,1423600,24.462452
"2001-07-03",38.064999,38.240002,37.700001,38.150002,828200,24.436829
"2001-07-05",38.150002,38.349998,37.82,38.349998,1307400,24.564943
"2001-07-06",38.224998,38.325001,37.25,37.365002,1120800,23.934013
"2001-07-09",37.490002,37.875,37.275002,37.724998,1290600,24.164597
"2001-07-10",37.599998,37.720001,37.299999,37.330002,831800,23.911585
"2001-07-11",37.200001,37.674999,36.880001,37.450001,1108600,24.169743
"2001-07-12",37.450001,39.419998,37.450001,39.25,1668000,25.331436
"2001-07-13",39,39.82,38.700001,39.369999,1255200,25.408871
"2001-07-16",39.470001,40.25,39.465,40.23,1821400,25.963919
"2001-07-17",39.849998,39.849998,39.279999,39.610001,2861800,25.563768
"2001-07-18",39.5,40.799999,39.375,40.5,1961800,26.138159
"2001-07-19",40.799999,42.599998,40.755001,41.98,4725600,27.093348
"2001-07-20",41.924999,41.93,40.799999,41.474998,1663600,26.767418
"2001-07-23",40.775002,40.919998,40.25,40.805,1813200,26.335016
"2001-07-24",40.349998,40.424999,39.654999,39.945,3015000,25.779972
"2001-07-25",39.375,40.07,39.375,40.07,2154000,25.860651
"2001-07-26",40.099998,40.724998,40.099998,40.349998,3064200,26.041359
"2001-07-27",40.299999,40.689999,40.27,40.605,891200,26.205921
"2001-07-30",41.200001,41.200001,40.43,40.650002,1235400,26.23498
"2001-07-31",40.549999,40.75,40.375,40.445,1928200,26.102671
"2001-08-01",40.375,41.674999,40.174999,41.674999,1596800,26.896513
"2001-08-02",41.474998,41.875,40.950001,41.705002,2220600,26.915863
"2001-08-03",41.580002,41.639999,40.759998,41.334999,953200,26.677063
"2001-08-06",41.34,41.75,40.849998,40.904999,1257800,26.399549
"2001-08-07",40.91,41.744999,40.91,41.744999,1618200,26.941666
"2001-08-08",41.650002,41.860001,40.830002,41.005001,1190400,26.464098
"2001-08-09",41,41.924999,40.974998,41.924999,1840000,27.05784
"2001-08-10",42.049999,42.615002,42,42.540001,1788200,27.454765
"2001-08-13",42.575001,42.740002,42.125,42.165001,2090000,27.212738
"2001-08-14",41.950001,42.150002,41.325001,41.369999,1786400,26.699657
"2001-08-15",41.25,41.724998,40.865002,40.924999,1550000,26.412455
"2001-08-16",40.990002,41.625,40.75,41.619999,2333000,26.861015
"2001-08-17",41.424999,41.424999,40.584999,40.855,1237800,26.367277
"2001-08-20",40.775002,41.25,40.630001,41.23,1405000,26.609301
"2001-08-21",41.105,41.32,40.955002,41.150002,1530600,26.557678
"2001-08-22",41.169998,41.200001,39.849998,40.189999,1925000,25.938097
"2001-08-23",40.189999,40.75,40.189999,40.529999,1794400,26.15753
"2001-08-24",41.150002,41.5,40.794998,41.5,1803200,26.783552
"2001-08-27",41.375,41.505001,40.950001,41.299999,1934600,26.654484
"2001-08-28",40.875,41.514999,40.705002,40.73,993000,26.286613
"2001-08-29",40.5,40.724998,40.150002,40.165001,986000,25.921968
"2001-08-30",40.040001,40.439999,39.575001,39.75,1816400,25.654127
"2001-08-31",39.75,39.75,39.400002,39.48,1129800,25.479872
"2001-09-04",39.474998,39.5,38.779999,38.93,2650200,25.124912
"2001-09-05",38.849998,38.974998,38.349998,38.799999,1457800,25.041018
"2001-09-06",38.805,39.25,38.650002,38.865002,1604600,25.082966
"2001-09-07",38.865002,39.049999,38.125,38.215,1396400,24.663462
"2001-09-10",37.950001,38.310001,37.549999,37.985001,1385600,24.515026
"2001-09-17",43.25,43.299999,40.384998,41.450001,12284600,26.751286
"2001-09-18",41.389999,41.985001,40.325001,41.224998,5646400,26.606071
"2001-09-19",41.099998,41.700001,40,41.395,6690600,26.715786
"2001-09-20",41.5,41.549999,39.630001,39.68,5082600,25.608952
"2001-09-21",39.685001,42.5,38.529999,42.009998,4039600,27.112692
"2001-09-24",42.014999,43.564999,42.009998,43.099998,4058000,27.816172
"2001-09-25",42.299999,43.450001,41.424999,42.91,2858800,27.69356
"2001-09-26",43.125,43.154999,41.599998,42.695,2169800,27.554796
"2001-09-27",42.375,44.900002,42.205002,44.799999,3104600,28.913336
"2001-09-28",44.75,45.099998,43.375,44.16,3261800,28.500288
"2001-10-01",44.16,44.5,43.200001,43.435001,2529800,28.032368
"2001-10-02",43.435001,44.455002,43.099998,43.474998,2986600,28.058191
"2001-10-03",43.450001,45.299999,43.325001,44.915001,2274800,29.175449
"2001-10-04",44.970001,46.25,44.200001,45.740002,3240000,29.711353
"2001-10-05",45.615002,46.700001,45.615002,46.299999,3695000,30.075108
"2001-10-08",46.494999,48,46.494999,47.494999,6910600,30.851339
"2001-10-09",47.369999,47.375,45.360001,45.365002,5748000,29.467772
"2001-10-10",45.375,46.25,44.674999,45,3639400,29.230646
"2001-10-11",45.25,45.349998,43.75,44,5092400,28.581089
"2001-10-12",44,44.525002,43.744999,43.950001,2866800,28.548615
"2001-10-15",44.200001,45.134998,44.200001,44.974998,3151600,29.214436
"2001-10-16",45.099998,46.25,44.674999,45.549999,2916800,29.587925
"2001-10-17",45.674999,45.799999,41.869999,41.875,9084600,27.200752
"2001-10-18",41.875,41.880001,39.724998,40.18,11744200,26.099741
"2001-10-19",40.450001,41.900002,40.439999,41.43,4629400,26.911703
"2001-10-22",41.549999,42.845001,41.174999,42.400002,2847400,27.541792
"2001-10-23",42.474998,42.474998,40.875,40.880001,2796800,26.554438
"2001-10-24",40.549999,42.375,40,41.494999,3698600,26.95393
"2001-10-25",41.43,43.165001,41.25,42.544998,2427200,27.635965
"2001-10-26",42.125,43.75,42.125,43,2846000,27.931528
"2001-10-29",43.049999,43.224998,41.049999,41.049999,1761800,26.664869
"2001-10-30",40.744999,41.75,40.299999,40.75,2847800,26.469994
"2001-10-31",40.849998,41.375,40.625,40.799999,1974400,26.50247
"2001-11-01",40.75,42.125,40.400002,42,2350600,27.281952
"2001-11-02",41.950001,42.900002,41.805,42.740002,3373400,27.762642
"2001-11-05",42.740002,43.025002,42,42.25,2057600,27.444355
"2001-11-06",41.764999,42.325001,41.049999,42.189999,1977200,27.405371
"2001-11-07",42.064999,42.185001,40.950001,41,1951000,26.632381
"2001-11-08",41.125,41.345001,40.125,40.474998,3168600,26.291365
"2001-11-09",40.424999,41.830002,40.375,41.365002,2527800,26.869486
"2001-11-12",41.365002,41.474998,40.849998,41.16,1211400,26.736305
"2001-11-13",41.16,41.575001,39.400002,39.625,4825600,25.739227
"2001-11-14",39.599998,40.130001,39.16,39.75,4307000,25.820419
"2001-11-15",39.5,39.755001,38.224998,38.419998,4043400,24.956486
"2001-11-16",38.419998,40.125,38.25,39.805,3658200,25.856152
"2001-11-19",40.625,41.369999,40.599998,41.195,2917800,26.759054
"2001-11-20",40.709999,41.674999,40.400002,41.355,2085000,26.863001
"2001-11-21",40.900002,41.48,40.625,41.125,1564400,26.713566
"2001-11-23",41.099998,42.049999,40.950001,41.584999,528800,27.012381
"2001-11-26",41.5,42.060001,41.490002,41.849998,1848800,27.184525
"2001-11-27",41.349998,41.959999,41.025002,41.674999,1338600,27.070858
"2001-11-28",41.549999,41.549999,41.064999,41.07,1251200,26.677868
"2001-11-29",41.049999,41.490002,40.875,41.375,2107800,26.875971
"2001-11-30",41.349998,41.634998,41.200001,41.575001,1310000,27.005894
"2001-12-03",41.575001,41.575001,40.91,40.985001,1918000,26.622644
"2001-12-04",41.099998,41.150002,40.775002,40.790001,1611400,26.495981
"2001-12-05",40.900002,40.924999,40.349998,40.924999,2744800,26.583666
"2001-12-06",40.974998,41.974998,40.740002,40.82,2722400,26.515472
"2001-12-07",40.825001,40.845001,39.884998,40.099998,1988400,26.047773
"2001-12-10",40.349998,40.349998,38.705002,38.875,2446800,25.252048
"2001-12-11",39.349998,39.549999,37.799999,38.435001,4980600,24.966248
"2001-12-12",38.849998,40.314999,38.450001,39.990002,2440800,25.976316
"2001-12-13",39.959999,40.375,39.66,39.709999,2235800,25.794437
"2001-12-14",39.834999,40.380001,39.674999,40.009998,1960400,25.989315
"2001-12-17",40.150002,40.419998,39.93,39.959999,2476400,25.956842
"2001-12-18",40.049999,40.209999,39.299999,39.355,2758600,25.563841
"2001-12-19",39.355,39.52,39.099998,39.255001,3199000,25.498886
"2001-12-20",39.200001,39.825001,39.049999,39.049999,2616000,25.365721
"2001-12-21",39.450001,39.580002,38.605,39.049999,2547200,25.365721
"2001-12-24",39.125,39.150002,39,39.02,536000,25.34623
"2001-12-26",39.025002,39.25,38.950001,38.955002,2053400,25.30401
"2001-12-27",39,39.305,38.959999,39.259998,3794600,25.502132
"2001-12-28",39.349998,39.599998,39.264999,39.485001,1307800,25.6483
"2001-12-31",39.549999,40.174999,39.514999,39.82,1781400,25.8659
"2002-01-02",39.75,40.025002,39.380001,40.005001,2150000,25.986059
"2002-01-03",40.130001,40.799999,40,40.5,1856200,26.307592
"2002-01-04",40.900002,41.674999,40.799999,41.404999,1849600,26.895468
"2002-01-07",41.700001,42.150002,41.424999,41.974998,2779000,27.265734
"2002-01-08",41.75,41.849998,41.075001,41.099998,1618800,26.697336
"2002-01-09",41.099998,41.400002,40.494999,40.5,2762600,26.307592
"2002-01-10",40.375,40.375,39.5,39.634998,3662600,25.745722
"2002-01-11",39.134998,39.369999,38.575001,38.700001,3677800,25.138376
"2002-01-14",38.75,39.174999,38.73,38.799999,2722200,25.203341
"2002-01-15",38.974998,39.264999,38.525002,38.625,3003600,25.089655
"2002-01-16",38.485001,38.5,37.625,37.634998,4276200,24.625095
"2002-01-17",38.134998,38.150002,37.599998,37.849998,3274400,24.765778
"2002-01-18",37.849998,39.345001,37.799999,38.759998,3697400,25.361197
"2002-01-22",39.200001,39.465,39.125,39.375,2854400,25.76359
"2002-01-23",39.5,40.275002,39.299999,39.575001,4808600,25.894461
"2002-01-24",40.235001,42.200001,40.099998,41.689999,4273800,27.278328
"2002-01-25",41.814999,42,40.810001,42,3649200,27.481167
"2002-01-28",42,43.25,41.75,42.955002,2498200,28.106043
"2002-01-29",43.125,43.125,41.919998,42.275002,2616600,27.661116
"2002-01-30",42.349998,43.419998,41.924999,42.674999,3929800,27.92284
"2002-01-31",43.075001,44.945,42.900002,44.779999,5130200,29.300179
"2002-02-01",44.779999,45.525002,44.049999,44.724998,5681400,29.264174
"2002-02-04",44.724998,44.82,44.130001,44.490002,4014200,29.110397
"2002-02-05",43.275002,44.700001,43,44.125,3974400,28.871588
"2002-02-06",44,44.125,43.650002,44,2458000,28.789791
"2002-02-07",43.625,43.865002,42.695,42.950001,2887200,28.102774
"2002-02-08",42.849998,44.060001,42.744999,43.849998,3003200,28.691641
"2002-02-11",43.849998,44.439999,43.639999,44.355,1426800,29.022076
"2002-02-12",44.355,44.365002,43.945,44.09,1371600,28.848673
"2002-02-13",44,44.330002,43.884998,44.174999,1517000,28.904305
"2002-02-14",44.174999,44.195,43.970001,44.185001,1209000,28.910837
"2002-02-15",44.150002,45.654999,44.075001,45.014999,2217800,29.453928
"2002-02-19",45,45.174999,44.424999,44.790001,1573400,29.306713
"2002-02-20",45.025002,46.474998,44.625,46.235001,1793200,30.252184
"2002-02-21",46.145,46.875,45.724998,46.084999,2348200,30.154045
"2002-02-22",44.174999,44.625,43.075001,43.849998,5031200,28.691641
"2002-02-25",43.849998,44.450001,43.560001,44.195,3120600,28.917387
"2002-02-26",44.174999,45,44.075001,44.855,3073800,29.349232
"2002-02-27",44.950001,46.049999,44.950001,45.790001,2614600,29.961014
"2002-02-28",45.665001,46.25,45.439999,45.439999,2530800,29.732004
"2002-03-01",45.724998,46.720001,45.549999,45.650002,2573400,29.869421
"2002-03-04",45.625,47.625,45.625,47.380001,2569400,31.001385
"2002-03-05",46.75,46.955002,45.900002,46.360001,2121400,30.333979
"2002-03-06",46.485001,47.75,46.165001,47,2061600,30.752743
"2002-03-07",47,47,44.669998,45.07,3630800,29.48992
"2002-03-08",45.875,45.875,43.25,43.5,7654000,28.462641
"2002-03-11",44,45.615002,43.700001,45.424999,5020600,29.722204
"2002-03-12",45.049999,45.549999,44.395,45.25,2339400,29.607683
"2002-03-13",45.244999,45.974998,45.200001,45.549999,2181800,29.80398
"2002-03-14",45.599998,46.224998,45.174999,45.435001,1986600,29.728725
"2002-03-15",45.439999,46.200001,45.334999,45.915001,2623000,30.042814
"2002-03-18",46.349998,46.724998,45.375,45.525002,1599000,29.787642
"2002-03-19",45.650002,46.724998,45.404999,46.555,2960800,30.461567
"2002-03-20",46.424999,47.549999,46.334999,47,3091200,30.752743
"2002-03-21",46.924999,47.16,46.549999,46.580002,2224200,30.477928
"2002-03-22",46.494999,46.814999,45.875,46.174999,2490000,30.212944
"2002-03-25",45.700001,46.200001,45.395,45.84,2952200,29.993744
"2002-03-26",45.845001,46.735001,45.845001,46.630001,1778000,30.510633
"2002-03-27",46.630001,48.400002,46.619999,47.619999,2770400,31.158409
"2002-03-28",47.5,47.799999,46.974998,46.974998,2050000,30.736385
"2002-04-01",47.075001,48.400002,47,47.990002,2684200,31.40052
"2002-04-02",48.5,48.5,47.400002,47.450001,2160800,31.047192
"2002-04-03",47,47.695,46.75,47.09,1819400,30.811644
"2002-04-04",47.200001,47.720001,46.825001,47.174999,1377600,30.867247
"2002-04-05",47.424999,47.75,47.200001,47.32,1074800,30.962114
"2002-04-08",47.150002,47.625,46.875,47.514999,1310400,31.089706
"2002-04-09",47.75,47.82,47.25,47.505001,2500200,31.083164
"2002-04-10",47.375,48.200001,47.375,48.035,2497000,31.629696
"2002-04-11",47.985001,48.049999,47.439999,47.75,2622600,31.442032
"2002-04-12",47.755001,47.825001,46.529999,47.305,1742200,31.149012
"2002-04-15",47.305,47.470001,46.700001,46.825001,1741600,30.832949
"2002-04-16",46.830002,46.994999,46,46.275002,3127600,30.470785
"2002-04-17",46,47.299999,45.505001,46.505001,5472400,30.622232
"2002-04-18",47.150002,47.349998,46.264999,46.849998,4676800,30.849403
"2002-04-19",47.299999,47.299999,46.494999,47.139999,2172600,31.040354
"2002-04-22",46.799999,47.150002,46.185001,46.43,1912400,30.572853
"2002-04-23",46.974998,47.974998,46.705002,47.459999,3675400,31.251076
"2002-04-24",48.080002,48.75,47.799999,48,4610000,31.60664
"2002-04-25",48.375,49.049999,48,49.049999,3194600,32.298058
"2002-04-26",49.200001,49.25,48.18,48.68,1930000,32.054417
"2002-04-29",48.375,48.724998,47.395,47.529999,1869600,31.297163
"2002-04-30",46.75,48.994999,46.75,48.544998,3829200,31.965521
"2002-05-01",48.375,49.485001,48.285,49.25,2412400,32.429737
"2002-05-02",49.424999,49.900002,48.904999,49.75,2313800,32.758972
"2002-05-03",49.075001,49.830002,49,49.825001,2172400,32.808369
"2002-05-06",49.400002,49.709999,49.150002,49.525002,1923000,32.610825
"2002-05-07",49.375,49.380001,48.625,48.865002,2727400,32.176228
"2002-05-08",48.974998,49.625,48.924999,49.485001,2316000,32.584499
"2002-05-09",49.384998,50.494999,49.169998,49.935001,2748200,32.880802
"2002-05-10",49.805,50.48,49.68,50.035,2178800,32.946648
"2002-05-13",49.5,50.23,49.5,49.869999,2144200,32.837986
"2002-05-14",50,50.125,49.244999,49.755001,1831200,32.762276
"2002-05-15",49.880001,49.994999,49.205002,49.875,1815200,32.841293
"2002-05-16",49.990002,50.825001,49.799999,50.43,2915800,33.206738
"2002-05-17",50.18,50.599998,49.75,50.384998,1764200,33.177101
"2002-05-20",50.049999,50.740002,49.650002,49.825001,1482000,32.808369
"2002-05-21",49.924999,50.650002,49.555,50.055,2159200,32.95982
"2002-05-22",50.18,50.849998,50.154999,50.845001,1736200,33.480019
"2002-05-23",50.900002,51.25,49.77,50.424999,1850800,33.203445
"2002-05-24",50.424999,50.424999,49.150002,49.785,1859000,32.782028
"2002-05-28",50.025002,50.09,49.099998,49.459999,1280600,32.568012
"2002-05-29",49.375,49.535,49.125,49.275002,1056200,32.446201
"2002-05-30",49.275002,49.915001,49.150002,49.900002,1748600,32.857761
"2002-05-31",50.25,50.945,50,50.299999,2333800,33.121147
"2002-06-03",50.424999,50.900002,50,50.005001,1853600,32.926888
"2002-06-04",50.075001,50.075001,49.310001,49.830002,2217200,32.811653
"2002-06-05",49.75,49.875,49.294998,49.5,1883800,32.594372
"2002-06-06",49.625,49.799999,49.189999,49.439999,1875800,32.554855
"2002-06-07",49.349998,49.735001,48.555,49.25,2731600,32.429737
"2002-06-10",49.625,50.424999,49.035,49.945,1864200,32.887383
"2002-06-11",49.505001,50.639999,49.5,50.299999,2477200,33.121147
"2002-06-12",50.349998,51.830002,50.310001,51.674999,3596000,34.026527
"2002-06-13",51.799999,52.505001,51.5,51.764999,2264200,34.0858
"2002-06-14",51.5,51.75,50.875,51.240002,2001400,33.740108
"2002-06-17",51.5,53.174999,51.299999,52.900002,2500200,34.833168
"2002-06-18",52.5,54.299999,52.450001,53.619999,3344800,35.30727
"2002-06-19",53.5,54.674999,53.150002,53.75,2891400,35.392872
"2002-06-20",53.375,54.779999,53.375,54.625,3225000,35.96904
"2002-06-21",54.575001,55.465,54.575001,55.290001,4593000,36.406918
"2002-06-24",55.174999,55.59,53.695,54.005001,4601200,35.560776
"2002-06-25",53.025002,53.23,51,51.564999,7037400,33.954113
"2002-06-26",50.5,51.994999,49.494999,51.529999,4875600,33.931049
"2002-06-27",52,53.244999,51.799999,52.654999,5550600,34.671852
"2002-06-28",52.375,54.900002,52.255001,53.174999,5477400,35.014256
"2002-07-01",53.575001,54,52,52.400002,2586600,34.503925
"2002-07-02",52.244999,52.325001,50.950001,50.950001,2664000,33.742332
"2002-07-03",50.994999,52.215,50.994999,51.950001,4156800,34.404613
"2002-07-05",52,53.119999,52,53.115002,931400,35.176121
"2002-07-08",53.115002,53.735001,52.700001,53.025002,1761600,35.116535
"2002-07-09",53.299999,54.400002,53.25,53.330002,2096600,35.318504
"2002-07-10",53.330002,53.549999,51.145,51.630001,3337400,34.192684
"2002-07-11",51.450001,51.525002,48.355,49.299999,5048200,32.64959
"2002-07-12",49.875,49.965,46.419998,48.154999,5625200,31.891302
"2002-07-15",48.154999,48.154999,45.325001,47.125,5057400,31.209185
"2002-07-16",47.125,49.349998,47.049999,48.884998,3939000,32.374752
"2002-07-17",49.849998,50.25,44.5,45.080002,12394000,29.854853
"2002-07-18",44.799999,45.049999,42.75,43.665001,7588000,28.917723
"2002-07-19",42.5,42.825001,39.825001,40.084999,6440800,26.546829
"2002-07-22",39.75,41.25,39.099998,40.154999,6337400,26.593199
"2002-07-23",40.415001,41.625,40.009998,41.064999,5793200,27.195862
"2002-07-24",40.700001,43.044998,39.959999,42.799999,6633000,28.344885
"2002-07-25",42.799999,43.875,41.970001,43.525002,4399400,28.825022
"2002-07-26",43.525002,43.84,41.450001,42.349998,4155200,28.046865
"2002-07-29",42.5,42.700001,40.139999,40.84,8284600,27.046844
"2002-07-30",40.84,41.935001,40.549999,41.424999,5122200,27.434273
