"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"2009-12-09",63.540001,64.379997,63.220001,63.959999,933800,49.545586
"2009-12-10",64.089996,64.5,63.310001,63.59,734800,49.258968
"2009-12-11",63.700001,64.589996,63.189999,64.440002,758600,49.917404
"2009-12-14",64.449997,64.889999,63.880001,64.849998,774200,50.23502
"2009-12-15",64.660004,64.660004,62.630001,62.82,795800,48.662502
"2009-12-16",63.060001,63.34,62.110001,63.029999,744200,48.825172
"2009-12-17",62.77,64.32,62.580002,63.400002,884400,49.111805
"2009-12-18",63.759998,64.870003,63.619999,64.870003,974200,50.250507
"2009-12-21",65,65.809998,64.32,65.769997,613600,50.94767
"2009-12-22",66.019997,66.970001,65.540001,66.860001,628200,51.792027
"2009-12-23",66.709999,67,66.209999,66.260002,376100,51.327248
"2009-12-24",66.309998,67,66.040001,66.82,352100,51.761024
"2009-12-28",66.870003,67.07,66.370003,66.849998,374100,51.784286
"2009-12-29",67.059998,67.400002,66.690002,66.830002,333100,51.768791
"2009-12-30",66.660004,67.199997,66.459999,67.080002,316500,51.962437
"2009-12-31",67.32,67.940002,66.839996,66.889999,441400,51.815277
"2010-01-04",67.629997,67.650002,66.32,67.010002,721000,51.90823
"2010-01-05",66.800003,68.389999,66.699997,68.209999,779200,52.837776
"2010-01-06",68.43,70.900002,68.150002,70.489998,1355100,54.603939
"2010-01-07",70.580002,73.669998,70.129997,73.120003,1827000,56.641235
"2010-01-08",72.559998,74.349998,72.43,73.839996,1381700,57.198956
"2010-01-11",73.940002,74.18,72.970001,73.139999,550400,56.656712
"2010-01-12",72.720001,73,71.300003,71.690002,779500,55.533501
"2010-01-13",71.75,74.150002,70.889999,73.620003,1475700,57.028545
"2010-01-14",73.610001,75.68,73.470001,75.339996,942900,58.360909
"2010-01-15",74.900002,75.279999,72.940002,73.160004,1404200,56.672234
"2010-01-19",73.209999,75.150002,72.459999,74.699997,1286100,57.865166
"2010-01-20",73.650002,78.32,73.650002,77.690002,3381000,60.181297
"2010-01-21",77.800003,80.309998,77.800003,78.589996,2716300,60.878487
"2010-01-22",78.370003,78.599998,75.269997,75.589996,1646200,58.554577
"2010-01-25",76.370003,76.839996,73.779999,75,1181900,58.097542
"2010-01-26",74.459999,75.519997,73.269997,73.730003,1468300,57.113743
"2010-01-27",73.830002,76.650002,73.519997,76.300003,1356600,59.104572
"2010-01-28",76.339996,77.099998,75.25,75.720001,1040700,58.655304
"2010-01-29",75.900002,76.040001,73.5,73.75,1837500,57.129265
"2010-02-01",74.230003,75.260002,74.230003,74.900002,857400,58.020084
"2010-02-02",75.129997,75.800003,74.449997,75,667400,58.097542
"2010-02-03",74.459999,74.489998,72.080002,72.169998,1246000,55.905342
"2010-02-04",71.779999,71.910004,69.910004,70.639999,2136400,54.720146
"2010-02-05",70.650002,72.75,70.089996,72.669998,1775800,56.29266
"2010-02-08",72.309998,72.639999,71.080002,71.290001,853000,55.22364
"2010-02-09",71.989998,72.989998,71.370003,71.989998,595900,55.765892
"2010-02-10",72,73.370003,71.709999,72.669998,574100,56.29266
"2010-02-11",72.790001,72.870003,71.889999,72.400002,429900,56.083496
"2010-02-12",71.75,72.190002,70.889999,72.07,830700,55.827869
"2010-02-16",73.040001,75.339996,72.769997,75.120003,1116600,58.190502
"2010-02-17",75.370003,75.639999,73.800003,74.489998,1018500,57.702488
"2010-02-18",74.650002,75.5,74.410004,75.43,1454200,58.430626
"2010-02-19",75.370003,76.650002,75.230003,76.599998,1711800,59.336952
"2010-02-22",77.080002,78.32,76.989998,78.089996,1179800,60.491154
"2010-02-23",78.089996,78.089996,75.910004,77.220001,1805100,59.817234
"2010-02-24",76.989998,78.970001,76.809998,78.199997,1590300,61.130524
"2010-02-25",77.330002,77.330002,75.550003,76.580002,1080300,59.864136
"2010-02-26",76.540001,77.639999,75.760002,77.43,1042000,60.528606
"2010-03-01",77.349998,78.120003,77,77.800003,829200,60.817825
"2010-03-02",77.970001,79.089996,77.860001,78.459999,694500,61.33379
"2010-03-03",78.540001,78.68,76.139999,76.599998,832000,59.879761
"2010-03-04",75.870003,76.589996,75.269997,76.160004,1004500,59.53582
"2010-03-05",76.68,78.629997,76.68,78.550003,708100,61.404129
"2010-03-08",78.449997,78.910004,78,78.730003,906200,61.544842
"2010-03-09",78.349998,79.169998,77.589996,78.790001,1177500,61.591736
"2010-03-10",78.790001,80,78.440002,79.559998,1067500,62.193653
"2010-03-11",79.360001,80.5,79.129997,80.300003,490800,62.772152
"2010-03-12",80.93,81.330002,79.779999,80,849900,62.537613
"2010-03-15",79.900002,80.480003,79.720001,80.309998,709900,62.779964
"2010-03-16",82,82,80.150002,81.449997,852000,63.671116
"2010-03-17",81.639999,82.919998,81.519997,82.790001,621100,64.718636
"2010-03-18",82.599998,84.099998,82.489998,84,1273700,65.664474
"2010-03-19",83.279999,85,83.019997,83.279999,1057600,65.101669
"2010-03-22",82.830002,83.470001,81.760002,83.25,543300,65.078186
"2010-03-23",83.330002,83.330002,81.849998,83.209999,462000,65.046944
"2010-03-24",82.900002,84,82.769997,83.040001,288100,64.914055
"2010-03-25",83.639999,84.599998,82.349998,82.449997,606700,64.452835
"2010-03-26",82.790001,83.690002,80.339996,80.809998,963200,63.170799
"2010-03-29",81.029999,81.459999,79.720001,80.949997,658900,63.280254
"2010-03-30",80.82,81.169998,78.699997,79.760002,2020300,62.349995
"2010-03-31",79.519997,80.129997,78.75,79.379997,1217400,62.052952
"2010-04-01",79.860001,80,78.739998,79.57,561900,62.201492
"2010-04-05",79.910004,81.830002,79.410004,81.610001,741800,63.796211
"2010-04-06",81.760002,84.639999,81.620003,84.459999,1411300,66.024117
"2010-04-07",84.32,84.989998,82.709999,83.349998,1174100,65.156364
"2010-04-08",83.290001,84.43,82.889999,84.129997,812000,65.766121
"2010-04-09",84.220001,85.449997,83.949997,85.339996,740200,66.712021
"2010-04-12",85.349998,85.669998,84.410004,85.309998,475800,66.68856
"2010-04-13",85.309998,85.370003,83.910004,84.919998,471800,66.38369
"2010-04-14",85.410004,87,85.349998,86.790001,571400,67.845505
"2010-04-15",87.620003,87.620003,86.050003,86.139999,694400,67.337379
"2010-04-16",86.309998,86.529999,82.300003,84.25,2127500,65.85994
"2010-04-19",84.410004,86.839996,82.720001,84.099998,2139400,65.742699
"2010-04-20",84.809998,86.349998,83.889999,85,1323000,66.446198
"2010-04-21",85.330002,87.5,85.089996,86.279999,1283400,67.446823
"2010-04-22",85.93,88,85.309998,87.82,758900,68.650665
"2010-04-23",87.830002,88.730003,86.879997,88.489998,609300,69.174438
"2010-04-26",88.190002,88.660004,85.25,85.449997,797900,66.797997
"2010-04-27",85,86.300003,83.519997,84.089996,1328300,65.734848
"2010-04-28",84.650002,86.779999,84.650002,85.43,1067000,66.782372
"2010-04-29",86.800003,89.769997,86.589996,89.440002,1579000,69.917068
"2010-04-30",89.059998,89.559998,87.169998,87.349998,814800,68.283279
"2010-05-03",88.050003,89.220001,88,89.150002,706800,69.690353
"2010-05-04",87.989998,88.360001,86.639999,87.120003,1038500,68.103485
"2010-05-05",86.540001,88.519997,85.650002,87.410004,720800,68.33017
"2010-05-06",87.029999,88.410004,80.610001,84.269997,1699800,65.875565
"2010-05-07",85.080002,86.769997,83.599998,84.07,2062900,65.719231
"2010-05-10",88.080002,89,86.360001,88.459999,1570500,69.15097
"2010-05-11",86.809998,90,86.809998,88.769997,1157300,69.39328
"2010-05-12",89.419998,90.800003,88.809998,90.690002,813400,70.894218
"2010-05-13",90.360001,91.470001,89.93,90.220001,693200,70.526817
"2010-05-14",89.470001,89.599998,86.129997,87.25,1133000,68.205101
"2010-05-17",87.470001,88.419998,85.769997,87.839996,916700,68.666298
"2010-05-18",88.489998,88.57,83.139999,83.610001,2288700,65.359619
"2010-05-19",83.440002,85.099998,81.900002,83.389999,2046200,65.187645
"2010-05-20",82,82.529999,79.68,79.699997,1508800,62.303123
"2010-05-21",78.5,84.080002,77.860001,84,2559400,65.664474
"2010-05-24",84.099998,84.099998,81.260002,81.400002,1920500,63.632019
"2010-05-25",79.870003,81.120003,78.839996,80.809998,1866400,63.170799
"2010-05-26",81.889999,82.519997,80.110001,80.32,1929600,62.787785
"2010-05-27",80.949997,81.760002,79.75,81.480003,1745800,64.254555
"2010-05-28",81.540001,81.860001,78.870003,79.239998,1592100,62.488132
"2010-06-01",78.769997,79.550003,76.970001,77.529999,1448700,61.139606
"2010-06-02",78.190002,79.720001,77.650002,79.669998,1013000,62.827213
"2010-06-03",79.599998,80.370003,77.949997,78.959999,1194800,62.267326
"2010-06-04",77.550003,77.830002,75.139999,75.360001,1201900,59.428368
"2010-06-07",76,76.379997,74.199997,74.239998,1280500,58.545135
"2010-06-08",74.5,76.809998,74.110001,76.589996,1442600,60.398338
"2010-06-09",76.889999,77.080002,75.599998,76.260002,1894400,60.138103
"2010-06-10",76.959999,78.779999,76.849998,78.639999,1216200,62.014946
"2010-06-11",77.82,78.489998,76.660004,78.389999,770600,61.817806
"2010-06-14",79.019997,79.629997,77.209999,77.529999,1117200,61.139606
"2010-06-15",78.440002,79.599998,77.730003,79.360001,1036200,62.58276
"2010-06-16",79.18,83.190002,79.050003,81.93,2532800,64.609421
"2010-06-17",82.980003,90.989998,82.769997,89.339996,5959000,70.452896
"2010-06-18",88.059998,90.860001,86.620003,90.709999,3728800,71.533279
"2010-06-21",90.309998,95.980003,90.279999,94.449997,3348100,74.48259
"2010-06-22",94.279999,96.150002,93.029999,93.709999,1836300,73.899055
"2010-06-23",94.029999,94.75,90.5,91.019997,2025000,71.77774
"2010-06-24",90.540001,90.540001,86.32,86.690002,2199700,68.363129
"2010-06-25",87.459999,89.419998,87.25,88.370003,1421900,69.687973
"2010-06-28",87.769997,89.650002,87.5,89.239998,1143700,70.374023
"2010-06-29",87.940002,89.050003,85.889999,86.290001,1449700,68.047691
"2010-06-30",86.400002,87.879997,84.790001,84.949997,1003400,66.990974
"2010-07-01",84.949997,87.790001,84.199997,87.199997,1834300,68.76532
"2010-07-02",88.040001,88.040001,84.339996,84.889999,892400,66.943665
"2010-07-06",86.650002,87.669998,84.93,85.959999,1100800,67.78743
"2010-07-07",86.510002,89.43,86.150002,89.230003,1165800,70.366158
"2010-07-08",89.82,90.589996,87.230003,88.620003,1100200,69.885101
"2010-07-09",88.059998,90.489998,87.790001,90.230003,833200,71.154755
