"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2010-12-10",40.956982,41.044777,40.70237,40.851624,2673500,33.158657
"2010-12-13",40.807728,40.92186,40.544338,40.798946,4879400,33.115906
"2010-12-14",40.877964,41.220367,40.816505,41.115013,3703200,33.37244
"2010-12-15",41.106232,41.237926,40.877964,40.913082,3373800,33.208534
"2010-12-16",40.92186,41.308167,40.798946,41.132572,3991700,33.386707
"2010-12-17",41.273048,41.273048,40.877964,41.141354,4829100,33.393822
"2010-12-20",41.21159,41.255486,40.913082,41.062336,3001900,33.329689
"2010-12-21",41.150131,41.264267,40.983318,41.132572,3464300,33.386707
"2010-12-22",41.150131,41.273048,41.079895,41.185249,2093300,33.429455
"2010-12-23",41.237926,41.255486,40.676033,40.842846,1639800,33.151539
"2010-12-27",40.798946,40.965759,40.474098,40.886742,1504600,33.187153
"2010-12-28",41.062336,41.106232,40.676033,40.851624,1766400,33.158657
"2010-12-29",40.965759,41.000877,40.781387,40.798946,2167400,33.115906
"2010-12-30",40.632133,40.913082,40.517998,40.763828,1877900,33.087399
"2010-12-31",40.684811,40.755047,40.395084,40.632133,1680500,32.980507
"2011-01-03",41.044777,41.65057,41.027218,41.308167,3674600,33.529236
"2011-01-04",41.229149,41.38718,41.071114,41.158913,3259800,33.408085
"2011-01-05",41.150131,41.817383,41.097454,41.817383,4345600,33.942562
"2011-01-06",41.738365,42.151009,41.659351,42.142231,3760500,34.206226
"2011-01-07",41.922741,42.317822,41.808605,42.238808,3759600,34.284618
"2011-01-10",41.817383,42.388062,41.694469,42.256367,3442300,34.29887
"2011-01-11",42.309044,42.730465,42.177349,42.449516,3201600,34.455643
"2011-01-12",42.721687,43.028973,42.440739,43.002632,2614600,34.904602
"2011-01-13",42.86216,42.976295,42.300262,42.589993,2438400,34.569668
"2011-01-14",42.607552,42.967514,42.510975,42.800701,1996300,34.740692
"2011-01-18",42.554874,43.134327,42.546093,42.985073,2887200,34.890354
"2011-01-19",42.993855,42.993855,42.669006,42.765583,2186300,34.712185
"2011-01-20",42.791924,43.222126,42.712906,43.099209,3014800,34.98299
"2011-01-21",43.195786,43.239685,42.844601,43.055313,2481300,34.947365
"2011-01-24",43.037754,43.661106,43.037754,43.476734,4189000,35.289417
"2011-01-25",43.248463,43.634766,43.055313,43.625988,2499100,35.410583
"2011-01-26",43.582088,43.634766,42.519753,42.554874,5101600,34.541157
"2011-01-27",41.887619,42.81826,41.852501,42.721687,3825900,34.676559
"2011-01-28",42.835819,43.125549,41.931519,42.045654,3262600,34.127831
"2011-01-31",42.221245,42.265144,41.729588,42.054432,3015100,34.134968
"2011-02-01",42.203686,43.046532,42.203686,42.941177,2395000,34.854713
"2011-02-02",42.721687,43.08165,42.546093,42.941177,2525200,34.854713
"2011-02-03",42.730465,43.10799,42.467075,43.090431,1938100,34.975861
"2011-02-04",43.08165,43.37138,42.774364,43.318699,2252000,35.161148
"2011-02-07",43.309921,43.520634,43.090431,43.450394,2682200,35.268044
"2011-02-08",43.397717,43.520634,43.10799,43.476734,1877000,35.289417
"2011-02-09",43.239685,43.336262,43.011414,43.178226,1813900,35.047127
"2011-02-10",43.195786,43.538193,42.704128,43.529411,2487600,35.332176
"2011-02-11",43.345039,43.678665,43.134327,43.661106,2093900,35.439072
"2011-02-14",43.573311,43.76646,43.32748,43.687447,2052100,35.460461
"2011-02-15",43.494293,43.617207,43.283581,43.503075,1790000,35.310802
"2011-02-16",43.617207,43.669888,43.160667,43.459175,2223300,35.275173
"2011-02-17",43.388939,43.819141,43.213345,43.757683,1587900,35.517471
"2011-02-18",43.713783,43.854259,43.476734,43.845478,3159300,35.588726
"2011-02-22",43.257244,43.678665,42.967514,43.116768,2692000,34.997238
"2011-02-23",43.08165,43.195786,42.712906,42.8885,2887200,34.811966
"2011-02-24",43.028973,43.230904,42.572433,43.011414,2305200,34.911728
"2011-02-25",43.178226,43.669888,43.011414,43.555752,1902800,35.353561
"2011-02-28",43.661106,43.924496,43.432835,43.898155,2990300,35.631493
"2011-03-01",43.915714,43.985954,43.195786,43.362598,3416000,35.196781
"2011-03-02",43.248463,43.898155,43.151886,43.748901,2903800,35.51033
"2011-03-03",44.012291,44.51273,43.942055,44.363476,3121500,36.009178
"2011-03-04",44.231781,44.381035,43.889378,44.187885,2600400,35.866653
"2011-03-07",44.31958,44.495171,43.705006,43.959614,3811800,35.681366
"2011-03-08",44.07375,44.776119,43.792801,44.670765,3576200,36.258587
"2011-03-09",44.24934,44.784901,43.959614,44.697102,3527100,36.538506
"2011-03-10",44.214222,44.556629,43.959614,44.240562,3588100,36.165298
"2011-03-11",44.02985,44.486393,43.784019,44.258121,2457300,36.179649
"2011-03-14",44.038631,44.117645,43.731342,43.985954,2751200,35.957172
"2011-03-15",43.072872,43.889378,43.020195,43.309921,2975500,35.404533
"2011-03-16",42.932396,43.195786,42.256367,42.458298,4288200,34.70834
"2011-03-17",43.134327,43.134327,42.651447,42.81826,2724200,35.002613
"2011-03-18",43.257244,43.529411,43.125549,43.292362,4708700,35.390175
"2011-03-21",43.485512,44.170326,43.476734,43.81036,3150900,35.813618
"2011-03-22",43.740124,44.126427,43.634766,43.950832,2669300,35.928452
"2011-03-23",44.012291,44.05619,43.397717,43.985954,2460400,35.957172
"2011-03-24",44.108868,44.310799,43.555752,44.214222,2212000,36.143761
"2011-03-25",44.337139,44.688324,44.205444,44.223003,1909300,36.150932
"2011-03-28",44.205444,44.521511,44.082527,44.205444,1897400,36.136593
"2011-03-29",44.126427,44.547848,43.898155,44.460052,1744900,36.344723
"2011-03-30",44.521511,44.951714,44.363476,44.907814,2825500,36.710758
"2011-03-31",44.899033,45.215099,44.855137,45.048286,2833000,36.825592
"2011-04-01",45.100967,45.601406,45.092186,45.373135,2650200,37.091141
"2011-04-04",45.557507,45.662861,45.285339,45.662861,2230200,37.327984
"2011-04-05",45.566288,45.829674,45.434593,45.469711,1796200,37.170101
"2011-04-06",45.768219,46.505707,45.522388,46.330112,3441400,37.87344
"2011-04-07",46.215981,46.523266,45.996487,46.470589,2741300,37.988274
"2011-04-08",46.532047,46.532047,45.812115,46.049168,1880100,37.64378
"2011-04-11",46.268658,46.382793,45.978928,46.022827,2200200,37.62225
"2011-04-12",45.873573,45.94381,45.539948,45.689201,1907800,37.349525
"2011-04-13",45.671642,45.847233,45.258999,45.70676,2902700,37.363876
"2011-04-14",45.531166,45.899914,45.109745,45.689201,2203100,37.349525
"2011-04-15",45.697979,45.961369,45.364353,45.759438,2967400,37.406929
"2011-04-18",45.144863,45.548725,45.144863,45.408253,2020600,37.119854
"2011-04-19",45.557507,45.610184,45.302898,45.539948,2683100,37.227509
"2011-04-20",45.917473,46.417912,45.891132,46.321335,2316400,37.866268
"2011-04-21",46.382793,46.532047,46.128181,46.532047,1742700,38.038521
"2011-04-25",46.356453,46.786655,46.330112,46.681301,2050800,38.160522
"2011-04-26",46.751537,47.374889,46.751537,47.251976,2164100,38.627022
"2011-04-27",47.102722,47.699738,47.058823,47.655838,1998000,38.95718
"2011-04-28",47.568043,47.64706,47.260754,47.594379,2278000,38.90694
"2011-04-29",47.506584,47.813873,47.480247,47.726074,4196100,39.014595
"2011-05-02",47.892887,48.191395,47.690956,48.024582,3121900,39.258614
"2011-05-03",47.936787,48.252853,47.436348,47.769974,3417000,39.050491
"2011-05-04",47.84021,48.191395,47.374889,47.682178,4031000,38.978714
"2011-05-05",47.532925,47.532925,46.733978,47.006145,3872600,38.426079
"2011-05-06",47.541702,47.611938,46.848114,47.050045,4333600,38.461975
"2011-05-09",46.900791,47.515366,46.900791,47.339771,3469600,38.698803
"2011-05-10",47.35733,47.778755,47.322212,47.550484,3437800,38.871063
"2011-05-11",47.541702,47.585602,46.856892,47.225636,3530900,38.605499
"2011-05-12",47.251976,47.945568,47.129059,47.919228,3530900,39.172497
"2011-05-13",47.822651,48.050922,47.278313,47.418789,3351300,38.763405
"2011-05-16",47.330994,47.489025,46.900791,47.041264,3321200,38.454781
"2011-05-17",46.848114,47.216858,46.69886,47.129059,2982600,38.526558
"2011-05-18",47.093941,47.673397,46.795433,47.62072,2451200,38.928474
"2011-05-19",47.813873,48.165058,47.550484,47.629501,3271200,38.935646
"2011-05-20",47.603161,47.787533,47.269535,47.559261,2794400,38.878227
"2011-05-23",46.909569,47.076382,46.733978,46.900791,3189200,38.339962
"2011-05-24",46.953468,47.041264,46.619843,46.742756,3115200,38.210762
"2011-05-25",46.716419,46.944687,46.584724,46.821774,3670800,38.275364
"2011-05-26",46.733978,47.234417,46.488148,47.085163,2809200,38.490669
"2011-05-27",47.058823,47.550484,47.058823,47.524143,2234800,38.849522
"2011-05-31",48.077259,48.393326,47.752415,48.384548,4867600,39.552883
"2011-06-01",48.182617,48.375767,47.778755,47.778755,5077400,39.057663
"2011-06-02",47.761192,47.910446,47.366112,47.64706,3031700,38.950012
"2011-06-03",47.13784,47.225636,46.584724,46.777874,3668800,38.239471
"2011-06-06",46.751537,46.962246,46.461807,46.663738,2906700,38.146175
"2011-06-07",46.751537,47.006145,46.426689,46.523266,3755600,38.03133
"2011-06-08",46.259876,46.338894,45.891132,46.066727,3460300,37.915718
"2011-06-09",46.180859,46.584724,45.908691,46.286217,2371200,38.096378
"2011-06-10",46.145741,46.224758,45.601406,45.601406,3984300,37.532726
"2011-06-13",45.636524,46.391571,45.452152,46.224758,3596000,38.045803
"2011-06-14",46.575943,46.663738,46.198421,46.251099,3745100,38.067474
"2011-06-15",45.829674,46.022827,45.223881,45.355576,3544200,37.330399
"2011-06-16",45.618965,45.618965,45.083408,45.48727,3162600,37.438793
"2011-06-17",46.119404,46.215981,45.294117,45.364353,4927500,37.337627
"2011-06-20",45.338017,46.286217,45.02195,46.005268,2821300,37.865139
"2011-06-21",46.101845,46.382793,45.724319,46.268658,2426800,38.081924
"2011-06-22",46.1633,46.417912,45.97015,45.978928,2555000,37.843468
"2011-06-23",45.513607,45.618965,45.083408,45.583847,4830300,37.518291
"2011-06-24",45.654083,45.689201,44.899033,44.969273,3216100,37.012451
"2011-06-27",44.916592,45.522388,44.618088,45.320457,2483400,37.301495
"2011-06-28",45.373135,45.803337,45.127304,45.733101,2724600,37.641132
"2011-06-29",45.741879,46.268658,45.566288,46.119404,3896500,37.959084
"2011-06-30",46.347672,46.347672,46.014046,46.251099,2725000,38.067474
"2011-07-01",46.145741,47.40123,46.075504,47.313435,3382600,38.941845
"2011-07-05",47.410007,47.410007,46.979805,47.120281,2673900,38.782871
