"","BAX.Open","BAX.High","BAX.Low","BAX.Close","BAX.Volume","BAX.Adjusted"
"2001-07-09",26.29006,26.860401,26.072786,26.708311,4622100,14.862697
"2001-07-10",26.844107,26.865833,26.214014,26.366106,4182000,14.67227
"2001-07-11",26.637697,26.751766,25.947855,25.99674,4082000,14.466716
"2001-07-12",25.947855,26.317219,25.833786,26.137968,5268700,14.545318
"2001-07-13",26.018469,26.480173,25.882673,25.882673,6204100,14.403247
"2001-07-16",25.882673,26.072786,25.828354,25.991308,4481900,14.463703
"2001-07-17",26.181423,26.181423,25.871809,25.964149,3595100,14.448587
"2001-07-18",26.018469,26.018469,25.420967,25.801195,6631800,14.357904
"2001-07-19",26.398697,26.996199,26.29006,26.398697,9386500,14.690405
"2001-07-20",26.425856,26.778925,26.127106,26.404129,4467900,14.693427
"2001-07-23",26.697447,26.751766,26.453014,26.534492,5191900,14.765974
"2001-07-24",26.534492,26.610538,26.078218,26.175991,2780200,14.56647
"2001-07-25",26.317219,27.104834,26.268332,26.996199,4683100,15.022899
"2001-07-26",27.131994,27.441608,26.996199,26.996199,3262900,15.022899
"2001-07-27",26.887562,26.963606,26.371536,26.52906,3856700,14.762946
"2001-07-30",26.692015,26.806084,26.371536,26.556219,2615600,14.778061
"2001-07-31",26.751766,27.300381,26.751766,27.050516,3890200,15.053133
"2001-08-01",27.050516,27.311243,26.941879,27.18088,4868800,15.125672
"2001-08-02",26.887562,27.273222,26.344378,26.469311,4799800,14.729708
"2001-08-03",26.561651,26.561651,25.953287,26.175991,3962700,14.56647
"2001-08-06",26.262901,26.453014,25.725149,25.936991,2465000,14.433475
"2001-08-07",25.936991,26.615969,25.540466,26.58881,3980700,14.796198
"2001-08-08",26.317219,26.996199,26.246605,26.376968,3113600,14.67831
"2001-08-09",26.670288,26.969038,26.534492,26.909288,4013000,14.974542
"2001-08-10",27.023357,27.18088,26.67572,26.920153,3027800,14.980586
"2001-08-13",27.055948,27.794678,27.001629,27.599131,6378100,15.358431
"2001-08-14",27.973927,28.48995,27.89245,28.174906,8489400,15.678835
"2001-08-15",28.218359,28.495382,27.620859,28.359587,3594900,15.781603
"2001-08-16",28.288973,28.435633,27.946768,28.272678,3048300,15.733243
"2001-08-17",28.1912,29.092884,28.131451,28.897339,4934600,16.080853
"2001-08-20",28.788702,28.897339,28.625748,28.652906,3242700,15.944825
"2001-08-21",28.734383,29.223248,28.218359,28.310701,4334800,15.754397
"2001-08-22",28.316132,28.462791,28.060837,28.424768,4586200,15.817874
"2001-08-23",28.272678,28.48995,28.109722,28.375883,6582800,15.790683
"2001-08-24",28.517111,28.859316,28.435633,28.745247,2619500,15.99622
"2001-08-27",28.853884,29.054861,28.549702,28.794134,1502200,16.023424
"2001-08-28",28.517111,28.527973,27.930473,28.115154,7123500,15.645579
"2001-08-29",28.24552,28.511679,28.147745,28.24552,3663000,15.71813
"2001-08-30",28.25095,28.788702,28.25095,28.54427,4708500,15.884376
"2001-08-31",28.549702,28.647474,28.001087,28.028246,3350000,15.597221
"2001-09-04",27.89245,28.511679,27.539381,28.348724,4752900,15.775561
"2001-09-05",28.408474,29.103748,28.207497,28.92993,6028900,16.098988
"2001-09-06",29.16893,29.277567,28.625748,28.897339,6571200,16.080853
"2001-09-07",28.707224,28.843019,28.082563,28.517111,4790200,15.869269
"2001-09-10",28.354155,28.978815,27.973927,28.962521,3689700,16.117128
"2001-09-17",29.331884,29.386204,28.788702,29.011406,6309200,16.144337
"2001-09-18",28.87561,29.060293,28.604019,28.788702,6504900,16.020399
"2001-09-19",28.788702,28.897339,28.1912,28.533405,10117500,15.878331
"2001-09-20",28.272678,28.500814,27.995655,28.1912,4582400,15.687899
"2001-09-21",27.979359,28.517111,27.430744,27.571972,11724500,15.343311
"2001-09-24",27.702335,27.919609,27.007061,27.392721,6871700,15.243562
"2001-09-25",27.392721,27.946768,27.050516,27.925041,6886400,15.539785
"2001-09-26",27.925041,28.788702,27.919609,28.707224,6028500,15.975062
"2001-09-27",28.571428,30.097773,28.571428,29.902227,9676100,16.640053
"2001-09-28",30.038023,30.363934,29.456818,29.902227,8923800,16.640053
"2001-10-01",29.902227,30.14666,29.636066,30.14666,5034500,16.776081
"2001-10-02",29.331884,29.815317,28.408474,29.060293,10602600,16.171539
"2001-10-03",28.924498,28.951656,28.136883,28.272678,10688600,15.733243
"2001-10-04",28.761543,28.946224,28.354155,28.517111,6340500,15.869269
"2001-10-05",28.756111,29.16893,28.652906,28.897339,4319300,16.080853
"2001-10-08",28.891907,29.158066,28.690929,29.043999,2937600,16.162464
"2001-10-09",29.043999,29.386204,28.788702,28.984247,3107400,16.129213
"2001-10-10",28.984247,29.212385,28.843019,29.033134,3040200,16.156424
"2001-10-11",28.799566,29.02227,27.957632,28.288973,7049100,15.742307
"2001-10-12",28.218359,28.734383,28.001087,28.571428,3947100,15.899491
"2001-10-15",28.1912,28.441065,27.756655,28.142315,5814000,15.660697
"2001-10-16",28.028246,28.359587,27.86529,28.001087,5856400,15.582103
"2001-10-17",28.001087,28.185768,27.620859,27.935904,5207400,15.54583
"2001-10-18",27.56654,27.914177,25.535036,26.903856,20471700,14.971522
"2001-10-19",26.996199,27.897882,26.969038,27.838131,7234200,15.491425
"2001-10-22",27.702335,28.278111,27.577404,28.278111,4219000,15.736263
"2001-10-23",29.005976,29.005976,28.212927,28.218359,6670400,15.703012
"2001-10-24",28.082563,28.087996,27.153721,27.354698,5458900,15.222398
"2001-10-25",27.322107,27.322107,26.740902,27.06138,6021100,15.059175
"2001-10-26",27.131994,27.41988,26.860401,27.148289,3530600,15.107535
"2001-10-29",27.338404,27.398153,26.453014,26.751766,3286300,14.886883
"2001-10-30",26.615969,26.670288,26.099945,26.279196,4756200,14.623904
"2001-10-31",26.414991,26.572515,26.154264,26.273764,4081800,14.620883
"2001-11-01",26.398697,26.887562,26.387833,26.697447,3711600,14.85665
"2001-11-02",26.615969,26.887562,26.344378,26.615969,4895200,14.811315
"2001-11-05",25.801195,26.013037,24.877785,25.16567,25326200,14.004248
"2001-11-06",24.850624,25.095057,24.579033,24.959261,18595200,13.889383
"2001-11-07",24.98642,26.089083,24.98642,26.007605,14226300,14.472764
"2001-11-08",26.208582,26.453014,25.60565,25.915264,9877500,14.421389
"2001-11-09",26.018469,26.317219,25.752308,25.790331,5170000,14.351858
"2001-11-12",25.801195,26.371536,25.529604,26.262901,5790800,14.614833
"2001-11-13",27.294949,27.322107,26.480173,26.583378,5351600,14.79318
"2001-11-14",26.697447,26.778925,26.045628,26.072786,3782100,14.509043
"2001-11-15",26.072786,26.398697,25.529604,26.322651,6813500,14.648088
"2001-11-16",26.181423,26.708311,26.127106,26.708311,5218300,14.862697
"2001-11-19",26.751766,26.778925,26.371536,26.58881,2679500,14.796198
"2001-11-20",26.615969,27.159153,26.409559,26.903856,4542200,14.971522
"2001-11-21",27.012493,27.21347,26.751766,26.806084,3099100,14.917109
"2001-11-23",26.615969,26.670288,26.491037,26.615969,1966500,14.811315
"2001-11-26",26.887562,27.104834,26.615969,26.909288,4028400,14.974542
"2001-11-27",26.643129,27.093971,26.463879,26.898424,3541300,14.96849
"2001-11-28",27.159153,27.604563,27.104834,27.246061,4700900,15.161948
"2001-11-29",28.218359,28.375883,27.783813,28.164042,9431800,15.672785
"2001-11-30",28.299837,28.354155,27.941336,28.24552,3931600,15.71813
"2001-12-03",28.24552,28.48452,27.859859,27.963064,3559300,15.560944
"2001-12-04",28.164042,28.164042,27.789246,27.908745,4167200,15.530725
"2001-12-05",27.908745,27.973927,27.294949,27.322107,6903700,15.204266
"2001-12-06",27.349266,27.376427,26.941879,26.941879,4814900,14.992672
"2001-12-07",27.131994,27.86529,27.104834,27.686041,5140400,15.406792
"2001-12-10",27.593699,28.087996,27.403585,27.756655,4539300,15.446085
"2001-12-11",27.973927,28.109722,27.702335,27.908745,12106000,15.530725
"2001-12-12",27.696903,27.734926,27.349266,27.582836,4304900,15.676268
"2001-12-13",27.56654,27.919609,27.246061,27.289516,5191900,15.509561
"2001-12-14",27.425312,28.01195,27.235199,27.946768,4422000,15.883093
"2001-12-17",28.001087,28.370451,27.919609,28.109722,5063600,15.975717
"2001-12-18",28.055405,28.240088,27.702335,27.963064,3327000,15.89236
"2001-12-19",27.968496,28.1912,27.751223,28.136883,3274900,15.991148
"2001-12-20",28.136883,28.48995,28.082563,28.408474,3047700,16.145504
"2001-12-21",28.354155,28.978815,28.326996,28.978815,5740900,16.469645
"2001-12-24",28.978815,29.087452,28.924498,28.967953,979500,16.463472
"2001-12-26",29.223248,29.31559,29.065725,29.141771,2295900,16.562262
"2001-12-27",29.087452,29.141771,28.777838,29.065725,2527800,16.519039
"2001-12-28",29.114611,29.141771,28.902771,29.114611,2179900,16.546825
"2001-12-31",29.07659,29.299294,28.919065,29.130907,2028400,16.556089
"2002-01-02",29.223248,29.277567,28.631178,28.843019,7626700,16.392469
"2002-01-03",28.897339,28.897339,28.441065,28.549702,4980600,16.225767
"2002-01-04",28.734383,29.016838,28.522543,28.707224,2741600,16.315294
"2002-01-07",28.701792,28.756111,28.462791,28.495382,3871400,16.194897
"2002-01-08",28.517111,28.560564,28.202065,28.234655,4992000,16.046715
"2002-01-09",28.24552,28.446497,27.925041,27.935904,4404900,15.876925
"2002-01-10",27.925041,28.082563,27.832699,28.066269,4260400,15.951015
"2002-01-11",28.234655,28.891907,28.169474,28.685497,3141600,16.30295
"2002-01-14",28.690929,29.033134,28.685497,28.832157,4705900,16.386297
"2002-01-15",28.788702,28.92993,28.457359,28.799566,4712900,16.367777
"2002-01-16",28.87018,28.951656,28.435633,28.652906,2963800,16.284418
"2002-01-17",28.680065,29.016838,28.625748,28.935362,2249700,16.444954
"2002-01-18",28.843019,29.054861,28.804996,28.989679,1942800,16.475821
"2002-01-22",28.989679,29.22868,28.832157,29.22868,2191100,16.611654
"2002-01-23",29.22868,29.972841,29.087452,29.90766,6681100,16.997543
"2002-01-24",29.983704,30.010864,28.381315,28.625748,9570200,16.26899
"2002-01-25",28.625748,28.685497,28.33786,28.527973,5089600,16.213413
"2002-01-28",28.663769,28.804996,28.54427,28.680065,3442400,16.29985
"2002-01-29",28.680065,28.815861,28.272678,28.354155,5121600,16.11463
"2002-01-30",28.680065,29.717545,28.680065,29.196089,5864800,16.59313
"2002-01-31",29.282999,30.325911,28.962521,30.325911,7428900,17.235249
"2002-02-01",30.325911,30.646387,29.657795,30.14666,5875700,17.133373
"2002-02-04",30.09234,30.249865,29.511135,29.630636,4228000,16.840099
