"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2009-01-27",6.88,6.9625,6.675,6.85,7326000,6.85
"2009-01-28",7.0275,7.4825,7.025,7.3475,12048000,7.3475
"2009-01-29",7.285,7.285,6.8575,6.9,8058400,6.9
"2009-01-30",6.96,7.02,6.625,6.6525,6169200,6.6525
"2009-02-02",6.625,6.715,6.4875,6.66,9271200,6.66
"2009-02-03",6.7975,7.55,6.7975,7.5,18879200,7.5
"2009-02-04",7.505,7.5825,7.2325,7.3325,9054800,7.3325
"2009-02-05",7.1975,7.785,7.13,7.68,10538000,7.68
"2009-02-06",7.4825,7.5,6.915,7.26,29706400,7.26
"2009-02-09",7.2,7.49,7.1875,7.23,9272400,7.23
"2009-02-10",7.2275,7.2725,6.6225,6.7125,21502000,6.7125
"2009-02-11",6.7925,7,6.6275,6.8075,13372000,6.8075
"2009-02-12",6.73,6.785,6.5575,6.77,9430000,6.77
"2009-02-13",6.7525,6.83,6.6275,6.715,11282400,6.715
"2009-02-17",6.6475,6.6475,6.41,6.485,10872000,6.485
"2009-02-18",6.595,6.595,6.4275,6.4425,12310800,6.4425
"2009-02-19",6.5725,6.62,6.42,6.4825,14269200,6.4825
"2009-02-20",6.3875,6.545,6.2975,6.5125,16829200,6.5125
"2009-02-23",6.6375,6.6525,6.3775,6.5,16053600,6.5
"2009-02-24",6.4325,6.945,6.36,6.8675,14177600,6.8675
"2009-02-25",6.8675,7.055,6.78,7.025,28096000,7.025
"2009-02-26",7.05,7.17,6.525,7.1375,32952800,7.1375
"2009-02-27",6.9875,7.33,6.8975,7,15602000,7
"2009-03-02",6.88,6.99,6.7575,6.83,9213600,6.83
"2009-03-03",6.8875,7.175,6.85,7.04,10670800,7.04
"2009-03-04",7.1825,7.6525,7.1575,7.505,12776800,7.505
"2009-03-05",7.37,7.7425,7.3425,7.5325,11576800,7.5325
"2009-03-06",7.5525,7.675,7.22,7.5175,11433600,7.5175
"2009-03-09",7.4375,7.88,7.425,7.7225,12861200,7.7225
"2009-03-10",7.85,8.145,7.7675,8.1225,17008000,8.1225
"2009-03-11",8.2,8.465,8.16,8.3325,15950000,8.3325
"2009-03-12",8.4325,8.4925,8.0275,8.465,11796400,8.465
"2009-03-13",8.465,8.47,8.02,8.1975,13770400,8.1975
"2009-03-16",8.22,8.2875,7.9425,8.0675,10555600,8.0675
"2009-03-17",8.17,8.49,8.0425,8.49,7601200,8.49
"2009-03-18",8.39,8.855,8.3625,8.745,12249600,8.745
"2009-03-19",8.8725,9.0075,8.7725,8.885,9396800,8.885
"2009-03-20",8.95,9,8.5975,8.69,16111600,8.69
"2009-03-23",8.9675,9.2575,8.75,9.2575,9961600,9.2575
"2009-03-24",9.135,9.1425,8.6275,8.73,12135200,8.73
"2009-03-25",8.36,8.53,8.0025,8.53,14339600,8.53
"2009-03-26",8.6125,8.97,8.5625,8.9275,9382800,8.9275
"2009-03-27",8.7975,8.8125,8.415,8.52,7468800,8.52
"2009-03-30",8.4025,8.4325,8.07,8.1425,6936000,8.1425
"2009-03-31",8.1625,8.38,8.0675,8.1825,8236000,8.1825
"2009-04-01",7.815,8.225,7.5,8.1725,13760000,8.1725
"2009-04-02",8.295,8.74,8.295,8.5375,9072000,8.5375
"2009-04-03",8.5325,9.32,8.5325,9.3175,14236000,9.3175
"2009-04-06",9.16,9.2675,8.92,9.12,6131600,9.12
"2009-04-07",9.18,9.38,9.0575,9.155,8107200,9.155
"2009-04-08",9.28,9.4625,9.215,9.345,6921200,9.345
"2009-04-09",9.09,9.3725,8.9375,9.35,9401600,9.35
"2009-04-13",9.65,9.735,9.4625,9.5625,10804000,9.5625
"2009-04-14",9.465,9.745,9.4175,9.48,8170800,9.48
"2009-04-15",9.4075,9.415,9.1825,9.34,3706800,9.34
"2009-04-16",9.4575,9.52,9.1325,9.455,5596800,9.455
"2009-04-17",9.44,9.6975,9.435,9.5825,5581600,9.5825
"2009-04-20",9.375,9.375,9.0275,9.24,8122000,9.24
"2009-04-21",9.1925,9.71,9.1875,9.6975,8006800,9.6975
"2009-04-22",9.6675,10.1875,9.545,10,9872800,10
"2009-04-23",9.9025,9.9175,9.5125,9.82,10166000,9.82
"2009-04-24",9.905,10.12,9.79,10.0425,8279200,10.0425
"2009-04-27",9.8725,10.2875,9.765,10.1625,7833600,10.1625
"2009-04-28",10.0375,10.2275,9.96,10.145,4861600,10.145
"2009-04-29",10.175,10.4875,10.1225,10.3675,5509200,10.3675
"2009-04-30",10.4925,10.77,10.42,10.7025,10798400,10.7025
"2009-05-01",10.54,10.6875,10.29,10.3525,5610400,10.3525
"2009-05-04",10.4925,10.9075,10.4925,10.9075,8832000,10.9075
