"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2008-04-14",15.495,15.6025,14.675,15.025,11274000,15.025
"2008-04-15",14.94,15.31,14.625,14.8375,7210400,14.8375
"2008-04-16",14.875,15.6225,14.875,15.3925,9308400,15.3925
"2008-04-17",15.155,15.6075,15.0525,15.55,6904000,15.55
"2008-04-18",16.225,16.387501,15.9375,15.975,10350400,15.975
"2008-04-21",15.905,15.905,15.545,15.68,6328400,15.68
"2008-04-22",15.645,15.715,15.125,15.335,4835200,15.335
"2008-04-23",15.445,16.9375,15.325,16.8925,11672400,16.8925
"2008-04-24",17,17.4125,16.415001,17.07,9044800,17.07
"2008-04-25",16.860001,17.252501,16.565001,17.022499,3371200,17.022499
"2008-04-28",17.084999,17.34,16.842501,16.865,4645200,16.865
"2008-04-29",16.83,17.112499,16.627501,16.737499,3876800,16.737499
"2008-04-30",16.735001,17.3125,16.625,16.682501,5560800,16.682501
"2008-05-01",16.82,16.9925,16.3125,16.8225,5660400,16.8225
"2008-05-02",17,17,16.67,16.825001,4578400,16.825001
"2008-05-05",16.5975,17.477501,16.5975,17.342501,5538000,17.342501
"2008-05-06",17.299999,17.785,17.092501,17.5425,5860400,17.5425
"2008-05-07",17.567499,17.602501,16.6325,16.702499,6488800,16.702499
"2008-05-08",16.862499,16.91,16.5175,16.8925,4138400,16.8925
"2008-05-09",16.852501,17.049999,16.602501,16.674999,3507200,16.674999
"2008-05-12",16.684999,17.0375,16.305,16.905001,5706400,16.905001
"2008-05-13",16.932501,17.225,16.73,16.987499,6456000,16.987499
"2008-05-14",16.952499,17.475,16.952499,17.35,11976400,17.35
"2008-05-15",17.275,17.4275,16.825001,17.305,8154000,17.305
"2008-05-16",17.305,17.305,16.99,17.174999,8183200,17.174999
"2008-05-19",17.139999,17.25,16.5175,16.57,8870400,16.57
"2008-05-20",16.434999,16.434999,15.6,15.7,12602400,15.7
"2008-05-21",15.8175,15.9575,15.3575,15.665,13133600,15.665
"2008-05-22",15.87,17.2425,15.7625,16.577499,23101600,16.577499
"2008-05-23",16.625,16.922501,16.42,16.754999,7162800,16.754999
"2008-05-27",16.577499,17.120001,16.377501,17.0625,9291600,17.0625
"2008-05-28",17.125,17.725,16.897499,17.545,18012800,17.545
"2008-05-29",17.502501,18.08,17.200001,17.877501,10406000,17.877501
"2008-05-30",17.885,18.674999,17.885,18.077499,18095200,18.077499
"2008-06-02",18,18.0825,17.629999,17.8225,5719200,17.8225
"2008-06-03",17.887501,18.120001,17.67,18.047501,6004800,18.047501
"2008-06-04",18.059999,18.247499,17.98,18.137501,7169200,18.137501
"2008-06-05",18.155001,18.5,17.780001,18.48,6589200,18.48
"2008-06-06",18.307501,18.3325,17.735001,17.754999,4429200,17.754999
"2008-06-09",17.795,17.9625,17.192499,17.424999,4448400,17.424999
"2008-06-10",17.469999,17.885,17.442499,17.834999,5864400,17.834999
"2008-06-11",17.9175,17.9175,17.127501,17.360001,6658000,17.360001
"2008-06-12",17.4825,17.602501,17.4125,17.5525,4801600,17.5525
"2008-06-13",17.9725,18.395,17.875,18.1975,6442800,18.1975
"2008-06-16",18.192499,18.370001,18.012501,18.205,4144400,18.205
"2008-06-17",18.2125,18.35,17.895,18.012501,2916800,18.012501
"2008-06-18",17.987499,18.2075,17.637501,17.7575,3737200,17.7575
"2008-06-19",17.7325,18.77,17.7125,18.387501,7182400,18.387501
"2008-06-20",18.375,18.695,18.0375,18.275,5079600,18.275
"2008-06-23",18.327499,18.8025,18.16,18.6075,5286800,18.6075
"2008-06-24",18.584999,18.584999,17.65,17.715,8974800,17.715
"2008-06-25",17.834999,17.942499,17.525,17.6875,5682800,17.6875
"2008-06-26",17.459999,17.475,16.639999,16.782499,10817600,16.782499
"2008-06-27",16.715,17.227501,16.627501,17.155001,7128400,17.155001
"2008-06-30",17.4575,17.467501,17.02,17.057501,5105200,17.057501
"2008-07-01",16.844999,17.715,16.549999,17.530001,7631600,17.530001
"2008-07-02",17.719999,18.092501,17.450001,17.475,6079200,17.475
"2008-07-03",17.625,17.625,16.467501,16.8825,4197600,16.8825
"2008-07-07",16.9025,17.215,16.407499,16.785,4341200,16.785
"2008-07-08",16.504999,16.84,15.7875,16.705,8998800,16.705
"2008-07-09",16.690001,17.0425,16.247499,16.305,4672400,16.305
"2008-07-10",16.385,16.762501,16.0625,16.225,6382400,16.225
"2008-07-11",15.9275,16.2225,15.415,15.82,6191200,15.82
"2008-07-14",15.95,16.2425,15.55,15.5925,4951200,15.5925
"2008-07-15",15.3275,15.9925,15.0175,15.8475,8459600,15.8475
"2008-07-16",15.7225,16.807501,15.7225,16.75,10014800,16.75
"2008-07-17",16.807501,17.495001,16.74,17.405001,6846400,17.405001
"2008-07-18",17.469999,17.735001,17,17.684999,5493600,17.684999
"2008-07-21",17.610001,17.745001,17.195,17.344999,4720800,17.344999
"2008-07-22",16.7875,16.807501,16.122499,16.42,11070000,16.42
"2008-07-23",16.325001,17.014999,16.092501,16.147499,7498400,16.147499
"2008-07-24",16.272499,16.272499,15.775,15.8625,4163600,15.8625
"2008-07-25",15.865,16.205,15.6875,15.9375,4079200,15.9375
"2008-07-28",15.9375,16.362499,15.635,15.6625,3890400,15.6625
"2008-07-29",15.7775,16.110001,15.775,15.93,6876800,15.93
"2008-07-30",16.032499,16.247499,15.7575,16.2325,4267600,16.2325
"2008-07-31",16.0625,16.15,15.8225,15.9475,4683600,15.9475
"2008-08-01",16.032499,16.0975,15.6975,16.0725,4344000,16.0725
"2008-08-04",16.065001,16.2925,15.8,16.262501,5245200,16.262501
"2008-08-05",16.290001,17.155001,16.272499,17.0525,6574000,17.0525
"2008-08-06",16.9625,17.200001,16.725,17.139999,4924000,17.139999
"2008-08-07",17.127501,17.334999,16.815001,16.905001,3806000,16.905001
"2008-08-08",16.9125,17.540001,16.754999,17.397499,8310400,17.397499
"2008-08-11",17.465,17.93,17.3225,17.6075,6158000,17.6075
"2008-08-12",17.525,17.75,17.379999,17.58,5032400,17.58
"2008-08-13",17.4625,17.5275,17.1425,17.2875,7038400,17.2875
"2008-08-14",17.0175,17.08,16.635,16.805,8932000,16.805
"2008-08-15",16.942499,17.120001,16.4025,16.577499,5223200,16.577499
"2008-08-18",16.58,16.6525,15.9775,16.16,5611600,16.16
"2008-08-19",16.094999,16.512501,16.0625,16.370001,5137600,16.370001
"2008-08-20",16.747499,16.747499,16.1875,16.325001,12539600,16.325001
"2008-08-21",14.6175,14.6175,13.1825,13.3125,56010400,13.3125
"2008-08-22",13.585,14.1875,13.45,13.9925,23180800,13.9925
"2008-08-25",13.7675,14.36,13.7675,14.1325,11970400,14.1325
"2008-08-26",14.4875,14.5525,13.8475,14.14,16361200,14.14
"2008-08-27",14.125,14.4625,14.055,14.2525,9659600,14.2525
"2008-08-28",14.2575,14.4475,14.165,14.425,4914800,14.425
"2008-08-29",14.165,14.245,13.905,14.005,5167600,14.005
"2008-09-02",14.125,14.3675,13.725,13.7875,6189600,13.7875
"2008-09-03",13.7225,13.9775,13.315,13.495,7792800,13.495
"2008-09-04",13.355,13.5775,13.1025,13.475,9488400,13.475
"2008-09-05",13.1875,13.6675,13.07,13.6125,7794000,13.6125
"2008-09-08",13.945,14.0125,13.095,13.7125,13206800,13.7125
"2008-09-09",13.7,13.9575,12.93,13.025,11921200,13.025
"2008-09-10",13.7375,14.28,13.675,14.0225,22670000,14.0225
"2008-09-11",13.7125,14.525,13.5725,14.5,15580400,14.5
"2008-09-12",14.385,14.4725,14.165,14.3,87332400,14.3
"2008-09-15",13.5675,14.3,13.5675,13.7,13044000,13.7
"2008-09-16",13.4525,14.06,13.2875,14.06,11338800,14.06
"2008-09-17",13.6675,13.875,13.235,13.33,12199600,13.33
"2008-09-18",13.3775,14.0275,12.9175,13.8275,14480400,13.8275
"2008-09-19",14.3125,15.06,13.7525,13.9525,13615600,13.9525
"2008-09-22",13.9375,13.9375,12.95,13.0925,9393600,13.0925
"2008-09-23",12.92,13.4025,12.7625,13.0575,9320000,13.0575
"2008-09-24",13.2075,13.2075,12.65,12.7475,8067200,12.7475
"2008-09-25",12.815,13.4125,12.6475,13.01,8104000,13.01
"2008-09-26",12.6075,12.84,12.465,12.6625,9162400,12.6625
"2008-09-29",12.2675,12.375,11.0425,11.19,14679200,11.19
"2008-09-30",11.5175,12.1,11.025,12.1,12756400,12.1
"2008-10-01",11.94,12.125,11.4975,11.6025,7302400,11.6025
"2008-10-02",11.495,11.495,11.03,11.0475,7515200,11.0475
"2008-10-03",10.2375,11.4825,10.19,10.3925,17098000,10.3925
"2008-10-06",9.915,10.2025,9.46,10.1,17098800,10.1
"2008-10-07",9.6975,9.91,8.8425,8.985,15734800,8.985
"2008-10-08",8.4675,9.44,8.4275,9.125,12952000,9.125
"2008-10-09",9.3325,9.435,8.4925,8.4925,9391600,8.4925
"2008-10-10",7.7275,8.5225,7.505,8.14,21575200,8.14
"2008-10-13",8.7475,9.4325,8.4475,9.4325,13758000,9.4325
"2008-10-14",10.0425,10.3125,8.715,8.975,15102000,8.975
"2008-10-15",9.0325,9.0325,7.7225,7.73,11249600,7.73
"2008-10-16",7.9125,8.1825,7.095,8.1225,23329600,8.1225
"2008-10-17",7.9575,8.43,7.615,7.8975,16047200,7.8975
"2008-10-20",8.0525,8.0525,7.52,7.955,8548000,7.955
"2008-10-21",7.7775,7.97,7.45,7.4975,13588000,7.4975
"2008-10-22",7.4075,7.4075,6.745,6.8825,15887600,6.8825
"2008-10-23",7.0075,7.1625,6.4225,6.8025,14671600,6.8025
"2008-10-24",6.2475,6.885,6.1,6.67,12704800,6.67
"2008-10-27",6.57,6.715,6.3,6.3275,7949600,6.3275
"2008-10-28",6.5775,7.1425,6.16,7.1425,11873200,7.1425
"2008-10-29",7.0525,7.7225,6.9025,7.515,12514400,7.515
"2008-10-30",7.8075,7.9575,7.43,7.63,11435600,7.63
"2008-10-31",7.63,7.9875,7.28,7.74,9841200,7.74
"2008-11-03",7.4075,7.925,7.4075,7.6475,4764000,7.6475
"2008-11-04",7.8575,8.0375,7.725,7.8825,7015600,7.8825
"2008-11-05",7.8875,7.8875,7.3425,7.45,9453600,7.45
"2008-11-06",7.2525,7.55,7.0175,7.0875,6859200,7.0875
"2008-11-07",7.1575,7.2175,6.9475,7.14,5676400,7.14
"2008-11-10",7.3725,7.4125,6.935,7.08,7584400,7.08
"2008-11-11",6.9075,6.9225,6.43,6.6925,11071600,6.6925
"2008-11-12",6.6025,6.6025,6.065,6.0825,9790400,6.0825
"2008-11-13",6.1,6.845,5.945,6.845,13722800,6.845
"2008-11-14",6.5925,6.98,6.54,6.6,10644400,6.6
"2008-11-17",6.5075,6.6525,6.32,6.3975,8112000,6.3975
"2008-11-18",6.325,6.57,5.7325,5.95,16338000,5.95
"2008-11-19",5.91,6.04,5.48,5.49,17593200,5.49
"2008-11-20",5.425,6.2575,5.4125,5.7075,19470400,5.7075
"2008-11-21",6.3825,6.495,5.205,5.58,34756800,5.58
"2008-11-24",5.8175,6.825,5.68,6.6475,21225200,6.6475
"2008-11-25",6.855,6.8975,6.1925,6.4925,12973600,6.4925
"2008-11-26",6.43,7.305,6.39,7.2225,12836000,7.2225
"2008-11-28",7.3075,7.31,6.8925,7.155,3034000,7.155
"2008-12-01",6.82,6.865,6.5325,6.7375,15209200,6.7375
"2008-12-02",6.55,7.28,6.3825,7.2675,21122400,7.2675
"2008-12-03",6.955,8.0125,6.905,7.9325,21466800,7.9325
"2008-12-04",7.7825,8.0625,7.0075,7.1675,12506400,7.1675
"2008-12-05",7.12,7.8525,7.0475,7.79,11990800,7.79
"2008-12-08",8.1075,8.7175,8.105,8.71,15876000,8.71
"2008-12-09",8.5325,9.1125,8.25,8.335,15295600,8.335
"2008-12-10",8.38,8.7025,8.1675,8.645,8227600,8.645
"2008-12-11",8.655,8.655,7.8025,7.8775,7135600,7.8775
"2008-12-12",7.75,8.01,7.51,7.9875,6966800,7.9875
"2008-12-15",8.025,8.025,7.45,7.6275,5571200,7.6275
"2008-12-16",7.795,8.18,7.68,8.18,6813200,8.18
"2008-12-17",8.1,8.445,8.025,8.295,5984400,8.295
"2008-12-18",8.315,8.44,7.87,8.0375,8776800,8.0375
"2008-12-19",8.175,8.42,7.9475,8.075,8856000,8.075
"2008-12-22",8.0825,8.085,7.55,7.7725,4957200,7.7725
"2008-12-23",8.02,8.115,7.8425,7.895,5270000,7.895
"2008-12-24",7.885,7.9425,7.805,7.8875,968400,7.8875
"2008-12-26",7.9075,7.9075,7.645,7.855,1626400,7.855
"2008-12-29",7.7825,7.8525,7.5725,7.7325,2692400,7.7325
"2008-12-30",7.8,7.8325,7.65,7.74,4298800,7.74
"2008-12-31",7.7125,8.13,7.7075,8.0025,5367600,8.0025
"2009-01-02",8.025,8.55,7.9125,8.505,4069200,8.505
"2009-01-05",8.3825,8.585,8.2525,8.3375,7444800,8.3375
"2009-01-06",8.5325,8.8075,8.285,8.65,5938800,8.65
"2009-01-07",8.4375,8.4875,7.935,8,5647600,8
"2009-01-08",8.0725,8.25,7.8625,8.2275,4781200,8.2275
"2009-01-09",8.16,8.1975,7.68,7.8825,6386000,7.8825
"2009-01-12",7.85,7.8725,7.6175,7.7125,3714000,7.7125
"2009-01-13",7.56,7.805,7.245,7.4075,11997600,7.4075
"2009-01-14",7.3425,7.3425,6.8225,6.965,11250400,6.965
"2009-01-15",7.035,7.185,6.7675,6.9225,11600000,6.9225
"2009-01-16",7.0975,7.1075,6.57,7.0325,13016800,7.0325
"2009-01-20",6.97,7.09,6.475,6.5175,11439200,6.5175
"2009-01-21",6.7725,6.9175,6.4575,6.8925,9241200,6.8925
"2009-01-22",6.7125,6.7325,6.5075,6.62,7372400,6.62
"2009-01-23",6.4775,6.8925,6.4775,6.7725,6079200,6.7725
"2009-01-26",6.8,7.14,6.7325,6.875,9273600,6.875
