"","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume","EXPE.Adjusted"
"2012-06-19",48.700001,49.630001,48.200001,48.490002,6189700,44.984261
"2012-06-20",48.560001,48.939999,46.619999,47.950001,5161900,44.483299
"2012-06-21",48.139999,48.810001,47.580002,47.830002,3601600,44.371983
"2012-06-22",47.700001,48.380001,47.630001,48.029999,4121400,44.557514
"2012-06-25",47.860001,47.860001,46.060001,46.25,3010000,42.906216
"2012-06-26",46.5,47.09,45.939999,46.400002,2548600,43.045364
"2012-06-27",46.720001,47.439999,46.07,46.610001,2287300,43.240185
"2012-06-28",46.189999,46.349998,44.639999,46.209999,2552500,42.869099
"2012-06-29",47.400002,48.52,47.259998,48.07,3498900,44.594624
"2012-07-02",48.220001,49.52,48.080002,49.189999,3527000,45.633648
"2012-07-03",49.099998,49.360001,48.040001,48.669998,1690600,45.151245
"2012-07-05",48.43,49.23,48.310001,48.330002,2021200,44.835835
"2012-07-06",48.150002,48.700001,47.02,47.720001,2075100,44.269932
"2012-07-09",47.759998,47.860001,47.040001,47.470001,1833000,44.03801
"2012-07-10",48.009998,48.580002,45.290001,45.720001,4956700,42.414524
"2012-07-11",45.849998,46.23,45.09,45.610001,2343100,42.312485
"2012-07-12",44.990002,45.119999,43.599998,44.060001,4371100,40.874538
"2012-07-13",44.310001,45.91,43.439999,45.669998,2832000,42.368134
"2012-07-16",45.369999,45.799999,44.509998,45.220001,2686500,41.950684
"2012-07-17",45.700001,46.450001,44.619999,45.93,2762500,42.609341
"2012-07-18",45.279999,46.799999,45.080002,46.549999,2860600,43.184528
"2012-07-19",46.689999,48.790001,46.470001,47.560001,3406500,44.121494
"2012-07-20",47.41,47.82,46.66,47.099998,2454000,43.694752
"2012-07-23",46.189999,46.630001,44.700001,46.380001,2791100,43.02681
"2012-07-24",46.52,47.080002,45.82,46.32,3246900,42.971149
"2012-07-25",45.669998,46.41,43.75,44.25,5102800,41.050804
"2012-07-26",45.09,45.939999,43.560001,45.709999,6510900,42.405239
"2012-07-27",53.68,58.400002,53.66,54.900002,17453800,50.930828
"2012-07-30",54.900002,56.68,54.669998,56.119999,5272400,52.062634
"2012-07-31",55.639999,57.490002,55.25,56.990002,4443600,52.869728
"2012-08-01",57.349998,57.400002,56.029999,56.400002,2297600,52.322388
"2012-08-02",56.049999,56.950001,55.48,56.799999,2017100,52.693459
"2012-08-03",57.209999,58.799999,57.009998,57.450001,2925100,53.296486
"2012-08-06",57.77,58.610001,57.169998,58.419998,2459400,54.196339
"2012-08-07",58.790001,59.5,58.439999,58.869999,4809700,54.613792
"2012-08-08",56.630001,58.150002,54.630001,56.139999,7823300,52.081181
"2012-08-09",56.290001,56.779999,55.759998,55.959999,2093200,51.914207
"2012-08-10",55.919998,55.990002,53.560001,54.439999,3323300,50.504093
"2012-08-13",55.02,55.029999,53.080002,53.830002,3130300,49.938179
"2012-08-14",53.290001,53.599998,52.119999,52.310001,3274300,48.528088
