"","LMT.Open","LMT.High","LMT.Low","LMT.Close","LMT.Volume","LMT.Adjusted"
"2001-04-23",34.5,35.099998,34.049999,34.5,1054000,21.397219
"2001-04-24",34.5,36.150002,34.5,35.889999,1496800,22.259314
"2001-04-25",35.599998,36.150002,34.900002,35.889999,1194100,22.259314
"2001-04-26",35.639999,36.25,35.5,35.700001,825300,22.141466
"2001-04-27",35.700001,36.139999,35.700001,36,958200,22.327538
"2001-04-30",36.25,36.349998,35.009998,35.16,1534800,21.806561
"2001-05-01",36.099998,37.330002,36.029999,37.130001,3556100,23.028368
"2001-05-02",37.900002,37.900002,36.5,36.849998,3195300,22.854713
"2001-05-03",36.849998,36.849998,35.419998,35.98,1131400,22.315119
"2001-05-04",35.73,36.200001,35.73,36,797200,22.327538
"2001-05-07",35.75,36,35.75,36,777200,22.327538
"2001-05-08",35.830002,36.25,35.599998,36.150002,1243800,22.420563
"2001-05-09",36.16,36.349998,35.759998,36.299999,864300,22.51359
"2001-05-10",36.299999,36.400002,35.900002,36,1166200,22.327538
"2001-05-11",36.5,36.860001,35.799999,36.619999,693800,22.712065
"2001-05-14",36.950001,37.560001,36.700001,37.48,1951600,23.245441
"2001-05-15",37.450001,37.599998,36.5,37.32,1137400,23.146198
"2001-05-16",37.099998,37.990002,37,37.799999,1434400,23.443907
"2001-05-17",37.799999,38.59,37.619999,38.299999,1450200,23.754009
"2001-05-18",38.799999,38.900002,38,38.349998,1171800,23.78503
"2001-05-21",38.360001,39.150002,38.099998,39.09,1047100,24.243979
"2001-05-22",39.099998,39.790001,38.75,39.25,1131400,24.343212
"2001-05-23",39.5,39.549999,38.799999,39,3027000,24.188156
"2001-05-24",39,39.150002,37.93,38.849998,2234300,24.095127
"2001-05-25",38.700001,38.700001,37.849998,38,1354000,23.567953
"2001-05-29",38.25,38.450001,38.02,38.27,722500,23.735422
"2001-05-30",38.450001,39.799999,38.400002,39.349998,2437700,24.475578
"2001-05-31",38.799999,38.900002,38,38.290001,2271700,23.816269
"2001-06-01",38.450001,38.700001,38,38.560001,903000,23.984219
"2001-06-04",38.57,38.740002,38.25,38.349998,1028000,23.853594
"2001-06-05",38.099998,38.98,37.950001,38.700001,1093200,24.071285
"2001-06-06",38.75,39.049999,38.240002,38.389999,837800,23.878462
"2001-06-07",38.349998,38.650002,37.5,37.970001,977800,23.617229
"2001-06-08",37.98,37.98,37.029999,37.369999,648700,23.24402
"2001-06-11",37.380001,37.889999,37.200001,37.759998,808800,23.48662
"2001-06-12",37.599998,38.150002,37.299999,37.73,810000,23.467947
"2001-06-13",37.75,38.099998,37.5,37.509998,832800,23.331121
"2001-06-14",37.48,37.5,35.950001,36.169998,1534300,22.497631
"2001-06-15",35.5,37.400002,35.5,37.169998,1488400,23.119629
"2001-06-18",37.259998,37.43,36.610001,36.799999,835300,22.889488
"2001-06-19",37.049999,37.099998,36.32,36.75,608400,22.858383
"2001-06-20",37,37.5,36.790001,37.189999,1323300,23.132067
"2001-06-21",37,37.099998,36.389999,36.720001,1160500,22.839739
"2001-06-22",36.849998,36.91,35.400002,35.689999,1243200,22.199078
"2001-06-25",35.689999,36.25,35.450001,36.150002,951700,22.485193
"2001-06-26",36.099998,36.099998,35.5,36,1430700,22.391895
"2001-06-27",36.200001,36.200001,35.610001,35.639999,959300,22.167982
"2001-06-28",36,36.900002,35.970001,36.650002,1504100,22.796194
"2001-06-29",36.75,37.200001,36.5,37.049999,1192200,23.044992
"2001-07-02",37.200001,37.5,36.049999,36.25,1709400,22.547392
"2001-07-03",36.25,36.32,35.610001,36.07,666200,22.435444
"2001-07-05",35.849998,36.599998,35.599998,36.400002,1006700,22.640686
"2001-07-06",36.299999,36.810001,36.299999,36.5,812800,22.702896
"2001-07-09",36.25,36.25,35.66,35.799999,737700,22.267494
"2001-07-10",36.200001,36.599998,36,36.490002,1527600,22.696678
"2001-07-11",35.75,36.5,35.360001,36.150002,1135500,22.485193
"2001-07-12",37,37.25,36,36.900002,1302300,22.951689
"2001-07-13",36.700001,36.950001,36.369999,36.73,1370600,22.845943
"2001-07-16",36.93,37.200001,36.439999,36.529999,1335200,22.721546
"2001-07-17",36.779999,37,36.5,36.759998,1623200,22.864616
"2001-07-18",36.509998,37.169998,36.200001,37.099998,1554000,23.07608
"2001-07-19",37.349998,38.580002,37.349998,37.889999,1974800,23.567463
"2001-07-20",37.950001,38,37.48,37.490002,764800,23.318672
"2001-07-23",37.5,37.799999,36.75,37.139999,575300,23.100969
"2001-07-24",37.119999,37.689999,36.849998,37.240002,1154400,23.163168
"2001-07-25",37.049999,37.580002,36.75,37.349998,1485500,23.231592
"2001-07-26",38.200001,39.700001,37.799999,38.849998,2877400,24.164579
"2001-07-27",39.099998,39.650002,38.599998,39.200001,2908400,24.382282
"2001-07-30",39,39.130001,38.279999,38.990002,1276300,24.251665
"2001-07-31",38.740002,39.93,38.740002,39.619999,1352200,24.643522
"2001-08-01",39.869999,40.009998,39.360001,39.790001,1384100,24.749268
"2001-08-02",39.900002,39.950001,38.75,39,899800,24.257881
"2001-08-03",39.200001,39.299999,38.529999,38.650002,916900,24.040188
"2001-08-06",38.540001,39,38.200001,38.200001,1016600,23.76029
"2001-08-07",38.549999,38.580002,38.119999,38.459999,1075900,23.922005
"2001-08-08",38.450001,38.459999,37.900002,37.900002,767300,23.573696
"2001-08-09",37.900002,38.450001,37.580002,38.040001,1042200,23.660767
"2001-08-10",38.040001,39,38,38.990002,965400,24.251665
"2001-08-13",39,39.5,39,39.099998,1632700,24.320087
"2001-08-14",39.25,39.75,39.200001,39.619999,1507600,24.643522
"2001-08-15",39.700001,39.75,39,39.200001,1098100,24.382282
"2001-08-16",39.299999,39.709999,39.240002,39.560001,1011700,24.606209
"2001-08-17",39.200001,39.790001,39,39.150002,642500,24.351189
"2001-08-20",39,39.580002,38.75,39.439999,989300,24.531563
"2001-08-21",39.490002,39.720001,39.400002,39.650002,1680200,24.662174
"2001-08-22",39.549999,39.650002,38.900002,39,849900,24.257881
"2001-08-23",38.799999,39.450001,38.450001,39.41,1660600,24.512903
"2001-08-24",39.16,39.84,38.869999,39.84,1340600,24.780359
"2001-08-27",39.939999,40.25,38.98,39.34,1753000,24.469368
"2001-08-28",39.099998,39.950001,38.849998,39.650002,2126500,24.662174
"2001-08-29",39.799999,40.099998,39.34,39.880001,1154300,24.805243
"2001-08-30",39.779999,39.950001,39.139999,39.369999,1729400,24.555754
"2001-08-31",39.5,39.939999,39.139999,39.860001,2483900,24.861374
"2001-09-04",39.700001,40.77,39.650002,40.099998,2040700,25.011076
"2001-09-05",40.099998,40.349998,39.639999,39.700001,1776600,24.761581
"2001-09-06",39.650002,39.950001,38.740002,39.049999,1314000,24.356169
"2001-09-07",38.450001,39.23,38.200001,38.490002,1683400,24.006884
"2001-09-10",37.950001,38.849998,37.93,38.32,1889800,23.900856
"2001-09-17",46,46,42,43.950001,12630900,27.412386
"2001-09-18",43.950001,45.209999,43.799999,44.599998,6298700,27.817802
"2001-09-19",44.5,44.75,42.400002,42.919998,5654500,26.769953
"2001-09-20",44,44.450001,42,42.459999,4896700,26.483042
"2001-09-21",41,42.900002,41,42.200001,6860600,26.320881
"2001-09-24",42,43.029999,41.349998,42,3664400,26.196131
"2001-09-25",41.799999,42.470001,41.799999,42.360001,4345200,26.420675
"2001-09-26",41.950001,42.23,41.779999,42,2689300,26.196131
"2001-09-27",41.900002,43.849998,41.900002,43.299999,6769900,27.006954
"2001-09-28",44.700001,45,43.650002,43.75,5209200,27.287632
"2001-10-01",44,44.490002,42.5,43.610001,2025300,27.200323
"2001-10-02",44.5,45.25,44.400002,45,3599400,28.067286
"2001-10-03",45,45.75,44.5,45.400002,2838400,28.316771
"2001-10-04",45.650002,45.950001,44.91,45.599998,3253000,28.441515
"2001-10-05",45.900002,47.849998,45.849998,47.73,3150900,29.770035
"2001-10-08",48,49.73,48,49.110001,5549600,30.630774
"2001-10-09",49.110001,49.25,47.549999,47.549999,5129400,29.65777
"2001-10-10",47.549999,47.990002,46.869999,47.360001,3299800,29.539251
"2001-10-11",47.400002,47.970001,46.150002,46.389999,2917400,28.934248
"2001-10-12",45.799999,46.25,44.799999,45.450001,2210600,28.347952
"2001-10-15",45.450001,47.5,45.419998,47.299999,2908800,29.501831
"2001-10-16",47.099998,47.849998,46.849998,47.849998,2616100,29.844875
"2001-10-17",47.970001,48.049999,46.470001,46.490002,2411500,28.996626
"2001-10-18",46.299999,46.900002,45.849998,46.25,1432400,28.846928
"2001-10-19",47,47.900002,46.900002,47.66,2912700,29.726372
"2001-10-22",48,48.529999,47.02,48.360001,2411900,30.162973
"2001-10-23",48.400002,48.639999,47.099998,47.459999,2168200,29.601631
"2001-10-24",47.450001,49.700001,47,49.700001,3112500,30.998749
"2001-10-25",49.700001,49.75,48.529999,48.900002,4343400,30.49979
"2001-10-26",50,50.259998,49.5,49.919998,10732000,31.13596
"2001-10-29",52.98,52.98,48.860001,49,15982300,30.562143
"2001-10-30",49.150002,49.48,47.900002,48,3904300,29.938433
"2001-10-31",48.5,49.740002,48.25,48.77,2377300,30.418686
"2001-11-01",48.950001,49,48.240002,48.5,1735300,30.250299
"2001-11-02",48.450001,48.5,48,48.380001,1853400,30.175463
"2001-11-05",48.849998,49.25,48.599998,48.990002,1695000,30.555912
"2001-11-06",48.799999,48.849998,47.130001,47.849998,3582900,29.844875
"2001-11-07",47.349998,48,47.299999,47.540001,2003600,29.651529
"2001-11-08",47.540001,48,47.25,47.75,1740200,29.782518
"2001-11-09",47.849998,48.099998,47.349998,47.5,1202200,29.626574
"2001-11-12",47.200001,47.75,46.200001,47.400002,1392700,29.564201
"2001-11-13",47.389999,47.5,45.41,45.470001,2413400,28.360434
"2001-11-14",45.459999,45.459999,43.25,44.049999,5478000,27.474752
"2001-11-15",43.450001,44.029999,42.400002,44.029999,3350100,27.462271
"2001-11-16",44.700001,45.349998,43.799999,44.75,2868900,27.911356
"2001-11-19",45.400002,46.200001,45.299999,45.900002,2563200,28.628632
"2001-11-20",45.299999,46.18,44.700001,45.490002,1358000,28.372915
"2001-11-21",45.599998,45.990002,45.25,45.599998,874600,28.441515
"2001-11-23",45,45.5,44.650002,45.009998,600400,28.073528
"2001-11-26",45.5,45.869999,45.130001,45.610001,1373800,28.447758
"2001-11-27",45.5,46.5,45.200001,46.279999,1511400,28.865643
"2001-11-28",46.099998,46.5,45.349998,45.610001,1285100,28.447758
"2001-11-29",45.75,46.700001,45.349998,46.25,1658100,28.916672
"2001-11-30",46.400002,46.599998,46.02,46.450001,1385200,29.041723
"2001-12-03",46.299999,47.200001,46.099998,46.990002,1194100,29.379343
"2001-12-04",47.189999,47.189999,46.099998,46.889999,1483500,29.316803
"2001-12-05",47.049999,47.189999,45.150002,45.990002,1851900,28.754112
"2001-12-06",46.5,46.549999,45.900002,46.200001,2508500,28.88541
"2001-12-07",46.200001,46.57,45.009998,45.740002,1024700,28.597799
"2001-12-10",45.740002,46.450001,45.619999,45.959999,1667200,28.73534
"2001-12-11",46.25,46.25,45.200001,45.580002,1565100,28.497776
"2001-12-12",45.5,46.48,45.450001,46.400002,1883800,29.010458
"2001-12-13",46.150002,46.48,45.900002,45.950001,976200,28.729101
"2001-12-14",45.700001,46.299999,45.700001,46.049999,1266100,28.791626
"2001-12-17",46.200001,46.900002,46.099998,46.540001,2406700,29.097996
"2001-12-18",46.639999,46.700001,45.66,45.900002,2686800,28.697842
"2001-12-19",45.52,46,45.5,45.709999,2198100,28.579056
"2001-12-20",45.709999,46.099998,45.669998,45.900002,2161200,28.697842
"2001-12-21",45.950001,46.34,45.91,46,1742600,28.760366
"2001-12-24",46,46.48,46,46.189999,448300,28.87915
"2001-12-26",46.299999,46.5,45.389999,46.16,1463000,28.860399
"2001-12-27",46.200001,46.59,46,46.400002,1383800,29.010458
"2001-12-28",46.549999,47.049999,46.400002,46.790001,1430300,29.25429
"2001-12-31",46.950001,47.150002,46.650002,46.669998,927300,29.179264
"2002-01-02",46.150002,46.549999,45.849998,46.240002,1530800,28.910408
"2002-01-03",46.209999,46.610001,46.009998,46.57,835600,29.116745
"2002-01-04",46.57,47.5,46.57,47.259998,3097300,29.548155
"2002-01-07",47.25,47.599998,46.799999,46.98,1989200,29.373074
"2002-01-08",46.900002,48.009998,46.880001,47.650002,2306600,29.791985
"2002-01-09",47.700001,48,47.060001,47.18,1804900,29.498129
"2002-01-10",47.900002,48.200001,47.759998,47.970001,1559700,29.992065
"2002-01-11",47.450001,47.700001,46.700001,46.740002,1860200,29.223036
"2002-01-14",46.5,47.75,46.5,47.599998,1755800,29.760733
"2002-01-15",47.810001,48.75,47.630001,48.5,3083700,30.32342
"2002-01-16",48.25,48.900002,47.75,48.389999,2620200,30.254642
"2002-01-17",48.5,48.75,47.939999,48.23,1570000,30.154612
"2002-01-18",48.220001,49,48.099998,48.66,1966600,30.423468
"2002-01-22",48.860001,49.700001,48.700001,48.849998,1937400,30.542257
"2002-01-23",48.700001,48.959999,47.25,48,1752400,30.010811
"2002-01-24",48.23,49.639999,48.150002,49.41,5849700,30.89237
"2002-01-25",49.849998,50.900002,49.5,50,4930400,31.261276
"2002-01-28",50,51.200001,49.990002,51,4455100,31.886497
"2002-01-29",51.25,51.34,49.860001,50.400002,2305800,31.511351
"2002-01-30",50.5,51.5,50,50.459999,2367500,31.548868
"2002-01-31",50.27,52.970001,50.27,52.970001,4497700,33.118191
"2002-02-01",52,52.599998,51.720001,52.43,4949800,32.780563
"2002-02-04",52.599998,54.099998,52.5,53.299999,4074800,33.324516
"2002-02-05",52.25,53.299999,52.200001,53.209999,4566800,33.268242
"2002-02-06",53,54.02,53,53.599998,4581400,33.512085
"2002-02-07",53.52,54.209999,53.52,53.970001,2205700,33.74342
"2002-02-08",53.720001,54.700001,53.509998,54.380001,1779500,33.999756
"2002-02-11",53.950001,54.349998,53.700001,54.049999,2089200,33.793427
"2002-02-12",53.549999,53.75,52.799999,53,1977100,33.136955
"2002-02-13",53,53.41,52.849998,52.950001,2226100,33.105682
"2002-02-14",53,53.5,52.860001,53.400002,2078800,33.387047
"2002-02-15",53.400002,55.099998,53.290001,54.869999,3949800,34.306118
"2002-02-19",54,54.400002,53.75,53.799999,2491700,33.637119
"2002-02-20",54.25,55.889999,54.009998,55.700001,2884400,34.825043
"2002-02-21",55.5,56.990002,55.200001,55.200001,4332800,34.51244
"2002-02-22",55,55,53.599998,54.220001,3697700,33.899708
"2002-02-25",55,56.990002,54.200001,56.5,3227200,35.325226
"2002-02-26",56,56.720001,55.849998,55.849998,1866500,34.918835
"2002-02-27",56,57.82,55.91,56.91,2909200,35.581589
"2002-02-28",57.700001,57.889999,56.349998,56.41,2262600,35.337254
"2002-03-01",57.150002,57.599998,56.75,57.07,2124100,35.750717
"2002-03-04",57,57.360001,56.849998,57,2459800,35.706863
"2002-03-05",56.549999,56.950001,54.150002,54.75,3727400,34.297382
"2002-03-06",55,58,54.720001,57.560001,3464900,36.057655
"2002-03-07",57.200001,57.560001,55.939999,56.419998,2292300,35.343521
"2002-03-08",56.98,57.099998,55.119999,56.740002,2255900,35.54398
"2002-03-11",56.049999,58.400002,55.900002,57.75,3291200,36.176689
"2002-03-12",57.049999,57.990002,56.5,57.099998,2372500,35.769497
"2002-03-13",56.919998,57.48,56.669998,56.98,1792800,35.694336
"2002-03-14",57.099998,57.75,56.709999,57.310001,1337100,35.901066
"2002-03-15",57.5,58.400002,57.34,57.810001,2671500,36.214283
"2002-03-18",57.450001,58.700001,57.099998,57.84,1940100,36.233063
"2002-03-19",57.599998,58.849998,57.599998,58.41,2267100,36.590137
"2002-03-20",58.25,58.68,57.799999,58.040001,1738900,36.358345
"2002-03-21",58.200001,58.299999,57.279999,57.650002,1652800,36.11404
"2002-03-22",56.549999,57.25,55.5,56.25,3019400,35.237026
"2002-03-25",56.5,56.59,55.700001,56.049999,2029600,35.111744
"2002-03-26",56.200001,57.610001,55.970001,57.23,2133500,35.850952
"2002-03-27",57.650002,59.959999,57.650002,58.150002,3900700,36.427258
"2002-03-28",58.400002,58.5,57.48,57.580002,2091200,36.070194
"2002-04-01",57.830002,59.459999,57.349998,59.09,2062900,37.016121
"2002-04-02",59,59.830002,58.630001,58.91,2569100,36.903351
"2002-04-03",58.66,59.549999,58.119999,58.529999,1626700,36.665314
"2002-04-04",58.529999,59.419998,58.400002,59.099998,1467700,37.022373
"2002-04-05",58.799999,59.380001,58.380001,59.09,1032000,37.016121
"2002-04-08",59,60.119999,58.900002,60.099998,1579900,37.6488
"2002-04-09",59.799999,60.099998,59.080002,59.599998,2284500,37.335587
"2002-04-10",60,62.099998,59.950001,61.029999,3884500,38.231403
"2002-04-11",61.450001,61.919998,59.959999,60.349998,3451700,37.805428
"2002-04-12",60.349998,61.950001,60.07,61.540001,1850500,38.55088
"2002-04-15",61.349998,61.810001,59.549999,60.209999,2071200,37.717716
"2002-04-16",60.450001,61.849998,60.349998,61.5,2157900,38.525822
"2002-04-17",61.5,61.5,59.57,60.080002,2184100,37.636295
"2002-04-18",60.080002,60.700001,59.68,59.950001,2844400,37.554844
"2002-04-19",60.799999,60.950001,59.450001,59.849998,1791700,37.492203
"2002-04-22",59.599998,59.880001,58.130001,59.119999,3186200,37.034912
"2002-04-23",59.529999,62.25,59,62.200001,4235600,38.964325
"2002-04-24",61.75,62.200001,60.75,61.119999,3781200,38.287773
"2002-04-25",61,62.919998,60.099998,62.779999,3034600,39.327652
"2002-04-26",62.700001,63.049999,60.900002,61.52,2167300,38.538349
"2002-04-29",61.450001,62.279999,60.849998,61.549999,2195200,38.55714
"2002-04-30",60.700001,63.48,60.5,62.900002,3495700,39.402832
"2002-05-01",62.450001,63.049999,62,62.950001,2970700,39.434139
"2002-05-02",62.849998,62.93,61.75,62.299999,2105700,39.026958
"2002-05-03",62.650002,63,61.77,62.849998,2191000,39.371517
"2002-05-06",62.849998,63.200001,61.119999,61.419998,1546600,38.475708
"2002-05-07",61.029999,62.18,60.849998,61.75,2299600,38.68243
"2002-05-08",61.349998,63.290001,61.310001,62.5,1858400,39.15226
"2002-05-09",62.349998,63.290001,62.099998,62.25,2692900,38.99564
"2002-05-10",62.599998,62.610001,61.25,61.52,1623100,38.538349
"2002-05-13",61.75,63.34,61.700001,62.029999,1055100,38.85783
"2002-05-14",62.09,62.549999,61,61.900002,1985300,38.77639
"2002-05-15",61.150002,61.66,59.900002,60.77,2703400,38.068535
"2002-05-16",60.349998,61.549999,60.150002,61.25,1908300,38.369221
"2002-05-17",61.950001,62.169998,60.869999,61.700001,1844200,38.651119
"2002-05-20",61.5,62.049999,60.540001,60.959999,1550400,38.187538
"2002-05-21",60.959999,62.5,60.959999,62.07,2172700,38.882893
"2002-05-22",62.200001,63.029999,61.860001,62.900002,2218500,39.402832
"2002-05-23",63,63.5,62.330002,63.080002,2202400,39.515591
"2002-05-24",62.450001,62.990002,61.77,62.380001,1154000,39.077084
"2002-05-28",62.400002,63.18,61.919998,62.669998,1136800,39.258755
"2002-05-29",62,63,61.990002,62.599998,1138900,39.214901
"2002-05-30",62,63.450001,61.860001,63.139999,1553600,39.622799
"2002-05-31",62.919998,63.18,61.82,62.049999,2402900,38.938782
"2002-06-03",62.299999,63.189999,62.299999,62.82,1999800,39.421989
"2002-06-04",62.57,62.900002,61.950001,62.049999,2896600,38.938782
"2002-06-05",62.349998,63.889999,61.75,63.799999,2434500,40.03698
"2002-06-06",63.900002,64.349998,63.290001,63.599998,2936900,39.911476
"2002-06-07",63.400002,64.230003,62.900002,63.400002,2111500,39.785969
"2002-06-10",63.299999,64.790001,63.049999,63.900002,1564700,40.099735
"2002-06-11",63.48,64.220001,63.32,63.48,1529200,39.836155
"2002-06-12",63.849998,65.830002,63.529999,65.510002,3045300,41.110069
"2002-06-13",65.379997,66.150002,65.110001,65.849998,2241500,41.323425
"2002-06-14",65.629997,65.959999,64.720001,65.269997,2493000,40.959446
"2002-06-17",65.260002,66.800003,65.260002,66.760002,2089700,41.894497
"2002-06-18",66.760002,68.550003,66.5,68.25,4396900,42.829521
"2002-06-19",68.599998,69.580002,68,68.199997,4166100,42.798138
"2002-06-20",68.690002,70.129997,68.519997,70,3965400,43.927708
"2002-06-21",70,70.540001,69.5,70.360001,3459700,44.153629
"2002-06-24",70.099998,70.550003,69.080002,69.5,4094800,43.613945
"2002-06-25",69.120003,69.300003,66.410004,67.849998,5869400,42.578518
"2002-06-26",67.110001,68.599998,66.260002,68.5,3084200,42.986416
"2002-06-27",68.879997,71.519997,68.599998,71.43,4159000,44.825104
"2002-06-28",71,71.5,69.5,69.5,3805100,43.613945
"2002-07-01",69.5,69.959999,68.5,68.550003,2880500,43.017776
"2002-07-02",68.349998,68.790001,67.330002,67.75,3548900,42.515759
"2002-07-03",67.550003,69.400002,67.199997,69.260002,2363000,43.463337
"2002-07-05",69.260002,69.75,68.510002,68.699997,1222300,43.111908
"2002-07-08",68.5,69.699997,68.18,68.5,1787000,42.986416
"2002-07-09",68.25,69.449997,68.25,68.989998,2595200,43.293896
"2002-07-10",69.5,69.5,65,66.440002,3634200,41.693687
"2002-07-11",65.150002,66,62.5,66,5109400,41.417542
"2002-07-12",65,65,60,62.189999,6649700,39.026642
"2002-07-15",60.5,60.509998,55.450001,58.549999,8285100,36.742386
"2002-07-16",57.52,59.669998,57.509998,58,5797200,36.397259
"2002-07-17",60.5,62.200001,58.200001,60,6737500,37.652321
"2002-07-18",59.900002,61.869999,59.299999,60.599998,5197000,38.028858
"2002-07-19",60.450001,60.459999,55.380001,56.099998,5817100,35.204918
"2002-07-22",56.099998,56.799999,52.299999,53.950001,5830700,33.855713
"2002-07-23",53.799999,54.900002,52.810001,54.099998,4204700,33.949852
"2002-07-24",53.299999,58.73,52.330002,58,5048200,36.397259
"2002-07-25",58.189999,60.5,57.759998,60.400002,4975300,37.903347
"2002-07-26",60.400002,60.400002,58.060001,60.119999,3020400,37.727615
"2002-07-29",60.349998,62.799999,60.349998,62.799999,3142300,39.409443
"2002-07-30",62.75,63.650002,61.799999,63.169998,2232100,39.641636
"2002-07-31",63,64.209999,61.959999,64.110001,2302700,40.231518
"2002-08-01",63.849998,64.449997,63.25,63.369999,2144900,39.767143
"2002-08-02",63.200001,63.950001,60.950001,61.779999,2450400,38.769344
"2002-08-05",61.150002,61.950001,59.080002,59.549999,2988900,37.369942
"2002-08-06",60.900002,64,60.82,62.799999,3195200,39.409443
