"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"2001-04-30",15.828274,15.980052,15.524718,15.544232,1545000,6.31146
"2001-05-01",15.542064,15.544232,15.307893,15.431483,2032500,6.265681
"2001-05-02",15.448829,15.503036,15.232003,15.396791,1782900,6.251596
"2001-05-03",15.37294,15.774068,15.242845,15.683001,1812000,6.367804
"2001-05-04",15.557242,15.633131,15.42281,15.602776,1288500,6.335231
"2001-05-07",15.604943,15.871639,15.578924,15.763227,1259900,6.400379
"2001-05-08",15.871639,16.001734,15.654814,15.795751,919600,6.413585
"2001-05-09",15.795751,16.097137,15.741544,15.943192,1046000,6.473451
"2001-05-10",16.045099,16.20772,16.001734,16.153513,934300,6.558848
"2001-05-11",16.099306,16.112316,15.980052,16.075455,1273800,6.527153
"2001-05-14",16.034258,16.257589,16.001734,16.196878,484700,6.576455
"2001-05-15",16.153513,16.296618,16.092802,16.251083,945400,6.598465
"2001-05-16",16.251083,16.803989,16.229401,16.777971,1375700,6.812399
"2001-05-17",16.780138,16.858196,16.673895,16.747616,965200,6.800071
"2001-05-18",16.738941,16.782307,16.571985,16.671726,615700,6.769258
"2001-05-21",16.695578,16.858196,16.695578,16.834345,1265000,6.835287
"2001-05-22",16.803989,16.803989,16.608847,16.749783,863300,6.800953
"2001-05-23",16.706419,16.879879,16.532957,16.532957,924700,6.712916
"2001-05-24",16.532957,16.556808,16.370338,16.370338,1505800,6.646888
"2001-05-25",16.370338,16.565481,16.370338,16.51778,781700,6.706754
"2001-05-29",16.543798,16.656548,16.47875,16.598005,608300,6.739327
"2001-05-30",16.587164,16.587164,16.175196,16.251083,679300,6.598465
"2001-05-31",16.272766,16.684736,16.272766,16.548136,559400,6.71908
"2001-06-01",16.576323,16.621857,16.196878,16.582827,708800,6.733163
"2001-06-04",16.582827,17.146574,16.582827,17.096704,2887500,6.941813
"2001-06-05",17.094536,17.094536,16.608847,16.749783,2217400,6.800953
"2001-06-06",16.749783,16.869038,16.582827,16.758455,1664900,6.804475
"2001-06-07",16.732437,16.803989,16.58066,16.598005,1212900,6.739327
"2001-06-08",16.543798,16.684736,16.543798,16.628361,689000,6.75165
"2001-06-11",16.695578,16.808327,16.578491,16.624023,1141000,6.749891
"2001-06-12",16.392021,16.632698,16.392021,16.556808,856900,6.722599
"2001-06-13",16.578491,16.803989,16.413704,16.582827,2486700,6.733163
"2001-06-14",16.528622,16.528622,15.947528,16.058109,2554500,6.520112
"2001-06-15",16.036427,16.036427,15.752385,15.884648,2719200,6.44968
"2001-06-18",15.919341,16.014744,15.711188,15.971379,831500,6.484895
"2001-06-19",16.079792,16.149176,15.949697,16.088465,1169100,6.532438
"2001-06-20",16.13183,16.240242,15.958369,16.107979,1089300,6.540358
"2001-06-21",16.075455,16.075455,15.544232,15.706852,1107300,6.37749
"2001-06-22",15.704683,15.882481,15.247181,15.28621,1941600,6.206695
"2001-06-25",15.297051,15.340416,15.019514,15.110581,1410800,6.135384
"2001-06-26",15.056375,15.177797,14.839549,15.067216,1919500,6.117776
"2001-06-27",15.034692,15.147442,14.8634,14.932784,1283900,6.063192
"2001-06-28",14.986991,15,14.698612,14.724631,2621900,5.978675
"2001-06-29",14.670425,15.006505,14.624891,14.865568,1550500,6.035901
"2001-07-02",14.744145,15.004336,14.56418,14.882915,1272900,6.042943
"2001-07-03",14.828708,15.013009,14.473114,14.928448,1168200,6.061431
"2001-07-05",14.820035,15.45967,14.754987,15.156115,1518700,6.153872
"2001-07-06",15.101908,15.101908,14.765828,14.841718,1172300,6.026216
"2001-07-09",14.895924,15.043365,14.681266,14.841718,1071300,6.026216
"2001-07-10",14.895924,15.069385,14.77667,14.943625,1446700,6.067594
"2001-07-11",14.889419,15.043365,14.509974,14.839549,1499800,6.025336
"2001-07-12",14.947962,15.112749,14.787511,15.039028,1885300,6.106332
"2001-07-13",14.930615,14.971812,14.71379,14.81353,2843700,6.014771
"2001-07-16",14.846054,14.885082,14.566349,14.594536,1660700,5.925853
"2001-07-17",14.551171,14.794016,14.551171,14.657415,1423200,5.951384
"2001-07-18",14.646574,14.672593,14.345186,14.562012,1492900,5.912648
"2001-07-19",14.616219,14.893755,14.616219,14.770164,1235500,5.997165
"2001-07-20",14.824371,14.846054,14.657415,14.705117,983200,5.97075
"2001-07-23",14.744145,14.744145,14.408066,14.418907,1119700,5.854543
"2001-07-24",14.431917,14.473114,13.892021,13.963573,1984000,5.669662
"2001-07-25",14.017779,14.462273,13.920208,14.434085,2247400,5.860703
"2001-07-26",14.466609,14.551171,14.275803,14.529489,1200500,5.899442
"2001-07-27",14.507806,14.57719,14.269298,14.332177,1576300,5.819326
"2001-07-30",14.386383,14.499133,14.343019,14.44059,1049600,5.863346
"2001-07-31",14.223764,14.657415,14.223764,14.425412,2199900,5.857183
"2001-08-01",14.403729,14.47745,14.208587,14.299653,1216100,5.806122
"2001-08-02",14.245446,14.321336,14.147875,14.212923,1152500,5.770905
"2001-08-03",14.186904,14.206418,14.056808,14.182568,1160300,5.758582
"2001-08-06",14.071986,14.080659,13.746748,13.829142,1877500,5.615079
"2001-08-07",13.861665,13.883348,13.683868,13.820468,1110500,5.611556
"2001-08-08",13.790112,13.790112,13.443192,13.475716,2010800,5.471574
"2001-08-09",13.584128,13.584128,13.15915,13.265394,2543900,5.38618
"2001-08-10",13.30876,13.592801,13.276236,13.49523,1632600,5.479499
"2001-08-13",13.497398,13.636167,13.443192,13.59497,1162200,5.519996
"2001-08-14",13.61882,13.71856,13.59497,13.660017,914000,5.546407
"2001-08-15",13.660017,13.811795,13.640503,13.811795,1927300,5.608035
"2001-08-16",13.811795,13.811795,13.575456,13.753252,1441700,5.584264
"2001-08-17",13.699046,13.757589,13.573287,13.664354,1007700,5.54817
"2001-08-20",13.638335,13.642672,13.497398,13.549437,871600,5.501508
"2001-08-21",13.551604,13.811795,13.551604,13.6817,1596600,5.555212
"2001-08-22",13.6817,13.822637,13.644839,13.660017,2045400,5.546407
"2001-08-23",13.660017,13.712055,13.63183,13.642672,1698100,5.539365
"2001-08-24",13.660017,13.779271,13.642672,13.703382,2462300,5.564017
"2001-08-27",13.703382,14.071986,13.703382,13.922377,1323600,5.652934
"2001-08-28",13.922377,13.937554,13.811795,13.874675,1326400,5.633567
"2001-08-29",13.820468,13.920208,13.660017,13.688205,799700,5.557854
"2001-08-30",13.633998,13.649176,13.291413,13.386817,2412000,5.43548
"2001-08-31",13.386817,13.586297,13.367303,13.549437,995200,5.501508
"2001-09-04",13.519081,13.811795,13.503902,13.660017,1967400,5.546407
"2001-09-05",13.651344,13.746748,13.50824,13.605811,1265500,5.524401
"2001-09-06",13.519081,13.597137,13.44536,13.447528,954600,5.460132
"2001-09-07",13.356462,13.417172,13.172159,13.224197,1827700,5.369449
"2001-09-10",13.169991,13.243712,12.918473,12.918473,1677300,5.245318
"2001-09-17",12.684301,12.684301,11.530789,11.621856,2143100,4.718848
"2001-09-18",11.708587,11.925412,11.611014,11.686904,2166200,4.745261
"2001-09-19",11.66739,11.838682,11.040763,11.244579,2631100,4.565661
"2001-09-20",11.190372,11.190372,10.570251,10.628795,2235400,4.315633
"2001-09-21",10.407632,10.6353,10.140937,10.190806,3456200,4.137797
"2001-09-24",10.591934,10.726366,10.516046,10.557242,2308300,4.286581
"2001-09-25",10.589766,10.797918,10.431483,10.650477,1567600,4.324439
"2001-09-26",10.693842,10.693842,10.503036,10.652645,1408500,4.325317
"2001-09-27",10.689506,10.732871,10.407632,10.570251,2278300,4.291863
"2001-09-28",9.919774,10.630962,9.898092,10.62229,2656500,4.312992
"2001-10-01",10.665655,10.665655,10.158282,10.513877,939900,4.268974
"2001-10-02",10.487858,10.624458,10.411969,10.57242,1327300,4.292743
"2001-10-03",10.574588,10.852125,10.368604,10.765394,1226300,4.371099
"2001-10-04",10.787077,10.962706,10.607112,10.74588,1616500,4.363175
"2001-10-05",10.819601,11.016912,10.624458,10.763227,1081900,4.370216
"2001-10-08",10.70902,10.730702,10.524718,10.624458,677500,4.313873
"2001-10-09",10.613617,10.739375,10.474848,10.563746,923700,4.289221
"2001-10-10",10.565915,10.958369,10.420642,10.917172,966600,4.432724
"2001-10-11",10.841284,11.283608,10.841284,11.225065,916400,4.557739
"2001-10-12",11.203382,11.220729,10.878144,11.136167,988300,4.521644
"2001-10-15",11.027754,11.042932,10.6353,10.943192,898800,4.443289
"2001-10-16",10.962706,11.036427,10.804423,10.960538,1191700,4.450331
"2001-10-17",10.971379,11.058109,10.624458,10.64614,890500,4.322676
"2001-10-18",10.64614,10.94536,10.498699,10.518213,1172300,4.270734
"2001-10-19",10.450997,10.500867,10.292715,10.431483,663200,4.235518
"2001-10-22",10.342585,10.776236,10.342585,10.735039,942200,4.358773
"2001-10-23",10.756721,10.865134,10.678664,10.698178,2511200,4.343804
"2001-10-24",10.643972,10.732871,10.440156,10.464007,1104500,4.248725
"2001-10-25",10.353426,10.581093,10.327407,10.516046,868900,4.269853
"2001-10-26",10.396791,10.743712,10.396791,10.713356,947300,4.34997
"2001-10-29",10.65915,10.754554,10.474848,10.485689,710200,4.257528
"2001-10-30",10.396791,10.398959,10.175629,10.175629,985100,4.131632
"2001-10-31",10.229836,10.494363,10.12359,10.290546,1184800,4.178295
"2001-11-01",10.290546,10.626626,10.082394,10.561579,1490100,4.288342
"2001-11-02",10.615785,10.836947,10.409801,10.750216,1298200,4.364936
"2001-11-05",10.793582,10.891153,10.576756,10.711188,1311100,4.349088
"2001-11-06",10.667823,11.027754,10.624458,10.975716,1193100,4.456495
"2001-11-07",10.949697,11.040763,10.891153,10.986557,1837400,4.460896
"2001-11-08",11.040763,11.040763,10.906331,10.971379,1432000,4.454735
"2001-11-09",10.949697,11.149176,10.936687,11.058109,950000,4.489951
"2001-11-12",11.003902,11.003902,10.806591,10.856462,1079600,4.408074
"2001-11-13",10.964874,11.26843,10.964874,11.155681,1063500,4.529566
"2001-11-14",11.274935,11.279271,11.123157,11.164354,974900,4.533088
"2001-11-15",11.155681,11.196877,10.997398,11.142672,1176500,4.524285
"2001-11-16",11.112316,11.331309,10.977883,11.244579,1139100,4.565661
"2001-11-19",11.242411,11.426713,11.188205,11.385516,1622900,4.622888
"2001-11-20",11.366002,11.420208,11.235907,11.326973,1166300,4.599117
"2001-11-21",11.30529,11.346487,11.222897,11.233738,608300,4.561262
"2001-11-23",11.225065,11.526453,11.199046,11.450563,564000,4.6493
"2001-11-26",11.426713,11.426713,11.166522,11.316132,796900,4.594716
"2001-11-27",11.3183,11.595837,11.296618,11.452732,1296800,4.650178
"2001-11-28",11.40503,11.539462,11.370338,11.476583,2508000,4.659862
"2001-11-29",11.470078,11.587164,11.344319,11.400694,1344800,4.62905
"2001-11-30",11.400694,11.708587,11.400694,11.611014,1777900,4.714447
"2001-12-03",11.578491,11.606678,11.352992,11.543798,2167100,4.687155
"2001-12-04",11.524284,11.728101,11.372506,11.643538,2334100,4.727652
"2001-12-05",11.710754,12.239809,11.710754,12.161752,1862300,4.938064
"2001-12-06",12.161752,12.315699,11.975282,12.228968,1747400,4.965356
"2001-12-07",12.207285,12.26366,12.098872,12.179098,1783400,4.945107
"2001-12-10",12.088031,12.094536,11.910234,11.936254,1276600,4.846506
"2001-12-11",11.936254,12.04033,11.892888,12.02732,894700,4.883479
"2001-12-12",11.925412,12.025152,11.730268,11.910234,2555900,4.835941
"2001-12-13",11.856028,11.860364,11.706418,11.719427,2027800,4.758464
"2001-12-14",11.686904,11.819167,11.589333,11.749784,1819400,4.770792
"2001-12-17",11.749784,11.903729,11.749784,11.892888,2562800,4.828898
"2001-12-18",11.892888,12.2268,11.849523,12.218126,2124200,4.960953
"2001-12-19",12.185603,12.359063,12.068517,12.302689,2196600,4.995289
"2001-12-20",12.283175,12.658282,12.283175,12.573721,2103900,5.105335
"2001-12-21",12.619254,12.651778,12.480486,12.560711,2294900,5.100055
"2001-12-24",12.554207,12.738508,12.554207,12.666956,784900,5.143192
"2001-12-26",12.666956,13.037727,12.666956,12.953166,4592600,5.259404
"2001-12-27",12.901128,12.901128,12.738508,12.792715,2621400,5.194258
"2001-12-28",12.58673,12.888118,12.532524,12.868604,3712100,5.22507
"2001-12-31",12.738508,13.087598,12.738508,12.901128,16511400,5.238275
"2002-01-02",6.949263,7.179098,6.784475,7.170425,7176700,5.548677
"2002-01-03",7.155247,7.543365,7.068517,7.41327,5330000,5.736599
"2002-01-04",7.424111,7.467476,7.302689,7.367736,3116700,5.701364
"2002-01-07",7.415438,7.482654,7.404597,7.467476,1634000,5.778545
"2002-01-08",7.469645,7.508673,7.346054,7.37641,3029100,5.708075
"2002-01-09",7.372073,7.556375,7.372073,7.402429,3122700,5.72821
"2002-01-10",7.385082,7.430616,7.26366,7.267996,2597900,5.624181
"2002-01-11",7.235473,7.372073,7.161752,7.17693,1269200,5.553712
"2002-01-14",7.172593,7.187771,6.938422,7.072854,4319500,5.473174
"2002-01-15",7.092368,7.207285,6.873374,6.94059,4238400,5.370824
"2002-01-16",6.830009,6.92758,6.699914,6.803989,3650300,5.26512
"2002-01-17",6.84085,6.905898,6.571986,6.860364,2971900,5.308745
"2002-01-18",6.860364,6.949263,6.736773,6.845186,2477100,5.296999
"2002-01-22",6.847355,6.871205,6.689072,6.803989,2053200,5.26512
"2002-01-23",6.803989,7.068517,6.803989,7.035993,1948100,5.444651
"2002-01-24",7.038161,7.196444,7.038161,7.155247,1770500,5.536934
"2002-01-25",7.155247,7.567216,7.155247,7.491327,3096400,5.797002
"2002-01-28",7.491327,7.610581,7.469645,7.53686,2563800,5.832236
"2002-01-29",7.53686,7.595403,7.491327,7.528187,1787100,5.825524
"2002-01-30",7.528187,7.738508,7.51301,7.708153,2418500,5.964788
"2002-01-31",7.697311,7.825239,7.68647,7.805724,1951300,6.04029
"2002-02-01",7.816566,8.033391,7.643105,7.643105,4108800,5.914451
"2002-02-04",7.643105,7.643105,7.456635,7.480486,2295800,5.788615
"2002-02-05",7.491327,7.539029,7.304857,7.311362,1866000,5.657741
"2002-02-06",7.257155,7.259324,7.003469,7.20078,4016100,5.572168
"2002-02-07",7.209454,7.222463,7.166089,7.198612,2260300,5.57049
"2002-02-08",7.307025,7.307025,7.11405,7.198612,3218200,5.57049
"2002-02-11",7.220295,7.426279,7.220295,7.41327,3229700,5.736599
"2002-02-12",7.393755,7.443625,7.35039,7.372073,1716500,5.704718
"2002-02-13",7.35039,7.415438,7.35039,7.372073,776600,5.704718
"2002-02-14",7.372073,7.395924,7.333044,7.372073,1025200,5.704718
"2002-02-15",7.393755,7.41327,7.307025,7.402429,1379400,5.72821
"2002-02-19",7.404597,7.404597,7.320035,7.330876,633200,5.672839
"2002-02-20",7.337381,7.610581,7.335213,7.489159,1266400,5.795325
"2002-02-21",7.480486,7.979185,7.480486,7.745013,2757000,5.993311
"2002-02-22",7.738508,7.88595,7.643105,7.838248,1316700,6.065457
"2002-02-25",7.870772,7.948829,7.849089,7.905464,1005800,6.117472
"2002-02-26",7.974848,8.02255,7.875108,7.998699,1129000,6.18962
"2002-02-27",8.052905,8.315265,8.009541,8.156981,2133000,6.312104
"2002-02-28",8.1353,8.185169,8.089766,8.185169,889600,6.333916
"2002-03-01",8.185169,8.237207,8.068083,8.130962,1568500,6.291968
"2002-03-04",8.185169,8.451864,8.152645,8.451864,617000,6.540294
"2002-03-05",8.451864,8.451864,8.239375,8.386817,1651500,6.489956
"2002-03-06",8.358629,8.456202,8.261058,8.456202,1685200,6.543647
"2002-03-07",8.44536,8.451864,8.347789,8.347789,1096200,6.459755
"2002-03-08",8.347789,8.410667,8.282741,8.354293,897400,6.464789
"2002-03-11",8.347789,8.397658,8.269732,8.378144,968900,6.483248
"2002-03-12",8.378144,8.488725,8.367303,8.475716,430200,6.558749
"2002-03-13",8.475716,8.477883,8.380312,8.441024,904400,6.531903
"2002-03-14",8.441024,8.512576,8.441024,8.467043,853200,6.552038
"2002-03-15",8.469211,8.510407,8.438855,8.451864,1776500,6.540294
"2002-03-18",8.456202,8.510407,8.449697,8.482221,755400,6.563783
"2002-03-19",8.482221,8.640503,8.449697,8.527754,1372500,6.599019
"2002-03-20",8.538595,8.640503,8.362967,8.362967,5057000,6.471499
"2002-03-21",8.367303,8.367303,8.115785,8.293582,1828600,6.417808
"2002-03-22",8.239375,8.278404,8.120121,8.120121,838900,6.28358
"2002-03-25",8.488725,8.607979,8.391153,8.401995,2227100,6.501702
"2002-03-26",8.456202,8.9549,8.456202,8.911535,3716300,6.895998
"2002-03-27",8.915872,9.093669,8.803123,9.076323,1628400,7.023515
"2002-03-28",9.130529,9.171726,9.019948,9.089333,969900,7.033582
"2002-04-01",9.0915,9.0915,8.844319,8.948396,1722100,6.924521
"2002-04-02",8.948396,8.950563,8.813964,8.866002,1465600,6.860763
"2002-04-03",8.846487,8.857328,8.564614,8.59497,2121000,6.651031
"2002-04-04",8.456202,8.456202,8.239375,8.369471,1891300,6.476534
"2002-04-05",8.412836,8.660017,8.412836,8.551604,999400,6.617474
"2002-04-08",8.456202,8.640503,8.430182,8.605811,632300,6.659421
"2002-04-09",8.605811,8.649176,8.525585,8.638335,875800,6.684589
"2002-04-10",8.640503,8.777103,8.629662,8.677363,1503900,6.714792
"2002-04-11",8.692541,8.866002,8.690372,8.709888,1547300,6.739957
"2002-04-12",8.716392,8.729402,8.597137,8.709888,913100,6.739957
"2002-04-15",8.71856,8.71856,8.575456,8.607979,1302800,6.661098
"2002-04-16",8.612316,8.759757,8.612316,8.729402,804700,6.75506
"2002-04-17",8.738074,8.820468,8.712055,8.714224,566800,6.743315
"2002-04-18",8.716392,8.738074,8.63183,8.642672,864200,6.687943
"2002-04-19",8.586297,8.644839,8.412836,8.586297,1471600,6.644321
"2002-04-22",8.521249,8.597137,8.4085,8.428014,1248400,6.521835
"2002-04-23",8.373808,8.497398,8.235039,8.297918,1167700,6.421165
"2002-04-24",8.304423,8.547268,8.304423,8.326106,1306500,6.442977
"2002-04-25",8.326106,8.388986,8.271899,8.386817,1225800,6.489956
"2002-04-26",8.441024,8.506071,8.261058,8.369471,925100,6.476534
"2002-04-29",8.367303,8.367303,8.172159,8.232871,803400,6.370828
"2002-04-30",8.239375,8.4085,8.196011,8.391153,580600,6.493312
"2002-05-01",8.391153,8.43235,8.228535,8.393322,1010000,6.494991
"2002-05-02",8.339115,8.499566,8.339115,8.430182,1163100,6.523514
"2002-05-03",8.412836,8.629662,8.369471,8.564614,718500,6.627542
"2002-05-06",8.553773,8.607979,8.412836,8.412836,854600,6.51009
"2002-05-07",8.412836,8.477883,8.349957,8.415005,803800,6.511769
"2002-05-08",8.469211,8.540763,8.425845,8.534259,687600,6.604051
"2002-05-09",8.53209,8.638335,8.382481,8.39549,750800,6.496665
"2002-05-10",8.417172,8.417172,8.252385,8.282741,485600,6.40942
"2002-05-13",8.282741,8.339115,8.152645,8.261058,1130400,6.392641
"2002-05-14",8.293582,8.464874,8.293582,8.449697,749400,6.538614
"2002-05-15",8.451864,8.506071,8.401995,8.480052,528000,6.562104
"2002-05-16",8.477883,8.503902,8.352125,8.369471,442700,6.476534
"2002-05-17",8.369471,8.441024,8.313096,8.39549,411800,6.496665
"2002-05-20",8.362967,8.365134,8.235039,8.252385,900200,6.385929
"2002-05-21",8.261058,8.386817,8.250216,8.349957,848600,6.461433
"2002-05-22",8.282741,8.356462,8.282741,8.326106,438100,6.442977
"2002-05-23",7.914137,7.93582,7.491327,7.569384,11633700,5.857404
"2002-05-24",7.569384,7.588899,7.484822,7.547702,2137600,5.840625
"2002-05-28",7.578057,7.588899,7.469645,7.545533,1244300,5.838946
"2002-05-29",7.545533,7.610581,7.5,7.588899,1052400,5.872504
"2002-05-30",7.534692,7.632264,7.523851,7.632264,1257200,5.906062
"2002-05-31",7.632264,7.727667,7.580225,7.697311,637800,5.956398
"2002-06-03",7.68647,7.688638,7.473981,7.510841,1089800,5.812101
"2002-06-04",7.478317,7.478317,7.239809,7.322203,1471600,5.666128
"2002-06-05",7.322203,7.333044,7.111882,7.257155,3218700,5.615793
"2002-06-06",7.079358,7.090199,6.680399,6.706418,11079800,5.189615
"2002-06-07",6.624024,6.929749,6.602342,6.905898,3419700,5.343981
"2002-06-10",6.938422,7.003469,6.912403,6.951431,1038600,5.379215
"2002-06-11",6.957936,7.012142,6.743279,6.767129,1125300,5.236596
"2002-06-12",6.721596,6.814831,6.565481,6.812663,1117900,5.271832
"2002-06-13",6.808326,6.847355,6.472246,6.493929,3059600,5.025187
"2002-06-14",6.491761,6.515612,6.190373,6.439723,4248100,4.98324
"2002-06-17",6.526453,6.548135,6.216392,6.246747,3846800,4.83391
"2002-06-18",6.255421,6.33131,6.123157,6.277103,2929000,4.8574
"2002-06-19",6.26843,6.26843,6.03209,6.140503,2157900,4.751694
"2002-06-20",6.173027,6.370338,6.173027,6.283608,1915300,4.862434
"2002-06-21",6.309627,6.309627,6.160017,6.285776,3306300,4.864111
"2002-06-24",6.28144,6.409367,6.242411,6.352992,1521900,4.916126
"2002-06-25",6.450564,6.537294,6.313963,6.322637,2075800,4.892634
"2002-06-26",6.277103,6.483088,6.201214,6.480919,1773300,5.015117
"2002-06-27",6.50477,6.543799,6.361665,6.420208,1644100,4.968139
"2002-06-28",6.41804,6.5915,6.411535,6.541631,3007900,5.062098
"2002-07-01",6.584996,6.598005,6.522116,6.576323,1259900,5.088944
"2002-07-02",6.532958,6.532958,6.296618,6.333478,1886300,4.901025
"2002-07-03",6.335646,6.396358,6.099306,6.255421,1347600,4.840623
"2002-07-05",6.257589,6.578491,6.257589,6.493929,589800,5.025187
"2002-07-08",6.472246,6.569818,6.413703,6.41804,1153000,4.966464
"2002-07-09",6.41804,6.491761,6.298786,6.303123,565800,4.877536
