"","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume","XRX.Adjusted"
"2004-03-16",36.62714,36.758892,36.126484,36.600792,1699900,31.42524
"2004-03-17",36.943348,37.391304,36.706192,37.259552,1958300,31.990839
"2004-03-18",37.338604,37.760212,36.943348,37.62846,1261800,32.307602
"2004-03-19",37.417656,37.78656,36.969696,37.101448,996400,31.855118
"2004-03-22",37.101448,37.101448,35.862976,36.205532,1161300,31.085865
"2004-03-23",36.231884,36.969696,36.047432,36.62714,3572300,31.447859
"2004-03-24",36.100132,36.837944,35.91568,36.495388,857500,31.334747
"2004-03-25",36.548088,37.549408,36.100132,37.444004,1655100,32.14922
"2004-03-26",37.154152,38.023716,36.916996,37.549408,1491300,32.239712
"2004-03-29",37.496708,38.076416,37.154152,38.076416,1074700,32.692196
"2004-03-30",38.076416,38.550724,37.62846,38.550724,1373600,33.099434
"2004-03-31",38.23452,38.603424,37.971016,38.39262,952500,32.963707
"2004-04-01",38.603424,39.156784,38.39262,39.130436,1869600,33.597191
"2004-04-02",39.209488,39.44664,38.814228,39.314888,1117000,33.755558
"2004-04-05",39.262188,39.472992,38.84058,39.420288,1037700,33.846039
"2004-04-06",38.998684,39.209488,38.629776,39.104084,689500,33.574554
"2004-04-07",38.998684,39.420288,38.33992,39.314888,897900,33.755558
"2004-04-08",39.472992,39.525692,38.550724,38.919632,611800,33.416187
"2004-04-12",38.78788,39.420288,38.524376,39.130436,811900,33.597191
"2004-04-13",39.130436,39.235836,37.101448,37.707508,1709600,32.375477
"2004-04-14",37.865612,38.208168,37.575756,38.023716,585000,32.646935
"2004-04-15",38.023716,38.023716,36.363636,36.890644,1366100,31.674103
"2004-04-16",37.154152,37.154152,36.495388,36.837944,937700,31.628853
"2004-04-19",36.758892,37.496708,36.389988,37.206852,983000,31.945604
"2004-04-20",37.417656,37.918312,36.732544,36.732544,708200,31.538359
"2004-04-21",36.548088,37.312252,36.389988,36.837944,2307700,31.628853
"2004-04-22",36.495388,38.155468,36.442688,37.971016,2169200,32.601707
"2004-04-23",38.33992,38.33992,33.14888,34.729908,13751500,29.818903
"2004-04-26",35.783928,36.363636,35.309616,35.731224,4705400,30.678627
"2004-04-27",36.205532,36.653492,35.283268,35.41502,2364500,30.407141
"2004-04-28",35.41502,35.757576,35.151516,35.494072,1682400,30.475019
"2004-04-29",35.441372,35.757576,35.072464,35.388668,2961000,30.38452
"2004-04-30",35.441372,35.704876,34.940712,35.388668,1457800,30.38452
"2004-05-03",35.388668,36.02108,35.335968,35.810276,1265100,30.746504
"2004-05-04",35.309616,35.678524,34.86166,35.151516,3714400,30.180901
"2004-05-05",35.046112,35.41502,34.75626,35.388668,2637600,30.38452
"2004-05-06",34.650856,35.072464,34.3083,34.387352,2242200,29.52479
"2004-05-07",34.361,34.782608,34.123848,34.150196,1286500,29.32118
"2004-05-10",33.992096,34.123848,33.412384,33.728592,2108200,28.959183
"2004-05-11",34.018444,34.624504,33.860344,34.519104,1891200,29.637917
"2004-05-12",34.123848,34.150196,33.069828,33.833992,2214200,29.049683
"2004-05-13",33.491436,34.440052,33.491436,33.80764,1965800,29.02706
"2004-05-14",33.80764,34.334652,33.359684,33.860344,1015600,29.072315
"2004-05-17",33.596836,33.675888,33.09618,33.359684,1131200,28.642439
"2004-05-18",33.544136,34.2556,33.517788,34.097496,785300,29.275923
"2004-05-19",34.624504,35.388668,34.387352,34.387352,1356900,29.52479
"2004-05-20",34.571804,35.125164,34.387352,34.624504,991700,29.728413
"2004-05-21",34.782608,35.41502,34.677208,35.177864,1434300,30.203526
"2004-05-24",35.230568,35.704876,34.940712,34.993412,1122200,30.045155
"2004-05-25",35.098816,35.546772,34.519104,35.388668,1138700,30.38452
"2004-05-26",35.177864,36.047432,34.782608,35.91568,1558700,30.837008
