"","TMK.Open","TMK.High","TMK.Low","TMK.Close","TMK.Volume","TMK.Adjusted"
"2001-05-02",16.911112,16.911112,16.435556,16.573334,1446900,13.878805
"2001-05-03",16.288889,16.506666,16.088888,16.440001,1274400,13.767149
"2001-05-04",16.368889,16.631111,16.311111,16.542223,718600,13.852754
"2001-05-07",16.444445,16.48889,16.222221,16.386667,1239400,13.722484
"2001-05-08",16.444445,16.622223,16.311111,16.502222,875700,13.819251
"2001-05-09",16.333334,16.462223,16.297777,16.364445,780700,13.703878
"2001-05-10",16.40889,16.51111,16.293333,16.417778,515400,13.74854
"2001-05-11",16.311111,16.684444,16.311111,16.386667,354600,13.722484
"2001-05-14",16.275555,16.448889,16.235556,16.253334,773100,13.610832
"2001-05-15",16.253334,16.533333,16.244444,16.506666,487900,13.822978
"2001-05-16",16.417778,16.622223,16.311111,16.48889,1486300,13.808091
"2001-05-17",16.4,16.555555,16.133333,16.404444,1661100,13.737376
"2001-05-18",16.404444,16.48889,16.271111,16.337778,762300,13.681544
"2001-05-21",16.444445,16.666666,16.4,16.582222,1262700,13.886247
"2001-05-22",16.693333,16.733334,16.555555,16.639999,841900,13.934632
"2001-05-23",16.777779,16.831112,16.533333,16.56889,1534900,13.875083
"2001-05-24",16.622223,16.822222,16.617777,16.684444,793800,13.97185
"2001-05-25",16.666666,16.822222,16.631111,16.666666,519900,13.956966
"2001-05-29",16.666666,17.022223,16.666666,16.888889,1000900,14.143059
"2001-05-30",16.955555,17,16.742222,16.777779,634200,14.050008
"2001-05-31",16.777779,16.888889,16.724445,16.853333,491800,14.113276
"2001-06-01",16.933332,16.933332,16.724445,16.844444,911400,14.105835
"2001-06-04",16.866667,17.244444,16.866667,17.008888,744000,14.243544
"2001-06-05",17.124445,17.244444,17.066668,17.200001,469500,14.403585
"2001-06-06",17.177778,17.32,17.08,17.120001,599400,14.336591
"2001-06-07",17.222221,17.253334,17.066668,17.133333,434700,14.347761
"2001-06-08",17.137777,17.302221,17.133333,17.164444,468400,14.373809
"2001-06-11",17.164444,17.297777,17.088888,17.133333,478500,14.347761
"2001-06-12",17.177778,17.217777,16.968889,17.16,987700,14.370091
"2001-06-13",17.088888,17.328888,17.088888,17.155556,503700,14.366361
"2001-06-14",17.16,17.222221,17.044445,17.111111,945100,14.329146
"2001-06-15",17.044445,17.288889,17.044445,17.128889,859500,14.344031
"2001-06-18",17.133333,17.462223,17.133333,17.297777,569800,14.485466
"2001-06-19",17.555555,17.555555,17.315556,17.43111,812400,14.597117
