"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2015-01-15",143.800003,144.199997,141.360001,141.520004,1733100,122.729179
"2015-01-16",141.699997,142.210007,139.759995,140.860001,2251500,122.156822
"2015-01-20",141.559998,142.5,140.520004,142.029999,1694600,123.171478
"2015-01-21",141.270004,145.089996,141.240005,144.729996,1726800,125.512939
"2015-01-22",146.470001,148.039993,144.729996,147.330002,1605700,127.767723
"2015-01-23",146.479996,147.029999,144.699997,145.850006,1240300,126.484261
"2015-01-26",146.580002,147.990005,145.550003,147.850006,1265400,128.218674
"2015-01-27",143.330002,143.759995,140.029999,142.270004,3628100,123.379562
"2015-01-28",143.279999,144.179993,141.479996,141.619995,1797600,122.815865
"2015-01-29",141.990005,142.789993,139.889999,142.699997,1630400,123.752502
"2015-01-30",141.100006,141.610001,139.309998,139.460007,2456500,120.942711
"2015-02-02",139.860001,143.339996,138.899994,143.009995,1886500,124.021347
"2015-02-03",143.75,145.589996,143.740005,145.550003,2136400,126.224106
"2015-02-04",145.050003,145.429993,143.570007,144.160004,1990200,125.018616
"2015-02-05",138.410004,139.880005,135.350006,138.110001,4435300,119.771965
"2015-02-06",138.210007,138.399994,135.559998,135.860001,2976800,117.820686
"2015-02-09",135.089996,136.350006,134.070007,134.399994,3246300,116.554535
"2015-02-10",134.899994,135.240005,133.5,134.960007,2189900,117.040192
"2015-02-11",134.990005,135.410004,134.240005,135.119995,1804600,117.178955
"2015-02-12",135.479996,136.779999,135.350006,136.630005,1752600,118.488472
"2015-02-13",136.75,139.360001,136.649994,139.039993,1938800,121.27079
"2015-02-17",139.119995,139.479996,137.960007,138.979996,1241500,121.218437
"2015-02-18",138.610001,141.089996,138.449997,140.179993,1263400,122.265083
"2015-02-19",139.940002,141.679993,139.619995,140.800003,1595600,122.80587
"2015-02-20",140.630005,142.880005,139.619995,142.550003,1934700,124.332222
"2015-02-23",142.020004,142.5,140.729996,141.559998,1315600,123.468727
"2015-02-24",141.559998,142.490005,141.429993,141.789993,1117100,123.669334
"2015-02-25",142.119995,142.800003,141.699997,142.179993,1260600,124.009506
"2015-02-26",142.550003,143.020004,141.800003,142.229996,1723500,124.053093
"2015-02-27",142.229996,142.820007,141.029999,142.229996,1906100,124.053093
"2015-03-02",142.229996,143.460007,141.699997,143.429993,1894600,125.099739
"2015-03-03",144.600006,146.130005,144.259995,145.360001,6469800,126.783081
"2015-03-04",145.050003,145.330002,142.580002,143.949997,2853800,125.553284
"2015-03-05",143.520004,143.919998,142.199997,142.270004,2104900,124.08799
"2015-03-06",141.199997,142.509995,139.919998,140.419998,1736900,122.474411
"2015-03-09",140.300003,141.179993,139.800003,140.949997,1193200,122.936691
"2015-03-10",139.199997,139.360001,138.070007,138.259995,1453800,120.590462
"2015-03-11",138.619995,138.639999,136.880005,137.369995,996000,119.814209
"2015-03-12",138.759995,140.130005,137.850006,140.039993,1547000,122.142967
"2015-03-13",139.550003,139.580002,137.100006,139.270004,1390300,121.471405
"2015-03-16",140.25,141.020004,139.880005,140.5,1251300,122.544197
"2015-03-17",139.5,139.740005,138.5,138.699997,1339900,120.974243
"2015-03-18",137.899994,140.160004,136.550003,139.830002,1767000,121.959839
"2015-03-19",139.039993,139.039993,136.850006,137.449997,1239300,119.88398
"2015-03-20",137.899994,138.820007,137.570007,138.399994,1535000,120.712578
"2015-03-23",138.770004,139.449997,137.960007,138.380005,873900,120.695145
"2015-03-24",139.610001,140.059998,138.559998,138.940002,948300,121.183571
"2015-03-25",139.179993,139.429993,136.720001,136.759995,1072400,119.282173
"2015-03-26",136.460007,137.830002,136.190002,136.779999,1191600,119.299629
"2015-03-27",137.110001,137.679993,136.029999,137.460007,807400,119.892738
"2015-03-30",137.880005,140.490005,137.880005,140.139999,916100,122.230209
"2015-03-31",139,139.119995,138.089996,138.639999,1099600,120.921898
"2015-04-01",138.429993,138.460007,136.820007,137.020004,1043500,119.508942
"2015-04-02",137.520004,139.419998,136.300003,136.820007,2380400,119.334488
"2015-04-06",136.75,138.600006,136.089996,137.880005,1291100,120.259041
"2015-04-07",138.160004,138.360001,136.529999,136.759995,1427200,119.282173
"2015-04-08",135.800003,136.479996,134.550003,135,2099500,117.747078
"2015-04-09",134.619995,135.600006,133.610001,134.179993,3031000,117.031876
"2015-04-10",134.779999,136.669998,134.679993,136.550003,1874100,119.099014
"2015-04-13",136.419998,137.119995,135.529999,136,894000,118.619293
"2015-04-14",135.75,136.839996,134.509995,136.440002,1265200,119.00309
"2015-04-15",134.960007,137.759995,134.960007,137.240005,1369200,119.700821
"2015-04-16",136.710007,137.240005,135.770004,136.339996,1475700,118.915833
"2015-04-17",135.149994,135.5,133.380005,133.839996,1729200,116.735359
"2015-04-20",134.770004,136,134.669998,135.149994,1653700,117.87793
"2015-04-21",135.850006,136.570007,134.699997,136.029999,1210200,118.645447
"2015-04-22",136.460007,137.179993,135.169998,136.929993,1152000,119.43042
"2015-04-23",137.119995,137.779999,135.589996,136.449997,1461000,119.011803
"2015-04-24",136.399994,137,135.210007,136.5,1612100,119.055374
"2015-04-27",136.770004,139.380005,136.770004,139.25,2156600,121.453941
"2015-04-28",136.509995,137.5,135.119995,137.25,2977700,119.709564
"2015-04-29",136.779999,138.619995,135.850006,138.029999,1837200,120.38987
"2015-04-30",137.570007,138.929993,136.649994,138.259995,1838000,120.590462
"2015-05-01",139.320007,141.690002,139,141.130005,2364400,123.093674
"2015-05-04",141.059998,142.270004,140.759995,141.089996,1950200,123.058792
"2015-05-05",140.830002,141.839996,139.220001,139.270004,2341900,121.471405
"2015-05-06",140.009995,140.380005,138.720001,139.320007,1616400,121.515015
"2015-05-07",138.919998,140.25,138.389999,139.910004,1047400,122.029625
"2015-05-08",140.910004,141.5,140.149994,140.660004,1302000,122.683777
"2015-05-11",140.75,142.279999,140.470001,141.759995,1187900,123.643158
"2015-05-12",141.309998,142.100006,140.619995,141.229996,1108100,123.180878
"2015-05-13",141.860001,142.860001,141.630005,142.309998,1250400,124.122894
"2015-05-14",142.990005,143.399994,142.399994,143.220001,1054700,124.916588
"2015-05-15",143.139999,143.210007,141.479996,142.770004,1088800,124.524094
"2015-05-18",142.860001,143.320007,142.089996,143.210007,908900,124.907898
"2015-05-19",142.25,142.350006,139.600006,140.550003,1404000,123.259148
"2015-05-20",140.649994,141.440002,140.229996,140.970001,826800,123.627441
"2015-05-21",141,142.389999,140.800003,141.929993,846700,124.469345
"2015-05-22",141.740005,142.460007,141.300003,141.880005,811200,124.425514
"2015-05-26",141.470001,141.940002,139.649994,140.419998,1495300,123.145134
"2015-05-27",141,141.619995,140.350006,140.479996,1446900,123.197762
"2015-05-28",140,140.289993,138.740005,139.25,1163500,122.119087
"2015-05-29",138.979996,139,135.490005,135.550003,2226900,118.874245
"2015-06-01",136.139999,136.229996,134.630005,135.220001,1418800,118.584869
"2015-06-02",135.009995,136.850006,134.970001,135.759995,1370300,119.058411
"2015-06-03",136.350006,136.470001,134.75,135.570007,1425900,118.891792
"2015-06-04",134.580002,136.169998,134.089996,136.169998,2737300,119.417969
"2015-06-05",136.149994,136.820007,135.550003,136.190002,1555400,119.435516
"2015-06-08",135.869995,136.25,135.410004,135.470001,1293700,118.8041
"2015-06-09",135.580002,136.580002,135.330002,135.910004,1040800,119.189972
"2015-06-10",136.779999,137.710007,135.880005,137.160004,955800,120.286179
"2015-06-11",137.070007,137.990005,136.850006,137.850006,992900,120.891327
"2015-06-12",137.410004,137.850006,136.740005,137.119995,684600,120.251114
"2015-06-15",136.020004,136.570007,135.179993,135.850006,1058500,119.137344
"2015-06-16",135.509995,135.919998,135.160004,135.419998,859500,118.760246
"2015-06-17",135.479996,136.179993,134.869995,135.779999,1005800,119.075981
"2015-06-18",136.539993,137.419998,136.020004,136.460007,1181700,119.672318
"2015-06-19",136.350006,136.960007,135.800003,136.139999,1341300,119.39167
"2015-06-22",136.800003,136.889999,135.110001,135.699997,987100,119.005783
"2015-06-23",135.800003,136,135.289993,135.660004,1488900,118.970711
"2015-06-24",135.389999,136.979996,134.990005,135.179993,1581800,118.549774
"2015-06-25",135.699997,136.139999,134.089996,134.089996,1340200,117.593857
"2015-06-26",134.289993,134.589996,133.360001,133.539993,1663400,117.111511
"2015-06-29",132.720001,132.960007,130.770004,131.139999,1480900,115.006798
"2015-06-30",132.339996,132.779999,131.039993,131.190002,1424300,115.050621
"2015-07-01",132.339996,132.619995,130.5,131.089996,1203800,114.962929
"2015-07-02",131.850006,132,130.279999,131.360001,968600,115.199722
"2015-07-06",130,131.649994,129.809998,130.830002,1174400,114.73494
"2015-07-07",130.800003,131.610001,129.600006,131.490005,1442800,115.313736
"2015-07-08",130.309998,130.550003,128.619995,129.059998,1708100,113.182678
"2015-07-09",130.570007,131.440002,127.559998,127.769997,2232700,112.051392
"2015-07-10",128.949997,129.350006,127.800003,128.740005,974400,112.902046
"2015-07-13",129.5,130.419998,128.830002,130.190002,944100,114.17366
"2015-07-14",130.169998,130.899994,129.520004,129.869995,921600,113.893021
"2015-07-15",130.479996,130.910004,129.580002,129.910004,1561500,113.928123
"2015-07-16",131,131.279999,130.110001,130.389999,1025100,114.34906
"2015-07-17",130,130.100006,126.790001,128.190002,1508600,112.419708
"2015-07-20",128.190002,129.559998,128.139999,128.970001,1575700,113.103745
"2015-07-21",128.5,130.179993,128.080002,128.619995,1111000,112.796799
"2015-07-22",128.509995,128.919998,126.839996,127.230003,1395900,111.577812
"2015-07-23",126.510002,127.839996,126.5,126.970001,1343500,111.349792
"2015-07-24",126.68,126.889999,123.559998,124.370003,2381200,109.069656
"2015-07-27",123.779999,125.18,123.139999,123.779999,3261100,108.552238
"2015-07-28",129.240005,129.460007,127.010002,128,3073200,112.253082
"2015-07-29",127.949997,130.470001,127.800003,130.270004,2005300,114.243835
"2015-07-30",129.970001,130.149994,128.059998,129.800003,1922000,113.831657
"2015-07-31",130.350006,130.470001,129.190002,129.529999,1351800,113.594841
"2015-08-03",129.419998,129.970001,128.039993,128.610001,1848400,112.78804
"2015-08-04",127.5,127.989998,125.589996,126,2113400,110.49913
"2015-08-05",127.57,129,127.540001,127.839996,1315400,112.112778
"2015-08-06",127.860001,128.289993,126.669998,127.18,1092200,111.533958
"2015-08-07",126.949997,127.730003,126.599998,126.879997,901100,111.270859
"2015-08-10",128.25,131.080002,127.720001,130.929993,1682400,114.822609
"2015-08-11",129.300003,129.520004,127.239998,127.980003,1535500,112.23555
"2015-08-12",126.989998,129.419998,125.93,129.059998,2129900,113.182678
"2015-08-13",128.589996,128.970001,127.410004,128.389999,1206500,112.595093
"2015-08-14",127.940002,128.830002,127.720001,128.050003,1003100,112.296928
"2015-08-17",127.519997,129.169998,126.669998,128.610001,898700,112.78804
"2015-08-18",128.039993,128.550003,127.709999,128.039993,934200,112.288162
"2015-08-19",126.68,128.589996,125.550003,127.440002,2466900,112.61956
"2015-08-20",126.660004,127.019997,124.040001,124.080002,1893700,109.650314
"2015-08-21",123.519997,123.540001,119.730003,119.75,2733900,105.82383
"2015-08-24",113.010002,120.32,112,116.839996,3052700,103.252266
"2015-08-25",119.620003,120.580002,114.760002,114.870003,2391000,101.511368
"2015-08-26",117.230003,118.779999,114.879997,118.730003,2706200,104.922478
"2015-08-27",119.839996,123.669998,119.730003,122.599998,2401000,108.342407
"2015-08-28",122.040001,123.510002,121.410004,122.269997,1323600,108.050797
"2015-08-31",122.769997,122.919998,121.029999,121.75,1406900,107.591255
"2015-09-01",119.139999,121.43,118.900002,120.309998,3146400,106.31871
"2015-09-02",121.5,121.949997,119,120.900002,1329800,106.840118
"2015-09-03",121.300003,121.330002,119.610001,120.029999,1458700,106.071281
"2015-09-04",117.629997,119.059998,117.489998,118,1162400,104.277367
"2015-09-08",119.870003,120,119.269997,119.82,1404000,105.885704
"2015-09-09",121,121.410004,118.720001,118.989998,1282500,105.152229
"2015-09-10",118.699997,120.07,118.349998,119.019997,1106700,105.178741
"2015-09-11",118.980003,120.5,118.470001,120.489998,1399700,106.477783
"2015-09-14",119.949997,120.019997,118.690002,119.019997,880800,105.178741
"2015-09-15",119.5,121.959999,118.790001,121.730003,1115800,107.573578
"2015-09-16",121.720001,123.059998,121.040001,122.839996,1401000,108.554497
"2015-09-17",121.949997,122.25,119.760002,120.169998,2048100,106.195007
"2015-09-18",118.580002,118.589996,115.160004,115.239998,3203900,101.838333
"2015-09-21",116,116.050003,114.32,114.82,2505600,101.467163
"2015-09-22",112.330002,113.379997,110.860001,113.269997,2971100,100.097435
"2015-09-23",113.300003,113.760002,111.779999,112.220001,1789400,99.16954
"2015-09-24",109.889999,111.940002,108.269997,111.169998,2609800,98.241653
"2015-09-25",111.099998,111.650002,109.879997,110.519997,2485500,97.667252
