"","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
"2001-03-02",40.200001,41.549999,40.049999,40.509998,11000,28.189299
"2001-03-05",40.700001,40.799999,39.049999,39.560001,20500,27.528221
"2001-03-06",39.650002,40.700001,39.25,39.599998,13600,27.556065
"2001-03-07",39.700001,40.169998,39.5,39.900002,23300,27.764826
"2001-03-08",39.900002,41,39.900002,39.950001,20700,27.79962
"2001-03-09",39.950001,39.950001,37.25,37.599998,74300,26.164351
"2001-03-12",38,38.450001,37.349998,38.029999,38200,26.463554
"2001-03-13",38.009998,39.099998,38.009998,38.990002,21400,27.131596
"2001-03-14",39,40.209999,38.529999,39.200001,40500,27.277718
"2001-03-15",39.049999,39.200001,38.599998,38.740002,12300,26.957623
"2001-03-16",38.900002,38.919998,38.049999,38.049999,67800,26.477478
"2001-03-19",38.02,38.549999,37.419998,37.950001,117300,26.407898
"2001-03-20",37.950001,37.950001,36.099998,36.189999,90500,25.183186
"2001-03-21",36.200001,36.25,35.900002,35.950001,31600,25.016182
"2001-03-22",35.849998,35.849998,33.93,34,49700,23.65925
"2001-03-23",34,34,32.299999,32.599998,131600,22.685047
"2001-03-26",32.599998,33.5,31.25,33.25,103500,23.137346
"2001-03-27",33.200001,34.939999,33,34.939999,37600,24.313358
"2001-03-28",35,35.549999,33.599998,35.5,37200,24.703033
"2001-03-29",35.5,37,35.400002,36.349998,34700,25.294518
"2001-03-30",36.25,36.549999,35.349998,36,51100,25.050966
"2001-04-02",35.900002,35.959999,35.5,35.5,96900,24.703033
"2001-04-03",35.75,35.799999,34.700001,34.75,31900,24.181139
"2001-04-04",34.75,34.990002,30.76,32,97400,22.267521
"2001-04-05",34,34.5,33.540001,33.540001,334400,23.339161
"2001-04-06",33.5,34.25,33.139999,33.200001,115900,23.10256
"2001-04-09",33.439999,34.299999,33.439999,33.700001,72400,23.450493
"2001-04-10",34.25,34.799999,34,34.799999,96300,24.215935
"2001-04-11",35.25,36.75,35.25,36.400002,46500,25.329311
"2001-04-12",36.200001,36.599998,34.220001,34.220001,69700,23.812338
"2001-04-16",34.049999,34.049999,31.5,31.82,159500,22.142269
"2001-04-17",31.82,33.200001,31.73,33,247100,22.963392
"2001-04-18",33.25,34.400002,33.16,34.400002,258300,23.937595
"2001-04-19",34.25,34.48,34,34.099998,17500,23.728828
"2001-04-20",34,34,31.950001,32.299999,60800,22.476288
"2001-04-23",32.25,32.25,31.209999,32,72100,22.267521
"2001-04-24",32,33.669998,32,33.400002,78400,23.241739
"2001-04-25",33.299999,33.919998,33.240002,33.75,47800,23.485279
"2001-04-26",33.900002,34.5,32.400002,32.400002,28100,22.545877
"2001-04-27",32.25,33.5,32.25,33.5,23700,23.311317
"2001-04-30",33.400002,33.849998,33.349998,33.799999,36000,23.520071
"2001-05-01",33.549999,34.310001,32.610001,34.25,36400,23.833204
"2001-05-02",34.25,34.5,33.549999,33.869999,38200,23.568783
"2001-05-03",33.939999,34,33.52,33.91,65900,23.596619
"2001-05-04",33.700001,33.93,33.639999,33.650002,66700,23.415701
"2001-05-07",33.66,35.549999,33.66,34.43,86100,23.958466
"2001-05-08",34.400002,35.130001,34.400002,34.93,25300,24.3064
"2001-05-09",35,35.599998,35,35.549999,74400,24.737829
"2001-05-10",35.799999,36.099998,35.720001,36,24100,25.050966
"2001-05-11",36.189999,36.400002,36,36.029999,33400,25.071838
"2001-05-14",36.040001,36.290001,36.040001,36.16,29500,25.162304
"2001-05-15",36.25,37.77,36.25,37.200001,80300,25.886005
"2001-05-16",37,37,36.150002,36.150002,53700,25.15534
"2001-05-17",36.23,37.200001,36.23,37,73700,25.746822
"2001-05-18",36.900002,37.07,36.900002,37.02,114400,25.760752
"2001-05-21",37.150002,37.200001,36.5,37.200001,42700,25.886005
"2001-05-22",37.200001,37.599998,37.049999,37.169998,86200,25.865126
"2001-05-23",37.169998,37.169998,36.349998,36.349998,37000,25.294518
"2001-05-24",36.349998,36.400002,35.650002,35.75,45200,24.877005
"2001-05-25",35.75,36.16,35.75,36.110001,53800,25.127502
"2001-05-29",36.200001,36.799999,36.099998,36.75,67800,25.572861
"2001-05-30",36.700001,36.700001,36.200001,36.349998,13200,25.294518
"2001-05-31",36.349998,36.98,36.349998,36.400002,62500,25.329311
"2001-06-01",36.400002,36.41,35.25,35.470001,67400,24.682163
"2001-06-04",35.470001,36.200001,35.470001,35.900002,67400,24.981377
"2001-06-05",36,36.860001,36,36.650002,124800,25.503277
"2001-06-06",36.650002,36.889999,36,36.400002,27200,25.329311
"2001-06-07",36.400002,36.400002,35.360001,35.650002,19300,24.807417
"2001-06-08",35.5,36,35.349998,35.459999,9900,24.675207
"2001-06-11",35.25,35.400002,34.5,34.75,41600,24.181139
"2001-06-12",35.75,35.75,34.459999,34.73,44500,24.167227
"2001-06-13",34.799999,34.950001,34.450001,34.450001,30900,23.972387
"2001-06-14",34.470001,34.48,33.459999,33.549999,105400,23.346115
"2001-06-15",33.549999,33.700001,32.84,32.950001,93300,22.928596
"2001-06-18",32.959999,33,32.830002,32.98,26100,22.949467
"2001-06-19",33.049999,33.209999,33.049999,33.099998,13700,23.03297
"2001-06-20",33.110001,33.25,33.099998,33.25,246200,23.137346
"2001-06-21",33.240002,33.5,33.189999,33.5,45600,23.311317
"2001-06-22",33.450001,33.599998,32.950001,32.98,46100,22.949467
"2001-06-25",32.950001,33.119999,32.900002,33,70900,22.963392
"2001-06-26",33,33.5,32.799999,33.5,59500,23.311317
"2001-06-27",33.599998,35.41,33.599998,35.400002,76200,24.633451
"2001-06-28",35.400002,36.5,35.049999,36.5,100100,25.398901
"2001-06-29",36.5,37,34.009998,34.290001,295700,23.86105
"2001-07-02",34.75,35.849998,34.75,35.810001,122600,24.918755
"2001-07-03",35.700001,35.75,34.549999,34.59,31100,24.069807
"2001-07-05",34.57,35.349998,34.52,35.240002,53700,24.522118
"2001-07-06",35.130001,35.150002,34.709999,35.099998,27900,24.424696
"2001-07-09",35.110001,35.110001,34.400002,34.75,62600,24.181139
"2001-07-10",34.950001,34.950001,34.310001,34.310001,92000,23.874966
"2001-07-11",34.32,36.099998,33.849998,36.099998,234700,25.120556
"2001-07-12",37.25,38.700001,37.25,38.400002,162900,26.721045
"2001-07-13",38.41,39.5,38.41,39.029999,90300,27.159433
"2001-07-16",39,40.099998,39,39.52,96300,27.500401
"2001-07-17",39.52,41.200001,39.5,41.200001,45000,28.669453
"2001-07-18",41.099998,41.959999,40.5,40.5,133500,28.182329
"2001-07-19",40.400002,41.650002,40.400002,41.43,44300,28.829496
"2001-07-20",41.400002,41.400002,40.450001,40.549999,46000,28.217131
"2001-07-23",40.490002,40.599998,40.02,40.110001,46800,27.910963
"2001-07-24",40.110001,40.25,39.849998,40,218300,27.834412
"2001-07-25",40.009998,40.400002,40,40.009998,69800,27.841366
"2001-07-26",39.5,40,38.400002,40,196300,27.834412
"2001-07-27",39.950001,39.950001,39.450001,39.599998,29700,27.556065
"2001-07-30",39.650002,39.880001,39.25,39.599998,53200,27.556065
"2001-07-31",39.369999,39.849998,39.240002,39.849998,36800,27.730028
"2001-08-01",39.849998,41.220001,39.849998,40.16,30000,27.94574
"2001-08-02",40.200001,40.549999,40.200001,40.549999,21400,28.217131
"2001-08-03",40.299999,40.470001,39.75,39.75,8400,27.660444
"2001-08-06",39.799999,41,39.799999,40.84,28000,28.418941
"2001-08-07",40.84,41.650002,40.48,41.650002,72200,28.982569
"2001-08-08",41.599998,41.599998,39.919998,40.049999,68100,27.869207
"2001-08-09",40.049999,40.5,40.049999,40.459999,20100,28.15451
"2001-08-10",40.459999,40.720001,39.5,39.860001,70400,27.736988
"2001-08-13",39.860001,39.900002,39.75,39.75,36900,27.660444
"2001-08-14",39.799999,40.700001,39.799999,40.400002,68900,28.112761
"2001-08-15",40.450001,40.48,39.400002,39.400002,13600,27.416891
"2001-08-16",39.150002,39.400002,38.299999,39.400002,36500,27.416891
"2001-08-17",39.41,39.41,38.630001,38.75,28300,26.964579
"2001-08-20",38.75,39.150002,38.59,39.150002,64000,27.242929
"2001-08-21",39.150002,40.25,39.099998,39.150002,24300,27.242929
"2001-08-22",39.209999,39.259998,38.59,38.950001,24300,27.10376
"2001-08-23",38.970001,39.349998,38.849998,38.950001,30400,27.10376
"2001-08-24",38.91,40.27,38.91,40.25,18000,28.008369
"2001-08-27",40.25,40.34,39.549999,39.549999,29200,27.521267
"2001-08-28",39.5,39.5,38.799999,38.799999,13700,26.999376
"2001-08-29",38.799999,39.009998,38.650002,38.970001,7400,27.117676
"2001-08-30",39.099998,39.32,38.450001,38.450001,15200,26.755838
"2001-08-31",38.5,38.549999,38,38.049999,17300,26.477478
"2001-09-04",38.060001,38.75,38.060001,38.740002,13200,26.957623
"2001-09-05",38.599998,40.029999,38.599998,40.029999,75500,27.855284
"2001-09-06",39.950001,40.490002,39.5,40.439999,171600,28.140591
"2001-09-07",40.5,40.52,40.099998,40.369999,105700,28.091873
"2001-09-10",40.369999,40.450001,40.200001,40.450001,38100,28.147547
"2001-09-17",40.200001,43.650002,40,43.650002,121200,30.374298
"2001-09-18",43.650002,43.700001,42.150002,42.349998,47400,29.469679
"2001-09-19",42.349998,42.349998,40.349998,41.5,186800,28.878197
"2001-09-20",41.349998,41.360001,39.5,39.5,28800,27.486483
"2001-09-21",39.5,39.57,39.25,39.349998,88100,27.382095
"2001-09-24",39.349998,40.290001,39.25,39.759998,110200,27.667406
"2001-09-25",39.77,39.799999,39.400002,39.799999,121500,27.695236
"2001-09-26",39.950001,40.75,39.849998,40.099998,79100,27.903999
"2001-09-27",40.099998,41,38.400002,41,218700,28.530258
"2001-09-28",41.049999,44.5,41.049999,44.220001,65200,30.770939
"2001-10-01",43.5,43.5,39.900002,40.150002,155500,27.938786
"2001-10-02",40.25,41,39.5,39.599998,60200,27.556065
"2001-10-03",39.5,40.099998,39.400002,39.98,77700,27.820484
"2001-10-04",39.98,40.5,39.549999,39.75,46200,27.660444
"2001-10-05",39.75,40.16,39.509998,39.990002,17400,27.827444
"2001-10-08",40,40.139999,40,40.080002,3300,27.890078
"2001-10-09",40.080002,40.549999,40,40.200001,29200,27.973587
"2001-10-10",40.209999,40.299999,39.450001,40.299999,104200,28.043165
"2001-10-11",40.299999,41.599998,39.939999,40.060001,50800,27.876171
"2001-10-12",39.990002,39.990002,39.330002,39.34,9300,27.375145
"2001-10-15",39.400002,40.860001,38.970001,40.860001,47200,28.432844
"2001-10-16",40.860001,42.740002,40.860001,41.75,69400,29.05217
"2001-10-17",42.599998,42.599998,41.349998,42.200001,97600,29.365307
"2001-10-18",42.349998,42.439999,41.610001,42,91600,29.226137
"2001-10-19",41.900002,42.799999,41.900002,42.380001,41400,29.490562
"2001-10-22",42.529999,42.529999,41.849998,42,19900,29.226137
"2001-10-23",42.009998,42.220001,41.849998,41.900002,48200,29.156546
"2001-10-24",41.950001,42.049999,41.889999,41.91,97000,29.163496
"2001-10-25",41.900002,42.200001,41.799999,41.82,61400,29.100864
"2001-10-26",41.82,42.389999,41.82,41.900002,30500,29.156546
"2001-10-29",42.150002,42.5,41.900002,42.5,153400,29.57406
"2001-10-30",42.450001,43.25,42.380001,43.25,131900,30.095961
"2001-10-31",43.099998,44.400002,43.099998,43.25,141900,30.095961
"2001-11-01",43.25,43.5,42.900002,43.310001,43300,30.137705
"2001-11-02",43.310001,43.650002,43.310001,43.439999,48600,30.228168
"2001-11-05",43.5,44.119999,42.400002,42.41,52300,29.511438
"2001-11-06",42.349998,42.950001,42.25,42.950001,60500,29.887205
"2001-11-07",42.849998,43.189999,42.610001,42.700001,12000,29.713228
"2001-11-08",42.599998,43,42.599998,43,69500,29.921986
"2001-11-09",42.900002,42.900002,42.310001,42.889999,37000,29.845444
"2001-11-12",42.790001,42.790001,42.389999,42.75,68400,29.748028
"2001-11-13",42.849998,42.849998,42.419998,42.560001,47900,29.615818
"2001-11-14",42.549999,42.75,42.16,42.5,106200,29.57406
"2001-11-15",42.5,42.5,41.549999,41.950001,52200,29.191336
"2001-11-16",42.049999,42.540001,42,42.540001,36300,29.601894
"2001-11-19",42.540001,43.200001,41.16,41.220001,35000,28.683359
"2001-11-20",41.119999,41.299999,40.689999,41.07,27100,28.578976
"2001-11-21",41,41,40.599998,40.950001,6400,28.495478
"2001-11-23",40.900002,41.290001,40.82,41.18,5200,28.655521
"2001-11-26",41.200001,42,41.200001,42,56300,29.226137
"2001-11-27",41.950001,42.049999,40.799999,40.900002,80800,28.460699
"2001-11-28",40.849998,40.849998,40.299999,40.380001,48100,28.098848
"2001-11-29",40.5,40.5,38.650002,38.990002,138800,27.131596
"2001-11-30",38.900002,39,38.73,38.779999,93600,26.985464
"2001-12-03",39,39.099998,38,38.400002,59600,26.721045
"2001-12-04",38.52,38.66,37.459999,38.09,45100,26.505314
"2001-12-05",38.189999,39.009998,38.189999,38.91,39600,27.075928
"2001-12-06",39.110001,40.799999,39.110001,40.279999,42300,28.029247
"2001-12-07",40.380001,40.889999,39,39,80000,27.138554
"2001-12-10",39,39.299999,38.450001,38.700001,43300,26.929792
"2001-12-11",38.82,38.990002,38.66,38.91,39600,27.075928
"2001-12-12",39,39,38.049999,38.220001,45900,26.595785
"2001-12-13",38.220001,39.849998,38.220001,39.25,55800,27.312511
"2001-12-14",39.450001,41.599998,39.450001,41.5,149700,28.878197
"2001-12-17",41.650002,41.75,40.639999,41.060001,37700,28.57202
"2001-12-18",41.25,42.099998,40.990002,41.02,69600,28.544182
"2001-12-19",40.849998,41.419998,40.849998,41.099998,56400,28.599859
"2001-12-20",41,41.310001,40.91,41,98400,28.530258
"2001-12-21",41,41.419998,40.990002,41.419998,52700,28.822542
"2001-12-24",41.32,41.330002,41,41.150002,11200,28.634653
"2001-12-26",41.25,42.150002,41,42.150002,18200,29.330509
"2001-12-27",42.049999,42.68,41.599998,42.450001,31800,29.539276
"2001-12-28",42.549999,42.560001,41.540001,41.759998,20100,29.059122
"2001-12-31",41.759998,41.759998,41.470001,41.700001,11000,29.017374
"2002-01-02",41.779999,41.779999,41.139999,41.32,56200,28.752941
"2002-01-03",41.459999,41.900002,41.25,41.419998,34500,28.822542
"2002-01-04",41.32,42.549999,41.32,41.919998,29000,29.170471
"2002-01-07",41.919998,41.919998,41.400002,41.400002,41600,28.808632
"2002-01-08",41.549999,41.75,41.439999,41.450001,81100,28.843424
"2002-01-09",41.5,42.099998,41.439999,41.439999,24500,28.836441
"2002-01-10",41.32,42.360001,41.32,42.049999,11800,29.260918
"2002-01-11",42.150002,42.25,40.869999,40.900002,35300,28.460699
"2002-01-14",40.599998,41.32,40.599998,41,113200,28.530258
"2002-01-15",41.25,42.529999,41.099998,42,58200,29.226137
"2002-01-16",42.150002,42.599998,41.68,42.009998,108600,29.233086
"2002-01-17",42.25,43.099998,42.25,42.900002,118300,29.852407
"2002-01-18",42.91,42.950001,42.150002,42.25,47700,29.400097
"2002-01-22",42.27,42.799999,41.380001,41.599998,49500,28.947794
"2002-01-23",41.700001,42.450001,41.700001,42,24500,29.226137
"2002-01-24",42.150002,42.41,41.75,41.799999,49700,29.086954
"2002-01-25",41.900002,42.25,41.900002,42.150002,20500,29.330509
"2002-01-28",42.299999,42.299999,40.990002,40.990002,32400,28.523315
"2002-01-29",41.990002,42.509998,40.82,41,116000,28.530258
"2002-01-30",41,41.830002,41,41.619999,65800,28.961699
"2002-01-31",41.650002,43,41.650002,43,108200,29.921986
"2002-02-01",43,43,42.720001,42.970001,51500,29.901115
"2002-02-04",42.869999,42.869999,42.41,42.459999,68100,29.546225
"2002-02-05",42.560001,43,42.450001,42.919998,58400,29.866333
"2002-02-06",42.82,42.939999,42.650002,42.75,46700,29.748028
"2002-02-07",42.650002,43.02,42.650002,42.950001,23100,29.887205
"2002-02-08",43.029999,43.549999,42.400002,43.549999,57600,30.304708
"2002-02-11",43.5,43.650002,43,43.150002,94400,30.026375
"2002-02-12",43,43.25,42.799999,43.099998,90400,29.991585
"2002-02-13",43.150002,43.150002,42.599998,42.599998,100400,29.643656
"2002-02-14",42.400002,42.599998,41.849998,42.25,71700,29.400097
"2002-02-15",42.099998,42.299999,40.450001,41.240002,83300,28.697275
"2002-02-19",41.09,41.959999,40.950001,41.900002,109000,29.156546
"2002-02-20",42.049999,42.830002,42.049999,42.290001,40300,29.427931
"2002-02-21",42.290001,42.990002,42.290001,42.900002,27800,29.852407
"2002-02-22",43,43.139999,42.900002,43.139999,102400,30.019413
"2002-02-25",43,43.599998,42.650002,43.509998,83200,30.276882
"2002-02-26",43.599998,44.709999,43.450001,43.709999,49500,30.41605
"2002-02-27",43.75,44.5,43.5,43.900002,33700,30.548264
"2002-02-28",44.049999,44.5,43.869999,44.5,27400,30.96578
"2002-03-01",44.400002,44.889999,44.349998,44.880001,11300,31.230204
"2002-03-04",45,46.259998,45,46.259998,40300,32.190487
"2002-03-05",46.25,46.25,45.77,45.860001,21300,31.912146
"2002-03-06",45.900002,45.900002,44,44.009998,94600,30.624811
"2002-03-07",44.259998,44.990002,44.259998,44.990002,28000,31.306749
"2002-03-08",44.990002,45.02,44,45,75100,31.313715
"2002-03-11",44.849998,44.849998,44.099998,44.389999,26300,30.889242
"2002-03-12",44.389999,44.389999,44.049999,44.16,43100,30.729185
"2002-03-13",44.16,44.59,44.040001,44.349998,33800,30.861397
"2002-03-14",44.349998,44.599998,44.259998,44.599998,38400,31.035357
"2002-03-15",44.5,44.5,43.799999,44.220001,33200,30.770939
"2002-03-18",44.23,44.599998,44.200001,44.599998,23200,31.035357
"2002-03-19",44.48,44.5,43.950001,44.119999,120500,30.701351
"2002-03-20",44,44.299999,43.900002,44,44500,30.617859
"2002-03-21",44.150002,44.560001,44.080002,44.560001,18500,31.007545
"2002-03-22",44.599998,44.599998,44.150002,44.48,12200,30.951866
"2002-03-25",44.549999,44.580002,43.93,43.939999,10300,30.576099
"2002-03-26",44.009998,44.009998,43.790001,43.950001,22800,30.583052
"2002-03-27",44.049999,44.599998,44.040001,44.349998,20800,30.861397
"2002-03-28",44.439999,44.599998,44.279999,44.599998,40000,31.035357
"2002-04-01",44.599998,45,44.5,44.900002,26700,31.244131
"2002-04-02",45,45.040001,44.5,44.5,13500,30.96578
"2002-04-03",44.599998,44.669998,44.18,44.27,18000,30.805735
"2002-04-04",44.27,44.310001,43.599998,43.869999,30200,30.52739
"2002-04-05",43.619999,43.709999,43,43.400002,30300,30.200335
"2002-04-08",43.380001,43.700001,43.080002,43.5,55600,30.269918
"2002-04-09",43.599998,43.599998,42.02,42.459999,54800,29.546225
"2002-04-10",42.560001,42.799999,42,42,32700,29.226137
"2002-04-11",41.700001,41.75,40.349998,40.450001,132800,28.147547
"2002-04-12",41.5,45.599998,41.5,45.599998,266900,31.731237
"2002-04-15",45.5,47.599998,44.549999,46,181600,32.009583
"2002-04-16",45.900002,47.349998,45.880001,46.450001,105600,32.322708
"2002-04-17",46.349998,46.349998,44.619999,44.75,74400,31.139744
"2002-04-18",44.400002,45.139999,44.400002,44.990002,68300,31.306749
"2002-04-19",45,45,43.150002,43.75,62400,30.443876
"2002-04-22",43.650002,45.099998,43.5,45.009998,113700,31.32066
"2002-04-23",45.349998,45.349998,44.299999,45.080002,67300,31.369383
"2002-04-24",45.080002,45.279999,44.299999,45.279999,59100,31.508549
"2002-04-25",45.279999,46,44.990002,44.990002,54000,31.306749
"2002-04-26",45.240002,45.599998,45,45,18800,31.313715
"2002-04-29",44.75,45.299999,44.75,45.009998,18000,31.32066
"2002-04-30",44.689999,46,44.400002,46,54000,32.009583
"2002-05-01",46.150002,46.349998,45.400002,46.349998,57200,32.25312
"2002-05-02",46.450001,47.07,46.450001,46.759998,34300,32.538429
"2002-05-03",46.91,47.009998,46.259998,47,31200,32.705425
"2002-05-06",47,47.5,45.799999,46.040001,70500,32.037403
"2002-05-07",46.099998,46.299999,45.759998,46.099998,36300,32.079151
"2002-05-08",46.400002,46.5,46.189999,46.200001,40200,32.148746
"2002-05-09",46.200001,46.200001,45.290001,46.099998,56000,32.079151
"2002-05-10",46.200001,46.200001,45.130001,45.48,49200,31.647711
"2002-05-13",45.580002,45.599998,45.110001,45.299999,61500,31.522465
"2002-05-14",45.549999,47.5,45.549999,47.349998,38700,32.948978
"2002-05-15",47.200001,47.200001,46.599998,46.84,21300,32.594093
"2002-05-16",46.740002,47.080002,46.189999,46.290001,15400,32.211376
"2002-05-17",46.169998,46.189999,45.900002,46.099998,8400,32.079151
"2002-05-20",46.099998,46.099998,45.610001,45.66,18400,31.772984
"2002-05-21",45.779999,45.880001,45.349998,45.349998,12200,31.55727
"2002-05-22",45.34,45.459999,45.220001,45.23,6900,31.473757
"2002-05-23",45.400002,46.290001,45.099998,46.099998,33200,32.079151
"2002-05-24",46.099998,46.099998,45.400002,45.41,6100,31.599009
"2002-05-28",45.509998,45.509998,45.099998,45.25,17500,31.487669
"2002-05-29",45.369999,45.369999,44.669998,44.849998,39800,31.20933
"2002-05-30",44.599998,44.599998,43.349998,43.869999,72400,30.52739
"2002-05-31",43.700001,43.73,42.5,43,47200,29.921986
"2002-06-03",42.75,42.759998,41.880001,41.950001,72700,29.191336
"2002-06-04",41.700001,42.560001,41.599998,42.560001,56100,29.615818
"2002-06-05",42.560001,44.380001,42.560001,44.099998,41500,30.687443
"2002-06-06",44.25,44.349998,43.5,43.849998,73400,30.513477
"2002-06-07",43.849998,44.200001,43.200001,44.099998,61400,30.687443
"2002-06-10",44.200001,44.599998,43.990002,44.509998,90000,30.972746
"2002-06-11",44.610001,44.700001,43.349998,43.5,72500,30.269918
"2002-06-12",43.5,43.549999,43.349998,43.349998,136400,30.165545
"2002-06-13",43.450001,43.5,43.200001,43.200001,69500,30.061161
"2002-06-14",43.200001,43.209999,42.099998,42.150002,63300,29.330509
"2002-06-17",42.25,42.599998,40.900002,41.900002,138400,29.156546
"2002-06-18",41.950001,43.740002,41.650002,43.650002,69100,30.374298
"2002-06-19",43.560001,43.560001,42.700001,42.700001,60600,29.713228
"2002-06-20",42.799999,43.380001,42.799999,42.860001,78400,29.824562
"2002-06-21",42.950001,42.950001,41.950001,42.200001,39200,29.365307
"2002-06-24",42.099998,42.709999,41.400002,42.549999,42300,29.608862
"2002-06-25",42.349998,43.400002,42.299999,43.049999,48500,29.956787
"2002-06-26",42.650002,43.259998,42.349998,43.150002,39500,30.026375
"2002-06-27",43.400002,44.25,43.400002,44.060001,51800,30.659599
"2002-06-28",44.16,45.200001,43.720001,44.299999,131300,30.82659
"2002-07-01",44.549999,44.650002,43.580002,43.849998,54900,30.513477
"2002-07-02",43.799999,43.799999,43.099998,43.209999,30400,30.068113
"2002-07-03",43.209999,43.209999,42.150002,42.16,42200,29.337471
"2002-07-05",42.279999,42.5,42.209999,42.400002,17500,29.504492
"2002-07-08",42.400002,43.049999,42.400002,42.950001,22600,29.887205
"2002-07-09",42.939999,42.939999,42.25,42.27,23300,29.414005
"2002-07-10",42.27,42.549999,42.099998,42.099998,65800,29.295719
"2002-07-11",42.099998,42.799999,41.389999,42.299999,143500,29.434883
"2002-07-12",43,43.75,42.5,43.32,275000,30.144655
"2002-07-15",43.07,43.990002,42.599998,43.950001,121500,30.583052
"2002-07-16",43.849998,44.299999,43.700001,43.709999,64000,30.41605
"2002-07-17",43.91,44.34,43.700001,44.34,50300,30.854433
"2002-07-18",44.299999,44.299999,43.299999,43.720001,129300,30.423
"2002-07-19",43.470001,43.779999,42.43,42.790001,119800,29.775864
"2002-07-22",42.889999,43.599998,42.849998,43.330002,97700,30.151627
"2002-07-23",43.330002,43.330002,41.93,42.349998,100900,29.469679
"2002-07-24",41.849998,41.849998,38.5,40.5,423100,28.182329
"2002-07-25",40.349998,40.66,39.700001,40,150500,27.834412
"2002-07-26",39.900002,41.049999,39.900002,40.599998,70700,28.251925
"2002-07-29",40.599998,42.84,40.599998,42.599998,82300,29.643656
"2002-07-30",42.5,42.639999,42.189999,42.43,49200,29.525351
"2002-07-31",42.330002,42.389999,41.57,41.950001,48600,29.191336
"2002-08-01",42.200001,42.200001,41.599998,41.889999,27200,29.149586
"2002-08-02",41.689999,41.900002,40.66,41.009998,46400,28.537231
"2002-08-05",40.990002,40.990002,40.450001,40.549999,48900,28.217131
"2002-08-06",40.700001,41,40.450001,40.720001,55000,28.335423
"2002-08-07",40.970001,40.970001,40.23,40.43,64700,28.133636
"2002-08-08",40.5,42.400002,40.5,42.400002,50900,29.504492
"2002-08-09",42.400002,44.75,42.400002,44.529999,72900,30.986662
"2002-08-12",44.380001,44.849998,43.799999,44.41,59300,30.903139
"2002-08-13",44.259998,45,43.57,43.580002,43800,30.325581
"2002-08-14",43.48,45.599998,42.900002,45.099998,102400,31.383289
"2002-08-15",45,45,43.299999,44.599998,79100,31.035357
"2002-08-16",44.5,46.950001,44.220001,46.419998,91200,32.301834
"2002-08-19",46.32,46.32,44.540001,45,131800,31.313715
"2002-08-20",44.849998,45,44.5,44.799999,45100,31.174549
"2002-08-21",44.849998,45.299999,44.57,45.299999,92800,31.522465
