"","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume","VLO.Adjusted"
"2001-04-25",10.626143,10.628428,10.434187,10.534735,5899700,6.392693
"2001-04-26",10.580439,10.866088,10.580439,10.852377,5033200,6.585444
"2001-04-27",11.083181,11.243144,10.927788,11.060329,4395200,6.711636
"2001-04-30",11.060329,11.174588,10.95064,11.005485,4986000,6.678355
"2001-05-01",10.991774,10.991774,10.744972,10.934644,3484100,6.635366
"2001-05-02",9.826325,10.105119,9.746344,9.920018,12071600,6.01967
"2001-05-03",9.952011,10.075412,9.776052,10.027422,6966100,6.084843
"2001-05-04",9.974863,10.420475,9.940585,10.390768,3812300,6.305329
"2001-05-07",10.393053,10.393053,9.597806,9.75777,37402100,5.921213
"2001-05-08",9.792048,10.450183,9.634369,10.260512,22321900,6.226287
"2001-05-09",10.281078,11.01234,10.281078,10.968922,13025600,6.656169
"2001-05-10",11.060329,11.380256,11.035192,11.215722,13302600,6.805929
"2001-05-11",11.231718,11.585923,11.119744,11.42596,16553500,6.933508
"2001-05-14",11.334552,11.398538,11.062614,11.220292,13026900,6.8087
"2001-05-15",11.243144,11.471663,11.154022,11.471663,14044300,6.961239
"2001-05-16",11.42596,11.42596,11.07404,11.3117,13265800,6.864172
"2001-05-17",11.3117,11.700183,11.083181,11.595064,10708500,7.036119
"2001-05-18",11.19744,12.02011,11.19744,11.789306,11432700,7.153994
"2001-05-21",11.997258,12.02011,11.745887,11.848721,3990900,7.190044
"2001-05-22",11.848721,11.882998,11.677331,11.691042,4178200,7.094364
"2001-05-23",11.66819,11.686472,11.048903,11.128885,9410100,6.753237
"2001-05-24",11.106033,11.106033,10.703839,10.952925,7950300,6.694582
"2001-05-25",10.94607,10.95064,10.740402,10.891225,6270300,6.65687
"2001-05-29",10.626143,10.72212,10.596436,10.671846,6197700,6.522785
"2001-05-30",10.580439,10.65585,10.258226,10.317641,5976700,6.306289
"2001-05-31",10.283363,10.283363,10.009141,10.075412,13559000,6.158233
"2001-06-01",10.191957,10.58501,9.894881,10.221663,11356500,6.247627
"2001-06-04",10.797532,10.909507,10.605576,10.639853,10487900,6.503228
"2001-06-05",10.763254,10.834095,10.612432,10.614717,5642800,6.487864
"2001-06-06",10.226234,10.228519,9.940585,10.134827,18262700,6.194551
"2001-06-07",10.173675,10.251371,9.974863,10.036563,8362900,6.134491
"2001-06-08",10.036563,10.036563,9.883455,9.993144,5167600,6.107951
"2001-06-11",10.111975,10.203382,9.821755,9.926874,6340800,6.067447
"2001-06-12",9.926874,10.267367,9.837751,10.217093,7423800,6.244831
"2001-06-13",10.169105,10.191957,9.657221,9.666362,10567100,5.908217
"2001-06-14",9.668647,9.668647,9.312158,9.33958,8660900,5.708484
"2001-06-15",9.323584,9.424131,9.108775,9.133912,10051600,5.582774
"2001-06-18",9.232176,9.232176,8.797989,8.951097,7798900,5.471038
"2001-06-19",9.117916,9.129342,8.727148,8.907679,7596200,5.444501
"2001-06-20",8.752285,9.003656,8.663162,8.683729,11020500,5.307619
"2001-06-21",8.660877,8.660877,8.292962,8.359232,12319700,5.109281
"2001-06-22",8.363803,8.912249,8.318099,8.848263,9352800,5.408185
"2001-06-25",8.848263,8.877971,8.603747,8.683729,4965000,5.307619
"2001-06-26",8.683729,8.718007,8.569469,8.569469,5866400,5.237782
"2001-06-27",8.569469,8.571755,8.203839,8.233546,11728500,5.03246
"2001-06-28",8.233546,8.233546,8.08958,8.117002,6029600,4.961228
"2001-06-29",8.119287,8.500914,8.119287,8.404936,5609100,5.137215
"2001-07-02",8.455211,8.475777,8.180987,8.249543,4047800,5.042239
"2001-07-03",8.375229,8.535192,8.329525,8.434644,3029000,5.155373
"2001-07-05",8.434644,8.775137,8.409507,8.731718,5406900,5.336948
"2001-07-06",8.731718,8.752285,8.583181,8.603747,4435500,5.258732
"2001-07-09",8.649451,8.649451,8.455211,8.466637,3429000,5.174928
"2001-07-10",8.523766,8.523766,8.208409,8.272395,5536000,5.056205
"2001-07-11",8.215265,8.238117,7.952468,8.025594,6047100,4.905355
"2001-07-12",8.180987,8.33638,8.057587,8.059872,6887800,4.926309
"2001-07-13",8.055302,8.112432,7.838208,7.986746,8805800,4.881612
"2001-07-16",8.055302,8.055302,7.655393,7.687386,7692500,4.698639
"2001-07-17",7.689671,7.769653,7.49543,7.621115,6883800,4.658134
"2001-07-18",7.666819,7.870201,7.552559,7.845064,6095300,4.795015
"2001-07-19",7.895338,7.91819,7.769653,7.769653,3123100,4.748921
"2001-07-20",7.771938,8.007313,7.771938,7.991316,5343500,4.884406
"2001-07-23",8.048446,8.107862,7.74223,7.776508,3856100,4.75311
"2001-07-24",7.774223,7.776508,7.404022,7.518281,7276400,4.595281
"2001-07-25",7.538848,7.698812,7.429159,7.552559,6335100,4.616231
"2001-07-26",7.678245,7.824497,7.554844,7.797075,4910700,4.765684
"2001-07-27",7.797075,8.034735,7.648538,7.961609,4053000,4.866249
"2001-07-30",7.952468,7.952468,7.769653,7.787934,2539800,4.760096
"2001-07-31",7.79936,8.066728,7.79936,8.066728,4072700,4.930498
"2001-08-01",8.420933,8.420933,8.073584,8.180987,7573100,5.000335
"2001-08-02",8.180987,8.238117,8.009598,8.112432,4490200,4.958433
"2001-08-03",8.135283,8.203839,8.071298,8.135283,2816800,4.9724
"2001-08-06",8.135283,8.283821,8.112432,8.130713,2132400,4.969607
"2001-08-07",8.158135,8.231261,7.966179,8.064443,2209000,4.929101
"2001-08-08",8.135283,8.215265,7.963894,8.066728,2093000,4.930498
"2001-08-09",8.021024,8.039306,7.815356,7.915905,2683300,4.838314
"2001-08-10",7.838208,8.03245,7.838208,7.925045,1935000,4.8439
"2001-08-13",7.86106,8.080439,7.86106,7.97532,1671100,4.924337
"2001-08-14",7.895338,8.062158,7.879342,8.000457,3379100,4.939856
"2001-08-15",8.066728,8.318099,8.066728,8.256398,3653000,5.097888
"2001-08-16",8.226691,8.238117,8.062158,8.171846,1818200,5.045682
"2001-08-17",8.158135,8.281536,8.135283,8.190128,3333100,5.056972
"2001-08-20",8.281536,8.281536,8.201554,8.201554,3113500,5.064026
"2001-08-21",8.238117,8.386655,8.235832,8.27011,3295500,5.106356
"2001-08-22",8.398081,8.919105,8.386655,8.683729,10923800,5.361743
"2001-08-23",8.656307,8.706581,8.528337,8.530622,3932700,5.267207
"2001-08-24",8.516911,8.711152,8.514626,8.686014,3873600,5.363153
"2001-08-27",8.786563,8.80256,8.715722,8.74543,3492000,5.399841
"2001-08-28",8.866545,8.873401,8.683729,8.823126,5732500,5.447812
"2001-08-29",9.255028,9.428702,9.200183,9.33501,11966600,5.763875
"2001-08-30",9.33501,9.378428,9.250457,9.300732,6123300,5.742708
"2001-08-31",9.266454,9.483546,9.191042,9.483546,5174100,5.855587
"2001-09-04",9.540676,9.75777,9.47212,9.483546,6895700,5.855587
"2001-09-05",9.494972,9.597806,9.41499,9.597806,5461600,5.926137
"2001-09-06",9.654936,9.99543,9.64351,9.961152,8055700,6.150484
"2001-09-07",9.922303,10.068556,9.771481,9.773766,7662300,6.034783
"2001-09-10",9.75777,9.9383,9.659507,9.794333,4338800,6.047482
"2001-09-17",9.622943,9.64351,8.887112,8.937386,8609700,5.518361
"2001-09-18",8.914534,8.923675,8.546618,8.555758,4941300,5.282728
"2001-09-19",8.626599,8.626599,7.678245,7.893053,9810500,4.873542
"2001-09-20",7.678245,7.986746,7.632541,7.712523,5861200,4.762075
"2001-09-21",7.541133,7.91819,7.426874,7.904479,5617400,4.880595
"2001-09-24",7.998172,8.087295,7.678245,7.769653,8012000,4.797349
"2001-09-25",7.666819,7.849634,7.662249,7.810786,4036400,4.822748
"2001-09-26",7.925045,7.929616,7.484004,7.634826,6756100,4.714102
"2001-09-27",7.632541,7.733089,7.340036,7.733089,4891900,4.774773
"2001-09-28",7.744515,8.132998,7.744515,8.021024,3859100,4.952557
"2001-10-01",8.043876,8.226691,7.849634,8.132998,4720800,5.021696
"2001-10-02",8.21755,8.562614,8.208409,8.473492,4912000,5.231933
"2001-10-03",8.475777,8.475777,8.359232,8.439214,4534800,5.210768
"2001-10-04",8.603747,8.603747,8.420933,8.432359,5592000,5.206533
"2001-10-05",8.443785,8.487203,8.414077,8.457496,8718700,5.222055
"2001-10-08",8.457496,8.478063,8.377514,8.400366,4785100,5.18678
"2001-10-09",8.443785,8.558043,8.443785,8.498629,5145700,5.247454
"2001-10-10",8.489488,8.569469,8.473492,8.546618,5904500,5.277083
"2001-10-11",8.603747,8.663162,8.535192,8.571755,5353500,5.292606
"2001-10-12",8.571755,8.617459,8.478063,8.558043,5347900,5.28414
"2001-10-15",8.558043,8.695155,8.498629,8.510055,4454700,5.254509
"2001-10-16",8.569469,8.683729,8.558043,8.603747,4578100,5.312358
"2001-10-17",8.638025,8.738574,8.455211,8.532907,4798200,5.268617
"2001-10-18",8.478063,8.489488,8.203839,8.226691,4629800,5.079547
"2001-10-19",8.226691,8.615173,8.183272,8.382084,5089700,5.175493
"2001-10-22",8.398081,8.532907,8.384369,8.443785,1999300,5.213592
"2001-10-23",8.51234,8.900823,8.505485,8.848263,7973000,5.463337
"2001-10-24",8.820841,8.823126,8.5032,8.521481,5599500,5.261563
"2001-10-25",8.521481,8.855119,8.489488,8.841408,3350200,5.459101
"2001-10-26",9.003656,9.213894,8.967093,9.138483,4696700,5.642529
"2001-10-29",9.186472,9.22075,9.003656,9.026508,3332300,5.573392
"2001-10-30",8.99223,9.001371,8.585466,8.775137,5171500,5.418183
"2001-10-31",8.832267,8.923675,8.569469,8.592321,5356200,5.305304
"2001-11-01",8.592321,8.722578,8.290676,8.695155,5026200,5.368799
"2001-11-02",8.592321,8.711152,8.363803,8.683729,3548000,5.361743
"2001-11-05",8.695155,8.715722,8.569469,8.596892,3441700,5.308128
"2001-11-06",8.592321,8.690585,8.455211,8.690585,5185100,5.365979
"2001-11-07",8.638025,8.893967,8.535192,8.866545,4475300,5.474621
"2001-11-08",8.923675,9.133912,8.841408,8.852834,7179200,5.466156
"2001-11-09",8.932816,9.042504,8.932816,9.021937,9000100,5.634212
"2001-11-12",9.015082,9.060786,8.718007,9.060786,6185900,5.658473
"2001-11-13",9.197898,9.241316,8.999086,9.117916,5422700,5.694151
"2001-11-14",8.912249,8.944242,8.6883,8.775137,4278400,5.480083
"2001-11-15",8.626599,8.683729,8.192413,8.299817,7430000,5.183247
"2001-11-16",8.299817,8.615173,8.15585,8.583181,11942500,5.360207
"2001-11-19",8.420933,8.420933,8.055302,8.192413,8918200,5.116173
"2001-11-20",8.283821,8.452925,8.210694,8.44607,9199200,5.274581
"2001-11-21",8.44607,8.462066,7.936471,8.059872,10704100,5.0334
"2001-11-23",8.021024,8.158135,7.938757,8.123857,4848100,5.073359
"2001-11-26",8.126143,8.233546,7.895338,8.16042,6230100,5.096194
"2001-11-27",8.183272,8.418647,8.066728,8.254113,4652500,5.154705
"2001-11-28",8.192413,8.215265,7.973035,7.995887,5562700,4.993441
"2001-11-29",7.998172,8.137568,7.998172,8.055302,4468300,5.030545
"2001-11-30",8.064443,8.126143,7.989031,7.998172,5208700,4.994869
"2001-12-03",8.050732,8.382084,7.941042,8.372943,16966600,5.228913
"2001-12-04",8.462066,8.786563,8.457496,8.75,7268000,5.464388
"2001-12-05",8.752285,8.985374,8.752285,8.912249,8231200,5.565711
"2001-12-06",8.912249,8.935101,8.704296,8.704296,5290100,5.435844
"2001-12-07",8.683729,9.008226,8.624314,8.928245,6581000,5.5757
"2001-12-10",8.871115,8.873401,8.775137,8.825412,7518800,5.511481
"2001-12-11",8.825412,8.857404,8.523766,8.580895,6599400,5.35878
"2001-12-12",8.500914,8.523766,8.117002,8.21298,11415200,5.129015
"2001-12-13",8.190128,8.208409,8.043876,8.08958,9225900,5.051954
"2001-12-14",8.08958,8.08958,7.792505,7.934186,17498700,4.954911
"2001-12-17",7.934186,8.16499,7.838208,7.904479,10952200,4.936358
"2001-12-18",8.018739,8.075869,7.952468,8.005028,7014700,4.99915
"2001-12-19",8.062158,8.295247,8.062158,8.231261,10343900,5.140434
"2001-12-20",8.231261,8.329525,8.192413,8.235832,4645100,5.143288
"2001-12-21",8.258684,8.430073,8.251828,8.402651,6958700,5.247465
"2001-12-24",8.402651,8.425503,8.386655,8.391225,3333100,5.240331
"2001-12-26",8.391225,8.51234,8.318099,8.354662,9694500,5.217497
"2001-12-27",8.356947,8.402651,8.226691,8.242687,12382700,5.147568
"2001-12-28",8.340951,8.722578,8.318099,8.640311,11378000,5.395887
"2001-12-31",8.731718,8.900823,8.683729,8.711152,8947100,5.440127
"2002-01-02",8.859689,8.877971,8.452925,8.843693,8759000,5.522897
"2002-01-03",8.866545,8.971663,8.763711,8.912249,9040800,5.565711
"2002-01-04",8.626599,9.015082,8.615173,9.015082,25647700,5.629931
"2002-01-07",9.015082,9.547532,9.015082,9.469835,23859200,5.913925
"2002-01-08",9.712066,9.712066,9.357862,9.403564,17465000,5.872538
"2002-01-09",9.255028,9.595521,9.095064,9.517824,16731600,5.943894
"2002-01-10",9.426416,9.542962,9.371572,9.488117,12750300,5.925343
"2002-01-11",9.485832,9.593236,9.394424,9.437842,9095500,5.893944
"2002-01-14",9.392138,9.403564,9.140768,9.140768,9390000,5.70842
"2002-01-15",9.140768,9.34415,9.117916,9.250457,8988300,5.776922
"2002-01-16",9.140768,9.241316,9.04936,9.195613,7790100,5.742675
"2002-01-17",9.252742,9.293876,9.186472,9.255028,4988200,5.779778
"2002-01-18",9.209324,9.27788,9.16362,9.202468,4385600,5.746955
"2002-01-22",9.213894,9.367002,9.165905,9.28245,6415200,5.796904
"2002-01-23",9.28245,9.426416,9.255028,9.426416,5629700,5.886808
"2002-01-24",9.597806,9.9383,9.577239,9.894881,10116400,6.179366
"2002-01-25",9.872029,9.974863,9.82861,9.968007,7839100,6.225034
"2002-01-28",10.283363,10.283363,9.936014,10.054845,13711700,6.279262
"2002-01-29",10.100549,10.271937,10.020567,10.178245,10424900,6.356326
"2002-01-30",10.169105,10.17139,9.716637,10.11883,10094500,6.319222
"2002-01-31",10.23766,10.511883,10.089123,10.498172,8706400,6.55612
"2002-02-01",10.500457,10.66042,10.397623,10.516454,7819400,6.567538
"2002-02-04",10.409049,10.438757,10.308501,10.395338,6595500,6.491901
"2002-02-05",10.349634,10.397623,10.283363,10.370201,9060900,6.476204
"2002-02-06",10.363345,10.409049,10.329067,10.367916,6784900,6.474778
"2002-02-07",10.374771,10.457038,10.308501,10.402194,5050700,6.496182
"2002-02-08",10.395338,10.434187,10.365631,10.431901,4256500,6.514736
"2002-02-11",10.429616,10.445613,10.340493,10.443327,5334300,6.584994
"2002-02-12",10.443327,10.443327,10.283363,10.363345,6102300,6.534562
"2002-02-13",10.340493,10.342779,10.146253,10.214808,8440400,6.440903
"2002-02-14",10.214808,10.363345,10.169105,10.351919,9681400,6.527359
"2002-02-15",10.351919,10.351919,10.2468,10.283363,4573300,6.48413
"2002-02-19",10.260512,10.271937,10.066271,10.068556,4458700,6.348685
"2002-02-20",10.054845,10.070841,9.924588,10.031993,8024200,6.325631
"2002-02-21",10.054845,10.082267,9.961152,9.997715,7118000,6.304017
"2002-02-22",9.974863,10.045704,9.904022,9.997715,4606600,6.304017
"2002-02-25",10.054845,10.123401,9.986289,10.086838,5766600,6.360211
"2002-02-26",10.095978,10.123401,10.054845,10.116545,2510900,6.378944
"2002-02-27",10.134827,10.180531,10.068556,10.100549,2602800,6.368855
"2002-02-28",10.054845,10.070841,9.597806,9.787477,10534700,6.17145
"2002-03-01",9.810329,10.029708,9.803473,9.913162,9507200,6.250702
"2002-03-04",10.043419,10.107404,9.712066,9.746344,7885900,6.145515
"2002-03-05",9.803473,9.929159,9.792048,9.926874,4718600,6.259349
"2002-03-06",9.949726,10.351919,9.926874,10.329067,5575400,6.512948
"2002-03-07",10.511883,10.77468,10.477605,10.562158,9086700,6.659924
"2002-03-08",10.676416,10.71755,10.41819,10.431901,6113700,6.57779
"2002-03-11",10.317641,10.569013,10.317641,10.518739,4575100,6.632544
"2002-03-12",10.521024,10.939214,10.409049,10.88894,8482400,6.865974
"2002-03-13",11.231718,11.334552,10.934644,10.996344,10998600,6.933695
"2002-03-14",11.026052,11.085466,10.824954,10.877514,8313500,6.858768
"2002-03-15",10.83181,10.877514,10.696983,10.861517,5273000,6.848683
"2002-03-18",10.875229,10.968922,10.763254,10.968922,3357700,6.916406
"2002-03-19",10.900366,11.240859,10.868373,11.108318,4867800,7.004303
"2002-03-20",11.110603,11.128885,10.877514,10.877514,5687400,6.858768
"2002-03-21",10.879799,11.144881,10.854662,11.117459,5550000,7.010067
"2002-03-22",11.048903,11.051188,10.94607,10.991774,4156300,6.930816
"2002-03-25",10.962066,10.989488,10.786106,10.898081,8661400,6.871737
"2002-03-26",10.898081,11.149451,10.898081,11.083181,6373200,6.988446
"2002-03-27",11.208866,11.359689,11.19744,11.293419,5044600,7.121015
"2002-03-28",11.300274,11.419105,11.190585,11.316271,3746700,7.135428
"2002-04-01",11.304845,11.304845,11.110603,11.211152,3301200,7.069143
"2002-04-02",11.186014,11.199726,11.106033,11.142596,4361900,7.025916
"2002-04-03",11.144881,11.144881,10.683272,10.756398,6031400,6.782397
"2002-04-04",10.740402,10.772395,10.626143,10.66499,4052100,6.724764
"2002-04-05",10.699268,10.808958,10.521024,10.751828,4826200,6.779517
"2002-04-08",10.877514,11.026052,10.763254,10.820384,3211900,6.822746
"2002-04-09",10.763254,10.866088,10.696983,10.772395,2838700,6.792487
"2002-04-10",10.740402,11.071755,10.728976,10.957496,5904900,6.9092
"2002-04-11",10.854662,11.016911,10.820384,10.936929,5113700,6.896231
"2002-04-12",10.936929,10.939214,10.511883,10.59415,8657400,6.680095
"2002-04-15",10.738117,11.014626,10.706124,10.861517,5751800,6.848683
"2002-04-16",10.918647,10.918647,10.740402,10.799817,2966400,6.809776
"2002-04-17",10.923218,11.060329,10.820384,10.866088,4025900,6.851562
"2002-04-18",10.923218,11.19744,10.920933,11.108318,4927800,7.004303
"2002-04-19",11.062614,11.064899,10.83638,10.900366,5793300,6.873178
"2002-04-22",10.902651,10.94607,10.719835,10.820384,3794800,6.822746
"2002-04-23",10.648994,10.751828,10.511883,10.648994,8447400,6.714677
"2002-04-24",10.511883,10.614717,10.399909,10.477605,6343800,6.60661
"2002-04-25",10.431901,10.637568,10.397623,10.546161,3309100,6.649837
"2002-04-26",10.58501,10.614717,10.427331,10.498172,2432600,6.619576
"2002-04-29",10.498172,10.500457,10.283363,10.351919,4321700,6.527359
"2002-04-30",9.826325,10.031993,9.780622,9.862888,18901200,6.219002
"2002-05-01",9.840036,10.077697,9.785192,9.961152,8320000,6.28096
"2002-05-02",9.620658,9.698355,9.312158,9.552102,18214200,6.023036
"2002-05-03",9.563528,9.940585,9.552102,9.82404,12402000,6.194505
"2002-05-06",9.789762,9.792048,9.483546,9.513254,4042100,5.998544
"2002-05-07",9.46755,9.46755,9.16362,9.209324,8797900,5.806898
"2002-05-08",9.223035,9.346436,9.16362,9.16362,7230400,5.778081
"2002-05-09",9.197898,9.63894,9.154479,9.506398,11255000,5.99422
"2002-05-10",9.574954,9.689214,9.542962,9.668647,5571900,6.096525
"2002-05-13",9.622943,9.714351,9.506398,9.714351,5313300,6.125343
"2002-05-14",9.805758,9.814899,9.629799,9.728063,4635400,6.133988
"2002-05-15",9.689214,9.691499,9.46298,9.552102,7476300,6.023036
"2002-05-16",9.597806,9.64351,9.367002,9.367002,4410100,5.90632
"2002-05-17",9.392138,9.419561,9.186472,9.252742,7390600,5.834276
"2002-05-20",9.143053,9.321298,9.143053,9.275594,4141800,5.848687
"2002-05-21",9.241316,9.590951,9.241316,9.426416,5765300,5.943787
"2002-05-22",9.41499,9.600091,9.394424,9.597806,5566700,6.051855
"2002-05-23",9.597806,9.648081,9.437842,9.545247,5085700,6.082086
"2002-05-24",9.52925,9.540676,9.378428,9.380713,2363400,5.977245
"2002-05-28",9.266454,9.346436,9.072212,9.081353,9045100,5.786497
"2002-05-29",8.92139,9.095064,8.69744,8.779708,13512600,5.594295
"2002-05-30",8.775137,9.019652,8.756856,8.978519,7966900,5.720974
"2002-05-31",8.980804,9.124771,8.969378,9.026508,5002600,5.751552
"2002-06-03",9.015082,9.026508,8.706581,8.715722,4945700,5.553524
"2002-06-04",8.686014,8.820841,8.672303,8.809415,3501200,5.613222
"2002-06-05",8.706581,8.786563,8.638025,8.690585,5536500,5.537507
"2002-06-06",8.695155,8.786563,8.359232,8.372943,8402300,5.335108
"2002-06-07",8.281536,8.500914,8.272395,8.455211,6445800,5.38753
"2002-06-10",8.432359,8.480348,8.306673,8.411792,3983900,5.359866
"2002-06-11",8.411792,8.478063,8.203839,8.267824,8786100,5.268131
"2002-06-12",8.283821,8.402651,8.228976,8.402651,6712300,5.354039
"2002-06-13",8.443785,8.608318,8.409507,8.542048,9908500,5.44286
"2002-06-14",8.473492,8.537477,8.363803,8.537477,4291500,5.439949
"2002-06-17",8.569469,8.932816,8.569469,8.859689,5171100,5.645257
"2002-06-18",8.861975,9.117916,8.861975,9.010512,8431200,5.74136
"2002-06-19",9.012797,9.138483,8.923675,8.928245,2932700,5.68894
"2002-06-20",8.923675,8.969378,8.813986,8.912249,5448100,5.678746
"2002-06-21",8.797989,8.900823,8.708866,8.781993,6774000,5.59575
"2002-06-24",8.724863,8.797989,8.464351,8.626599,4368500,5.496738
"2002-06-25",8.651737,8.900823,8.615173,8.711152,5377200,5.550611
"2002-06-26",8.654022,8.654022,8.500914,8.612888,3922600,5.487998
"2002-06-27",8.626599,8.640311,8.352377,8.398081,5764500,5.351129
"2002-06-28",8.363803,8.672303,8.318099,8.551188,8674900,5.448685
"2002-07-01",8.660877,8.724863,8.569469,8.683729,4984200,5.533139
"2002-07-02",8.628885,8.628885,8.368373,8.457496,6624300,5.388985
"2002-07-03",8.455211,8.475777,8.112432,8.244972,6818600,5.253568
