"","ESS.Open","ESS.High","ESS.Low","ESS.Close","ESS.Volume","ESS.Adjusted"
"2014-09-15",183.630005,184.869995,181.429993,182.339996,342900,157.421677
"2014-09-16",182.550003,183.600006,181.720001,183.199997,334400,158.164169
"2014-09-17",184.270004,184.809998,182.860001,183.339996,409400,158.285049
"2014-09-18",183.520004,184.070007,181,181.169998,277400,156.411621
"2014-09-19",181.600006,182.770004,180.660004,182.669998,1053500,157.706604
"2014-09-22",182.199997,182.600006,181.080002,181.410004,341400,156.61882
"2014-09-23",181.360001,182.679993,180.839996,180.880005,304800,156.16124
"2014-09-24",180.910004,182.809998,179.460007,180.399994,353300,155.746872
"2014-09-25",180.360001,181,179.029999,179.830002,258600,155.254715
"2014-09-26",178.320007,180.979996,177.679993,180.539993,256200,157.002655
"2014-09-29",179.160004,179.910004,178.070007,179.820007,254400,156.376556
"2014-09-30",180.039993,180.649994,178.270004,178.75,330400,155.446045
"2014-10-01",178.75,180.389999,178.300003,179.25,326300,155.880844
"2014-10-02",179.009995,179.529999,177.410004,178.630005,404200,155.34169
"2014-10-03",179.520004,180.309998,178.309998,179.949997,220600,156.489594
"2014-10-06",180.669998,181.880005,179.940002,180.279999,231000,156.77655
"2014-10-07",179.800003,180.300003,176.699997,176.740005,495400,153.69809
"2014-10-08",177.220001,181.360001,176.869995,181.25,435800,157.620087
"2014-10-09",181.460007,183.820007,181.229996,181.550003,420500,157.880981
"2014-10-10",182.070007,183.820007,182.029999,182.130005,367400,158.385406
"2014-10-13",181.960007,184.770004,181.960007,183.75,311800,159.794205
"2014-10-14",183.990005,188.039993,183.039993,186.970001,508800,162.594406
"2014-10-15",186.009995,188.759995,184.660004,187.449997,479600,163.01181
"2014-10-16",185.699997,187.869995,183.839996,187.529999,393900,163.081406
"2014-10-17",187.869995,188.600006,185.210007,186.710007,322400,162.368286
"2014-10-20",186.740005,189.839996,186.279999,189.649994,289900,164.924988
"2014-10-21",190.139999,192.029999,189.520004,191.880005,254800,166.864258
"2014-10-22",192,193.520004,191.440002,192.960007,275800,167.803467
"2014-10-23",193.199997,194.470001,192.279999,194.289993,357300,168.960052
"2014-10-24",194.059998,194.679993,192.369995,194.110001,251200,168.803543
"2014-10-27",194.350006,195.199997,193.809998,195.119995,259500,169.681854
"2014-10-28",195.139999,195.839996,194.300003,195.839996,221100,170.307968
"2014-10-29",195.419998,196.830002,194.389999,195.800003,332000,170.273239
"2014-10-30",194.759995,196.759995,194.009995,196.759995,261200,171.108063
"2014-10-31",199.100006,201.759995,196.759995,201.759995,557900,175.456192
"2014-11-03",201.380005,203.740005,200.619995,203.580002,511500,177.03891
"2014-11-04",203.660004,204.789993,202,204.559998,300100,177.891174
"2014-11-05",204.880005,205.210007,201.419998,202.679993,412700,176.256256
"2014-11-06",202.919998,204.130005,201.059998,201.360001,276200,175.108368
"2014-11-07",201.350006,201.770004,199.929993,200.539993,481100,174.395203
"2014-11-10",200.509995,203.210007,200.100006,202.880005,423100,176.430191
"2014-11-11",202.699997,203.020004,200.789993,202.330002,226200,175.951889
"2014-11-12",201.910004,203.529999,199.869995,200.440002,254000,174.308304
"2014-11-13",201.25,202.589996,200.020004,200.520004,467700,174.377823
"2014-11-14",200.889999,201.960007,198.490005,199.070007,256600,173.116913
"2014-11-17",199.559998,201.199997,198.800003,200.520004,261600,174.377823
"2014-11-18",200.490005,202.039993,200.289993,201.210007,221100,174.97789
"2014-11-19",201.690002,201.690002,197.759995,197.860001,308600,172.064682
"2014-11-20",198.5,198.949997,196.839996,197.850006,372000,172.055954
"2014-11-21",199.520004,200.600006,199.190002,200.369995,911200,174.247406
"2014-11-24",200.800003,202.470001,200.210007,200.600006,351000,174.447403
"2014-11-25",200.300003,200.839996,199.929993,200.130005,417100,174.038696
"2014-11-26",200.869995,202.460007,200.630005,202.210007,265700,175.847565
"2014-11-28",203.270004,205.139999,201.899994,202.410004,193800,176.021454
"2014-12-01",202.029999,203.720001,201.270004,201.529999,298400,175.256195
"2014-12-02",201.309998,203.580002,199.300003,203.240005,246900,176.743195
"2014-12-03",202.850006,203.350006,201.330002,202.289993,205600,175.917068
"2014-12-04",202.259995,203.410004,201.130005,203.220001,288200,176.725845
"2014-12-05",200.5,202.669998,199.820007,202.029999,321200,175.690994
"2014-12-08",202.639999,205.399994,201.589996,203.75,198500,177.186768
"2014-12-09",202.660004,205.820007,202.160004,205.279999,303500,178.517288
"2014-12-10",205.300003,206.360001,203.949997,205.630005,290700,178.821625
"2014-12-11",206.550003,207.039993,204.779999,205.929993,307300,179.08252
"2014-12-12",205.509995,206.880005,203.809998,203.820007,383500,177.247604
"2014-12-15",203.919998,204.649994,200.679993,201.440002,481400,175.177902
"2014-12-16",201.580002,203.669998,199.830002,201.679993,315600,175.386627
"2014-12-17",201.839996,205.080002,201.429993,204.970001,474200,178.247726
"2014-12-18",204.860001,208.25,204.800003,208.25,454200,181.100067
"2014-12-19",208.25,209.509995,207.740005,208.160004,635900,181.021805
"2014-12-22",208.889999,213.210007,207.940002,212.860001,448600,185.109055
"2014-12-23",213.610001,214.429993,212.309998,212.580002,356700,184.86557
"2014-12-24",212.649994,213.570007,210.559998,210.720001,122300,183.248032
"2014-12-26",210.570007,212.289993,210.570007,211.529999,136200,183.952438
"2014-12-29",211.389999,213.190002,209.830002,211.5,368400,183.926376
"2014-12-30",209.850006,211.589996,208.990005,209.970001,212500,183.725128
"2014-12-31",211.160004,211.910004,206.350006,206.600006,251600,181.902573
"2015-01-02",207.820007,210.690002,207.259995,210.350006,258700,185.204254
"2015-01-05",209.660004,212.220001,209.289993,211.190002,350700,185.943863
"2015-01-06",210.589996,214.570007,210.589996,214.229996,470400,188.620453
"2015-01-07",214.220001,217.690002,213.529999,217.460007,620500,191.464371
"2015-01-08",218.210007,219.119995,216.25,218.860001,379800,192.697006
"2015-01-09",219.399994,221.559998,218.279999,220.619995,335900,194.246597
"2015-01-12",221.5,223.660004,220.889999,222.039993,282300,195.496826
"2015-01-13",222.190002,223.660004,220.399994,222.440002,388900,195.848999
"2015-01-14",221.639999,225.940002,220.619995,225.440002,312000,198.490402
"2015-01-15",225.919998,227.610001,225.490005,227.270004,401200,200.101669
"2015-01-16",226.789993,228.339996,225.789993,228.169998,536500,200.894012
"2015-01-20",230.160004,230.419998,225.199997,226.110001,330400,199.080307
"2015-01-21",226.130005,226.270004,224.399994,225.830002,381900,198.833771
"2015-01-22",225.919998,229.179993,225.270004,228.820007,486000,201.466339
"2015-01-23",229.300003,229.679993,226.830002,227.860001,427900,200.621109
"2015-01-26",228.240005,230.490005,227.720001,230.110001,436200,202.602142
"2015-01-27",228.970001,231.990005,228.5,229.289993,408700,201.880173
"2015-01-28",229.789993,231.690002,227.25,227.309998,489500,200.136871
"2015-01-29",226.919998,229.740005,225.929993,229.520004,393100,202.082672
"2015-01-30",228.979996,229.619995,225.220001,226.050003,1474800,199.027481
"2015-02-02",225.949997,226.759995,220.589996,226.380005,541300,199.318039
"2015-02-03",225.080002,228.550003,223.059998,228.389999,551400,201.087708
"2015-02-04",228.009995,228.559998,225.440002,228.160004,350500,200.885223
