"","MA.Open","MA.High","MA.Low","MA.Close","MA.Volume","MA.Adjusted"
"2006-08-01",4.592,4.592,4.47,4.5,7390000,4.20781
"2006-08-02",4.799,5.005,4.731,5.002,53372000,4.677215
"2006-08-03",4.913,5.024,4.865,4.999,21689000,4.674409
"2006-08-04",5.03,5.15,4.999,5.005,14216000,4.680018
"2006-08-07",5.05,5.13,5.025,5.11,6918000,4.778202
"2006-08-08",5.11,5.267,5.105,5.257,14073000,4.915657
"2006-08-09",5.3,5.45,5.2,5.285,15043000,4.941838
"2006-08-10",5.22,5.391,5.21,5.356,8725000,5.008228
"2006-08-11",5.35,5.445,5.325,5.368,9078000,5.01945
"2006-08-14",5.375,5.454,5.352,5.423,6314000,5.070879
"2006-08-15",5.47,5.493,5.426,5.449,8553000,5.095191
"2006-08-16",5.465,5.543,5.416,5.427,15344000,5.074619
"2006-08-17",5.42,5.424,5.319,5.346,10216000,4.998879
"2006-08-18",5.31,5.365,5.246,5.345,9343000,4.997945
"2006-08-21",5.33,5.555,5.28,5.426,12487000,5.073685
"2006-08-22",5.42,5.55,5.42,5.523,9761000,5.164385
"2006-08-23",5.548,5.575,5.454,5.46,10439000,5.105475
"2006-08-24",5.49,5.585,5.482,5.565,5420000,5.203658
"2006-08-25",5.575,5.585,5.493,5.5,8016000,5.142879
"2006-08-28",5.485,5.545,5.477,5.502,3748000,5.14475
"2006-08-29",5.525,5.565,5.516,5.535,3211000,5.175605
"2006-08-30",5.548,5.578,5.517,5.525,5801000,5.166255
"2006-08-31",5.525,5.617,5.525,5.59,7023000,5.227033
"2006-09-01",5.597,5.75,5.597,5.655,20559000,5.287813
"2006-09-05",5.69,5.724,5.625,5.685,4618000,5.315866
"2006-09-06",5.69,5.888,5.657,5.888,15694000,5.505685
"2006-09-07",5.851,6.087,5.85,6.012,26549000,5.621634
"2006-09-08",6.1,6.125,5.929,5.975,15176000,5.587036
"2006-09-11",5.975,6.199,5.96,6.187,17064000,5.785271
"2006-09-12",6.099,6.215,6.099,6.21,16992000,5.806777
"2006-09-13",6.2,6.23,6.09,6.135,12355000,5.736648
"2006-09-14",6.085,6.325,6.07,6.279,13010000,5.871298
"2006-09-15",6.279,6.52,6.279,6.497,19314000,6.075142
"2006-09-18",6.574,6.755,6.43,6.512,23656000,6.089168
"2006-09-19",6.5,6.615,6.43,6.484,17263000,6.062985
"2006-09-20",6.51,6.67,6.45,6.655,13476000,6.222884
"2006-09-21",6.753,6.96,6.701,6.905,29063000,6.456651
"2006-09-22",6.9,6.95,6.508,6.593,29874000,6.164911
"2006-09-25",6.525,6.57,6.22,6.44,35677000,6.021844
"2006-09-26",6.34,6.733,6.276,6.6,39969000,6.171455
"2006-09-27",6.7,6.79,6.545,6.784,19633000,6.343507
"2006-09-28",6.765,6.891,6.765,6.865,13395000,6.419249
"2006-09-29",6.847,7.045,6.756,7.035,20056000,6.578208
"2006-10-02",7.035,7.035,6.966,6.996,17393000,6.541742
"2006-10-03",6.84,7.09,6.84,6.968,16733000,6.51556
"2006-10-04",7,7.041,6.875,6.962,13679000,6.509948
"2006-10-05",6.978,7.29,6.901,7.259,25756000,6.796451
"2006-10-06",7.24,7.585,7.201,7.515,35410000,7.036138
"2006-10-09",7.19,7.323,7.095,7.28,37084000,6.816111
"2006-10-10",7.115,7.325,7.05,7.191,26764000,6.732783
"2006-10-11",7.095,7.1,6.828,6.95,35483000,6.50714
"2006-10-12",6.91,7.082,6.872,7.041,15117000,6.59234
"2006-10-13",7.1,7.17,6.982,7.009,11321000,6.562381
"2006-10-16",7,7.171,6.985,7.13,8802000,6.675671
"2006-10-17",7.11,7.12,6.927,6.95,9865000,6.50714
"2006-10-18",6.961,7.118,6.954,7.045,8562000,6.596087
"2006-10-19",7.045,7.29,6.975,7.233,13414000,6.772106
"2006-10-20",7.28,7.285,7.1,7.122,5264000,6.66818
"2006-10-23",7.135,7.162,6.98,7.025,7389000,6.577361
"2006-10-24",7.015,7.15,6.992,7.12,8512000,6.666307
"2006-10-25",7.125,7.125,7.05,7.075,11349000,6.624175
"2006-10-26",7.085,7.4,6.989,7.22,21152000,6.759936
"2006-10-27",7.1,7.3,6.9,7.264,26741000,6.801132
"2006-10-30",7.262,7.36,7.175,7.254,17471000,6.791769
"2006-10-31",7.27,7.625,7.194,7.41,35930000,6.937828
"2006-11-01",8.175,8.75,8.175,8.507,141283000,7.964927
"2006-11-02",8.382,8.808,8.25,8.76,62536000,8.201807
"2006-11-03",8.766,8.975,8.677,8.951,42476000,8.380634
"2006-11-06",9,9.714,8.999,9.63,97749000,9.016369
"2006-11-07",9.574,9.617,9.24,9.25,71623000,8.660581
"2006-11-08",9.2,9.2,8.805,8.844,64172000,8.280453
"2006-11-09",9.13,9.235,8.82,8.82,62982000,8.257981
"2006-11-10",8.864,9.05,8.776,8.92,27782000,8.351611
"2006-11-13",9.371,9.799,9.329,9.655,114166000,9.039775
"2006-11-14",9.68,9.724,9.439,9.52,38524000,8.913381
"2006-11-15",9.521,9.965,9.5,9.53,56606000,8.922738
"2006-11-16",9.625,9.72,9.39,9.452,35647000,8.849711
"2006-11-17",9.335,9.538,9.206,9.479,28516000,8.87499
"2006-11-20",9.398,9.621,9.372,9.619,22904000,9.006072
"2006-11-21",9.699,10.083,9.65,10.06,59494000,9.418971
"2006-11-22",10.175,10.393,10.082,10.326,42648000,9.668018
"2006-11-24",10.19,10.585,10.05,10.548,21600000,9.875874
"2006-11-27",10.6,10.86,9.899,9.899,73643000,9.268229
"2006-11-28",9.75,10.1,9.55,10.075,61511000,9.433011
"2006-11-29",10.238,10.268,9.685,9.92,48996000,9.287893
"2006-11-30",9.927,10.202,9.652,10.175,41254000,9.526639
"2006-12-01",10.222,10.245,9.909,10.117,35210000,9.472338
"2006-12-04",10.1,10.149,9.925,10.008,20276000,9.370281
"2006-12-05",10,10.225,9.9,9.925,21264000,9.292571
"2006-12-06",10.119,10.2,9.85,9.913,30071000,9.281334
"2006-12-07",9.93,10.093,9.862,9.968,21763000,9.332833
"2006-12-08",9.968,10.08,9.893,10.01,15976000,9.372154
"2006-12-11",10.01,10.224,9.894,9.91,30088000,9.278526
"2006-12-12",9.871,9.91,9.427,9.575,46602000,8.964876
"2006-12-13",9.698,9.765,9.503,9.577,18912000,8.966746
"2006-12-14",9.577,9.648,9.48,9.56,24111000,8.95083
"2006-12-15",9.632,9.633,9.535,9.619,14585000,9.006072
"2006-12-18",9.6,9.6,9.255,9.29,26059000,8.69803
"2006-12-19",9.245,9.752,9.05,9.74,31954000,9.11936
"2006-12-20",9.74,9.945,9.625,9.751,28211000,9.129659
"2006-12-21",9.581,9.635,9.389,9.571,31084000,8.961128
"2006-12-22",9.57,9.7,9.518,9.635,13194000,9.021052
"2006-12-26",9.65,9.675,9.438,9.514,10227000,8.907758
"2006-12-27",9.49,9.949,9.45,9.937,19987000,9.303804
"2006-12-28",9.979,9.979,9.756,9.896,22386000,9.265421
"2006-12-29",9.88,9.962,9.826,9.849,10887000,9.221416
"2007-01-03",9.955,9.968,9.563,9.641,26289000,9.026667
"2007-01-04",9.69,10.185,9.53,10.114,27024000,9.469526
"2007-01-05",10.099,10.22,9.9,10.106,29632000,9.46204
"2007-01-08",9.901,10.225,9.9,10.108,16006000,9.46391
"2007-01-09",10.11,10.575,10.06,10.574,36952000,9.900216
"2007-01-10",10.562,10.65,10.3,10.474,35099000,9.814941
"2007-01-11",10.52,10.803,10.354,10.55,37671000,9.886159
"2007-01-12",10.575,10.725,10.485,10.525,18233000,9.862733
"2007-01-16",10.53,10.747,10.463,10.6,18028000,9.933017
"2007-01-17",10.7,11.022,10.577,10.904,45903000,10.217885
"2007-01-18",10.995,10.999,10.18,10.249,42787000,9.604103
"2007-01-19",10.25,10.535,10.2,10.503,30029000,9.842116
"2007-01-22",10.599,10.8,10.45,10.761,21033000,10.083886
"2007-01-23",10.871,10.914,10.702,10.841,21414000,10.15885
"2007-01-24",10.89,11.308,10.87,11.142,31643000,10.440908
"2007-01-25",11.225,11.228,10.697,10.787,21785000,10.108245
"2007-01-26",10.919,10.988,10.65,10.852,17501000,10.169162
"2007-01-29",10.9,11.1,10.87,10.974,12105000,10.283479
"2007-01-30",10.964,11.161,10.924,11.075,11493000,10.378122
"2007-01-31",11.105,11.217,11.075,11.155,13665000,10.453094
"2007-02-01",11.214,11.298,11.161,11.192,16003000,10.487765
"2007-02-02",11.249,11.27,11.06,11.096,11290000,10.397803
"2007-02-05",11.05,11.095,10.989,11.025,9910000,10.331272
"2007-02-06",11.074,11.154,10.99,11.055,10621000,10.359385
"2007-02-07",11.05,11.263,11.033,11.19,21132000,10.485889
"2007-02-08",11.2,11.543,11.105,11.474,37535000,10.75202
"2007-02-09",11.803,11.807,9.963,10.36,282063000,9.708117
"2007-02-12",10.197,10.275,9.861,10.208,82177000,9.56568
"2007-02-13",10.4,10.504,10.286,10.469,73214000,9.810254
"2007-02-14",10.421,10.882,10.41,10.802,49005000,10.122301
"2007-02-15",10.8,10.88,10.709,10.804,34999000,10.124178
"2007-02-16",10.801,10.912,10.605,10.832,20471000,10.150415
"2007-02-20",10.832,10.85,10.654,10.782,19803000,10.103564
"2007-02-21",10.765,10.925,10.566,10.729,20648000,10.053899
"2007-02-22",10.79,10.9,10.511,10.59,21767000,9.92364
"2007-02-23",10.59,10.657,10.372,10.457,30432000,9.799014
"2007-02-26",10.482,10.6,10.35,10.406,11669000,9.751221
"2007-02-27",10.175,10.59,9.999,10.3,51236000,9.651888
"2007-02-28",10.3,10.73,10.201,10.718,35401000,10.04359
"2007-03-01",10.527,10.79,10.231,10.629,38166000,9.960189
"2007-03-02",10.54,10.75,10.281,10.306,18023000,9.657511
"2007-03-05",10.115,10.42,10.09,10.094,29906000,9.458854
"2007-03-06",10.278,10.471,10.244,10.399,31967000,9.744661
"2007-03-07",10.399,10.41,9.94,9.972,51432000,9.344528
"2007-03-08",10.12,10.34,9.928,10.276,63268000,9.629404
"2007-03-09",10.37,10.425,10.075,10.236,34646000,9.591921
"2007-03-12",10.201,10.35,10.139,10.325,20854000,9.675316
"2007-03-13",10.251,10.503,10.17,10.386,46278000,9.732481
"2007-03-14",10.371,10.62,10.235,10.55,35349000,9.886159
"2007-03-15",10.55,10.615,10.453,10.526,19609000,9.86367
"2007-03-16",10.534,10.593,10.474,10.527,15751000,9.864609
"2007-03-19",10.552,10.757,10.552,10.689,23120000,10.016413
"2007-03-20",10.7,10.791,10.64,10.749,16206000,10.072639
"2007-03-21",10.726,11.232,10.676,11.07,38077000,10.373437
"2007-03-22",11.1,11.1,10.9,10.957,13239000,10.267549
"2007-03-23",10.95,11,10.902,10.986,6348000,10.294723
"2007-03-26",10.87,10.925,10.756,10.848,17044000,10.165409
"2007-03-27",10.836,10.836,10.654,10.725,14708000,10.050149
"2007-03-28",10.66,10.793,10.58,10.668,14781000,9.996731
"2007-03-29",10.74,10.768,10.575,10.719,7855000,10.044524
"2007-03-30",10.735,10.8,10.584,10.624,7578000,9.955503
"2007-04-02",10.71,10.782,10.593,10.696,17479000,10.022971
"2007-04-03",10.875,10.94,10.811,10.853,15394000,10.170097
"2007-04-04",10.889,10.895,10.625,10.721,19401000,10.060308
"2007-04-05",10.755,10.834,10.74,10.801,5559000,10.135371
"2007-04-09",10.84,10.879,10.72,10.834,6124000,10.166343
"2007-04-10",10.89,11.14,10.777,11.001,26531000,10.32305
"2007-04-11",11.001,11.051,10.9,10.981,11034000,10.304281
"2007-04-12",10.956,11.022,10.885,10.982,7762000,10.305218
"2007-04-13",10.995,11.105,10.888,10.94,7612000,10.265809
"2007-04-16",11,11.018,10.853,10.94,12008000,10.265809
"2007-04-17",10.952,11.079,10.892,10.965,9546000,10.289267
"2007-04-18",10.966,11.004,10.907,10.921,8459000,10.24798
"2007-04-19",10.883,11.017,10.82,10.933,6797000,10.259239
"2007-04-20",11.03,11.088,10.929,11.01,11008000,10.331493
"2007-04-23",11,11.06,10.95,11.004,13499000,10.325863
"2007-04-24",11,11.007,10.764,10.81,11928000,10.143818
"2007-04-25",10.825,10.957,10.765,10.934,10207000,10.26018
"2007-04-26",10.948,11.05,10.804,10.856,9821000,10.186985
"2007-04-27",10.83,11.466,10.796,11.41,43062000,10.706842
"2007-04-30",11.425,11.797,11.147,11.168,38711000,10.479759
"2007-05-01",11.12,11.558,11.101,11.485,34290000,10.777216
"2007-05-02",12.567,13.015,12.43,12.635,160434000,11.856353
"2007-05-03",12.701,13.515,12.65,13.482,84794000,12.651156
"2007-05-04",13.58,13.595,13.204,13.466,44950000,12.63614
"2007-05-07",13.43,13.874,13.29,13.411,44291000,12.584529
"2007-05-08",13.55,13.719,13.35,13.705,32483000,12.860413
"2007-05-09",13.698,14.232,13.633,13.955,41856000,13.095005
"2007-05-10",14.046,14.324,13.8,13.882,49973000,13.026503
"2007-05-11",13.91,14.227,13.52,13.883,59698000,13.027444
"2007-05-14",13.884,13.959,13.459,13.535,39195000,12.700887
"2007-05-15",13.463,13.841,13.4,13.544,23010000,12.709333
"2007-05-16",13.544,13.677,13.353,13.619,21332000,12.779716
"2007-05-17",13.629,13.8,13.52,13.609,15159000,12.770329
"2007-05-18",13.653,13.829,13.489,13.805,24626000,12.954247
"2007-05-21",13.725,14.127,13.685,13.951,27556000,13.091252
"2007-05-22",14.092,14.096,13.824,13.873,16378000,13.01806
"2007-05-23",14.098,14.356,13.938,14.013,43780000,13.149431
"2007-05-24",14.09,14.162,13.758,13.898,29119000,13.041516
"2007-05-25",13.943,14.017,13.826,13.907,14528000,13.04996
"2007-05-29",14.195,14.599,14.102,14.406,58825000,13.518211
"2007-05-30",14.369,14.766,14.251,14.713,46089000,13.806295
"2007-05-31",14.854,15.331,14.801,14.955,54012000,14.033377
"2007-06-01",15.101,15.223,14.966,15.11,31536000,14.178826
"2007-06-04",15.002,15.172,14.966,15.125,14693000,14.192903
"2007-06-05",15.095,15.095,14.661,14.92,37777000,14.000537
"2007-06-06",14.84,14.84,14.581,14.702,22644000,13.795971
"2007-06-07",14.702,14.918,13.81,13.941,62604000,13.081867
"2007-06-08",13.906,14.714,13.518,14.358,66562000,13.473171
"2007-06-11",14.416,14.632,14.007,14.16,47441000,13.287373
"2007-06-12",14.17,14.624,14.07,14.531,50805000,13.63551
"2007-06-13",14.665,15.15,14.561,15.03,51915000,14.10376
"2007-06-14",15.01,15.269,14.809,15.029,30468000,14.102818
"2007-06-15",15.22,15.824,15.216,15.765,47955000,14.793461
"2007-06-18",15.941,16.482,15.823,16.462,61167000,15.447512
"2007-06-19",16.424999,16.721001,16.150999,16.527,54075000,15.5085
"2007-06-20",16.608999,16.940001,16.278,16.346001,59046000,15.33866
"2007-06-21",16.24,16.490999,15.818,16.469,57840000,15.454076
"2007-06-22",16.521,16.843,16.421,16.843,46219000,15.805025
"2007-06-25",16.9,16.9,16.065001,16.195,38693000,15.196967
"2007-06-26",16.35,16.537001,16.000999,16.181999,44164000,15.184761
"2007-06-27",16.184999,16.452,15.78,16.302999,32075000,15.298305
"2007-06-28",16.313,16.573,16.124001,16.478001,19710000,15.462523
"2007-06-29",16.608999,16.719,16.374001,16.587,25935000,15.578988
"2007-07-02",16.549999,16.749001,16.5,16.618,27866000,15.608104
"2007-07-03",16.698,16.747,16.191999,16.221001,13224000,15.235229
"2007-07-05",16.275999,16.395,16.063,16.171,17590000,15.188268
"2007-07-06",16.200001,16.284,15.955,16.190001,19056000,15.20611
"2007-07-09",16.200001,16.437,16.01,16.122,19613000,15.142249
"2007-07-10",16.025,16.075001,15.67,15.835,24125000,14.872692
"2007-07-11",15.899,15.985,15.558,15.635,30506000,14.684839
"2007-07-12",15.799,16.851,15.731,16.787001,58223000,15.76683
"2007-07-13",16.780001,17.459999,16.603001,16.921,63705000,15.892687
"2007-07-16",16.799999,17.282,16.799999,16.971001,28161000,15.939646
"2007-07-17",17.159,17.236,16.802999,16.924,19898000,15.895507
"2007-07-18",16.781,16.959,16.656,16.882999,21465000,15.856997
"2007-07-19",17.089001,17.25,16.737,16.743,38193000,15.725503
"2007-07-20",16.700001,16.891001,16.264999,16.528,37079000,15.523568
"2007-07-23",16.549999,16.9,16.542,16.76,16295000,15.741468
"2007-07-24",16.552,16.552,15.731,15.877,34124000,14.912134
"2007-07-25",16,16.379,15.783,16.110001,36035000,15.130977
"2007-07-26",15.83,16.08,15.222,15.872,36319000,14.907437
"2007-07-27",15.857,15.99,15.2,15.403,24598000,14.466938
"2007-07-30",15.646,16.503,15.51,16.459,32945000,15.458765
"2007-07-31",16.844999,17.052,16,16.08,35926000,15.102796
"2007-08-01",15.082,15.245,13.9,15,128976000,14.088428
"2007-08-02",14.7,14.78,13.93,14.262,56492000,13.395278
"2007-08-03",14.06,14.065,12.817,13.126,69662000,12.328313
"2007-08-06",13.211,13.848,12.346,13.762,86900000,12.925665
"2007-08-07",13.612,14.502,13.5,14.427,70508000,13.550256
"2007-08-08",14.584,15,14.4,14.802,47432000,13.902464
"2007-08-09",14.257,14.651,14.1,14.128,38111000,13.269424
"2007-08-10",13.93,13.995,13.351,13.84,43183000,12.998923
"2007-08-13",14.25,14.313,13.602,13.659,36105000,12.828924
"2007-08-14",13.475,13.644,13.14,13.352,37510000,12.54058
"2007-08-15",13.396,13.57,12.899,12.904,33143000,12.119808
"2007-08-16",12.42,13.966,12,13,72229000,12.209973
"2007-08-17",13.578,13.91,13.05,13.7,50876000,12.86743
"2007-08-20",13.957,14.106,13.631,13.79,28936000,12.951962
"2007-08-21",13.9,14.264,13.8,14.016,21066000,13.164229
"2007-08-22",14.225,14.547,14.133,14.482,26579000,13.601912
"2007-08-23",14.587,14.6,13.851,14.229,28979000,13.364285
"2007-08-24",14.225,14.225,13.817,13.983,21411000,13.133231
"2007-08-27",13.843,14.091,13.685,13.825,17320000,12.984838
"2007-08-28",13.643,13.75,13.01,13.212,43370000,12.409088
"2007-08-29",13.343,13.51,13.001,13.342,32859000,12.531189
"2007-08-30",13.1,13.445,13.025,13.247,21816000,12.441963
"2007-08-31",13.57,13.944,13.496,13.699,26836000,12.866495
"2007-09-04",13.827,13.99,13.615,13.824,18774000,12.9839
"2007-09-05",13.675,13.675,13.429,13.556,18708000,12.732186
"2007-09-06",13.791,13.798,13.406,13.477,14021000,12.657983
"2007-09-07",13.11,13.203,12.954,13.021,24775000,12.229697
"2007-09-10",13.072,13.196,12.663,12.971,26566000,12.182734
"2007-09-11",13.005,13.451,13.005,13.217,21414000,12.413785
"2007-09-12",13.25,13.736,13.111,13.683,20314000,12.851467
"2007-09-13",13.87,14.236,13.506,13.95,30850000,13.102239
"2007-09-14",13.778,13.899,13.577,13.785,17735000,12.947266
"2007-09-17",13.744,13.825,13.5,13.672,13905000,12.841132
"2007-09-18",13.818,14.894,13.58,14.581,51943000,13.694896
"2007-09-19",14.901,15.2,14.69,14.95,46679000,14.041465
"2007-09-20",15,15.15,14.812,14.951,19478000,14.042409
"2007-09-21",15.09,15.19,14.642,14.656,20380000,13.765335
"2007-09-24",14.75,14.762,13.885,14.226,51088000,13.361465
"2007-09-25",14.036,14.38,13.918,14.299,39858000,13.430028
"2007-09-26",14.297,14.439,14,14.285,27927000,13.416883
"2007-09-27",14.426,14.997,14.158,14.8,41029000,13.900584
"2007-09-28",14.682,15.223,14.523,14.797,45856000,13.897767
"2007-10-01",14.773,15.488,14.773,15.337,37139000,14.404951
"2007-10-02",15.474,15.524,15.163,15.298,19175000,14.36832
"2007-10-03",15.2,16.035,15.179,15.694,52716000,14.740253
"2007-10-04",15.769,16.339001,15.766,16.155001,32499000,15.17324
"2007-10-05",16.43,16.487,15.953,16.246,20242000,15.258713
"2007-10-08",16.299999,16.389,15.874,16.236,18732000,15.249321
"2007-10-09",16.325001,16.450001,16.201,16.268999,21574000,15.280306
"2007-10-10",16.247999,16.724001,16.200001,16.482,35650000,15.480366
"2007-10-11",16.531,16.931999,15.821,16.184,41314000,15.200476
"2007-10-12",16.263,16.495001,16.166,16.320999,17367000,15.329148
"2007-10-15",16.320999,16.365,15.63,15.791,25584000,14.831362
"2007-10-16",15.639,15.7,15.416,15.56,22804000,14.614398
"2007-10-17",15.8,15.839,15.135,15.461,25717000,14.535428
"2007-10-18",15.325,15.546,15.1,15.372,18625000,14.451755
"2007-10-19",15.325,15.407,15.036,15.16,17249000,14.252444
"2007-10-22",14.999,15.368,14.536,14.659,55353000,13.781438
"2007-10-23",14.936,15.239,14.725,14.833,44903000,13.945026
"2007-10-24",14.8,14.8,14.315,14.73,33190000,13.848187
"2007-10-25",14.701,15.249,14.435,15.138,83902000,14.231763
"2007-10-26",15.399,15.968,15.399,15.703,28525000,14.762938
"2007-10-29",15.91,16.155001,15.691,15.735,16100000,14.793022
"2007-10-30",15.806,15.833,15.368,15.715,30701000,14.77422
"2007-10-31",17.75,19.478001,17.41,18.990999,202782000,17.854103
"2007-11-01",18.606001,19.855,18.535,18.948,96031000,17.813679
"2007-11-02",19.174999,19.6,18.722,19.004,49532000,17.866327
"2007-11-05",18.561001,19.056,18.231001,18.593,41508000,17.479925
"2007-11-06",19.246,20.299999,18.931999,19.940001,77781000,18.746296
"2007-11-07",19.9,20.198,19.421,19.948,51340000,18.753815
"2007-11-08",20.002001,20.097,18.275,19.143999,46869000,17.997948
"2007-11-09",18.5,19.950001,18.4,19.299999,43357000,18.144598
"2007-11-12",19.083,19.642,18.025,18.188,42963000,17.099169
"2007-11-13",18.341999,19.223,18.341999,18.881001,30036000,17.750683
"2007-11-14",19.423,19.423,18.603001,18.677,21584000,17.558899
"2007-11-15",18.5,18.847,18.209999,18.488001,20744000,17.381218
"2007-11-16",18.6,18.698999,17.950001,18.487,25890000,17.380278
"2007-11-19",18.287001,18.698,17.85,18.190001,24432000,17.101051
"2007-11-20",18.35,18.731001,17.558001,18.212,23650000,17.121737
"2007-11-21",17.929001,18.4,17.65,18.091999,24148000,17.008921
"2007-11-23",18.360001,18.382,17.929001,18.110001,6567000,17.025845
"2007-11-26",18.375,18.848,18.112,18.121,25251000,17.036186
"2007-11-27",18.448999,18.759001,17.950001,18.386,30418000,17.285326
"2007-11-28",18.669001,19.809999,18.6,19.559999,53001000,18.38904
"2007-11-29",19.5,20.299,19.4,19.774,38497000,18.590225
"2007-11-30",20.466,20.643,19.686001,20.065001,32381000,18.863808
"2007-12-03",20,20.448999,19.705,20.188,27006000,18.979443
"2007-12-04",20,20.091999,19.451,19.579,27743000,18.406906
"2007-12-05",20,20.25,19.643999,20.007,28582000,18.809284
"2007-12-06",20.099001,20.832001,19.9,20.601999,39270000,19.368662
"2007-12-07",20.662001,21.174999,20.450001,20.959999,35354000,19.705225
"2007-12-10",21.1,21.843,21.099001,21.546,32820000,20.256149
"2007-12-11",21.933001,22.718,21.504,21.75,87330000,20.447937
"2007-12-12",22.438999,22.525,21.218,21.389999,43313000,20.109497
"2007-12-13",21.299999,22.488001,21.155001,22.32,47987000,20.98381
"2007-12-14",22.033001,22.319,21.315001,21.656,36783000,20.359554
"2007-12-17",21.657,21.657,20.202999,20.493,41145000,19.26619
"2007-12-18",20.85,20.870001,19.85,20.177,37059000,18.969101
"2007-12-19",19.976999,21.299999,19.75,21.233999,44661000,19.962824
"2007-12-20",21.556,21.700001,20.320999,20.674999,41105000,19.437296
"2007-12-21",20.976999,21.235001,20.356001,21.235001,50920000,19.963764
"2007-12-24",21.200001,21.395,20.968,21.212,10526000,19.942141
"2007-12-26",20.889999,21.075001,20.700001,20.948,12477000,19.693947
"2007-12-27",20.9,21.596001,20.805,21.003,20166000,19.745659
"2007-12-28",21.115,21.347,20.851,21,9901000,19.742834
"2007-12-31",21.013,21.740999,21.013,21.52,13115000,20.231703
"2008-01-02",21.790001,22.028999,21.26,21.468,20156000,20.182814
"2008-01-03",21.455999,21.504999,20.513,21.212,28994000,19.942141
"2008-01-04",20.482,20.92,19.844,20.118999,38427000,18.914572
"2008-01-07",20.171,20.198999,18.743999,20.051001,43861000,18.850649
"2008-01-08",20.091,20.77,19.599001,19.799999,33315000,18.614664
"2008-01-09",19.700001,20.021,18.965,19.658001,38939000,18.495188
"2008-01-10",19.087999,19.879999,18.511999,19.599001,49088000,18.439674
"2008-01-11",18.950001,18.951,17.625,17.917,114625000,16.85717
"2008-01-14",18.055,18.190001,17.354,17.822001,61119000,16.767792
"2008-01-15",17.375,18.146,17.254,17.5,48097000,16.464838
"2008-01-16",17.32,17.987,16.961,17.552999,46756000,16.514696
"2008-01-17",17.427999,17.969,17.427999,17.688,43309000,16.641714
"2008-01-18",17.858,17.975,17.337999,17.462,38220000,16.429083
"2008-01-22",16.400999,18.492001,16.082001,18.216999,52866000,17.139423
"2008-01-23",17.879999,19.527,17.042999,19.259001,59780000,18.119795
