"","VNO.Open","VNO.High","VNO.Low","VNO.Close","VNO.Volume","VNO.Adjusted"
"2009-03-10",22.5116,26.476919,22.17506,26.476919,18118900,17.33996
"2009-03-11",26.857357,26.901253,25.211237,25.979425,12551800,17.014149
"2009-03-12",25.950161,28.70101,25.562408,28.554689,11203500,18.700708
"2009-03-13",28.32789,28.679062,26.484236,27.332903,7655200,17.900553
"2009-03-16",27.779184,28.174252,25.050283,25.379507,10141700,16.62125
"2009-03-17",25.094179,27.435328,24.772272,27.398746,10149200,17.943674
"2009-03-18",26.58666,29.322878,25.613621,28.810751,11947300,18.868406
"2009-03-19",29.20582,29.417988,26.703718,27.040258,9004800,17.708899
"2009-03-20",26.828093,26.828093,23.506588,23.57975,11216100,15.44258
"2009-03-23",24.55279,27.171947,24.245514,26.937834,16671600,17.641813
"2009-03-24",26.359863,27.984034,25.13076,25.723364,10819400,16.846453
"2009-03-25",26.294018,26.418392,23.265158,24.882013,13029800,16.295441
"2009-03-26",25.320978,26.60861,23.835812,26.447655,10813600,17.320795
"2009-03-27",25.511196,26.096483,24.882013,25.320978,7352700,16.58292
"2009-03-30",24.106508,24.611319,22.723766,22.833508,7365300,14.953859
"2009-03-31",23.118835,24.706427,22.943251,24.318674,11341400,15.926506
"2009-04-01",23.65291,25.050283,23.41148,24.647898,7548400,16.14212
"2009-04-02",25.4673,26.886621,25.028336,26.27207,10944900,17.205807
"2009-04-03",25.803841,29.783791,25.752626,29.747211,14275400,19.481709
"2009-04-06",28.759539,29.659418,27.5597,29.015602,10500200,19.002565
"2009-04-07",27.925505,28.115723,25.628254,25.686783,9394200,16.822495
"2009-04-08",26.111116,26.652506,25.335609,26.096483,7915800,17.090811
"2009-04-09",27.230476,30.822676,26.959782,30.5154,12933200,19.984797
"2009-04-13",29.498465,31.5616,28.913177,30.764147,9101100,20.147707
"2009-04-14",29.937429,30.420292,27.252426,27.479223,11571100,17.99638
"2009-04-15",26.915886,30.303234,26.77688,30.186176,11223300,19.769186
"2009-04-16",29.71063,32.651699,28.598585,31.327486,9963700,20.51664
"2009-04-17",31.268957,34.451454,30.793411,33.661316,13847300,22.045086
"2009-04-20",32.819969,32.900444,29.359459,29.483831,11854900,19.309212
"2009-04-21",28.832701,34.385609,28.649797,34.385609,13928800,22.51943
