"","CTXS.Open","CTXS.High","CTXS.Low","CTXS.Close","CTXS.Volume","CTXS.Adjusted"
"2001-03-23",16.423794,17.618252,15.826565,17.17033,6175700,16.994436
"2001-03-26",17.767559,18.613632,16.772177,17.419174,5941400,17.240732
"2001-03-27",17.568481,18.265249,16.971252,17.916866,4504100,17.733326
"2001-03-28",17.468945,18.265249,16.573101,16.722408,4233300,16.551104
"2001-03-29",16.498447,16.809504,15.826565,16.125179,3448400,15.959993
"2001-03-30",16.224718,17.220098,15.727027,16.821947,4244300,16.649622
"2001-04-02",16.274487,16.374025,14.880953,15.677258,4131700,15.51666
"2001-04-03",14.880953,14.930721,13.985109,14.632107,6836100,14.482216
"2001-04-04",14.4828,14.980491,14.034878,14.4828,4352800,14.334437
"2001-04-05",15.080029,16.622869,14.632107,16.324255,4447600,16.157028
"2001-04-06",15.428412,15.826565,14.930721,15.428412,2386700,15.270363
"2001-04-09",15.623507,16.563147,15.456283,16.308329,2536500,16.141266
"2001-04-10",17.12056,18.713171,17.04093,18.53002,4463600,18.340199
"2001-04-11",19.23077,19.549292,18.235388,18.514095,3799500,18.324438
"2001-04-12",18.179646,19.23077,17.717789,19.135212,2184700,18.939192
"2001-04-16",18.577799,19.827997,18.514095,18.792801,2076200,18.600288
"2001-04-17",17.892977,19.660774,17.87705,19.517439,3822200,19.317501
"2001-04-18",20.019112,22.001911,19.955406,21.141901,10960200,20.925325
"2001-04-19",21.261347,22.567287,21.022455,22.384138,8419200,22.154835
"2001-04-20",21.914318,23.291925,21.500238,22.248766,8315200,22.020849
"2001-04-23",21.778946,21.898392,20.465042,20.536709,4256500,20.32633
"2001-04-24",20.672081,22.296543,20.265966,20.441153,3606900,20.231752
"2001-04-25",20.393375,22.376175,20.393375,22.296543,4414600,22.068136
"2001-04-26",22.336359,22.933588,20.966715,21.022455,2999900,20.8071
"2001-04-27",21.938208,22.694696,21.500238,22.423952,3179300,22.194241
"2001-04-30",22.925625,23.690079,22.264692,22.615067,3654300,22.383398
"2001-05-01",23.09285,24.19175,22.997293,24.048416,4095400,23.802063
"2001-05-02",24.048416,24.534161,23.013218,23.713966,3451300,23.471041
"2001-05-03",23.053034,23.09285,22.105431,22.638956,2250200,22.407043
"2001-05-04",21.595795,23.212296,21.141901,22.877848,3895300,22.643488
"2001-05-07",22.646919,23.25211,21.938208,22.280619,2658600,22.052376
"2001-05-08",23.180443,23.180443,22.296543,22.742476,2092500,22.509501
"2001-05-09",22.169136,22.973404,21.667463,21.858576,4195300,21.634657
"2001-05-10",22.503584,23.371555,21.898392,22.137283,2930700,21.910509
"2001-05-11",22.113394,22.455805,20.982641,21.484312,2062600,21.264225
"2001-05-14",21.261347,21.563944,20.624304,21.062271,2285800,20.84651
"2001-05-15",21.014492,22.376175,20.441153,21.102087,3235100,20.885918
"2001-05-16",20.839306,23.204332,20.703934,23.140627,3297400,22.903574
"2001-05-17",23.323778,23.881191,22.376175,22.806179,3751300,22.572554
"2001-05-18",22.296543,23.09285,22.057653,22.861921,2831900,22.627724
"2001-05-21",22.78229,23.706003,22.384138,23.666189,4396000,23.423752
"2001-05-22",23.713966,23.881191,23.06896,23.220259,2709300,22.982389
"2001-05-23",23.100813,23.14859,21.627647,21.723204,3612900,21.500669
"2001-05-24",21.794872,23.17248,21.707277,23.132664,2942400,22.895695
"2001-05-25",23.09285,23.140627,21.914318,22.057653,2472000,21.831694
"2001-05-29",21.954132,22.113394,20.727823,20.974678,2978600,20.759815
"2001-05-30",20.265966,20.695971,19.3104,19.979296,3575500,19.774628
"2001-05-31",17.829271,19.509476,17.765568,19.031693,15795000,18.836731
"2001-06-01",19.238731,19.708551,18.609652,19.007803,5296800,18.813089
"2001-06-04",19.190954,19.509476,17.709826,17.845198,7793300,17.662392
"2001-06-05",18.004459,19.469662,17.95668,18.880396,6216400,18.686985
"2001-06-06",22.216913,22.790253,21.619684,22.264692,17306900,22.036613
"2001-06-07",22.097467,23.268036,21.818762,23.220259,7516700,22.982389
"2001-06-08",23.09285,23.889154,22.838032,22.901735,7774600,22.667128
"2001-06-11",22.869884,22.877848,22.017838,22.256729,3908000,22.028732
"2001-06-12",21.978022,23.371555,21.18968,23.323778,4680900,23.08485
"2001-06-13",23.371555,23.92897,21.930244,22.408028,9318000,22.17848
"2001-06-14",21.221533,21.731167,20.552635,20.831343,5687100,20.617947
"2001-06-15",20.321707,21.922281,19.947443,20.831343,4394500,20.617947
"2001-06-18",21.022455,21.492275,20.106705,20.433189,3533600,20.223873
"2001-06-19",22.654881,22.694696,21.938208,22.447842,6783700,22.217886
"2001-06-20",21.810799,24.510273,21.810799,24.000637,9933300,23.754776
"2001-06-21",23.913044,25.043797,23.674152,23.809525,8107400,23.56562
"2001-06-22",23.769709,24.996019,23.769709,24.685459,5492700,24.432581
"2001-06-25",24.884535,25.402134,24.693422,25.33843,4232900,25.078863
"2001-06-26",24.828794,25.481764,24.486383,25.465839,5375900,25.204967
"2001-06-27",25.449913,26.524925,24.685459,26.46122,8889600,26.190151
"2001-06-28",26.516962,28.436056,26.43733,27.432713,10296900,27.151691
"2001-06-29",27.40086,28.23698,27.074375,27.79105,5711300,27.506357
"2001-07-02",27.663641,28.507725,27.01067,27.878643,5281200,27.593054
"2001-07-03",27.40086,27.408823,26.293997,26.763817,3916500,26.489649
"2001-07-05",26.262144,26.349737,24.056379,24.534161,6977700,24.282833
"2001-07-06",24.128046,24.518236,23.244146,23.387482,4076700,23.147902
"2001-07-09",23.849339,24.55805,23.586559,24.19175,4694500,23.94393
"2001-07-10",24.446568,24.924351,23.140627,23.156553,4807900,22.919336
"2001-07-11",23.100813,23.403408,21.850613,23.395445,4823000,23.155781
"2001-07-12",25.481764,26.477146,25.274725,25.919733,8912000,25.654211
"2001-07-13",25.816214,27.074375,25.776398,26.700111,10092900,26.426596
"2001-07-16",26.477146,26.994745,25.211021,25.91177,3186900,25.64633
"2001-07-17",25.52158,27.472527,25.011944,27.456602,5799100,27.175337
"2001-07-18",26.652332,27.074375,25.983437,26.325848,6019600,26.056166
"2001-07-19",26.031216,26.835484,23.546743,25.856028,13039000,25.591158
"2001-07-20",25.099539,26.755854,24.884535,25.203058,6071200,24.944878
"2001-07-23",25.481764,25.744545,24.924351,25.537506,6066300,25.2759
"2001-07-24",25.298615,26.078993,24.836758,25.378244,4239000,25.118269
"2001-07-25",25.49769,27.146042,25.481764,27.074375,6515300,26.797026
"2001-07-26",26.915113,28.651058,26.676222,27.894569,9731600,27.608818
"2001-07-27",27.862717,28.014015,27.544195,27.902533,7317900,27.616697
"2001-07-30",27.743271,28.388279,27.018633,27.29734,4149200,27.017708
"2001-07-31",27.48049,27.79105,26.477146,26.652332,5947500,26.379305
"2001-08-01",26.994745,28.26087,26.891224,28.26087,5628900,27.971365
"2001-08-02",28.308647,29.423475,28.045868,29.216436,7976000,28.917143
"2001-08-03",29.001432,29.081064,28.221054,28.571428,4014500,28.278744
"2001-08-06",28.069756,28.459946,27.432713,28.045868,2707100,27.758566
"2001-08-07",27.958273,28.7068,27.711418,27.974199,3168600,27.687634
"2001-08-08",27.799013,27.990126,25.33843,25.529543,5802200,25.268017
"2001-08-09",25.672878,27.026596,25.561396,26.724001,5546300,26.450239
"2001-08-10",26.3577,26.835484,25.426023,26.341774,5809200,26.071928
"2001-08-13",26.413441,27.257524,25.983437,27.034559,3144100,26.757616
"2001-08-14",27.130116,27.862717,26.923077,27.353081,4212700,27.072874
"2001-08-15",27.353081,27.639751,26.317884,26.325848,3872500,26.056166
"2001-08-16",25.832138,25.9914,24.072304,25.290651,6425000,25.031574
"2001-08-17",24.048416,25.242872,24.048416,24.550087,3427200,24.298597
"2001-08-20",24.812868,25.234911,24.03249,25.203058,3084100,24.944878
"2001-08-21",25.529543,26.110846,24.573977,24.573977,5337000,24.322239
"2001-08-22",24.765089,25.035833,23.17248,24.645645,6613100,24.393175
"2001-08-23",24.908424,25.840101,24.589903,24.709349,4185700,24.456226
"2001-08-24",24.964167,26.835484,24.956203,26.27807,4469200,26.008879
"2001-08-27",26.166588,27.536232,25.856028,26.923077,3374900,26.647276
"2001-08-28",27.01067,27.154005,26.317884,26.660295,3746500,26.387188
"2001-08-29",26.644371,27.154005,25.203058,25.569359,4389200,25.307426
"2001-08-30",25.003981,25.282688,23.992674,25.02787,4698300,24.771486
"2001-08-31",24.916388,26.429367,24.916388,26.238255,4976800,25.969469
"2001-09-04",25.88788,27.130116,24.677496,24.892498,4927000,24.637497
"2001-09-05",25.593246,26.158625,24.613792,25.282688,6516200,25.023691
"2001-09-06",24.884535,26.102882,24.788979,25.019907,7805800,24.763603
"2001-09-07",24.66157,25.840101,24.128046,25.067686,6563600,24.810892
"2001-09-10",24.685459,25.505653,23.92897,24.271381,5699900,24.022745
"2001-09-17",22.463768,23.140627,21.500238,22.065615,5673700,21.839575
"2001-09-18",22.097467,22.344322,20.265966,20.71986,6388500,20.507607
"2001-09-19",20.512821,20.703934,16.873707,18.418537,13991900,18.229856
"2001-09-20",17.733715,19.270584,17.654085,18.776875,7163200,18.584522
"2001-09-21",16.634815,18.514095,16.634815,18.028349,7792300,17.843668
"2001-09-24",19.103361,19.246695,17.542603,18.936136,5846600,18.742153
"2001-09-25",18.792801,19.159101,17.001114,17.359451,8321800,17.18162
"2001-09-26",17.614269,17.717789,14.6122,14.636088,13201000,14.486156
"2001-09-27",15.129798,17.805384,14.261826,17.749641,22780300,17.567814
"2001-09-28",17.462973,17.638159,15.456283,15.766842,14101800,15.605327
"2001-10-01",15.36869,16.236662,15.249244,15.774805,5731400,15.613209
"2001-10-02",15.774805,16.921484,15.758879,16.164995,8007800,15.9994
"2001-10-03",16.045549,17.916866,16.045549,17.494823,15559700,17.315607
"2001-10-04",17.765568,18.912247,17.558529,17.885014,9752600,17.701801
"2001-10-05",17.646122,18.967989,17.558529,18.482243,5848600,18.29291
"2001-10-08",18.275204,19.071508,17.972607,18.585762,3891500,18.395369
"2001-10-09",18.776875,19.015766,17.789457,18.179646,4235800,17.993414
"2001-10-10",18.115942,18.952063,18.036312,18.545946,5980600,18.355961
"2001-10-11",18.92021,20.465042,18.713171,19.85985,6619800,19.656406
"2001-10-12",19.549292,20.194298,18.832617,19.437809,4439700,19.238688
"2001-10-15",19.198917,20.146521,18.776875,19.485586,4089700,19.285976
"2001-10-16",19.788183,20.289856,19.222807,20.186335,2773300,19.979548
"2001-10-17",20.616341,21.157827,18.100016,18.378723,6597700,18.190451
"2001-10-18",18.115942,19.015766,18.076126,18.45039,4123000,18.261385
"2001-10-19",18.275204,20.265966,18.267241,20.082815,5150600,19.877087
"2001-10-22",19.39003,19.748367,16.523333,16.786112,17568000,16.614157
"2001-10-23",17.080746,17.654085,15.400541,17.01704,23006500,16.84272
"2001-10-24",18.721134,19.772257,17.677975,19.684664,23817800,19.483015
"2001-10-25",19.326326,20.584488,19.190954,20.512821,14153800,20.302689
"2001-10-26",20.321707,21.372829,19.987259,20.457079,8720900,20.247517
"2001-10-29",20.353559,20.425226,18.912247,19.031693,6269200,18.836731
"2001-10-30",18.89632,19.461699,18.235388,18.792801,4196600,18.600288
"2001-10-31",19.28651,19.891703,18.434464,18.633541,6267000,18.442657
"2001-11-01",18.856506,19.907629,18.569836,19.421883,5863000,19.222925
"2001-11-02",19.589106,20.098742,18.649466,18.872433,9206600,18.679104
"2001-11-05",19.382067,19.453735,18.506132,18.768911,7361600,18.576643
"2001-11-06",18.713171,19.469662,18.39465,19.270584,4423800,19.073175
"2001-11-07",19.039656,21.102087,19.039656,20.544672,7301800,20.334213
"2001-11-08",20.807453,21.460424,18.928173,19.031693,9954800,18.836731
"2001-11-09",19.119286,19.684664,18.880396,19.222807,6077400,19.025888
"2001-11-12",19.222807,19.238731,18.227425,18.545946,7839700,18.355961
"2001-11-13",19.350216,19.413919,17.415194,17.447046,14440000,17.268318
"2001-11-14",17.924829,18.0602,15.066093,16.029623,28895500,15.865416
"2001-11-15",16.475554,16.88167,16.372034,16.579073,13290600,16.409237
"2001-11-16",16.762224,16.873707,16.539257,16.690556,8232600,16.519577
"2001-11-19",16.849817,16.921484,16.292404,16.435738,5707900,16.26737
"2001-11-20",16.443701,17.614269,15.934066,16.061474,9810900,15.896941
"2001-11-21",16.228699,16.762224,16.037586,16.332218,5437100,16.164911
"2001-11-23",16.610926,16.929447,16.348145,16.786112,2368600,16.614157
"2001-11-26",16.85778,17.518713,16.786112,17.415194,10461100,17.236794
"2001-11-27",17.391304,18.585762,17.391304,18.219461,12223400,18.032822
"2001-11-28",18.195572,19.827997,18.187609,18.92021,19566400,18.726393
"2001-11-29",19.111324,19.198917,17.916866,18.322981,9188300,18.135281
"2001-11-30",18.39465,18.713171,17.59038,17.813347,6261600,17.630867
"2001-12-03",17.717789,18.307055,17.383341,18.036312,4942800,17.851547
"2001-12-04",18.092052,18.434464,17.996496,18.283167,7065500,18.095875
"2001-12-05",18.673355,19.692627,18.514095,19.103361,7491000,18.907665
"2001-12-06",19.326326,19.979296,19.270584,19.429846,5977400,19.230806
"2001-12-07",19.437809,19.620958,18.824654,19.278547,4011600,19.081059
"2001-12-10",18.975952,19.429846,18.553909,18.832617,3086100,18.639696
"2001-12-11",18.999842,19.246695,18.553909,18.585762,3478100,18.395369
"2001-12-12",18.800764,19.270584,18.354834,18.856506,3272700,18.66334
"2001-12-13",18.514095,18.514095,17.885014,18.179646,6556200,17.993414
"2001-12-14",18.076126,18.115942,17.136486,17.478897,5817100,17.299845
"2001-12-17",17.558529,18.410576,17.518713,18.378723,5078400,18.190451
"2001-12-18",19.222807,19.85985,18.912247,19.190954,7166800,18.994362
"2001-12-19",18.745024,20.050964,18.553909,19.939482,8725600,19.735224
"2001-12-20",19.620958,20.035038,18.34687,18.705208,4415700,18.513592
"2001-12-21",18.537983,19.39003,18.315018,18.705208,4704300,18.513592
"2001-12-24",18.506132,18.713171,18.227425,18.553909,1153700,18.363842
"2001-12-26",18.633541,19.071508,18.553909,18.721134,2343600,18.529354
"2001-12-27",18.792801,18.92021,18.514095,18.721134,1949800,18.529354
"2001-12-28",18.824654,19.127249,18.593725,18.673355,1641900,18.482065
"2001-12-31",18.506132,18.673355,18.004459,18.044275,2974800,17.85943
"2002-01-02",18.107979,18.283167,16.714445,18.036312,9470700,17.851547
"2002-01-03",18.203535,18.872433,18.195572,18.705208,5311400,18.513592
"2002-01-04",18.808727,19.087435,18.322981,18.498169,3709000,18.308674
"2002-01-07",18.561872,18.880396,18.219461,18.299091,3993400,18.111635
"2002-01-08",18.155758,18.641504,17.932793,18.195572,3286000,18.009176
"2002-01-09",18.39465,19.493549,18.37076,19.079472,7640700,18.884022
"2002-01-10",19.246695,19.668737,18.888357,19.095398,4646400,18.899784
"2002-01-11",19.135212,19.405956,18.410576,18.490206,3042500,18.300793
"2002-01-14",18.275204,18.39465,17.741678,17.869087,2966700,17.686035
"2002-01-15",17.964643,18.275204,17.3276,17.749641,3021800,17.567814
"2002-01-16",17.582418,17.892977,16.833891,16.865744,4894400,16.692972
"2002-01-17",17.470934,17.502787,15.886288,16.379997,11885000,16.212202
"2002-01-18",15.727027,15.926103,15.217391,15.464246,10961100,15.30583
"2002-01-22",15.73499,16.0774,15.512024,15.535913,5432900,15.376763
"2002-01-23",15.766842,16.634815,15.607581,16.172958,4948700,16.007282
"2002-01-24",14.954611,15.129798,14.022934,14.158305,28562100,14.013268
"2002-01-25",14.285714,14.452938,13.736263,14.110527,10233100,13.965979
"2002-01-28",14.397197,14.572384,14.14238,14.341455,5540400,14.194542
"2002-01-29",14.357382,14.6122,13.736263,13.768116,4850200,13.627075
"2002-01-30",13.863672,14.086638,13.186813,13.895525,5480100,13.753179
"2002-01-31",13.967193,14.014971,13.449594,13.720338,3912900,13.579786
"2002-02-01",13.855709,14.484791,13.776079,14.062749,6393500,13.918691
"2002-02-04",14.062749,14.086638,13.139035,13.314222,4384100,13.177832
"2002-02-05",13.226628,13.497373,12.924032,13.051441,4909600,12.917742
"2002-02-06",13.226628,13.362,12.34273,12.613474,4996800,12.484262
"2002-02-07",12.557733,13.059404,12.223284,12.42236,3503500,12.295106
"2002-02-08",12.621436,13.035515,12.34273,12.677177,3195000,12.547314
"2002-02-11",12.804586,13.139035,12.645326,13.123109,2928200,12.988675
"2002-02-12",12.931995,13.107183,12.565695,12.669215,3074300,12.539432
"2002-02-13",12.836439,13.266443,12.740882,13.154961,2762600,13.020202
"2002-02-14",13.17885,13.736263,13.043478,13.115146,3824500,12.980795
"2002-02-15",13.855709,13.975155,12.900144,13.099219,4022900,12.965032
"2002-02-19",12.979774,13.170887,12.191432,12.478102,4045000,12.350276
"2002-02-20",12.685141,12.788661,11.79328,12.183469,4804000,12.058661
"2002-02-21",12.103838,12.183469,11.156235,11.243829,6083300,11.128647
"2002-02-22",11.211976,11.227902,10.367893,10.750119,10171700,10.639996
"2002-02-25",11.450868,12.095875,11.188087,11.753464,8838900,11.633061
"2002-02-26",12.03217,12.494028,11.864946,12.374582,6345400,12.247817
"2002-02-27",12.780698,13.322186,12.438287,12.438287,5784700,12.310869
"2002-02-28",12.581621,12.701067,11.976429,12.079949,3504400,11.956203
"2002-03-01",12.199395,12.318841,11.920688,12.143654,7788200,12.019255
"2002-03-04",12.318841,13.059404,12.048097,12.868291,6508800,12.736468
"2002-03-05",12.756808,13.529224,12.740882,13.170887,6281500,13.035964
"2002-03-06",13.186813,13.696448,12.860328,13.537188,5290400,13.398513
"2002-03-07",13.967193,14.007008,13.186813,13.624781,5072800,13.485209
"2002-03-08",14.022934,14.078675,13.584966,13.64867,4906400,13.508854
"2002-03-11",13.688485,14.667941,13.385889,14.460901,3944300,14.312764
"2002-03-12",14.062749,14.867017,14.014971,14.604237,4949800,14.454631
"2002-03-13",14.437013,14.867017,14.198121,14.389234,7325800,14.24183
"2002-03-14",14.421086,14.89887,14.381271,14.659978,5542000,14.509802
"2002-03-15",14.851091,14.859054,13.879599,14.333492,4414800,14.18666
"2002-03-18",14.620162,14.707756,14.341455,14.492754,2415600,14.344291
"2002-03-19",14.572384,14.811275,14.468864,14.803312,2700500,14.651668
"2002-03-20",14.715719,14.890906,14.158305,14.166268,3421400,14.02115
"2002-03-21",14.206083,14.683867,13.592929,14.652015,3192700,14.50192
"2002-03-22",14.667941,14.675904,14.158305,14.198121,2206300,14.052675
"2002-03-25",14.293677,14.373308,13.537188,13.656633,3165200,13.516735
"2002-03-26",13.537188,14.014971,13.385889,13.64867,2675900,13.508854
"2002-03-27",13.553114,14.014971,13.545151,13.863672,2493800,13.721653
"2002-03-28",13.911451,14.102564,13.584966,13.760153,2852600,13.619193
"2002-04-01",13.67256,13.895525,13.115146,13.847747,3000300,13.705891
"2002-04-02",13.457557,13.537188,13.154961,13.330148,3310500,13.193594
"2002-04-03",13.409779,13.537188,12.517917,12.780698,3769100,12.649773
"2002-04-04",12.780698,12.955885,12.509953,12.931995,2336400,12.79952
"2002-04-05",12.780698,12.979774,12.509953,12.661252,2026100,12.53155
"2002-04-08",12.462175,13.059404,12.2631,12.947922,2216300,12.815284
"2002-04-09",12.398471,12.900144,11.888836,11.960504,6005100,11.83798
"2002-04-10",11.960504,12.143654,11.331422,11.809205,3605000,11.688231
"2002-04-11",11.689759,11.761427,11.283644,11.379201,2741200,11.262632
"2002-04-12",11.673834,11.681796,11.251792,11.657907,2422400,11.538484
"2002-04-15",11.697722,12.048097,11.634018,11.777353,3066600,11.656706
"2002-04-16",11.976429,12.231247,11.817168,12.071986,2130900,11.948321
"2002-04-17",12.207357,12.215321,11.817168,12.048097,2279100,11.924676
"2002-04-18",12.087913,12.087913,11.761427,11.904762,1549900,11.78281
"2002-04-19",11.944577,11.984392,11.56235,11.58624,2357500,11.46755
"2002-04-22",11.554388,11.785316,11.371238,11.626055,1683000,11.506957
"2002-04-23",11.546425,11.554388,11.148272,11.283644,2358700,11.168055
"2002-04-24",11.363275,11.363275,9.953815,10.033444,8578300,9.930661
"2002-04-25",10.17678,10.184743,8.902692,9.276955,10879100,9.181921
"2002-04-26",9.332696,9.531773,8.95047,9.038063,4885100,8.945477
"2002-04-29",9.117694,9.125657,8.647874,8.878802,4330500,8.787848
"2002-04-30",9.507883,9.587514,9.109731,9.23714,5844800,9.142514
"2002-05-01",9.205288,9.42029,8.695652,8.815098,4436300,8.724796
"2002-05-02",8.831024,9.085842,8.695652,8.799171,3957000,8.709032
"2002-05-03",8.831024,8.846951,8.170091,8.353241,3811100,8.267671
"2002-05-06",8.361204,8.504539,8.170091,8.209906,2258100,8.125803
"2002-05-07",8.361204,8.424909,7.851569,8.241758,3820800,8.15733
"2002-05-08",8.512502,8.966396,8.496576,8.92658,3279600,8.835136
"2002-05-09",8.854913,8.918617,8.440835,8.464724,1763600,8.378012
"2002-05-10",8.520465,8.600096,8.114349,8.241758,1753300,8.15733
"2002-05-13",8.249722,8.6638,8.018793,8.608059,1938000,8.519877
"2002-05-14",8.92658,9.117694,8.751393,8.95047,1918900,8.858781
"2002-05-15",8.95047,9.515846,8.719542,9.109731,3125100,9.016411
"2002-05-16",10.113075,10.423635,9.722886,9.858257,11313600,9.75727
"2002-05-17",9.929925,10.15289,9.667145,9.778627,4192700,9.678456
"2002-05-20",9.68307,9.698997,9.253066,9.356586,1899700,9.260736
"2002-05-21",9.483994,9.579551,8.854913,8.942507,1759300,8.850901
"2002-05-22",8.846951,9.038063,8.616022,8.902692,2156700,8.811493
"2002-05-23",8.95047,9.292881,8.735467,9.284918,2104800,9.189803
"2002-05-24",9.101768,9.300844,8.854913,8.878802,1220300,8.787848
"2002-05-28",9.077879,9.300844,8.679726,8.870839,1845900,8.779965
"2002-05-29",8.878802,9.069916,8.846951,8.862876,1324200,8.772085
"2002-05-30",8.735467,9.069916,8.631948,8.918617,2419900,8.827255
"2002-05-31",8.894729,8.894729,8.377131,8.496576,3537300,8.409537
"2002-06-03",8.600096,8.608059,8.082498,8.209906,2616900,8.125803
"2002-06-04",8.138239,8.496576,7.971014,8.170091,2562000,8.086396
"2002-06-05",8.201943,8.345278,7.978978,8.186017,1886700,8.10216
"2002-06-06",8.130276,8.19398,7.843606,7.883421,1951000,7.802663
"2002-06-07",7.708234,8.154164,7.493231,7.875458,2717300,7.794782
"2002-06-10",7.947125,8.082498,7.787864,7.883421,1318800,7.802663
"2002-06-11",8.098423,8.098423,7.636566,7.660456,2245900,7.581982
"2002-06-12",7.445453,7.72416,7.286192,7.676382,2685000,7.597745
"2002-06-13",7.588788,7.628603,7.333971,7.389712,1693800,7.314012
"2002-06-14",7.206562,7.556936,7.007485,7.485269,1930200,7.40859
"2002-06-17",7.636566,7.684345,7.429527,7.564899,1525600,7.487404
"2002-06-18",7.51712,7.596751,7.166746,7.238414,3341000,7.164263
"2002-06-19",7.341933,7.349896,6.083771,6.091734,6773200,6.029331
"2002-06-20",6.115623,6.163402,5.335245,5.462653,6066200,5.406694
"2002-06-21",5.287466,5.677656,5.199872,5.47858,6297900,5.422457
"2002-06-24",5.390986,5.932473,5.263577,5.74136,4564200,5.682546
"2002-06-25",5.92451,5.92451,4.690238,4.722089,4009600,4.673716
"2002-06-26",4.260232,4.777831,4.053193,4.387641,8593900,4.342694
"2002-06-27",4.642459,4.785794,4.260232,4.602644,4338200,4.555495
"2002-06-28",4.578754,4.968944,4.499124,4.809683,9367500,4.760413
"2002-07-01",4.825609,4.841535,4.610607,4.80172,4965300,4.752531
"2002-07-02",4.61857,4.809683,4.610607,4.674311,4296500,4.626427
"2002-07-03",4.546902,4.817646,4.459309,4.738016,2885900,4.689479
