"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"2006-07-24",49.380001,51.669998,49.380001,50.599998,365800,50.599998
"2006-07-25",50.349998,53.470001,50.349998,52.75,423400,52.75
"2006-07-26",52.5,52.75,51.57,52.349998,356200,52.349998
"2006-07-27",52.349998,52.900002,50.330002,50.939999,296800,50.939999
"2006-07-28",51.049999,52.380001,49.790001,50.130001,532600,50.130001
"2006-07-31",49.799999,52.900002,49.57,52.5,1214500,52.5
"2006-08-01",50.009998,53,49.799999,52,1193900,52
"2006-08-02",52,52.849998,51.450001,52.25,596800,52.25
"2006-08-03",52,54.110001,51.41,54.080002,512300,54.080002
"2006-08-04",55,56.5,53.849998,54.900002,383600,54.900002
"2006-08-07",54.560001,54.700001,53.41,54.400002,181700,54.400002
"2006-08-08",54.380001,54.400002,53.049999,53.400002,808800,53.400002
"2006-08-09",53.509998,53.549999,50.25,50.279999,657700,50.279999
"2006-08-10",50,50.200001,47.369999,48.669998,910300,48.669998
"2006-08-11",48.889999,49.799999,48.099998,49.290001,489200,49.290001
"2006-08-14",50,50.689999,49.599998,49.880001,423300,49.880001
"2006-08-15",50.25,50.91,49.799999,50.639999,523200,50.639999
"2006-08-16",50.889999,53.5,50.549999,53.5,540200,53.5
"2006-08-17",53,53.939999,52.290001,53.080002,420900,53.080002
"2006-08-18",53.25,53.25,51.32,51.810001,319000,51.810001
"2006-08-21",51.650002,51.669998,50.5,51.099998,304700,51.099998
"2006-08-22",50.900002,51.110001,50.349998,50.580002,156500,50.580002
"2006-08-23",50.580002,50.75,49.700001,50.16,179100,50.16
"2006-08-24",50.240002,50.389999,49.169998,49.169998,256300,49.169998
"2006-08-25",49.049999,49.400002,48.759998,48.900002,143600,48.900002
"2006-08-28",48.889999,49.389999,48.619999,48.900002,93400,48.900002
"2006-08-29",48.900002,50.150002,48.799999,49.799999,280900,49.799999
"2006-08-30",49.650002,51.150002,49.650002,50.259998,220600,50.259998
"2006-08-31",50.25,50.549999,49.18,49.34,158000,49.34
"2006-09-01",49.599998,50.880001,49.540001,50.689999,250600,50.689999
"2006-09-05",50.470001,51.360001,50.330002,50.509998,285800,50.509998
"2006-09-06",50.299999,50.709999,49.740002,50.09,188400,50.09
"2006-09-07",50,50.200001,49.16,49.849998,171100,49.849998
"2006-09-08",49.900002,49.900002,45.82,47.919998,2951800,47.919998
"2006-09-11",47.799999,49.360001,47.610001,49.099998,522400,49.099998
"2006-09-12",49.349998,51.799999,48.619999,51.470001,611200,51.470001
"2006-09-13",51.389999,52.450001,51.389999,52.07,574300,52.07
"2006-09-14",51,51.700001,50.5,50.830002,518600,50.830002
"2006-09-15",51.459999,51.650002,50.599998,51.200001,304800,51.200001
"2006-09-18",51.209999,51.299999,50.599998,50.830002,174700,50.830002
"2006-09-19",50.580002,50.779999,49.799999,50.330002,245400,50.330002
"2006-09-20",50.59,51.799999,50.400002,51.040001,365200,51.040001
"2006-09-21",51.580002,53.799999,51.049999,53.209999,951500,53.209999
"2006-09-22",52.5,52.700001,51,52.119999,535900,52.119999
"2006-09-25",52.119999,53.400002,51.970001,53.16,676700,53.16
"2006-09-26",53.259998,53.310001,51.470001,52.380001,390700,52.380001
"2006-09-27",52.23,52.599998,49.610001,49.799999,762100,49.799999
"2006-09-28",50,50.700001,48.700001,49.599998,784300,49.599998
"2006-09-29",49.73,50.209999,49.400002,49.669998,744000,49.669998
"2006-10-02",49.669998,50.07,48.720001,49,660000,49
"2006-10-03",49.009998,50.07,48.799999,49.5,1017400,49.5
"2006-10-04",49.48,51.439999,48.759998,50.990002,3278700,50.990002
"2006-10-05",50.990002,51.099998,48.299999,50.119999,3900400,50.119999
"2006-10-06",50.450001,51.59,48.549999,51.59,6765700,51.59
"2006-10-09",52.48,56.75,52.299999,55.689999,4559300,55.689999
"2006-10-10",55.5,57.459999,55.240002,56.48,4248100,56.48
"2006-10-11",56.48,57.25,54.630001,55.400002,1730000,55.400002
"2006-10-12",55.700001,57.639999,55.689999,57.23,1484500,57.23
"2006-10-13",57.599998,57.599998,56.349998,56.799999,1120200,56.799999
"2006-10-16",56.799999,57.490002,55.689999,56.049999,973700,56.049999
"2006-10-17",55.700001,56.459999,54.77,55.490002,797500,55.490002
"2006-10-18",55.98,56.52,54.5,54.849998,827100,54.849998
"2006-10-19",54.25,54.970001,53.77,54,798400,54
"2006-10-20",54.200001,55.119999,53.75,54.959999,1350200,54.959999
"2006-10-23",55.049999,56.580002,55.049999,56.400002,927100,56.400002
"2006-10-24",56.099998,57.720001,55.84,57.700001,630800,57.700001
"2006-10-25",57.700001,58.700001,56.93,56.950001,1109700,56.950001
"2006-10-26",57.150002,58.849998,56.799999,58.5,975600,58.5
"2006-10-27",58.459999,59.200001,57.66,58.419998,699900,58.419998
"2006-10-30",58.450001,59.099998,57.299999,59.049999,720700,59.049999
"2006-10-31",59,60.25,58.130001,59.900002,1946600,59.900002
"2006-11-01",59.639999,59.91,57.32,58.220001,1684400,58.220001
"2006-11-02",56.700001,57.599998,56.060001,56.790001,1015700,56.790001
"2006-11-03",57.099998,57.389999,55.5,57.080002,814000,57.080002
"2006-11-06",57.790001,58.98,57.790001,58.259998,624300,58.259998
"2006-11-07",58.849998,58.869999,57.990002,58.080002,694100,58.080002
"2006-11-08",57.5,58.48,56.599998,57.68,543100,57.68
"2006-11-09",57.779999,57.900002,56.110001,56.580002,481100,56.580002
"2006-11-10",57.099998,57.759998,56.700001,57.299999,425000,57.299999
"2006-11-13",57.799999,57.860001,56.5,56.650002,539400,56.650002
"2006-11-14",57.400002,58.32,56.75,57.869999,1330500,57.869999
"2006-11-15",58.099998,59,57.5,58.84,766700,58.84
"2006-11-16",59,59.060001,58.169998,58.77,629800,58.77
"2006-11-17",58.77,59.880001,58,59.880001,1051400,59.880001
"2006-11-20",59.880001,62,59.599998,61.860001,1315600,61.860001
"2006-11-21",61.599998,62.360001,61,61.23,769000,61.23
"2006-11-22",61.009998,61.75,60.599998,61.27,354900,61.27
"2006-11-24",60.360001,61.27,60.360001,61.009998,121100,61.009998
"2006-11-27",60.810001,60.82,57.630001,57.810001,1113400,57.810001
"2006-11-28",57.700001,57.82,55.75,57.32,1020600,57.32
"2006-11-29",57.93,58.439999,57.66,57.889999,364900,57.889999
"2006-11-30",57.889999,58.740002,57.650002,57.950001,469000,57.950001
"2006-12-01",57.700001,58.080002,57,57.490002,282100,57.490002
"2006-12-04",58.150002,59.349998,57.75,58,748300,58
"2006-12-05",57.75,57.950001,56.630001,56.849998,700800,56.849998
"2006-12-06",56.799999,57.639999,56.349998,57.130001,745200,57.130001
"2006-12-07",57.130001,57.360001,54.5,54.759998,1128800,54.759998
"2006-12-08",54.91,55.450001,53.619999,55.299999,980200,55.299999
"2006-12-11",55.959999,55.959999,54.310001,54.849998,655000,54.849998
"2006-12-12",55,55.57,54,54.5,794900,54.5
"2006-12-13",54.669998,55.389999,54.200001,54.200001,747300,54.200001
"2006-12-14",54.200001,55.700001,53.799999,53.950001,705700,53.950001
"2006-12-15",53.700001,54.349998,52.810001,53.099998,848200,53.099998
"2006-12-18",53.029999,54.220001,52.16,53.919998,782300,53.919998
"2006-12-19",53.209999,54.66,53.200001,54.610001,647300,54.610001
"2006-12-20",54.639999,55.369999,54.639999,54.880001,545300,54.880001
"2006-12-21",54.950001,55.5,53.599998,54.450001,377700,54.450001
"2006-12-22",55.75,56.650002,55.200001,55.52,673300,55.52
"2006-12-26",55.52,56.48,55.299999,56.25,193800,56.25
"2006-12-27",56.400002,56.549999,55.419998,56.049999,267600,56.049999
"2006-12-28",55.900002,56.68,55.619999,56.419998,438500,56.419998
"2006-12-29",56.23,57,55.98,57,528000,57
"2007-01-03",56.900002,56.950001,56,56.41,519300,56.41
"2007-01-04",56.5,56.5,55.130001,55.380001,471200,55.380001
"2007-01-05",55.580002,55.68,54.610001,55,508800,55
"2007-01-08",55.009998,56.200001,54.799999,56.049999,286500,56.049999
"2007-01-09",56.040001,57.389999,56.040001,56.450001,571600,56.450001
"2007-01-10",55.73,56.650002,55.509998,56.209999,869100,56.209999
"2007-01-11",56.349998,57.75,56.16,57.669998,447700,57.669998
"2007-01-12",57.419998,58.5,56.630001,58.279999,745200,58.279999
"2007-01-16",58.290001,60.5,58.290001,60.459999,712000,60.459999
"2007-01-17",60.400002,60.939999,59.52,60.599998,595000,60.599998
"2007-01-18",60.599998,60.599998,59.02,59.580002,759600,59.580002
"2007-01-19",59.34,59.68,58.799999,58.970001,258500,58.970001
"2007-01-22",59.540001,59.540001,58.169998,58.419998,410200,58.419998
"2007-01-23",58.950001,59.060001,58.009998,58.5,616500,58.5
"2007-01-24",58.700001,58.990002,57.959999,58,421300,58
"2007-01-25",58.200001,58.25,57.150002,57.48,1139300,57.48
"2007-01-26",58,58.200001,56.66,57.34,518000,57.34
"2007-01-29",57.09,59.200001,56.869999,58.700001,401200,58.700001
"2007-01-30",58.669998,59.860001,58.34,59.599998,504800,59.599998
"2007-01-31",59.599998,60.299999,58.740002,59.419998,467000,59.419998
"2007-02-01",59.599998,60.400002,58.93,59.799999,875700,59.799999
"2007-02-02",60.18,60.18,59.529999,60.009998,348900,60.009998
"2007-02-05",60.200001,60.669998,59.75,60.439999,215900,60.439999
"2007-02-06",60.509998,60.630001,59.860001,60.580002,326300,60.580002
"2007-02-07",60.580002,61.759998,60.400002,61.57,748500,61.57
"2007-02-08",61.57,62.259998,61.110001,62.09,304600,62.09
"2007-02-09",62.25,62.400002,61.48,61.91,751600,61.91
"2007-02-12",61.650002,61.700001,60.040001,60.720001,567400,60.720001
"2007-02-13",61.029999,61.580002,60.299999,60.450001,217500,60.450001
"2007-02-14",60.57,61.509998,59.599998,59.689999,1087600,59.689999
"2007-02-15",60.209999,61.689999,59.389999,61.380001,1248600,61.380001
"2007-02-16",64,65.25,63.099998,65.029999,2085900,65.029999
"2007-02-20",64,64.480003,62.919998,63.889999,1293900,63.889999
"2007-02-21",63.549999,63.75,62.880001,63.580002,602400,63.580002
"2007-02-22",64.5,64.910004,63.830002,64.419998,332300,64.419998
"2007-02-23",64.199997,64.800003,62.900002,64.309998,264400,64.309998
"2007-02-26",64.309998,64.32,62.799999,63.630001,536700,63.630001
"2007-02-27",62.299999,62.830002,59.650002,60.25,1175700,60.25
"2007-02-28",60.5,60.68,59.509998,59.990002,529000,59.990002
"2007-03-01",58.650002,61.5,58.599998,61.23,791600,61.23
"2007-03-02",61.02,61.299999,60,60.200001,495800,60.200001
"2007-03-05",59.700001,60.099998,58.610001,59.049999,298400,59.049999
"2007-03-06",59.790001,60.5,59,60.07,572000,60.07
"2007-03-07",60.32,61.110001,59.720001,60.220001,198100,60.220001
"2007-03-08",61.599998,61.599998,59.950001,60.09,345000,60.09
"2007-03-09",60.34,61,60.09,60.57,274700,60.57
"2007-03-12",60.580002,61.240002,60.5,61.23,277000,61.23
"2007-03-13",61.369999,62,60.5,61.009998,405800,61.009998
"2007-03-14",61.150002,61.549999,60.049999,60.59,305100,60.59
"2007-03-15",60.59,61.09,60.119999,61.049999,351300,61.049999
"2007-03-16",61.049999,61.189999,60.360001,60.580002,277100,60.580002
"2007-03-19",60.75,63.419998,60.75,63.099998,663200,63.099998
"2007-03-20",63.099998,64.639999,63.040001,64.230003,774900,64.230003
"2007-03-21",64.25,64.959999,63.709999,64.75,248600,64.75
"2007-03-22",64.650002,64.800003,64.019997,64.169998,174900,64.169998
"2007-03-23",64.269997,64.849998,64.150002,64.800003,143500,64.800003
"2007-03-26",64.349998,64.349998,63.419998,63.59,308900,63.59
"2007-03-27",63.549999,63.549999,62.130001,62.369999,228700,62.369999
"2007-03-28",62.119999,62.16,61.59,62.060001,357900,62.060001
"2007-03-29",62.599998,62.619999,61.509998,62.200001,204900,62.200001
"2007-03-30",62,62.900002,61.700001,62.099998,128800,62.099998
"2007-04-02",62.25,62.84,61.939999,62.740002,260600,62.740002
"2007-04-03",63.099998,64.300003,63.099998,63.950001,199600,63.950001
"2007-04-04",64.199997,64.839996,63.130001,64.75,284300,64.75
"2007-04-05",64.889999,65,63.57,64.910004,214200,64.910004
"2007-04-09",65.18,66,64.400002,65,481500,65
"2007-04-10",64.900002,64.940002,64.150002,64.669998,233800,64.669998
"2007-04-11",64.669998,64.669998,63.529999,63.779999,311000,63.779999
"2007-04-12",63.75,64.269997,62.549999,64.160004,485800,64.160004
"2007-04-13",64.449997,64.639999,63.580002,64.07,85800,64.07
"2007-04-16",64,65.949997,63.790001,65.199997,226600,65.199997
"2007-04-17",65.25,66.650002,65.190002,66.540001,221500,66.540001
"2007-04-18",66.540001,66.639999,65.800003,66.25,256000,66.25
"2007-04-19",66,66,65,65.370003,124000,65.370003
"2007-04-20",65.800003,66.5,65.040001,65.589996,527900,65.589996
"2007-04-23",65.599998,66.010002,65.199997,65.510002,135300,65.510002
"2007-04-24",65.5,65.5,64.110001,65,272100,65
"2007-04-25",65,65.93,64.519997,65.68,176200,65.68
"2007-04-26",66.050003,67.599998,65.949997,66.940002,394200,66.940002
"2007-04-27",66.889999,66.889999,65.839996,66.019997,203000,66.019997
"2007-04-30",68,68,65,65.230003,483500,65.230003
"2007-05-01",65.650002,67,63.91,66.260002,867300,66.260002
"2007-05-02",71.389999,80.75,71.300003,78.089996,4296600,78.089996
"2007-05-03",78.089996,80.389999,78.089996,79.010002,1078500,79.010002
"2007-05-04",79.239998,80.099998,78.260002,78.370003,948200,78.370003
"2007-05-07",78.370003,78.68,76.300003,76.400002,723100,76.400002
"2007-05-08",76.25,78.07,76,77.620003,471400,77.620003
"2007-05-09",77.620003,78.199997,76.839996,77.690002,347300,77.690002
"2007-05-10",77.459999,81.540001,76.849998,80.550003,1079000,80.550003
"2007-05-11",80.5,82.900002,80.25,81.739998,681400,81.739998
"2007-05-14",82.099998,83.419998,81.550003,82.699997,490500,82.699997
"2007-05-15",83.5,83.5,80.870003,81.099998,557100,81.099998
"2007-05-16",81.980003,82.599998,80.5,82.440002,714000,82.440002
"2007-05-17",81.480003,81.989998,80.489998,81.260002,662600,81.260002
"2007-05-18",82,82.959999,80.82,82,366200,82
"2007-05-21",82.480003,82.489998,81.07,81.800003,495900,81.800003
"2007-05-22",82,82.349998,81.290001,82.040001,238200,82.040001
"2007-05-23",82.150002,82.25,80.410004,80.699997,676400,80.699997
"2007-05-24",81.199997,82.720001,80.980003,82.440002,495800,82.440002
"2007-05-25",82.5,86.629997,82.5,86.550003,797700,86.550003
"2007-05-29",87.25,87.540001,85.199997,85.650002,507200,85.650002
"2007-05-30",85.5,86.260002,85,86.059998,266400,86.059998
"2007-05-31",86.059998,87,86,86.620003,308900,86.620003
"2007-06-01",87,88.699997,86.720001,87.809998,646100,87.809998
"2007-06-04",87.82,88.330002,86.160004,87.519997,269400,87.519997
"2007-06-05",87.650002,87.699997,85.959999,86.260002,501000,86.260002
"2007-06-06",85.699997,85.699997,84.370003,84.57,339000,84.57
"2007-06-07",82.849998,84.449997,82.529999,82.849998,815900,82.849998
"2007-06-08",82.650002,84.769997,82.610001,84.760002,329600,84.760002
"2007-06-11",84.650002,85.089996,84.010002,84.489998,379300,84.489998
"2007-06-12",84.489998,84.720001,82.25,82.620003,311700,82.620003
"2007-06-13",82.650002,83.709999,82.25,83.349998,340900,83.349998
"2007-06-14",83.790001,85.230003,83.690002,83.910004,308200,83.910004
"2007-06-15",84.550003,85.25,84.480003,85.050003,348900,85.050003
"2007-06-18",85,87,84.269997,85.669998,200900,85.669998
"2007-06-19",85.779999,86.18,84.75,85.93,154500,85.93
"2007-06-20",86.18,86.5,84.449997,84.449997,219000,84.449997
"2007-06-21",84.449997,84.449997,83,83.449997,242400,83.449997
"2007-06-22",81.199997,81.75,79.040001,79.580002,1031100,79.580002
"2007-06-25",80,81.400002,79.620003,80.720001,604600,80.720001
"2007-06-26",80.730003,81.360001,80.449997,80.879997,207300,80.879997
"2007-06-27",80.419998,82.75,80.089996,82.300003,303500,82.300003
"2007-06-28",82.5,82.989998,81.860001,82.519997,230900,82.519997
"2007-06-29",84,86.910004,83.809998,85.279999,1069600,85.279999
"2007-07-02",86.150002,87,85.309998,86,418100,86
"2007-07-03",86.010002,86.010002,84,84.199997,502600,84.199997
"2007-07-05",84.650002,85,82.43,82.580002,363200,82.580002
"2007-07-06",82.949997,85.449997,82.760002,85.449997,466300,85.449997
"2007-07-09",85.459999,86,84.699997,85.760002,303900,85.760002
"2007-07-10",85.300003,86.239998,84.830002,85.269997,293300,85.269997
"2007-07-11",85.230003,85.559998,84.589996,85.209999,206600,85.209999
"2007-07-12",86.150002,90.489998,86.040001,89.82,666100,89.82
"2007-07-13",90,91.099998,88.129997,90.519997,420400,90.519997
"2007-07-16",91.980003,92,88.769997,88.800003,274300,88.800003
"2007-07-17",89,89.389999,85.75,86.040001,381200,86.040001
"2007-07-18",85.139999,86.970001,84.599998,86.779999,594300,86.779999
"2007-07-19",86.790001,87.940002,86.709999,87.440002,217300,87.440002
"2007-07-20",87.5,87.5,85.290001,85.730003,218000,85.730003
"2007-07-23",86.230003,87.589996,86.019997,86.809998,154000,86.809998
"2007-07-24",86.220001,86.470001,80.769997,82.209999,679800,82.209999
"2007-07-25",83.099998,83.800003,78.489998,79.589996,801500,79.589996
"2007-07-26",78.339996,81.739998,77.510002,78.540001,932900,78.540001
"2007-07-27",79,83.139999,78.510002,81.5,864900,81.5
"2007-07-30",82,88.230003,81.919998,87.57,808200,87.57
"2007-07-31",88,90.5,86.459999,88.339996,1378200,88.339996
"2007-08-01",94.099998,99.849998,94.099998,99.190002,2095900,99.190002
"2007-08-02",99.5,100.699997,97.059998,99.910004,1050900,99.910004
"2007-08-03",98.32,101.160004,97.5,97.900002,587600,97.900002
"2007-08-06",98.260002,99.5,96.660004,99.400002,700900,99.400002
"2007-08-07",99,110.050003,98.610001,108.5,1468100,108.5
"2007-08-08",110.300003,114.220001,106.68,107.559998,1326800,107.559998
"2007-08-09",104.110001,107.779999,102.260002,104.050003,910500,104.050003
"2007-08-10",101,103,100.169998,101.699997,1039000,101.699997
"2007-08-13",103.949997,104.800003,101.029999,102.010002,355800,102.010002
"2007-08-14",102.010002,103.160004,95.730003,96.080002,870600,96.080002
"2007-08-15",95.860001,98.050003,94.949997,95.360001,571800,95.360001
"2007-08-16",93.769997,96.5,92,96,953800,96
"2007-08-17",99.449997,101.5,98.25,99.949997,667200,99.949997
"2007-08-20",99.949997,102.75,99.5,101.160004,425700,101.160004
"2007-08-21",101.889999,102,99.5,99.650002,371900,99.650002
"2007-08-22",100.93,102.07,99.93,102,275200,102
"2007-08-23",102.010002,103.519997,100.650002,101.370003,205100,101.370003
"2007-08-24",101.809998,103.720001,100.529999,102.910004,171700,102.910004
"2007-08-27",102.699997,103.639999,99.519997,99.550003,358800,99.550003
"2007-08-28",98.099998,99.269997,96.800003,97.129997,328100,97.129997
"2007-08-29",98,101.830002,97.510002,100.669998,313000,100.669998
"2007-08-30",100.290001,100.82,99.25,100.050003,159900,100.050003
"2007-08-31",100.980003,104.529999,100.230003,103.989998,470900,103.989998
"2007-09-04",104.489998,109.389999,102.510002,107.75,406600,107.75
"2007-09-05",107.25,107.379997,104.5,105.75,276500,105.75
"2007-09-06",106,106.769997,103.220001,105.260002,297100,105.260002
"2007-09-07",103.669998,104,101.010002,101.690002,287400,101.690002
"2007-09-10",101.550003,103,99.25,100.540001,233300,100.540001
"2007-09-11",102.089996,103.75,101.889999,103.629997,360500,103.629997
