"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2014-10-30",106.959999,107.349998,105.900002,106.980003,40654800,98.164513
"2014-10-31",108.010002,108.040001,107.209999,108,44639300,99.100471
"2014-11-03",108.220001,110.300003,108.010002,109.400002,52282600,100.385109
"2014-11-04",109.360001,109.489998,107.720001,108.599998,41574400,99.651047
"2014-11-05",109.099998,109.300003,108.129997,108.860001,37435900,99.889618
"2014-11-06",108.599998,108.790001,107.800003,108.699997,34968500,100.175293
"2014-11-07",108.75,109.32,108.550003,109.010002,33691500,100.460983
"2014-11-10",109.019997,109.330002,108.669998,108.830002,27195500,100.295105
"2014-11-11",108.699997,109.75,108.400002,109.699997,27442300,101.09687
"2014-11-12",109.379997,111.43,109.370003,111.25,46942400,102.525322
"2014-11-13",111.800003,113.449997,111.599998,112.82,59522900,103.972198
"2014-11-14",113.150002,114.190002,111.209999,114.18,44063600,105.22554
"2014-11-17",114.269997,117.279999,113.300003,113.989998,46746700,105.05043
"2014-11-18",113.940002,115.690002,113.889999,115.470001,44224000,106.414368
"2014-11-19",115.440002,115.739998,113.800003,114.669998,41869200,105.677094
"2014-11-20",114.910004,116.860001,114.849998,116.309998,43395500,107.188477
"2014-11-21",117.510002,117.57,116.029999,116.470001,57179300,107.335945
"2014-11-24",116.849998,118.769997,116.620003,118.629997,47450800,109.326523
"2014-11-25",119.07,119.75,117.449997,117.599998,68840400,108.377327
"2014-11-26",117.940002,119.099998,117.830002,119,40768300,109.667534
"2014-11-28",119.269997,119.400002,118.050003,118.93,24814400,109.603027
"2014-12-01",118.809998,119.25,111.269997,115.07,83814000,106.045738
"2014-12-02",113.5,115.75,112.75,114.629997,59348900,105.640228
"2014-12-03",115.75,116.349998,115.110001,115.93,43063400,106.838287
"2014-12-04",115.769997,117.199997,115.290001,115.489998,42044500,106.432808
"2014-12-05",115.989998,116.080002,114.639999,115,38318900,105.981209
"2014-12-08",114.099998,114.650002,111.620003,112.400002,57664900,103.585136
"2014-12-09",110.190002,114.300003,109.349998,114.120003,60208000,105.170227
"2014-12-10",114.410004,114.849998,111.540001,111.949997,44565300,103.170418
"2014-12-11",112.260002,113.800003,111.339996,111.620003,41401700,102.866295
"2014-12-12",110.459999,111.870003,109.580002,109.730003,56028100,101.124519
"2014-12-15",110.699997,111.599998,106.349998,108.230003,67218100,99.742172
"2014-12-16",106.370003,110.160004,106.260002,106.75,60790700,98.378212
"2014-12-17",107.120003,109.839996,106.82,109.410004,53411800,100.82962
"2014-12-18",111.870003,112.650002,110.660004,112.650002,59006200,103.815514
"2014-12-19",112.260002,113.239998,111.660004,111.779999,88429800,103.013756
"2014-12-22",112.160004,113.489998,111.970001,112.940002,45167500,104.082771
"2014-12-23",113.230003,113.330002,112.459999,112.540001,26028400,103.714149
"2014-12-24",112.580002,112.709999,112.010002,112.010002,14479600,103.225708
"2014-12-26",112.099998,114.519997,112.010002,113.989998,33721000,105.05043
"2014-12-29",113.790001,114.769997,113.699997,113.910004,27598900,104.97673
"2014-12-30",113.639999,113.919998,112.110001,112.519997,29881500,103.695717
"2014-12-31",112.82,113.129997,110.209999,110.379997,41403400,101.723541
"2015-01-02",111.389999,111.440002,107.349998,109.330002,53204600,100.755898
"2015-01-05",108.290001,108.650002,105.410004,106.25,64285500,97.917427
"2015-01-06",106.540001,107.43,104.629997,106.260002,65797100,97.926666
"2015-01-07",107.199997,108.199997,106.699997,107.75,40105900,99.299805
"2015-01-08",109.230003,112.150002,108.699997,111.889999,59364500,103.115128
"2015-01-09",112.669998,113.25,110.209999,112.010002,53699500,103.225708
"2015-01-12",112.599998,112.629997,108.800003,109.25,49650800,100.682159
"2015-01-13",111.43,112.800003,108.910004,110.220001,67091900,101.57608
"2015-01-14",109.040001,110.489998,108.5,109.800003,48956600,101.189041
"2015-01-15",110,110.059998,106.660004,106.82,60014000,98.442726
"2015-01-16",107.029999,107.580002,105.199997,105.989998,78513300,97.677811
"2015-01-20",107.839996,108.970001,106.5,108.720001,49899900,100.193726
"2015-01-21",108.949997,111.059998,108.269997,109.550003,48575900,100.958649
"2015-01-22",110.260002,112.470001,109.720001,112.400002,53796400,103.585136
"2015-01-23",112.300003,113.75,111.529999,112.980003,46464800,104.119629
"2015-01-26",113.739998,114.360001,112.800003,113.099998,55615000,104.230232
"2015-01-27",112.419998,112.480003,109.029999,109.139999,95568700,100.580803
"2015-01-28",117.629997,118.120003,115.309998,115.309998,146477100,106.266914
"2015-01-29",116.32,119.190002,115.559998,118.900002,84436400,109.575378
