"","EQT.Open","EQT.High","EQT.Low","EQT.Close","EQT.Volume","EQT.Adjusted"
"2014-11-06",52.700054,54.354927,52.231899,54.300491,5641000,53.048096
"2014-11-07",54.142624,54.790421,53.396843,53.696243,4079900,52.457787
"2014-11-10",53.897659,54.42025,51.834515,52.144802,3422800,50.942127
"2014-11-11",51.959717,52.656506,51.507893,52.416985,2263100,51.208042
"2014-11-12",51.66576,52.17202,51.186718,51.306477,2280800,50.151848
"2014-11-13",51.034294,51.371803,49.401199,49.85302,3672500,48.731094
"2014-11-14",49.956451,50.816547,49.711487,50.626022,2166100,49.486694
"2014-11-17",50.479042,51.132282,50.136093,50.658684,2898400,49.518627
"2014-11-18",50.408276,51.328251,49.684269,50.941753,3546800,49.795322
"2014-11-19",51.252041,52.449646,50.93631,52.226456,3990300,51.051113
"2014-11-20",52.02504,53.445835,51.94883,52.39521,2742600,51.216068
"2014-11-21",53.195427,53.347851,51.38269,51.725639,3270700,50.561569
"2014-11-24",51.497005,51.790962,50.832878,51.464344,2842000,50.306152
"2014-11-25",51.513336,51.81818,50.468155,50.892761,2888400,49.747437
"2014-11-26",50.794773,50.941753,50.201416,50.326618,2197400,49.194031
"2014-11-28",48.693523,50.865543,47.991291,49.526402,3049700,48.411819
"2014-12-01",48.998367,49.907459,48.524769,49.798584,2828200,48.677879
"2014-12-02",49.069134,49.711487,48.546543,48.584648,4004600,47.491268
"2014-12-03",49.047359,49.433861,48.796951,49.025585,2639000,47.922279
"2014-12-04",48.46489,48.916714,47.408817,47.414261,3209200,46.347218
"2014-12-05",47.419704,47.817093,46.222103,47.430592,3545500,46.363194
"2014-12-08",44.34404,46.586826,43.516602,43.832336,5876700,42.845901
"2014-12-09",43.756123,44.425694,42.787151,43.40773,4083600,42.430855
"2014-12-10",43.658138,43.658138,42.063145,42.188351,3051400,41.238918
"2014-12-11",42.221012,44.006531,42.117584,42.640175,3496900,41.680569
"2014-12-12",42.45509,43.712574,42.155689,43.026672,2981200,42.058369
"2014-12-15",43.478497,44.071857,42.340775,42.438759,2993500,41.483688
"2014-12-16",41.785519,44.425694,41.654873,42.253674,2703800,41.302765
"2014-12-17",42.498638,44.022861,42.406097,43.505714,3218400,42.52663
"2014-12-18",44.523682,44.921066,43.119217,44.910179,3844800,43.89949
"2014-12-19",45.547089,45.590637,42.465977,43.870441,6387200,42.883144
"2014-12-22",43.140991,43.200871,41.682091,42.270004,4749500,41.318722
"2014-12-23",42.607513,42.934132,42.226456,42.683723,2552100,41.723141
"2014-12-24",42.416985,42.607513,41.87262,42.155689,983500,41.206989
"2014-12-26",42.39521,42.67828,41.023407,41.295589,2849700,40.366245
"2014-12-29",41.513336,42.117584,41.420795,41.763744,2237000,40.823868
"2014-12-30",41.578659,42.346218,40.870987,41.034294,2321000,40.110828
"2014-12-31",40.887318,41.937943,40.484486,41.208492,1842500,40.281109
"2015-01-02",41.4589,42.705498,40.974415,42.199238,4219000,41.249554
"2015-01-05",42.199238,42.199238,39.814915,39.945564,3342700,39.046604
"2015-01-06",39.863907,40.402832,39.243332,39.488297,3724300,38.599628
"2015-01-07",39.945564,40.255852,39.237888,39.542732,2507300,38.652832
"2015-01-08",39.787697,41.317364,39.444748,41.126839,2774200,40.201298
"2015-01-09",41.099621,41.671204,40.685902,41.415352,2434900,40.483315
"2015-01-12",40.794773,40.794773,39.384865,39.515514,2578700,38.626225
"2015-01-13",39.706043,40.288513,39.118126,39.537289,1688500,38.647518
"2015-01-14",39.281437,39.961895,38.829613,39.858463,2565900,38.961464
"2015-01-15",40.560696,40.571583,39.433861,39.482853,2340800,38.594307
"2015-01-16",39.56995,41.241154,39.56995,41.148613,2048000,40.222584
"2015-01-20",40.179642,40.566139,39.575394,40.315731,2504300,39.408436
"2015-01-21",40.772999,41.916168,40.391945,41.780075,2664700,40.839832
"2015-01-22",41.916168,42.302666,40.397388,41.295589,2492200,40.366245
"2015-01-23",41.279259,41.643986,40.827435,40.8601,1299100,39.940559
"2015-01-26",40.827435,41.545998,40.43005,41.072399,1520600,40.148079
"2015-01-27",40.952641,41.58955,40.468155,40.898205,1711300,39.977806
"2015-01-28",40.528034,41.028851,39.689713,40.103428,3119000,39.200909
"2015-01-29",40.326618,40.658684,38.971149,40.13065,2305800,39.227516
"2015-01-30",39.673382,41.01252,39.19434,40.522591,2574100,39.610645
"2015-02-02",41.072399,41.404465,40.119759,41.137726,2422600,40.211937
"2015-02-03",41.780075,42.231899,40.968971,41.839958,3266100,40.898365
"2015-02-04",41.08873,41.676647,40.005444,40.555252,4820400,39.64257
"2015-02-05",41.328251,43.451279,41.328251,42.128471,5401600,41.180378
"2015-02-06",42.912357,43.195427,41.899837,42.972237,4485500,42.005161
"2015-02-09",43.004898,43.832336,42.830704,43.511158,5107000,42.531956
"2015-02-10",43.532932,44.768646,42.776264,44.583561,4760400,43.580219
"2015-02-11",43.826893,45.133369,43.375069,44.523682,3807100,43.550991
