"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"2001-08-09",1.69,1.7525,1.689583,1.75125,1188000,1.70113
"2001-08-10",1.74875,1.87,1.725417,1.815833,3026400,1.763865
"2001-08-13",1.845833,1.851667,1.800833,1.8125,1149600,1.760627
"2001-08-14",1.806667,1.8525,1.802083,1.84375,592800,1.790983
"2001-08-15",1.8325,1.854167,1.7225,1.733333,993600,1.683726
"2001-08-16",1.725,1.738333,1.683333,1.71125,1756800,1.662275
"2001-08-17",1.70875,1.743333,1.7,1.71875,1008000,1.66956
"2001-08-20",1.72875,1.75375,1.696667,1.729167,984000,1.679678
"2001-08-21",1.741667,1.7475,1.701667,1.7125,2647200,1.663489
"2001-08-22",1.708333,1.728333,1.691667,1.71875,2347200,1.66956
"2001-08-23",1.754167,1.765833,1.725,1.725,1293600,1.675631
"2001-08-24",1.740417,1.758333,1.723333,1.737917,912000,1.688178
"2001-08-27",1.745833,1.770417,1.722917,1.723333,1677600,1.674012
"2001-08-28",1.725,1.756667,1.723333,1.745417,1716000,1.695464
"2001-08-29",1.725,1.75,1.725,1.735833,475200,1.686154
"2001-08-30",1.735833,1.740417,1.705,1.73,796800,1.680488
"2001-08-31",1.743333,1.770417,1.718333,1.762083,1418400,1.711653
"2001-09-04",1.762083,1.762083,1.727917,1.735833,1010400,1.686154
"2001-09-05",1.7375,1.749167,1.709583,1.729167,10819200,1.679678
"2001-09-06",1.708333,1.71,1.682917,1.7,2824800,1.651347
"2001-09-07",1.677083,1.6775,1.483333,1.55375,5220000,1.509282
"2001-09-10",1.54125,1.603333,1.471667,1.55625,3266400,1.511711
"2001-09-17",1.5425,1.551667,1.368333,1.3725,3492000,1.33322
"2001-09-18",1.387083,1.389167,1.279583,1.290833,4804800,1.253891
"2001-09-19",1.277917,1.282917,1.184583,1.248333,3180000,1.212607
"2001-09-20",1.197917,1.197917,0.949167,0.949167,10615200,0.922002
"2001-09-21",0.949583,0.949583,0.760417,0.9225,10922400,0.896098
"2001-09-24",0.933333,0.977083,0.8375,0.9375,6252000,0.910669
"2001-09-25",0.95625,0.957917,0.879167,0.916667,1663200,0.890432
"2001-09-26",0.9375,0.9375,0.856667,0.89875,3554400,0.873028
"2001-09-27",0.864583,0.892917,0.830417,0.8725,3806400,0.847529
"2001-09-28",0.8725,0.960833,0.862917,0.933333,1807200,0.906622
"2001-10-01",0.9375,0.9375,0.86375,0.865833,1996800,0.841053
"2001-10-02",0.874583,0.885417,0.8375,0.854167,1504800,0.829721
"2001-10-03",0.845833,0.875,0.795417,0.851667,6804000,0.827292
"2001-10-04",0.877083,1.064167,0.877083,0.95625,7281600,0.928883
"2001-10-05",0.955833,0.965,0.88,0.951667,2016000,0.92443
"2001-10-08",0.85,0.9,0.814583,0.833333,4668000,0.809484
"2001-10-09",0.812083,0.8625,0.7375,0.845833,4744800,0.821626
"2001-10-10",0.854583,0.920417,0.797083,0.875,4080000,0.849958
"2001-10-11",0.904167,1.038333,0.904167,1.038333,5935200,1.008617
"2001-10-12",1.07625,1.079583,0.987083,1.000417,4968000,0.971785
"2001-10-15",0.98875,1.005833,0.973333,1,1876800,0.97138
"2001-10-16",1.041667,1.158333,1.037917,1.11875,6765600,1.086732
"2001-10-17",1.160417,1.238333,1.16,1.1925,9252000,1.158371
"2001-10-18",1.1975,1.1975,1.065417,1.139167,2966400,1.106564
"2001-10-19",1.125,1.135,1.072917,1.1225,2040000,1.090375
"2001-10-22",1.124167,1.164583,1.108333,1.147917,796800,1.115064
"2001-10-23",1.165417,1.1875,1.15375,1.169167,1792800,1.135705
"2001-10-24",1.183333,1.199583,1.154167,1.166667,1087200,1.133277
"2001-10-25",1.154167,1.164583,1.117083,1.14625,1447200,1.113445
"2001-10-26",1.165,1.3225,1.145417,1.295,3312000,1.257938
"2001-10-29",1.304167,1.316667,1.256667,1.288333,3405600,1.251462
"2001-10-30",1.278333,1.284583,1.131667,1.166667,5301600,1.133277
"2001-10-31",1.165833,1.233333,1.135417,1.175833,1317600,1.142182
"2001-11-01",1.17625,1.19375,1.162917,1.191667,823200,1.157562
"2001-11-02",1.183333,1.1925,1.166667,1.170833,746400,1.137325
"2001-11-05",1.174583,1.1875,1.100833,1.17875,1497600,1.145015
"2001-11-06",1.166667,1.229167,1.166667,1.214583,3086400,1.179822
"2001-11-07",1.224167,1.291667,1.208333,1.244167,2212800,1.208559
"2001-11-08",1.254167,1.267083,1.210833,1.253333,1934400,1.217463
"2001-11-09",1.2525,1.2875,1.227917,1.25625,1675200,1.220297
"2001-11-12",1.236667,1.2625,1.148333,1.237917,1255200,1.202488
"2001-11-13",1.26875,1.29,1.258333,1.29,1831200,1.253081
"2001-11-14",1.29,1.333333,1.254583,1.277083,1996800,1.240534
"2001-11-15",1.2625,1.402083,1.249583,1.39625,2083200,1.35629
"2001-11-16",1.4025,1.419167,1.312917,1.35375,1190400,1.315006
"2001-11-19",1.369167,1.410417,1.3375,1.391667,1111200,1.351838
"2001-11-20",1.40625,1.410417,1.333333,1.35375,919200,1.315006
"2001-11-21",1.3375,1.375,1.323333,1.367083,547200,1.327958
"2001-11-23",1.374167,1.410833,1.349167,1.355417,542400,1.316625
"2001-11-26",1.3775,1.41125,1.342083,1.372917,1060800,1.333624
"2001-11-27",1.425,1.459583,1.402083,1.435833,1293600,1.39474
"2001-11-28",1.4475,1.462917,1.4,1.4,981600,1.359933
"2001-11-29",1.405833,1.414167,1.383333,1.395833,1116000,1.355885
"2001-11-30",1.3875,1.415833,1.315833,1.33375,2575200,1.295579
"2001-12-03",1.34125,1.397917,1.335417,1.3625,3513600,1.323506
"2001-12-04",1.384167,1.445417,1.367917,1.4425,859200,1.401216
"2001-12-05",1.45,1.64875,1.438333,1.644167,6388800,1.597111
"2001-12-06",1.622917,1.7025,1.61875,1.665417,3194400,1.617753
"2001-12-07",1.686667,1.686667,1.6025,1.652083,1219200,1.604801
"2001-12-10",1.66625,1.666667,1.620833,1.623333,1560000,1.576874
"2001-12-11",1.64,1.666667,1.621667,1.655833,933600,1.608444
"2001-12-12",1.625417,1.666667,1.614583,1.625833,1233600,1.579303
"2001-12-13",1.615,1.65625,1.550417,1.655833,1704000,1.608444
"2001-12-14",1.62625,1.649583,1.572917,1.627917,1958400,1.581326
"2001-12-17",1.64375,1.65,1.60375,1.647917,1572000,1.600754
"2001-12-18",1.65,1.68875,1.622917,1.68875,1744800,1.640419
"2001-12-19",1.6875,1.735417,1.658333,1.729167,3926400,1.679678
"2001-12-20",1.714583,1.78,1.702917,1.750417,4044000,1.70032
"2001-12-21",1.775417,1.814583,1.737917,1.814583,3465600,1.762651
"2001-12-24",1.7825,1.869583,1.7825,1.859583,1468800,1.806363
"2001-12-26",1.870833,1.887917,1.806667,1.879167,2767200,1.825386
"2001-12-27",1.860833,1.883333,1.814583,1.835417,4173600,1.782888
"2001-12-28",1.813333,1.833333,1.7375,1.789167,2896800,1.737962
"2001-12-31",1.762917,1.78375,1.670833,1.7075,3789600,1.658632
"2002-01-02",1.705,1.716667,1.597917,1.598333,3350400,1.55259
"2002-01-03",1.60625,1.656667,1.566667,1.637083,5721600,1.590231
"2002-01-04",1.655,1.697917,1.545833,1.635417,7536000,1.588611
"2002-01-07",1.675833,1.737917,1.570833,1.571667,4495200,1.526686
"2002-01-08",1.57125,1.670833,1.57,1.616667,9792000,1.570398
"2002-01-09",1.634583,1.654167,1.583333,1.589583,7056000,1.54409
"2002-01-10",1.58375,1.62625,1.520833,1.528333,4905600,1.484593
"2002-01-11",1.529583,1.579167,1.510417,1.5625,2304000,1.517782
"2002-01-14",1.538333,1.582917,1.53125,1.582917,1946400,1.537614
"2002-01-15",1.58625,1.641667,1.525833,1.55125,1226400,1.506854
"2002-01-16",1.55375,1.5625,1.500833,1.5375,1670400,1.493497
"2002-01-17",1.541667,1.572917,1.54125,1.570833,758400,1.525877
"2002-01-18",1.541667,1.5625,1.46125,1.485,1752000,1.4425
"2002-01-22",1.490417,1.51625,1.454583,1.495833,5659200,1.453023
"2002-01-23",1.5,1.522083,1.4675,1.498333,2145600,1.455452
"2002-01-24",1.5,1.56375,1.4875,1.520833,686400,1.477308
"2002-01-25",1.524167,1.54625,1.497917,1.541667,1116000,1.497545
"2002-01-28",1.537917,1.602083,1.535417,1.541667,1732800,1.497545
"2002-01-29",1.56,1.567083,1.358333,1.40625,7029600,1.366004
"2002-01-30",1.385833,1.445417,1.352083,1.433333,4502400,1.392312
"2002-01-31",1.4625,1.541667,1.4625,1.529583,3482400,1.485807
"2002-02-01",1.533333,1.541667,1.504167,1.540833,1843200,1.496735
"2002-02-04",1.502083,1.541667,1.4375,1.44,1903200,1.398788
"2002-02-05",1.483333,1.51875,1.447917,1.470833,1855200,1.428739
"2002-02-06",1.483333,1.483333,1.404167,1.409583,1956000,1.369242
"2002-02-07",1.40875,1.4375,1.347917,1.375417,2628000,1.336053
"2002-02-08",1.375417,1.461667,1.375,1.444583,1260000,1.40324
"2002-02-11",1.446667,1.45,1.394167,1.4075,914400,1.367218
"2002-02-12",1.4,1.44125,1.396667,1.422083,2116800,1.381384
"2002-02-13",1.429167,1.482083,1.429167,1.480833,1723200,1.438452
"2002-02-14",1.462083,1.504167,1.454167,1.4575,1370400,1.415787
"2002-02-15",1.457917,1.46875,1.408333,1.458333,2649600,1.416597
"2002-02-19",1.448333,1.468333,1.420833,1.450833,1826400,1.409311
"2002-02-20",1.44,1.473333,1.41875,1.458333,1759200,1.416597
"2002-02-21",1.439583,1.475,1.41875,1.4575,1461600,1.415787
"2002-02-22",1.445833,1.469167,1.441667,1.44875,2515200,1.407287
"2002-02-25",1.4375,1.475,1.4375,1.458333,1272000,1.416597
"2002-02-26",1.470417,1.48875,1.45125,1.465,794400,1.423072
"2002-02-27",1.470833,1.531667,1.470833,1.516667,756000,1.47326
"2002-02-28",1.520833,1.543333,1.460833,1.4775,1219200,1.435215
"2002-03-01",1.485833,1.515,1.475,1.5,1401600,1.457071
"2002-03-04",1.478333,1.614583,1.478333,1.61,2174400,1.563923
"2002-03-05",1.577083,1.61,1.570833,1.587917,1984800,1.542471
"2002-03-06",1.59375,1.603333,1.562083,1.595833,1382400,1.550161
"2002-03-07",1.60375,1.609583,1.545,1.57625,1106400,1.531138
"2002-03-08",1.58,1.582917,1.539167,1.578333,1173600,1.533162
"2002-03-11",1.572917,1.5975,1.517083,1.586667,835200,1.541257
"2002-03-12",1.57875,1.602083,1.564167,1.59375,681600,1.548137
"2002-03-13",1.59375,1.59375,1.522917,1.55,571200,1.50564
"2002-03-14",1.575833,1.6775,1.567083,1.657917,3050400,1.610468
"2002-03-15",1.669167,1.722083,1.658333,1.6725,3417600,1.624634
"2002-03-18",1.679167,1.683333,1.645833,1.662917,876000,1.615325
"2002-03-19",1.674167,1.6875,1.656667,1.684167,1176000,1.635967
"2002-03-20",1.68625,1.721667,1.666667,1.721667,1881600,1.672393
"2002-03-21",1.708333,1.72375,1.7,1.715833,1927200,1.666727
"2002-03-22",1.704583,1.732083,1.704167,1.732083,1639200,1.682512
"2002-03-25",1.719167,1.725,1.70125,1.704167,1039200,1.655394
"2002-03-26",1.702083,1.722083,1.670833,1.714167,1363200,1.665108
"2002-03-27",1.715417,1.765417,1.69375,1.739583,897600,1.689797
"2002-03-28",1.750417,1.76875,1.748333,1.754167,1140000,1.703963
"2002-04-01",1.760417,1.773333,1.729167,1.745417,1125600,1.695464
"2002-04-02",1.7325,1.754583,1.722917,1.735833,1099200,1.686154
"2002-04-03",1.731667,1.765833,1.73125,1.73875,880800,1.688988
"2002-04-04",1.746667,1.77,1.625,1.759167,4255200,1.70882
"2002-04-05",1.749167,1.749167,1.68125,1.6925,1312800,1.644061
"2002-04-08",1.675,1.702083,1.66875,1.69375,3996000,1.645275
"2002-04-09",1.702083,1.727917,1.600417,1.61625,3192000,1.569994
"2002-04-10",1.608333,1.641667,1.583333,1.612917,1824000,1.566756
"2002-04-11",1.59375,1.61125,1.56375,1.57125,1010400,1.526281
"2002-04-12",1.564583,1.603333,1.564583,1.603333,1101600,1.557447
"2002-04-15",1.609167,1.68125,1.583333,1.5875,3072000,1.542066
"2002-04-16",1.623333,1.8625,1.623333,1.847083,8335200,1.794221
"2002-04-17",1.873333,1.98,1.858333,1.935417,8092800,1.880026
"2002-04-18",1.947917,1.995833,1.877083,1.983333,3645600,1.926571
"2002-04-19",1.93125,1.954167,1.84375,1.927083,5220000,1.871931
"2002-04-22",1.8875,1.891667,1.852083,1.883333,2791200,1.829433
"2002-04-23",1.879167,1.91875,1.875,1.916667,2596800,1.861812
"2002-04-24",1.890833,1.935,1.879167,1.883333,2740800,1.829433
"2002-04-25",1.879167,1.94625,1.824583,1.94,2272800,1.884478
"2002-04-26",1.947917,1.958333,1.901667,1.905,1233600,1.85048
"2002-04-29",1.91,1.922083,1.871667,1.8925,1363200,1.838338
"2002-04-30",1.907917,2.004167,1.890833,1.958333,4024800,1.902287
"2002-05-01",1.949583,1.9625,1.90125,1.958333,1231200,1.902287
"2002-05-02",1.947083,1.958333,1.8875,1.891667,1058400,1.837528
"2002-05-03",1.89125,1.96625,1.8825,1.958333,3763200,1.902287
"2002-05-06",1.950417,2.020833,1.9375,2,2988000,1.942761
"2002-05-07",2.004167,2.0175,1.937917,1.960833,2750400,1.904715
"2002-05-08",1.979167,2.04375,1.975417,2.041667,2114400,1.983235
"2002-05-09",2.03125,2.05625,2.012083,2.032083,957600,1.973926
"2002-05-10",2.047917,2.075,2.025417,2.04125,3072000,1.982831
"2002-05-13",2.037917,2.185417,2.0325,2.161667,4857600,2.099801
"2002-05-14",2.153333,2.21875,2.147917,2.195833,6775200,2.13299
"2002-05-15",2.19625,2.3125,2.135,2.187917,5272800,2.125299
"2002-05-16",2.1875,2.2625,2.15625,2.188333,4005600,2.125704
"2002-05-17",2.190833,2.279167,2.190833,2.25125,6648000,2.18682
"2002-05-20",2.269167,2.27625,2.233333,2.259167,2282400,2.19451
"2002-05-21",2.260417,2.260417,2.150417,2.172917,6530400,2.110729
"2002-05-22",2.151667,2.166667,2.10875,2.155417,7790400,2.093729
"2002-05-23",2.157917,2.2,2.127083,2.1875,2894400,2.124895
"2002-05-24",2.18125,2.210417,2.16875,2.205833,1257600,2.142704
"2002-05-28",2.235417,2.245833,2.177083,2.20875,3160800,2.145537
"2002-05-29",2.195833,2.2125,2.179167,2.208333,2472000,2.145132
"2002-05-30",2.1875,2.20375,2.15,2.20375,4852800,2.140679
"2002-05-31",2.203333,2.204167,2.02625,2.032083,13852800,1.973926
"2002-06-03",2.005417,2.005417,1.679167,1.690417,20695200,1.642038
"2002-06-04",1.729583,1.853333,1.717083,1.849167,16351200,1.796244
"2002-06-05",1.849583,1.916667,1.827083,1.894583,5248800,1.840361
"2002-06-06",1.884167,1.915833,1.84375,1.879167,2640000,1.825386
"2002-06-07",1.840833,1.91,1.8125,1.885833,3525600,1.831862
"2002-06-10",1.9,1.95,1.888333,1.924583,2930400,1.869503
"2002-06-11",1.95,1.954167,1.846667,1.854167,2760000,1.801101
"2002-06-12",1.858333,1.891667,1.804167,1.877083,6571200,1.823362
"2002-06-13",1.895,2.102917,1.889583,2.037917,10716000,1.979593
"2002-06-14",2.0025,2.079583,1.965,2.079583,7896000,2.020066
"2002-06-17",2.083333,2.123333,2.074167,2.1,4483200,2.039898
"2002-06-18",2.09,2.1625,2.09,2.125,5944800,2.064184
"2002-06-19",2.09875,2.122083,2.014583,2.018333,3744000,1.96057
"2002-06-20",2.030833,2.060417,2.007083,2.025833,2071200,1.967855
"2002-06-21",2.04625,2.052083,1.997917,2.040417,2246400,1.982021
"2002-06-24",2.020417,2.094167,2.020417,2.059167,7250400,2.000235
"2002-06-25",2.05875,2.08,1.969167,2.017083,3643200,1.959355
"2002-06-26",2.002083,2.104167,1.9425,2.07875,4651200,2.019257
"2002-06-27",2.079167,2.175,2.077083,2.150417,5126400,2.088872
"2002-06-28",2.185,2.25,2.157083,2.239583,4759200,2.175488
"2002-07-01",2.21625,2.216667,2.114583,2.15625,7538400,2.094539
"2002-07-02",2.114583,2.133333,2.0525,2.081667,5479200,2.02209
"2002-07-03",2.069167,2.133333,2.067083,2.093333,4761600,2.033422
"2002-07-05",2.085417,2.172917,2.085417,2.13125,3760800,2.070254
"2002-07-08",2.1125,2.189583,2.1125,2.170833,3237600,2.108705
"2002-07-09",2.142083,2.164583,2.095833,2.1125,2361600,2.052041
"2002-07-10",2.116667,2.141667,1.9925,2.019583,6158400,1.961784
"2002-07-11",2,2.091667,1.97875,2.065833,4831200,2.00671
"2002-07-12",2.09375,2.227917,2.055417,2.11875,9348000,2.058112
