"","MAC.Open","MAC.High","MAC.Low","MAC.Close","MAC.Volume","MAC.Adjusted"
"2001-02-22",18.980549,19.073137,18.860186,18.980549,184200,6.327973
"2001-02-23",18.934256,19.184244,18.887962,18.934256,88400,6.312538
"2001-02-26",18.980549,19.258314,18.980549,19.258314,203400,6.420576
"2001-02-27",19.258314,19.350903,19.258314,19.267572,100200,6.423664
"2001-02-28",19.267572,19.267572,19.165726,19.202761,161600,6.402057
"2001-03-01",19.304607,19.350903,19.184244,19.212019,48200,6.40514
"2001-03-02",19.212019,19.443489,19.212019,19.304607,66100,6.43601
"2001-03-05",19.313868,19.517561,19.295349,19.304607,64400,6.43601
"2001-03-06",19.443489,19.526819,19.313868,19.350903,120500,6.451445
"2001-03-07",19.443489,19.554596,19.360161,19.443489,136300,6.482316
"2001-03-08",19.304607,19.489784,19.304607,19.443489,75600,6.482316
"2001-03-09",19.397196,19.434231,19.249056,19.304607,81900,6.43601
"2001-03-12",19.350903,19.499043,18.980549,19.119432,141100,6.374274
"2001-03-13",19.165726,19.258314,19.165726,19.249056,35100,6.417491
"2001-03-14",19.091656,19.304607,19.073137,19.119432,42900,6.374274
"2001-03-15",19.119432,19.258314,18.989809,19.073137,77800,6.358838
"2001-03-16",19.258314,19.295349,19.165726,19.258314,86100,6.420576
"2001-03-19",19.286091,19.415714,19.212019,19.360161,84600,6.454533
"2001-03-20",19.360161,19.517561,19.350903,19.443489,63700,6.482316
"2001-03-21",19.443489,19.517561,19.443489,19.452749,118500,6.485398
"2001-03-22",19.582373,19.582373,19.286091,19.554596,581400,6.519355
"2001-03-23",19.489784,19.758289,19.489784,19.693478,137500,6.56566
"2001-03-26",19.813843,19.961983,19.545338,19.961983,72500,6.655174
"2001-03-27",19.961983,19.961983,19.841618,19.952724,61000,6.652087
"2001-03-28",19.397196,19.795324,19.397196,19.786066,69800,6.596525
"2001-03-29",19.832359,20.230488,19.776808,19.813843,65300,6.605785
"2001-03-30",19.860136,20.323076,19.860136,20.323076,64000,6.775563
"2001-04-02",20.323076,20.36937,20.156418,20.36937,32300,6.790997
"2001-04-03",20.230488,20.230488,19.702736,19.767548,91800,6.590353
"2001-04-04",19.628666,19.813843,19.582373,19.730513,91400,6.578004
"2001-04-05",19.767548,20.045313,19.767548,20.045313,91600,6.682954
"2001-04-06",19.999018,19.999018,19.693478,19.813843,138000,6.605785
"2001-04-09",19.767548,19.943466,19.767548,19.897171,284100,6.63357
"2001-04-10",19.860136,20.230488,19.860136,20.091606,108500,6.698389
"2001-04-11",20.045313,20.110125,19.832359,19.841618,372200,6.615047
"2001-04-12",19.906429,20.258265,19.860136,20.091606,142400,6.698389
"2001-04-16",20.230488,20.545288,20.128641,20.415665,156500,6.806431
"2001-04-17",20.415665,20.665651,20.415665,20.52677,114500,6.843473
"2001-04-18",20.36937,21.156368,20.230488,20.693428,143800,6.899032
"2001-04-19",20.647135,20.647135,20.387888,20.554546,336200,6.852731
"2001-04-20",20.563805,20.702688,20.406406,20.647135,126100,6.883598
"2001-04-23",20.508253,20.68417,20.508253,20.674911,83500,6.892859
"2001-04-24",20.554546,20.739723,20.554546,20.563805,83400,6.855816
"2001-04-25",20.647135,20.786016,20.554546,20.647135,101800,6.883598
"2001-04-26",20.60084,20.924898,20.60084,20.75824,41700,6.920642
"2001-04-27",20.739723,21.082298,20.721205,21.082298,20600,7.02868
"2001-04-30",21.110075,21.341545,20.83231,20.83231,101500,6.945334
"2001-05-01",20.84157,21.110075,20.84157,21.110075,90800,7.03794
"2001-05-02",20.924898,21.054522,20.83231,20.869347,72800,6.957683
"2001-05-03",20.813793,21.054522,20.813793,20.897121,93100,6.966948
"2001-05-04",20.971193,21.30451,20.924898,21.258215,110100,7.087328
"2001-05-07",21.202663,21.22118,20.99897,21.091557,44300,7.031768
"2001-05-08",21.091557,21.156368,20.952675,21.137852,62600,7.0472
"2001-05-09",21.14711,21.14711,20.980452,20.980452,36000,6.994722
"2001-05-10",20.971193,21.054522,20.739723,20.786016,66900,6.929903
"2001-05-11",20.971193,21.017487,20.665651,20.83231,68000,6.945334
"2001-05-14",20.83231,21.045263,20.748981,20.971193,60100,6.991635
"2001-05-15",21.06378,21.29525,20.924898,21.202663,133500,7.068809
"2001-05-16",20.693428,21.415615,20.693428,21.415615,156100,7.322855
"2001-05-17",21.387838,21.480427,21.30451,21.30451,139800,7.284861
"2001-05-18",21.313768,21.573015,21.313768,21.369322,162900,7.307022
"2001-05-21",21.341545,21.517462,21.258215,21.443392,68200,7.332355
"2001-05-22",21.443392,21.69338,21.360062,21.582273,326200,7.37984
"2001-05-23",21.619308,21.758192,21.573015,21.68412,263200,7.414667
"2001-05-24",21.52672,21.850779,21.06378,21.804485,154100,7.455823
"2001-05-25",21.711897,21.878555,21.387838,21.619308,93900,7.392501
"2001-05-29",21.711897,21.711897,21.471169,21.53598,85400,7.36401
"2001-05-30",21.665604,21.665604,21.29525,21.313768,47300,7.28803
"2001-05-31",21.498945,21.860039,21.341545,21.647085,129000,7.402002
"2001-06-01",21.647085,21.68412,21.52672,21.656343,33300,7.405167
"2001-06-04",21.573015,21.850779,21.517462,21.758192,62800,7.439996
"2001-06-05",21.850779,21.906332,21.628569,21.665604,53100,7.408334
"2001-06-06",21.665604,21.665604,21.52672,21.573015,256000,7.376675
"2001-06-07",21.665604,21.739674,21.52672,21.702639,141100,7.420997
"2001-06-08",21.748932,22.017437,21.748932,21.758192,129600,7.439996
"2001-06-11",21.804485,22.128544,21.758192,22.082249,120200,7.550802
"2001-06-12",22.082249,22.119284,21.943367,22.082249,58700,7.550802
"2001-06-13",22.082249,22.221132,22.008179,22.221132,180400,7.598292
"2001-06-14",22.221132,22.221132,21.850779,22.017437,76100,7.528642
"2001-06-15",22.026697,22.267426,22.026697,22.082249,227500,7.550802
"2001-06-18",21.989662,22.276684,21.758192,21.91559,215400,7.493814
"2001-06-19",21.573015,21.989662,21.52672,21.53598,338300,7.36401
"2001-06-20",21.665604,22.174837,21.665604,22.054472,264700,7.541306
"2001-06-21",22.054472,22.128544,21.897074,22.082249,100600,7.550802
"2001-06-22",22.035955,22.14706,21.804485,22.035955,66400,7.53497
"2001-06-25",21.897074,22.221132,21.897074,22.174837,68800,7.582458
"2001-06-26",22.174837,22.600742,22.174837,22.545189,61000,7.709099
"2001-06-27",22.498896,22.535931,22.221132,22.387791,81800,7.655278
"2001-06-28",22.267426,22.554449,22.267426,22.434084,57700,7.671107
"2001-06-29",22.498896,23.035906,22.498896,22.961836,234100,7.851566
"2001-07-02",22.915543,22.915543,22.554449,22.795177,32200,7.79458
"2001-07-03",22.785919,23.202564,22.674812,23.156271,74700,7.918054
"2001-07-05",22.961836,23.221083,22.822954,22.822954,50300,7.804075
"2001-07-06",22.915543,23.054424,22.832212,22.915543,39300,7.83574
"2001-07-09",22.961836,22.961836,22.684072,22.730366,83000,7.772421
"2001-07-10",22.739624,22.850731,22.591484,22.637777,65500,7.74076
"2001-07-11",22.545189,22.647036,22.480377,22.498896,51500,7.693271
"2001-07-12",22.452602,22.684072,22.452602,22.684072,45700,7.756588
"2001-07-13",22.684072,22.813694,22.637777,22.739624,65400,7.775585
"2001-07-16",22.739624,22.869247,22.545189,22.545189,47200,7.709099
"2001-07-17",22.545189,22.776659,22.545189,22.730366,107100,7.772421
"2001-07-18",22.776659,22.869247,22.693331,22.693331,107400,7.759758
"2001-07-19",22.776659,22.869247,22.535931,22.535931,40800,7.705936
"2001-07-20",22.452602,22.785919,22.452602,22.739624,76900,7.775585
"2001-07-23",22.684072,22.684072,22.332237,22.406307,58700,7.661608
"2001-07-24",22.313719,22.554449,22.174837,22.174837,50900,7.582458
"2001-07-25",22.110025,22.295202,22.082249,22.239649,51100,7.604621
"2001-07-26",22.350754,22.387791,22.174837,22.360014,69500,7.645782
"2001-07-27",22.360014,22.563707,22.248907,22.424826,45100,7.667942
"2001-07-30",22.424826,22.424826,22.082249,22.082249,100500,7.550802
"2001-07-31",22.128544,22.406307,22.07299,22.313719,174600,7.629951
"2001-08-01",22.082249,22.165579,22.008179,22.017437,63500,7.528642
"2001-08-02",22.128544,22.193356,22.063732,22.174837,76900,7.582458
"2001-08-03",22.174837,22.360014,22.07299,22.239649,93300,7.604621
"2001-08-06",22.174837,22.221132,22.128544,22.211872,69500,7.595125
"2001-08-07",22.267426,22.591484,22.221132,22.591484,85000,7.72493
"2001-08-08",22.406307,22.647036,22.406307,22.591484,70300,7.72493
"2001-08-09",22.637777,22.730366,22.545189,22.693331,96500,7.759758
"2001-08-10",22.406307,22.776659,22.406307,22.730366,103300,7.772421
"2001-08-13",22.850731,22.850731,22.730366,22.730366,65900,7.772421
"2001-08-14",22.684072,23.193306,22.684072,23.193306,109200,7.930714
"2001-08-15",23.193306,23.378483,23.100718,23.332188,186200,7.978207
"2001-08-16",22.841471,23.008129,22.813694,22.869247,118000,8.00167
"2001-08-17",22.961836,23.128494,22.859989,23.128494,59900,8.092381
"2001-08-20",23.008129,23.147013,23.008129,23.128494,78600,8.092381
"2001-08-21",23.128494,23.526623,23.128494,23.285894,140200,8.147449
"2001-08-22",23.378483,23.443295,23.285894,23.332188,127100,8.163646
"2001-08-23",23.332188,23.471069,23.332188,23.332188,49500,8.163646
"2001-08-24",23.332188,23.387741,23.239599,23.258118,85500,8.13773
"2001-08-27",23.184048,23.517365,23.109976,23.248859,93600,8.134491
"2001-08-28",23.332188,23.424776,23.156271,23.174788,30500,8.108573
"2001-08-29",23.054424,23.313671,23.008129,23.193306,107800,8.115054
"2001-08-30",23.193306,23.359964,23.026648,23.119236,53600,8.089136
"2001-08-31",23.128494,23.295153,22.915543,22.915543,59000,8.017868
"2001-09-04",22.961836,23.165529,22.961836,23.165529,142600,8.105336
"2001-09-05",23.100718,23.239599,23.054424,23.211823,72900,8.12153
"2001-09-06",23.239599,23.239599,22.795177,22.887766,103600,8.008151
"2001-09-07",22.961836,22.961836,22.545189,22.610001,217000,7.910962
"2001-09-10",22.610001,22.619261,22.406307,22.554449,106400,7.891526
"2001-09-17",22.554449,22.554449,20.184195,20.906382,258200,7.314886
"2001-09-18",20.878605,21.471169,20.60084,21.23044,93000,7.428272
"2001-09-19",21.23044,21.387838,20.878605,21.285992,115000,7.447706
"2001-09-20",21.285992,21.285992,20.184195,20.276783,97200,7.094596
"2001-09-21",20.276783,20.443441,19.943466,20.137899,118400,7.046003
"2001-09-24",19.906429,20.276783,19.767548,19.906429,228900,6.965018
"2001-09-25",19.860136,20.4527,19.813843,20.406406,206400,7.139952
"2001-09-26",20.461958,20.795275,20.276783,20.582323,78600,7.201501
"2001-09-27",20.508253,20.60084,20.091606,20.128641,146800,7.042764
"2001-09-28",20.128641,20.7675,20.110125,20.461958,81500,7.159389
"2001-10-01",20.508253,20.647135,20.184195,20.36937,94400,7.126996
"2001-10-02",20.36937,20.60084,20.230488,20.60084,402700,7.207981
"2001-10-03",20.60084,20.693428,20.137899,20.230488,82800,7.078399
"2001-10-04",20.258265,21.14711,20.258265,20.776758,232200,7.269532
"2001-10-05",20.508253,20.924898,20.508253,20.878605,233100,7.305167
"2001-10-08",20.83231,21.017487,20.647135,20.647135,44300,7.224177
"2001-10-09",20.739723,20.924898,20.591581,20.924898,55400,7.321366
"2001-10-10",20.83231,21.313768,20.83231,21.313768,55700,7.457424
"2001-10-11",21.193403,21.989662,21.193403,21.860039,160700,7.648559
"2001-10-12",21.869297,21.897074,21.573015,21.758192,68600,7.612924
"2001-10-15",21.850779,22.360014,21.702639,22.332237,70600,7.813774
"2001-10-16",22.239649,22.332237,22.035955,22.221132,278300,7.7749
"2001-10-17",22.128544,22.322979,22.128544,22.313719,91000,7.807299
"2001-10-18",22.221132,22.221132,21.711897,21.721155,31300,7.599964
"2001-10-19",21.850779,21.897074,21.647085,21.84152,115500,7.642082
"2001-10-22",21.665604,22.128544,21.665604,21.943367,181900,7.677716
"2001-10-23",21.943367,22.267426,21.934109,22.156321,651900,7.752223
"2001-10-24",22.165579,22.221132,21.795227,22.221132,106500,7.7749
"2001-10-25",22.128544,22.221132,21.989662,22.100767,59500,7.73279
"2001-10-26",22.082249,22.128544,21.758192,22.035955,82300,7.710108
"2001-10-29",21.943367,22.313719,21.943367,22.128544,148900,7.742502
"2001-10-30",22.221132,22.221132,21.647085,21.878555,134200,7.655035
"2001-10-31",22.017437,22.498896,22.017437,22.406307,137100,7.839694
"2001-11-01",22.267426,22.637777,22.221132,22.313719,116300,7.807299
"2001-11-02",22.082249,22.267426,22.035955,22.035955,73000,7.710108
"2001-11-05",22.035955,22.406307,22.035955,22.230391,74500,7.778139
"2001-11-06",22.082249,22.656296,22.082249,22.637777,62800,7.920682
"2001-11-07",22.665554,22.730366,22.591484,22.591484,72500,7.904482
"2001-11-08",22.545189,22.684072,22.332237,22.545189,86700,7.888287
"2001-11-09",22.498896,22.591484,22.322979,22.498896,62700,7.872088
"2001-11-12",22.360014,22.498896,22.14706,22.498896,58900,7.872088
"2001-11-13",22.591484,22.943317,22.591484,22.869247,108700,8.00167
"2001-11-14",22.915543,23.230341,22.915543,23.211823,146500,8.12153
"2001-11-15",22.702589,23.239599,22.702589,23.147013,489200,8.295412
"2001-11-16",23.147013,23.239599,22.980352,23.239599,105400,8.328594
"2001-11-19",23.239599,23.369223,23.072941,23.313671,103200,8.355144
"2001-11-20",23.239599,23.359964,23.100718,23.248859,1129500,8.331914
"2001-11-21",23.147013,23.285894,23.082201,23.239599,63600,8.328594
"2001-11-23",23.239599,23.684023,23.193306,23.619211,41900,8.464642
"2001-11-26",23.563658,23.665504,23.563658,23.563658,120100,8.444733
"2001-11-27",23.591434,23.600693,23.350706,23.424776,58900,8.394962
"2001-11-28",23.332188,23.526623,23.221083,23.285894,61700,8.345189
"2001-11-29",23.285894,23.406258,23.202564,23.285894,59700,8.345189
"2001-11-30",23.378483,23.406258,23.147013,23.267376,307500,8.338551
"2001-12-03",23.193306,23.489588,23.147013,23.443295,68400,8.401594
"2001-12-04",23.471069,23.748835,23.471069,23.748835,39100,8.511093
"2001-12-05",23.795128,24.072893,23.702539,24.072893,107900,8.627233
"2001-12-06",23.887716,24.156221,23.841423,23.998821,69300,8.600684
"2001-12-07",23.93401,24.16548,23.93401,24.026598,71100,8.610641
"2001-12-10",23.93401,24.063633,23.702539,23.93401,70800,8.577459
"2001-12-11",23.906235,24.258068,23.906235,24.211775,35600,8.677001
"2001-12-12",24.258068,24.285845,24.211775,24.221033,80200,8.680319
"2001-12-13",24.221033,24.332138,24.211775,24.304363,183700,8.710184
"2001-12-14",24.295103,24.39695,24.211775,24.369175,88600,8.733415
"2001-12-17",24.258068,24.535833,24.258068,24.387691,63700,8.740049
"2001-12-18",24.489538,24.665455,24.211775,24.304363,51200,8.710184
"2001-12-19",24.304363,24.304363,23.93401,23.93401,101800,8.577459
"2001-12-20",24.026598,24.054375,23.656246,23.656246,113800,8.477911
"2001-12-21",23.748835,24.054375,23.656246,24.026598,191700,8.610641
"2001-12-24",24.211775,24.211775,24.045116,24.045116,62400,8.617279
"2001-12-26",24.054375,24.489538,24.054375,24.304363,107400,8.710184
"2001-12-27",24.313622,24.721008,24.221033,24.258068,82100,8.693596
"2001-12-28",24.267326,24.526573,24.267326,24.40621,55200,8.746687
"2001-12-31",24.258068,24.674715,23.915493,24.62842,84200,8.82632
"2002-01-02",24.443245,24.795078,24.072893,24.62842,80000,8.82632
"2002-01-03",24.62842,24.998774,24.62842,24.915443,89700,8.929184
"2002-01-04",24.915443,25.035809,24.62842,24.822855,72800,8.896001
"2002-01-07",24.822855,24.961737,24.591385,24.646938,61700,8.832958
"2002-01-08",24.646938,24.646938,24.341398,24.424726,57400,8.753322
"2002-01-09",24.424726,24.443245,24.295103,24.350657,85700,8.726777
"2002-01-10",24.350657,24.535833,24.267326,24.424726,192600,8.753322
"2002-01-11",24.211775,24.63768,24.211775,24.535833,76800,8.793139
"2002-01-14",24.535833,24.656197,24.424726,24.656197,83700,8.836275
"2002-01-15",24.721008,24.85989,24.63768,24.85989,106800,8.909274
"2002-01-16",24.813597,24.961737,24.582127,24.582127,708900,8.809731
"2002-01-17",24.62842,24.758043,24.545092,24.748785,270200,8.869455
"2002-01-18",24.721008,24.887667,24.71175,24.78582,64900,8.882731
"2002-01-22",24.721008,24.952478,24.721008,24.915443,99900,8.929184
"2002-01-23",24.813597,25.072844,24.813597,25.01729,107800,8.965685
"2002-01-24",25.156172,25.183949,25.072844,25.072844,93200,8.985591
"2002-01-25",25.183949,25.258018,24.887667,24.980255,75400,8.952413
"2002-01-28",24.980255,25.258018,24.970997,25.146914,121600,9.012137
"2002-01-29",24.998774,25.165432,24.998774,25.109879,124400,8.998863
"2002-01-30",25.183949,25.369125,25.146914,25.369125,121900,9.091774
"2002-01-31",25.369125,25.78577,25.276537,25.526525,108400,9.148179
"2002-02-01",25.535784,25.646889,25.48023,25.48023,228800,9.131591
"2002-02-04",25.230244,25.582077,25.220984,25.369125,100200,9.091774
"2002-02-05",25.461714,25.517265,25.341349,25.415419,49500,9.108365
"2002-02-06",25.32283,25.443195,25.230244,25.32283,75100,9.075184
"2002-02-07",25.045067,25.387642,25.045067,25.24876,56900,9.048636
"2002-02-08",25.183949,25.461714,25.183949,25.452454,76100,9.121635
"2002-02-11",25.369125,25.656147,25.24876,25.656147,91500,9.194633
"2002-02-12",25.56356,25.730219,25.461714,25.656147,49000,9.194633
"2002-02-13",25.461714,25.795031,25.433937,25.795031,45800,9.24441
"2002-02-14",25.56356,25.850582,25.56356,25.702442,108500,9.21123
"2002-02-15",25.646889,25.933912,25.609854,25.887617,74800,9.277591
"2002-02-19",25.924654,26.017241,25.693184,25.78577,330900,9.241089
"2002-02-20",25.369125,25.508007,25.230244,25.369125,133700,9.289925
"2002-02-21",25.48023,25.646889,25.369125,25.40616,501700,9.303488
"2002-02-22",25.415419,26.017241,25.313572,25.859842,184600,9.469619
"2002-02-25",25.878359,25.887617,25.739477,25.887617,84900,9.47979
"2002-02-26",25.832066,25.878359,25.387642,25.396902,202000,9.300097
"2002-02-27",25.396902,25.443195,25.09136,25.24876,331900,9.245847
"2002-02-28",25.09136,25.591337,25.09136,25.32283,76200,9.272973
"2002-03-01",25.415419,25.767254,25.295055,25.767254,55200,9.435715
"2002-03-04",25.78577,25.924654,25.572819,25.924654,93000,9.493351
"2002-03-05",25.739477,26.007982,25.739477,25.906136,169900,9.486574
"2002-03-06",25.924654,26.369076,25.767254,26.350557,220200,9.649315
"2002-03-07",26.433887,26.665358,26.295006,26.387594,81400,9.662876
"2002-03-08",26.387594,26.452406,26.109829,26.202417,112800,9.595064
"2002-03-11",26.202417,26.239452,25.924654,25.924654,122600,9.493351
"2002-03-12",25.924654,25.924654,25.702442,25.748735,58900,9.428934
"2002-03-13",25.748735,25.896877,25.646889,25.730219,158900,9.422154
"2002-03-14",25.739477,26.026501,25.656147,26.026501,95700,9.530647
"2002-03-15",25.832066,27.544945,25.78577,26.822758,451800,9.822228
"2002-03-18",26.480181,27.220886,26.480181,27.082005,398100,9.917168
"2002-03-19",27.128298,27.285698,26.915346,27.035709,81100,9.900212
"2002-03-20",26.943121,26.970898,26.794981,26.813498,59700,9.818837
"2002-03-21",26.757946,27.359768,26.757946,27.294956,177200,9.995142
"2002-03-22",27.174591,27.535685,27.137556,27.415321,100200,10.039225
"2002-03-25",27.415321,27.433838,26.989416,27.35051,243600,10.015489
"2002-03-26",27.322733,27.831966,27.322733,27.73938,350500,10.157887
"2002-03-27",27.869001,27.96159,27.822708,27.88752,206300,10.212138
"2002-03-28",27.96159,28.230095,27.906038,27.915297,306500,10.222309
"2002-04-01",27.915297,27.915297,27.49865,27.757896,108500,10.164666
"2002-04-02",27.767155,28.03566,27.711603,27.822708,139200,10.188399
"2002-04-03",27.591238,28.183802,27.591238,27.878262,247200,10.208746
"2002-04-04",27.906038,27.906038,27.693085,27.841227,115100,10.195183
"2002-04-05",27.88752,28.230095,27.88752,27.96159,80900,10.239257
"2002-04-08",28.146767,28.42453,28.03566,28.239355,93700,10.34097
"2002-04-09",28.331942,28.924505,28.322683,28.720812,169600,10.517281
"2002-04-10",28.88747,29.322634,28.841177,29.054129,202500,10.639336
"2002-04-11",29.11894,29.11894,28.517118,28.58193,138600,10.466422
"2002-04-12",28.517118,29.257822,28.470825,29.146717,125200,10.673242
"2002-04-15",28.980059,29.100424,28.4986,28.646742,106500,10.490155
"2002-04-16",28.563412,28.702295,28.007885,28.007885,112400,10.256213
"2002-04-17",27.869001,28.007885,27.174591,27.544945,155100,10.086683
"2002-04-18",27.591238,27.869001,27.378286,27.42458,174900,10.042609
"2002-04-19",27.313475,27.443098,26.896828,27.27644,155300,9.988363
"2002-04-22",27.406061,27.49865,26.619064,26.665358,139800,9.764587
"2002-04-23",26.619064,26.665358,25.906136,26.063536,257200,9.544209
"2002-04-24",26.156124,26.656099,26.156124,26.341299,231100,9.645922
"2002-04-25",26.350557,26.776463,26.350557,26.628323,231200,9.751029
"2002-04-26",26.628323,26.665358,26.480181,26.572769,155200,9.730687
"2002-04-29",26.572769,26.600546,26.341299,26.424629,166200,9.67644
"2002-04-30",26.387594,27.406061,26.295006,27.174591,302300,9.951067
"2002-05-01",27.220886,27.452356,26.295006,27.406061,230000,10.03583
"2002-05-02",27.313475,27.776415,27.239403,27.757896,128500,10.164666
"2002-05-03",27.869001,27.869001,27.452356,27.757896,164100,10.164666
"2002-05-06",27.80419,27.822708,27.49865,27.49865,104100,10.069736
"2002-05-07",27.50791,27.591238,26.943121,27.535685,235000,10.083294
"2002-05-08",27.359768,27.452356,26.776463,27.359768,198000,10.018876
"2002-05-09",27.239403,27.359768,27.137556,27.137556,97600,9.937508
"2002-05-10",27.220886,27.220886,26.878309,26.896828,90000,9.849353
"2002-05-13",27.128298,27.591238,27.026451,27.42458,119100,10.042609
"2002-05-14",27.42458,28.19306,27.369026,28.007885,238700,10.256213
"2002-05-15",28.017143,28.19306,27.869001,28.03566,174700,10.266383
"2002-05-16",27.526426,27.665308,27.146816,27.628273,128500,10.319654
"2002-05-17",27.535685,27.628273,27.220886,27.58198,85800,10.302362
"2002-05-20",27.58198,27.73012,27.544945,27.674568,112000,10.336942
"2002-05-21",27.609756,27.628273,27.100521,27.359768,225100,10.219362
"2002-05-22",27.128298,27.183851,26.757946,26.878309,242400,10.039528
"2002-05-23",26.804239,26.841274,26.544992,26.841274,270500,10.025692
"2002-05-24",26.989416,27.082005,26.693134,26.748688,98100,9.991113
"2002-05-28",26.896828,26.896828,26.572769,26.711651,156600,9.977277
"2002-05-29",26.665358,26.711651,26.572769,26.665358,286200,9.959984
"2002-05-30",26.711651,26.711651,26.433887,26.591288,121200,9.932321
"2002-05-31",26.572769,26.943121,26.378334,26.433887,560500,9.873527
"2002-06-03",26.480181,26.507957,26.295006,26.341299,260500,9.838943
"2002-06-04",26.480181,26.517218,26.230194,26.230194,190900,9.797444
"2002-06-05",26.202417,26.202417,25.702442,26.017241,1103000,9.717904
"2002-06-06",26.202417,26.387594,26.045017,26.295006,146600,9.821651
"2002-06-07",26.387594,26.619064,26.165382,26.526476,209900,9.908108
"2002-06-10",26.526476,26.526476,26.313522,26.387594,154400,9.856235
"2002-06-11",26.433887,26.757946,26.295006,26.341299,102300,9.838943
"2002-06-12",26.433887,26.480181,26.295006,26.480181,101500,9.890819
"2002-06-13",26.480181,26.554253,26.211676,26.276487,241700,9.814737
"2002-06-14",26.202417,26.619064,26.082052,26.433887,181200,9.873527
"2002-06-17",26.498699,26.850534,26.424629,26.822758,166100,10.018777
"2002-06-18",26.757946,26.980158,26.656099,26.757946,152400,9.994569
"2002-06-19",26.665358,27.100521,26.572769,26.989416,227600,10.081024
"2002-06-20",26.989416,28.137508,26.989416,27.757896,338700,10.368062
"2002-06-21",27.869001,28.42453,27.869001,28.42453,234300,10.617066
"2002-06-24",28.331942,28.517118,27.998625,28.054178,190800,10.478735
"2002-06-25",28.285648,28.711554,28.211578,28.359718,610100,10.592859
"2002-06-26",28.331942,28.609707,27.97085,28.331942,158000,10.582483
"2002-06-27",28.470825,28.748589,28.378237,28.66526,454200,10.706985
"2002-06-28",28.66526,29.257822,28.517118,28.702295,444300,10.720817
"2002-07-01",28.702295,28.748589,28.146767,28.702295,214900,10.720817
"2002-07-02",28.42453,28.517118,28.11899,28.146767,191200,10.513315
"2002-07-03",28.146767,28.146767,27.869001,27.915297,219200,10.426863
"2002-07-05",27.924555,28.406013,27.88752,28.285648,32100,10.565192
"2002-07-08",28.239355,28.257872,27.933813,27.96159,73100,10.444151
"2002-07-09",27.989367,28.239355,27.989367,28.063437,66200,10.482194
"2002-07-10",27.878262,28.165283,27.609756,27.711603,130900,10.350777
"2002-07-11",27.683826,27.683826,26.896828,27.359768,322000,10.219362
"2002-07-12",27.452356,28.007885,27.174591,27.174591,146100,10.150192
"2002-07-15",27.313475,27.313475,26.156124,26.850534,247000,10.02915
"2002-07-16",26.822758,27.406061,26.822758,27.026451,247600,10.094856
"2002-07-17",27.082005,27.128298,26.526476,26.850534,195900,10.02915
"2002-07-18",26.757946,26.757946,26.100571,26.119087,121800,9.755944
"2002-07-19",26.350557,26.350557,25.230244,25.924654,156300,9.683315
