"","AA.Open","AA.High","AA.Low","AA.Close","AA.Volume","AA.Adjusted"
"2011-01-11",39.120838,39.553379,38.688301,39.24099,30137000,36.652252
"2011-01-12",39.38517,39.45726,38.736359,39.024719,17531800,36.450256
"2011-01-13",38.760391,38.880539,37.58292,37.847252,28744100,35.350464
"2011-01-14",37.943371,38.616211,37.847252,38.375912,17067100,35.84425
"2011-01-18",38.904572,39.265018,38.736359,39.096809,14227500,36.51759
"2011-01-19",39.31308,39.361141,38.520088,38.592178,14999700,36.046249
"2011-01-20",38.231731,38.472031,37.486801,38.39994,16744900,35.866692
"2011-01-21",38.616211,38.9286,37.895309,37.943371,11634000,35.440224
"2011-01-24",38.135609,39.721588,38.015461,39.481289,17326200,36.876705
"2011-01-25",39.24099,39.31308,38.592178,39.024719,13706700,36.450256
"2011-01-26",39.265018,39.961891,39.216961,39.889801,12184100,37.258259
"2011-01-27",39.91383,39.961891,39.1689,39.577412,7982000,36.966488
"2011-01-28",39.76965,39.76965,38.448002,38.760391,11796700,36.203365
"2011-01-31",38.880539,39.817711,38.880539,39.817711,11986800,37.190926
"2011-02-01",40.033981,41.740108,39.98592,41.619961,23206900,38.874287
"2011-02-02",41.355629,41.740108,41.019211,41.355629,10912400,38.69442
"2011-02-03",41.283539,41.451752,40.466518,41.355629,10531200,38.69442
"2011-02-04",41.668018,41.78817,40.875031,41.18742,7606100,38.537022
"2011-02-07",41.64399,41.980412,41.523842,41.619961,10878900,38.941742
"2011-02-08",41.836231,42.00444,41.3316,41.812199,8357000,39.121593
"2011-02-09",41.355629,41.619961,40.971149,41.235481,10421700,38.581989
"2011-02-10",40.851002,41.355629,40.826969,41.139359,8985300,38.492058
"2011-02-11",41.163391,41.884289,40.778912,41.740108,9083200,39.054146
"2011-02-14",41.812199,42.485039,41.71608,42.268768,9653900,39.548798
"2011-02-15",42.124592,42.364891,41.692051,41.812199,8323400,39.121593
"2011-02-16",42.220711,42.38892,41.86026,42.268768,8274200,39.548798
"2011-02-17",42.172649,42.364891,41.740108,42.100559,7045000,39.391415
"2011-02-18",42.220711,42.24474,41.163391,41.523842,9515700,38.851799
"2011-02-22",40.80294,41.211449,39.577412,39.745621,19227900,37.188011
"2011-02-23",39.361141,39.961891,38.351879,39.505322,16416100,36.963169
"2011-02-24",39.096809,40.322338,39.048752,39.76965,11832400,37.210487
"2011-02-25",40.466518,40.58667,39.649502,40.082039,7862400,37.502781
"2011-02-28",40.394428,40.682789,40.05801,40.490551,9034300,37.884998
"2011-03-01",40.682789,40.706821,38.952629,39.00069,12405400,36.49102
"2011-03-02",38.904572,39.481289,38.760391,38.880539,8397300,36.378593
"2011-03-03",39.337109,40.298309,39.31308,39.961891,7964200,37.390362
"2011-03-04",40.298309,40.370399,39.337109,39.84174,7741800,37.277935
"2011-03-07",39.84174,40.250252,38.64024,39.048752,8885200,36.535988
"2011-03-08",39.024719,39.76965,38.592178,39.625469,8164200,37.0756
"2011-03-09",39.24099,39.84174,38.952629,39.1689,8431300,36.648396
"2011-03-10",38.616211,38.688301,37.9674,37.9674,12570200,35.524212
"2011-03-11",37.198441,38.760391,37.05426,38.520088,9494700,36.04134
"2011-03-14",38.32785,38.808449,38.207699,38.736359,7414900,36.243694
"2011-03-15",37.174412,38.760391,37.078289,38.544121,12633900,36.063824
"2011-03-16",38.592178,38.688301,37.246498,37.630981,13580100,35.20945
"2011-03-17",38.32785,38.664268,37.847252,38.472031,10161500,35.996372
"2011-03-18",39.24099,39.24099,38.544121,38.71233,10423000,36.221214
"2011-03-21",39.361141,39.793678,39.072781,39.76965,7769200,37.210487
"2011-03-22",39.697559,39.76965,39.24099,39.52935,5602700,36.985657
"2011-03-23",39.433231,40.923092,39.361141,40.73085,11063600,38.109844
"2011-03-24",41.25951,41.307571,40.490551,41.11533,8851400,38.469578
"2011-03-25",41.25951,41.427719,40.971149,41.067268,6455900,38.42461
"2011-03-28",41.163391,41.884289,40.899059,41.427719,8071700,38.761864
"2011-03-29",41.93235,42.148621,41.499809,42.028469,7905900,39.323959
"2011-03-30",42.485039,42.653252,41.692051,42.38892,9815800,39.661221
"2011-03-31",42.07653,42.653252,42.052502,42.436981,6817100,39.706177
"2011-04-01",42.773399,42.773399,41.836231,41.980412,10356300,39.27898
"2011-04-04",41.86026,42.38892,41.86026,42.196678,5659500,39.481339
"2011-04-05",42.148621,43.398178,41.93235,43.374149,12718800,40.58305
"2011-04-06",43.782661,43.974899,43.494301,43.566391,11023000,40.762909
"2011-04-07",43.638481,43.950871,42.869518,43.542358,12125000,40.740429
"2011-04-08",43.950871,44.383411,42.653252,43.06176,12199000,40.290749
"2011-04-11",43.398178,43.710571,42.412949,42.701309,18176200,39.95351
