"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"2014-06-06",90.732178,91.103989,90.579636,90.76078,2911200,81.105431
"2014-06-09",90.97052,91.990623,90.646378,91.342331,2807400,81.62513
"2014-06-10",91.09446,91.199326,90.531967,90.894249,2764300,81.224686
"2014-06-11",90.484299,90.665443,90.093422,90.484299,2161800,80.858353
"2014-06-12",90.427101,90.465233,89.092384,89.292587,2597000,79.793442
"2014-06-13",89.330727,89.836014,89.073311,89.397461,1966600,79.887138
"2014-06-16",89.23539,89.693008,89.044716,89.426064,1976000,79.91272
"2014-06-17",89.23539,90.074356,89.130516,89.902748,1945600,80.338684
"2014-06-18",89.81694,89.921814,88.987511,89.797874,3119900,80.244972
"2014-06-19",90.026688,90.083885,89.53093,90.036217,2465400,80.457977
"2014-06-20",90.322227,90.503372,90.017151,90.398499,3253100,80.781693
"2014-06-23",90.188759,90.417564,89.569069,89.874146,2346700,80.313126
"2014-06-24",89.759743,89.797874,88.596626,88.682434,2993500,79.248207
"2014-06-25",88.367821,89.130516,88.272484,88.863571,2371400,79.410057
"2014-06-26",89.054245,89.130516,88.282021,88.720566,1797300,79.282272
"2014-06-27",88.262947,88.987511,88.196213,88.91124,2119800,79.45266
"2014-06-30",88.834969,88.873108,88.282021,88.6157,2469200,79.188553
"2014-07-01",88.939842,90.398499,88.739632,90.179222,4593600,80.585739
"2014-07-02",89.845543,90.188759,89.588135,89.883682,2371300,80.321663
"2014-07-03",90.360367,90.751244,90.26503,90.455704,1595700,80.832825
"2014-07-07",90.303162,90.341293,89.683472,89.979019,3056500,80.40686
"2014-07-08",89.912277,90.112488,89.483261,89.81694,2537000,80.262009
"2014-07-09",90.207825,90.446167,89.569069,90.131554,1975400,80.543144
"2014-07-10",89.130516,90.131554,88.920776,89.883682,2916700,80.321663
"2014-07-11",89.836014,90.551041,89.693008,90.47477,2660900,80.849846
"2014-07-14",90.922852,91.389999,90.655907,91.275597,3271300,81.565498
"2014-07-15",91.103989,91.780884,90.932388,91.485336,4222700,81.752914
"2014-07-16",91.952492,92.248032,91.704613,91.895287,3320700,82.119247
"2014-07-17",90.941917,91.857155,90.722641,90.732178,3961200,81.07988
"2014-07-18",91.809486,92.74379,91.189796,92.305237,4707400,82.485596
"2014-07-21",92.190834,92.953529,91.79995,92.800987,3924200,82.928596
"2014-07-22",93.36348,93.516014,92.257568,92.657982,4024400,82.800819
"2014-07-23",93.191872,93.23954,92.08596,92.095497,3324800,82.298164
"2014-07-24",92.08596,92.286171,91.447205,91.533005,2300700,81.795494
"2014-07-25",91.351868,91.742752,91.189796,91.294662,2355500,81.582535
"2014-07-28",91.361404,91.523476,89.959946,90.732178,3469200,81.07988
"2014-07-29",90.665443,90.922852,89.32119,89.406998,3657400,79.895691
"2014-07-30",90.408035,90.408035,88.987511,89.683472,2765600,80.142738
"2014-07-31",88.958908,89.082848,87.54792,87.54792,4309300,78.234375
"2014-08-01",87.471657,87.99601,86.699425,87.300049,4859700,78.012871
"2014-08-04",88.529892,88.529892,86.518288,87.099838,3487200,77.833969
