"","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume","DRI.Adjusted"
"2008-10-14",21.650257,22.141903,19.397631,19.907152,3938400,13.810315
"2008-10-15",19.504898,19.630045,18.280254,18.280254,3582200,12.681674
"2008-10-16",18.038902,18.7719,17.609831,18.7719,3659200,13.022751
"2008-10-17",18.280254,19.379751,18.021025,18.95962,3270700,13.152978
"2008-10-20",19.209911,19.728373,18.95068,19.361874,2657200,13.432034
"2008-10-21",19.04007,19.773067,18.673571,18.7719,2637900,13.022751
"2008-10-22",18.324949,18.467974,17.100307,17.547256,3965800,12.173172
"2008-10-23",17.627708,17.931635,16.412004,17.180758,2956400,11.918918
"2008-10-24",16.072323,17.25227,15.920359,16.724869,2405800,11.60265
"2008-10-27",16.456699,17.25227,16.161713,16.161713,1851600,11.211968
"2008-10-28",16.626539,17.609831,15.258873,17.609831,3302100,12.216579
"2008-10-29",17.377417,18.646753,17.25227,17.842243,2431800,12.377813
"2008-10-30",18.342829,18.932802,18.06572,18.503731,2086500,12.836708
"2008-10-31",18.423279,19.987604,18.307072,19.817762,3212200,13.748301
"2008-11-03",19.74625,20.488188,19.236729,19.460203,2008900,13.500252
"2008-11-04",19.951847,20.488188,19.630045,20.46137,1833600,14.194797
"2008-11-05",20.148506,20.166384,18.655693,18.736143,2353700,12.997943
"2008-11-06",18.76296,19.093704,17.743916,18.190865,2653800,12.619663
"2008-11-07",18.378584,18.557364,17.046673,17.511501,3183900,12.148368
"2008-11-10",17.654526,18.190865,16.465637,16.644419,1736200,11.54684
"2008-11-11",16.188528,16.814259,15.956115,16.34943,2063700,11.342196
"2008-11-12",16.045506,16.26898,15.455531,15.64325,3084400,10.85229
"2008-11-13",15.482348,16.626539,14.615265,16.429882,4814000,11.398005
"2008-11-14",16.125956,16.662296,15.509165,15.518104,2466000,10.765471
"2008-11-17",15.240995,15.687945,14.937069,14.972825,2050200,10.387195
"2008-11-18",14.606326,15.330385,14.3024,14.776167,2383900,10.250765
"2008-11-19",14.74935,14.874496,13.310171,13.354866,2897400,9.264758
"2008-11-20",13.256537,13.569402,12.040833,12.103406,3286700,8.396573
"2008-11-21",12.398393,12.818526,11.808419,12.78277,3314300,8.867873
"2008-11-24",12.755953,14.400729,12.586112,13.998474,2756700,9.711253
"2008-11-25",14.624204,14.937069,13.891206,14.820862,2111500,10.28177
"2008-11-26",14.534814,16.304735,14.311339,16.206408,2825300,11.242974
"2008-11-28",16.152773,16.394127,15.875664,16.34943,791300,11.342196
"2008-12-01",15.982932,15.991871,14.499058,14.552692,2683200,10.095735
"2008-12-02",14.731472,15.267812,14.096803,15.232056,2816800,10.56703
"2008-12-03",15.142666,16.295797,14.990703,16.215345,3599900,11.249174
"2008-12-04",16.224285,17.34166,15.991871,16.858953,3338700,11.695667
"2008-12-05",16.394127,18.476913,16.394127,18.324949,5425900,12.712684
"2008-12-08",18.7719,20.577578,18.7719,19.692617,5354200,13.661484
"2008-12-09",19.558533,19.826702,18.467974,18.754023,3686300,13.010346
"2008-12-10",19.057947,20.005482,18.941742,19.460203,3072900,13.500252
"2008-12-11",19.424446,19.442326,17.618769,17.886938,3363300,12.40882
"2008-12-12",16.492455,20.184261,15.687945,19.6658,5829600,13.642885
"2008-12-15",19.782007,20.130629,18.834473,19.192034,3107900,13.314209
"2008-12-16",19.290361,20.613335,19.066887,20.515005,3150700,14.232003
"2008-12-17",20.282591,21.864794,19.916092,21.569807,4253600,14.96376
"2008-12-18",21.775404,21.775404,20.622272,21.435722,4821900,14.87074
"2008-12-19",24.010155,25.949917,23.259277,25.520845,14545000,17.704739
"2008-12-22",24.966627,25.476151,24.028032,25.377821,5856200,17.605516
"2008-12-23",25.377821,25.699625,24.555433,24.805725,3250500,17.208628
"2008-12-24",24.94875,25.422516,24.912992,25.342066,1026700,17.580717
"2008-12-26",25.279491,25.73538,24.877237,25.476151,980100,17.673731
"2008-12-29",25.449333,25.583418,24.126362,24.600128,1678200,17.066004
