"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2011-03-28",28.475,28.825001,28.34,28.42,1399400,25.447533
"2011-03-29",28.465,29.379999,28.24,29.07,1875400,26.029554
"2011-03-30",29.5,29.695,29.25,29.65,1477200,26.548891
"2011-03-31",29.639999,29.995001,29.389999,29.93,2222600,26.799606
"2011-04-01",30,30.780001,29.955,30.530001,2636600,27.336851
"2011-04-04",30.93,31.205,30.209999,30.605,2210400,27.404011
"2011-04-05",30.559999,31.040001,30.549999,30.91,1568600,27.677105
"2011-04-06",30.945,31.065001,30.344999,30.75,1395000,27.533842
"2011-04-07",30.635,31.424999,30.635,31.094999,1134800,27.842756
"2011-04-08",31.34,31.985001,31.110001,31.42,1612400,28.133762
"2011-04-11",31.690001,32.279999,31.370001,31.5,1466600,28.205399
"2011-04-12",31.32,32.055,31.200001,31.290001,1373600,28.017361
"2011-04-13",31.645,31.76,30.940001,31.495001,1301200,28.200918
"2011-04-14",31.395,32.189999,31.155001,31.945,1894200,28.603851
"2011-04-15",32.125,32.275002,31.785,31.885,1433200,28.550133
"2011-04-18",31.555,31.59,30.360001,30.764999,2230800,27.54727
"2011-04-19",30.77,31.084999,29.865,30.84,2468600,27.614424
"2011-04-20",31.155001,31.514999,30.875,31.485001,2826600,28.191965
"2011-04-21",32.5,32.5,30.33,30.459999,4841600,27.274174
"2011-04-25",30.43,30.5,29.719999,30.32,2030400,27.148813
"2011-04-26",30.33,30.799999,30.155001,30.545,2e+06,27.350285
"2011-04-27",30.540001,30.809999,30.25,30.795,1175400,27.574135
"2011-04-28",30.57,31.049999,30.57,30.700001,1444600,27.489073
"2011-04-29",30.665001,31.215,30.545,30.934999,1308000,27.699492
"2011-05-02",31.209999,31.209999,29.52,29.790001,2285000,26.674246
"2011-05-03",29.745001,29.945,29.219999,29.754999,1843400,26.642904
"2011-05-04",29.68,30.045,29.1,29.32,1542600,26.253407
"2011-05-05",29.049999,29.834999,28.555,29.555,1521600,26.463825
"2011-05-06",30.040001,30.555,29.9,29.9,1727000,26.772741
"2011-05-09",29.825001,30.344999,29.684999,30.27,1069600,27.10404
"2011-05-10",30.295,30.934999,30.275,30.809999,1012800,27.587561
"2011-05-11",30.809999,30.965,30.24,30.615,1009200,27.412962
"2011-05-12",30.395,31.555,30.059999,31.455,1495600,28.275934
"2011-05-13",31.59,31.629999,30.879999,30.945,670200,27.817482
"2011-05-16",31.455,31.455,30.145,30.205,796000,27.152269
"2011-05-17",30.01,30.215,29.254999,29.389999,1781200,26.419634
"2011-05-18",29.434999,30.365,29.17,30.115,1485000,27.071363
"2011-05-19",30.275,30.41,29.805,30.219999,1096000,27.165752
"2011-05-20",30.030001,30.059999,29.344999,29.485001,1161200,26.505037
"2011-05-23",29.1,30.5,29.055,30.264999,1873200,27.206203
"2011-05-24",30.32,30.469999,29.860001,30,1034000,26.967991
"2011-05-25",29.870001,30.42,29.469999,30.235001,1065000,27.179239
"2011-05-26",30.225,31.045,30.225,30.93,897200,27.803993
"2011-05-27",31.094999,31.5,30.924999,31.209999,992000,28.055698
"2011-05-31",31.5,31.995001,31.395,31.58,5239000,28.388304
"2011-06-01",31.59,31.870001,30.700001,30.764999,1687400,27.655672
"2011-06-02",30.73,31.225,30.495001,31.08,1050400,27.938831
"2011-06-03",30.43,30.940001,29.785,29.885,1330200,26.864607
"2011-06-06",29.795,30.065001,29.434999,29.469999,1657400,26.49155
"2011-06-07",29.655001,30.475,28.870001,30.17,1758400,27.120811
"2011-06-08",29.959999,30.065001,29.715,29.875,1165600,26.855625
"2011-06-09",30.055,30.889999,29.809999,30.280001,1430600,27.219696
"2011-06-10",30.075001,30.135,29.334999,29.385,1188400,26.415146
"2011-06-13",29.440001,30.254999,29.370001,29.75,1092400,26.743254
"2011-06-14",30.105,30.725,30,30.635,965200,27.538811
"2011-06-15",30.165001,30.695,30.1,30.299999,1027200,27.237669
"2011-06-16",30.26,30.555,29.709999,30.4,1507800,27.327562
"2011-06-17",30.620001,31,30.4,30.469999,2099400,27.390486
"2011-06-20",30.440001,31.780001,30.389999,31.73,1367600,28.523149
"2011-06-21",31.93,32.494999,31.745001,32.445,1818400,29.165884
"2011-06-22",32.415001,32.900002,31.915001,32.514999,2101600,29.228806
"2011-06-23",32.154999,33.189999,32.125,33.099998,1504200,29.754681
"2011-06-24",33.064999,33.314999,32.330002,32.455002,1440600,29.174868
"2011-06-27",32.455002,33.195,32.195,33.02,1090200,29.682768
"2011-06-28",33.240002,34.099998,33.044998,33.375,1731600,30.001886
"2011-06-29",33.459999,33.869999,33.064999,33.424999,1171800,30.046833
