"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"2003-08-08",15.03,15.06,14.96,15.01,159000,9.418587
"2003-08-11",15.02,15.08,14.98,15.03,305000,9.431136
"2003-08-12",15.07,15.104,14.986,15.1,387000,9.475058
"2003-08-13",15.12,15.516,15.12,15.396,842000,9.660793
"2003-08-14",15.41,15.678,15.41,15.642,440500,9.815155
"2003-08-15",15.65,15.7,15.6,15.7,178000,9.85155
"2003-08-18",15.7,15.72,15.52,15.584,659000,9.778763
"2003-08-19",15.4,15.4,14.3,14.32,5842000,8.985617
"2003-08-20",14.5,14.868,14.448,14.68,2692500,9.211514
"2003-08-21",14.68,14.72,13.66,14.38,5955500,9.02327
"2003-08-22",14.33,14.332,13.65,13.65,3098500,8.565202
"2003-08-25",13.652,13.652,13.11,13.282,2706500,8.334288
"2003-08-26",13.6,14.076,13.534,14.062,3710000,8.823729
"2003-08-27",14.1,14.596,14.08,14.57,2253500,9.142493
"2003-08-28",14.568,14.59,14.284,14.286,1464000,8.964285
"2003-08-29",14.2,14.2,14,14.078,991000,8.833768
"2003-09-02",14.05,14.08,13.84,13.92,1962000,8.734626
"2003-09-03",13.94,14.27,13.74,14.196,1387000,8.907808
"2003-09-04",14.196,14.286,14.12,14.188,825500,8.902791
"2003-09-05",14.19,14.21,14.036,14.07,572000,8.828749
"2003-09-08",14.1,14.432,14.08,14.432,625000,9.073956
"2003-09-09",14.396,14.536,14.138,14.416,647000,9.063897
"2003-09-10",14.4,14.402,14.194,14.322,657000,9.004795
"2003-09-11",14.312,14.44,14.29,14.29,667500,8.984672
"2003-09-12",14.34,14.392,14.1,14.316,803500,9.00102
"2003-09-15",14.3,14.32,14.1,14.26,456000,8.965811
"2003-09-16",14.27,14.332,14.24,14.3,155000,8.990966
"2003-09-17",14.34,14.712,14.304,14.472,1052500,9.099104
"2003-09-18",14.45,14.78,14.45,14.75,590500,9.273893
"2003-09-19",14.79,14.83,14.664,14.67,302500,9.223595
"2003-09-22",14.672,14.672,14.434,14.496,621000,9.114193
"2003-09-23",14.496,14.496,13.886,14.05,1534000,8.833778
"2003-09-24",14.03,14.08,13.7,13.936,1619000,8.762101
"2003-09-25",14.09,14.09,13.682,13.696,1595000,8.611202
"2003-09-26",13.696,13.78,13.274,13.296,1312500,8.359706
"2003-09-29",13.34,13.34,13.234,13.294,1196000,8.35845
"2003-09-30",13.22,13.796,13.118,13.762,2236000,8.652697
"2003-10-01",13.762,13.934,13.704,13.81,1300500,8.68288
"2003-10-02",13.84,14.29,13.84,14.204,1047500,8.930602
"2003-10-03",14.244,14.442,14.2,14.35,741000,9.022397
"2003-10-06",14.33,14.614,14.31,14.582,1063000,9.168266
"2003-10-07",14.582,14.652,14.506,14.58,401000,9.167006
"2003-10-08",14.68,14.73,14.58,14.67,1033500,9.223595
"2003-10-09",14.7,14.744,14.49,14.51,286500,9.122997
"2003-10-10",14.51,14.61,14.5,14.522,744500,9.130543
"2003-10-13",14.5,14.94,14.48,14.94,1226500,9.393353
"2003-10-14",14.94,15.01,14.84,14.91,1130500,9.374495
"2003-10-15",14.7,14.88,14.52,14.87,1691500,9.349342
"2003-10-16",14.86,14.86,14.68,14.686,850500,9.233655
"2003-10-17",14.656,14.656,14.12,14.12,1559000,8.877786
"2003-10-20",14.12,14.12,13.71,13.784,1692500,8.666533
"2003-10-21",13.78,14.04,13.78,14.002,562500,8.803598
"2003-10-22",13.85,13.852,13.4,13.444,1380000,8.452758
"2003-10-23",13.396,13.4,12.77,13.074,2634000,8.220128
"2003-10-24",13.4,13.57,13.284,13.55,1362000,8.519409
"2003-10-27",13.55,13.66,13.52,13.6,603500,8.550847
"2003-10-28",13.62,13.88,13.6,13.6,813000,8.550847
"2003-10-29",13.6,13.8,13.6,13.796,537500,8.674076
"2003-10-30",13.8,13.82,13.468,13.468,828500,8.467849
"2003-10-31",13.48,13.612,13.48,13.59,641500,8.544557
"2003-11-03",13.59,13.69,13.564,13.6,695000,8.550847
"2003-11-04",13.59,13.59,13.188,13.2,1495000,8.299351
"2003-11-05",13.18,13.35,13.1,13.26,535000,8.337071
"2003-11-06",13.31,13.496,13.164,13.27,940500,8.343363
"2003-11-07",13.272,13.49,13.268,13.484,788000,8.477909
"2003-11-10",13.464,13.568,13.31,13.51,511500,8.49426
"2003-11-11",13.55,13.75,13.55,13.65,1511500,8.582282
"2003-11-12",13.656,13.93,13.656,13.864,892500,8.716831
"2003-11-13",13.814,13.858,13.35,13.454,1728500,8.459047
"2003-11-14",13.4,13.748,13.4,13.53,6930000,8.506833
"2003-11-17",13.48,13.48,13.14,13.17,930000,8.280491
"2003-11-18",13.3,13.44,13.26,13.27,1302500,8.343363
"2003-11-19",13.3,13.674,13.3,13.642,1684000,8.577253
"2003-11-20",13.66,13.794,13.528,13.58,1215000,8.538271
"2003-11-21",13.594,13.73,13.49,13.576,712000,8.535756
"2003-11-24",13.63,13.738,13.554,13.728,716500,8.63132
"2003-11-25",13.728,13.736,13.6,13.69,754500,8.607429
"2003-11-26",13.74,13.77,13.688,13.7,374000,8.613721
"2003-11-28",13.7,13.712,13.66,13.694,243000,8.609944
"2003-12-01",13.726,13.824,13.676,13.796,1089000,8.674076
"2003-12-02",13.84,13.956,13.816,13.86,1350000,8.714316
"2003-12-03",13.74,13.742,13.57,13.67,2643500,8.594854
"2003-12-04",13.7,13.8,13.52,13.8,1032000,8.676592
"2003-12-05",13.82,14.29,13.82,14.126,1475500,8.881557
"2003-12-08",14.104,14.116,13.94,14,911500,8.82859
"2003-12-09",14.02,14.02,13.852,13.866,715500,8.744089
"2003-12-10",13.866,13.866,13.49,13.566,569000,8.554906
"2003-12-11",13.57,13.81,13.57,13.72,356000,8.652017
"2003-12-12",13.68,13.74,13.594,13.65,538000,8.607876
"2003-12-15",13.74,13.83,13.59,13.59,1006500,8.570038
"2003-12-16",13.62,13.75,13.582,13.734,747000,8.660846
"2003-12-17",13.74,13.768,13.662,13.754,461000,8.673455
"2003-12-18",13.88,14.15,13.85,14.068,922000,8.87147
"2003-12-19",14.13,14.396,14.1,14.394,1126500,9.077051
"2003-12-22",14.47,14.6,14.36,14.44,1033000,9.10606
"2003-12-23",14.456,14.48,14.41,14.48,362500,9.131283
"2003-12-24",14.47,14.47,14.38,14.392,151500,9.075788
"2003-12-26",14.442,14.47,14.284,14.302,152000,9.019033
"2003-12-29",14.4,14.578,14.4,14.48,504500,9.131283
"2003-12-30",14.52,14.552,14.466,14.536,397000,9.166602
"2003-12-31",14.54,14.544,14.42,14.472,547000,9.126239
"2004-01-02",14.5,14.62,14.5,14.58,760500,9.194344
"2004-01-05",14.582,15.65,14.58,15.622,2337000,9.851441
"2004-01-06",15.622,15.75,15.14,15.168,2456000,9.565147
"2004-01-07",15.188,15.32,15,15,892500,9.459204
"2004-01-08",15.04,15.098,14.86,14.888,830000,9.388572
"2004-01-09",14.9,15.19,14.89,15.06,853500,9.497042
"2004-01-12",15.09,15.096,14.944,14.996,450500,9.456678
"2004-01-13",14.996,15,14.762,14.798,330500,9.331818
"2004-01-14",14.81,14.93,14.666,14.688,809500,9.262453
"2004-01-15",14.72,15.072,14.712,14.982,996000,9.447852
"2004-01-16",15.1,16.5,15.1,15.94,4520500,10.051977
"2004-01-20",16.08,16.43,15.96,16.4,1437000,10.342061
"2004-01-21",16.5,16.653999,16.120001,16.444,1249500,10.36981
"2004-01-22",16.59,17.379999,16.58,17.360001,3153500,10.947452
"2004-01-23",17.26,17.559999,17.082001,17.122,1062000,10.797365
"2004-01-26",17.219999,17.226,16.76,17.09,789000,10.777185
"2004-01-27",17.1,17.360001,16.972,17.15,1234500,10.815021
"2004-01-28",17.16,17.16,16.940001,17.002001,1095500,10.721689
"2004-01-29",17.02,17.1,16.870001,16.997999,1024500,10.719171
"2004-01-30",16.997999,17.549999,16.93,17.483999,740500,11.025644
"2004-02-02",17.544001,17.698,17.120001,17.459999,1329000,11.010511
"2004-02-03",17.299999,17.299999,16.422001,17.200001,2818000,10.846558
"2004-02-04",17.15,17.15,16.780001,16.874001,939500,10.640975
"2004-02-05",16.874001,17.056,16.802,17.032,1101500,10.740613
"2004-02-06",17.032,17.232,17.032,17.120001,482000,10.796105
"2004-02-09",17.219999,17.5,17.204,17.299999,828500,10.909615
"2004-02-10",17.299999,17.32,17.072001,17.1,972000,10.783489
"2004-02-11",17.15,17.299999,16.924,17,1065000,10.720428
"2004-02-12",17,17.09,16.862,16.889999,700500,10.65106
"2004-02-13",16.969999,17.08,16.58,16.620001,992500,10.480796
"2004-02-17",16.82,17.08,16.82,17.072001,1023500,10.765836
"2004-02-18",17.271999,17.271999,16.98,17.059999,482000,10.758265
"2004-02-19",17.129999,17.26,17.1,17.118,514000,10.794843
"2004-02-20",17.129999,17.17,16.997999,16.997999,388000,10.719171
"2004-02-23",17.15,17.4,17.128,17.370001,1333000,10.95376
"2004-02-24",17.370001,17.450001,17.246,17.299999,592500,10.909615
"2004-02-25",17.299999,17.52,17.299999,17.52,409500,11.048351
"2004-02-26",17.52,19.011999,17.52,18.290001,5430000,11.533922
"2004-02-27",18.448,18.719999,18.299999,18.65,1071500,11.760944
"2004-03-01",18.700001,19.139999,18.700001,18.972,971500,11.964005
"2004-03-02",18.972,19.379999,18.879999,18.879999,1475000,11.90598
"2004-03-03",18.83,18.972,18.594,18.65,918500,11.760944
"2004-03-04",18.690001,19.167999,18.57,19,1011500,11.98166
"2004-03-05",18.98,19.6,18.98,19.438,623500,12.257865
"2004-03-08",19.459999,19.58,19.09,19.09,867500,12.070704
"2004-03-09",19.07,19.4,18.879999,19.389999,754500,12.260392
"2004-03-10",19.379999,19.948,19.152,19.200001,1398000,12.140261
"2004-03-11",19.15,19.332001,18.85,18.85,1012000,11.918951
"2004-03-12",18.82,19.158001,18.780001,19.024,932500,12.028972
"2004-03-15",19.030001,19.059999,18.700001,18.700001,622000,11.824106
"2004-03-16",18.549999,18.552,18.202,18.285999,2208500,11.562337
"2004-03-17",18.288,18.870001,18.25,18.82,1003000,11.899982
"2004-03-18",18.82,18.826,18.4,18.694,598500,11.820312
"2004-03-19",18.695999,18.903999,18.622,18.754,1685000,11.858253
"2004-03-22",18.6,18.6,18.334,18.416,888500,11.644532
"2004-03-23",18.556,18.653999,18.469999,18.576,695000,11.7457
"2004-03-24",18.530001,18.709999,18.32,18.450001,829500,11.666028
"2004-03-25",18.5,18.804001,18.43,18.610001,668000,11.767197
"2004-03-26",18.6,19,18.6,18.936001,701500,11.973331
"2004-03-29",18.986,19.375999,18.976,19.334,787500,12.224988
"2004-03-30",19.384001,19.896,19.34,19.860001,1007500,12.557582
"2004-03-31",19.719999,19.84,19.200001,19.348,929000,12.23384
"2004-04-01",19.370001,20.18,19.302,20.1,1609500,12.70933
"2004-04-02",20.4,20.92,20.364,20.6,1767500,13.025479
"2004-04-05",20.799999,21.49,20.799999,21.482,1757500,13.583177
"2004-04-06",21.41,21.878,21.41,21.6,1719000,13.657791
"2004-04-07",21.68,22.02,21.299999,21.98,1315500,13.898065
"2004-04-08",22.08,22.32,21.864,21.91,1418000,13.853802
"2004-04-12",21.860001,22.219999,21.827999,22.004,801500,13.913241
"2004-04-13",21.940001,22.1,21.058001,21.066,1829000,13.320137
"2004-04-14",21.066,21.348,20.931999,21.212,1021000,13.412455
"2004-04-15",21.212,21.76,21.200001,21.76,1241500,13.758964
"2004-04-16",21.799999,22.219999,21.615999,21.996,1537500,13.90819
"2004-04-19",22.195999,22.952,22.195999,22.952,2305000,14.512667
"2004-04-20",23,23.809999,23,23.222,3145500,14.683392
"2004-04-21",23.33,23.408001,22.816,22.903999,1679500,14.482319
"2004-04-22",22.860001,23.672001,22.804001,23.440001,1073500,14.821233
"2004-04-23",23.440001,23.832001,23.112,23.77,1441000,15.029895
"2004-04-26",23.77,23.941999,23.33,23.462,1037000,14.835146
"2004-04-27",23.75,24.388,23.128,24.198,2974000,15.30052
"2004-04-28",24.198,24.318001,23.558001,23.700001,1545500,14.985633
"2004-04-29",23.702,23.790001,23.120001,23.4,2886000,14.795938
"2004-04-30",23.450001,23.719999,23.372,23.459999,933500,14.833878
"2004-05-03",23.483999,23.854,23.483999,23.656,989500,14.95781
"2004-05-04",23.705999,24.379999,23.705999,24.26,1372500,15.339715
"2004-05-05",24.379999,24.950001,24.312,24.468,2244500,15.47124
"2004-05-06",23.799999,23.964001,23.362,23.591999,2336500,14.917345
"2004-05-07",23.594,23.82,23.299999,23.302,1139500,14.733982
"2004-05-10",23.1,23.389999,22.309999,23.362,2299500,14.771914
"2004-05-11",23.4,23.68,23.1,23.558001,1355500,14.895843
"2004-05-12",23.59,23.879999,22.889999,23.370001,2146000,14.776971
"2004-05-13",23.32,23.742001,23.313999,23.58,848000,14.909759
"2004-05-14",23.620001,23.742001,23.48,23.73,642500,15.004605
"2004-05-17",23.530001,23.68,23.360001,23.392,1203000,14.790878
"2004-05-18",23.441999,24.558001,23.441999,24.558001,1551500,15.528147
"2004-05-19",24.74,25.298,24.642,24.813999,1906500,15.69001
"2004-05-20",24.84,25.087999,24.406,24.743999,823500,15.645761
"2004-05-21",24.794001,24.988001,24.73,24.912001,563000,15.751984
"2004-05-24",25.1,25.4,25.1,25.252001,886000,15.966971
"2004-05-25",25.252001,25.608,24.945999,25.525999,1534000,16.140219
"2004-05-26",25.6,26.16,25.5,25.997999,2138500,16.438673
"2004-05-27",25.997999,26.1,25.638,26.059999,1289500,16.477877
"2004-05-28",26.110001,26.299999,25.716,25.84,1511000,16.338768
"2004-06-01",25.396,25.396,23.978001,24.402,6424500,15.429511
"2004-06-02",24.403999,24.780001,23.57,24.639999,7267000,15.579997
"2004-06-03",24.52,24.576,23.629999,23.690001,3639500,14.97931
"2004-06-04",23.298,24.278,23.298,24.122,6550500,15.252462
"2004-06-07",24.1,24.940001,23.860001,24.870001,4111500,15.725425
"2004-06-08",24.780001,24.950001,24.563999,24.938,2100000,15.801468
"2004-06-09",24.653999,24.802,24.389999,24.416,1756500,15.470707
"2004-06-10",24.48,25.4,24.379999,25.4,2690500,16.0942
"2004-06-14",25.32,25.462,25.153999,25.360001,2337500,16.068855
"2004-06-15",24.903999,25.257999,24.714001,25.176001,3323500,15.952269
"2004-06-16",25.139999,25.476,24.976,25.464001,1900000,16.134762
"2004-06-17",25.464001,25.732,25.309999,25.440001,1637500,16.119547
"2004-06-18",25.4,25.93,25.302,25.809999,2045500,16.353985
"2004-06-21",25.974001,26.483999,25.868,26.004,4318000,16.476913
"2004-06-22",26.004,26.120001,25.274,25.799999,2157000,16.347649
"2004-06-23",25.799999,26.917999,25.68,26.709999,3510000,16.924257
"2004-06-24",26.709999,27.139999,26.709999,27.002001,2230000,17.109276
"2004-06-25",27.052,27.68,27.040001,27.68,6100500,17.538874
"2004-06-28",27.73,28.374001,27.59,28.188,4237000,17.860773
"2004-06-29",28.138,28.298,27.870001,28.139999,3643000,17.830351
"2004-06-30",28.15,28.98,28.035999,28.874001,3077500,18.295431
"2004-07-01",28.823999,29.466,28.664,29.466,4292000,18.670544
"2004-07-02",29.5,29.676001,28.554001,28.653999,2520000,18.156034
"2004-07-06",28.604,28.834,28.08,28.332001,2447000,17.952002
"2004-07-07",28.332001,29.056,28.209999,28.826,2500000,18.265015
"2004-07-08",28.826,28.827999,28.198,28.34,1753500,17.957073
"2004-07-09",28.24,28.24,27.389999,27.746,2313000,17.58069
"2004-07-12",27.722,27.724001,26.502001,26.964001,5503000,17.085194
"2004-07-13",26.940001,26.958,26.58,26.76,2604500,16.955931
"2004-07-14",26.4,27.08,26.016001,26.18,3174500,16.588438
"2004-07-15",25.940001,25.954,24.4,24.530001,8523500,15.542946
"2004-07-16",24.532,24.544001,23.32,23.441999,9356500,14.853556
"2004-07-19",23.532,24.318001,23.322001,23.85,4234000,15.112073
"2004-07-20",24.01,25.16,24,25.16,4431000,15.942128
"2004-07-21",25.16,25.469999,24.082001,24.158001,3100000,15.307241
"2004-07-22",24.65,25.27,24.139999,25.030001,4713500,15.859755
"2004-07-23",25.42,25.43,24.686001,24.85,2152000,15.745708
"2004-07-26",24.860001,24.938,24.434,24.548,2070000,15.554349
"2004-07-27",24.568001,25.048,24.542,25.024,1979500,15.855955
"2004-07-28",25.110001,25.198,24.450001,24.945999,1885000,15.806533
"2004-07-29",25,25.496,25,25.290001,2417000,16.0245
"2004-07-30",25.450001,25.468,24.700001,25.1,2658000,15.904109
"2004-08-02",24.709999,25.292,24.700001,25.08,1427500,15.891439
"2004-08-03",25.129999,25.41,24.966,25.268,1397500,16.010557
"2004-08-04",25.243999,25.247999,24.892,25.040001,1026500,15.866088
"2004-08-05",25.042,25.042,24.200001,24.25,2282000,15.365526
"2004-08-06",24.02,25.976,23.57,25.976,6619000,16.459169
"2004-08-09",25.997999,27.129999,25.966,27.084,5848500,17.161234
"2004-08-10",27.1,27.948,26.222,27.5,7113500,17.424816
"2004-08-11",27.459999,27.622,26.870001,27.462,2982000,17.400743
