"","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume","MNST.Adjusted"
"2001-04-12",0.072292,0.072917,0.06875,0.06875,998400,0.06875
"2001-04-16",0.074375,0.078958,0.067708,0.067708,244800,0.067708
"2001-04-17",0.067708,0.067917,0.067708,0.067708,1027200,0.067708
"2001-04-18",0.067917,0.06875,0.067917,0.06875,91200,0.06875
"2001-04-19",0.067708,0.067708,0.067708,0.067708,57600,0.067708
"2001-04-20",0.0675,0.06875,0.0675,0.067708,139200,0.067708
"2001-04-23",0.067917,0.06875,0.067708,0.06875,124800,0.06875
"2001-04-24",0.067917,0.06875,0.067708,0.067708,254400,0.067708
"2001-04-25",0.067708,0.068958,0.067708,0.068958,33600,0.068958
"2001-04-26",0.067708,0.070417,0.067708,0.068958,292800,0.068958
"2001-04-27",0.068958,0.068958,0.067708,0.068958,777600,0.068958
"2001-04-30",0.067917,0.067917,0.067917,0.067917,48000,0.067917
"2001-05-01",0.067917,0.067917,0.062917,0.062917,1104000,0.062917
"2001-05-02",0.065417,0.066458,0.063333,0.066458,33600,0.066458
"2001-05-03",0.065833,0.06625,0.065833,0.06625,120000,0.06625
"2001-05-04",0.061458,0.065625,0.053958,0.06375,1233600,0.06375
"2001-05-07",0.064167,0.064167,0.059583,0.061458,676800,0.061458
"2001-05-08",0.061042,0.062292,0.0575,0.061042,4387200,0.061042
"2001-05-09",0.061042,0.061042,0.06,0.061042,144000,0.061042
"2001-05-10",0.060417,0.06125,0.060417,0.061042,504000,0.061042
"2001-05-11",0.061042,0.062917,0.06,0.062708,609600,0.062708
"2001-05-14",0.063333,0.063333,0.0625,0.0625,1636800,0.0625
"2001-05-15",0.061667,0.062708,0.061667,0.0625,225600,0.0625
"2001-05-16",0.06125,0.066667,0.06125,0.06375,504000,0.06375
"2001-05-17",0.06375,0.06375,0.06375,0.06375,57600,0.06375
"2001-05-18",0.065417,0.065625,0.06375,0.065625,57600,0.065625
"2001-05-21",0.065417,0.065417,0.064375,0.064375,240000,0.064375
"2001-05-22",0.064792,0.065417,0.0625,0.064167,744000,0.064167
"2001-05-23",0.064167,0.065,0.063333,0.065,369600,0.065
"2001-05-24",0.063542,0.064583,0.063542,0.063542,43200,0.063542
"2001-05-25",0.063542,0.065,0.063542,0.064583,201600,0.064583
"2001-05-29",0.064167,0.064583,0.063542,0.063542,81600,0.063542
"2001-05-30",0.063542,0.06375,0.063542,0.06375,129600,0.06375
"2001-05-31",0.063542,0.064167,0.063542,0.064167,172800,0.064167
"2001-06-01",0.064167,0.064167,0.064167,0.064167,0,0.064167
"2001-06-04",0.064167,0.064167,0.064167,0.064167,72000,0.064167
"2001-06-05",0.06375,0.06375,0.063542,0.063542,235200,0.063542
"2001-06-06",0.063542,0.066667,0.063542,0.066667,326400,0.066667
"2001-06-07",0.066458,0.067708,0.0625,0.067708,921600,0.067708
"2001-06-08",0.067917,0.06875,0.067917,0.068542,355200,0.068542
"2001-06-11",0.067708,0.067708,0.064167,0.06625,350400,0.06625
"2001-06-12",0.064167,0.066667,0.064167,0.066667,86400,0.066667
"2001-06-13",0.064792,0.066667,0.063542,0.066667,168000,0.066667
"2001-06-14",0.064792,0.065208,0.064792,0.065208,86400,0.065208
"2001-06-15",0.065625,0.065625,0.065417,0.065417,216000,0.065417
"2001-06-18",0.065417,0.065625,0.064792,0.064792,278400,0.064792
"2001-06-19",0.064792,0.065625,0.064792,0.065625,124800,0.065625
"2001-06-20",0.064792,0.065833,0.064792,0.065833,326400,0.065833
"2001-06-21",0.065833,0.0675,0.065625,0.066667,571200,0.066667
"2001-06-22",0.065625,0.065833,0.065625,0.065833,120000,0.065833
"2001-06-25",0.065833,0.067708,0.065625,0.066667,2126400,0.066667
"2001-06-26",0.066667,0.067708,0.064583,0.064583,3691200,0.064583
"2001-06-27",0.064583,0.06875,0.064583,0.066667,1017600,0.066667
"2001-06-28",0.066667,0.067708,0.066667,0.067708,72000,0.067708
"2001-06-29",0.068958,0.070833,0.067708,0.070833,321600,0.070833
"2001-07-02",0.070833,0.074167,0.069375,0.074167,307200,0.074167
"2001-07-03",0.074583,0.074792,0.072917,0.072917,81600,0.072917
"2001-07-05",0.074583,0.076458,0.073958,0.075,408000,0.075
"2001-07-06",0.075,0.075,0.075,0.075,240000,0.075
"2001-07-09",0.073125,0.076667,0.073125,0.076042,470400,0.076042
"2001-07-10",0.073125,0.076042,0.0725,0.075417,307200,0.075417
"2001-07-11",0.0725,0.078542,0.0725,0.078542,1612800,0.078542
"2001-07-12",0.080208,0.080417,0.079375,0.079583,580800,0.079583
"2001-07-13",0.079583,0.080417,0.078125,0.079167,345600,0.079167
"2001-07-16",0.079167,0.080208,0.078125,0.079167,734400,0.079167
"2001-07-17",0.080208,0.080208,0.079167,0.079167,187200,0.079167
"2001-07-18",0.080208,0.080208,0.078125,0.078958,700800,0.078958
"2001-07-19",0.079167,0.079167,0.078958,0.078958,172800,0.078958
"2001-07-20",0.078958,0.080417,0.078958,0.079583,1089600,0.079583
"2001-07-23",0.080625,0.08125,0.080208,0.08125,393600,0.08125
"2001-07-24",0.080417,0.08125,0.080208,0.08125,345600,0.08125
"2001-07-25",0.080208,0.08125,0.08,0.08125,340800,0.08125
"2001-07-26",0.079792,0.079792,0.079792,0.079792,24000,0.079792
"2001-07-27",0.079167,0.080833,0.079167,0.080208,264000,0.080208
"2001-07-30",0.080833,0.080833,0.079167,0.080417,451200,0.080417
"2001-07-31",0.080417,0.080417,0.079375,0.080208,456000,0.080208
"2001-08-01",0.080208,0.080833,0.080208,0.080625,196800,0.080625
"2001-08-02",0.080833,0.0825,0.080208,0.081667,628800,0.081667
"2001-08-03",0.081458,0.082917,0.08125,0.082917,345600,0.082917
"2001-08-06",0.078333,0.082917,0.078333,0.080208,590400,0.080208
"2001-08-07",0.080417,0.082292,0.078125,0.08125,811200,0.08125
"2001-08-08",0.078125,0.080208,0.078125,0.079167,211200,0.079167
"2001-08-09",0.079375,0.082292,0.079167,0.081875,1944000,0.081875
"2001-08-10",0.082083,0.083333,0.080833,0.081042,916800,0.081042
"2001-08-13",0.082083,0.082292,0.080208,0.081875,456000,0.081875
"2001-08-14",0.081458,0.082292,0.081042,0.08125,609600,0.08125
"2001-08-15",0.08125,0.08125,0.080208,0.080208,91200,0.080208
"2001-08-16",0.080417,0.08125,0.080208,0.08125,168000,0.08125
"2001-08-17",0.080833,0.082917,0.080417,0.082708,907200,0.082708
"2001-08-20",0.082708,0.082708,0.082708,0.082708,0,0.082708
"2001-08-21",0.081458,0.081667,0.08125,0.081667,153600,0.081667
"2001-08-22",0.081667,0.082292,0.081667,0.082292,86400,0.082292
"2001-08-23",0.08125,0.08125,0.08125,0.08125,240000,0.08125
"2001-08-24",0.08125,0.08125,0.08125,0.08125,0,0.08125
"2001-08-27",0.081875,0.081875,0.080208,0.080208,72000,0.080208
"2001-08-28",0.080208,0.082917,0.079167,0.079167,412800,0.079167
"2001-08-29",0.079167,0.079167,0.079167,0.079167,38400,0.079167
"2001-08-30",0.079167,0.079375,0.079167,0.079375,110400,0.079375
"2001-08-31",0.079167,0.080833,0.079167,0.080833,984000,0.080833
"2001-09-04",0.081875,0.082292,0.078125,0.078125,38400,0.078125
"2001-09-05",0.078125,0.082292,0.078125,0.082292,345600,0.082292
"2001-09-06",0.080208,0.082292,0.080208,0.082292,1070400,0.082292
"2001-09-07",0.079167,0.079167,0.079167,0.079167,14400,0.079167
"2001-09-10",0.079167,0.08125,0.079167,0.08125,278400,0.08125
"2001-09-17",0.08125,0.08125,0.072917,0.078333,331200,0.078333
"2001-09-18",0.080208,0.080208,0.07625,0.07625,292800,0.07625
"2001-09-19",0.076458,0.076458,0.059167,0.07,1382400,0.07
"2001-09-20",0.066667,0.07125,0.066667,0.07125,206400,0.07125
"2001-09-21",0.067083,0.072917,0.066875,0.07,225600,0.07
"2001-09-24",0.0725,0.073958,0.069792,0.072917,230400,0.072917
"2001-09-25",0.070833,0.071042,0.070833,0.071042,72000,0.071042
"2001-09-26",0.071875,0.072917,0.066667,0.066667,273600,0.066667
"2001-09-27",0.067708,0.072917,0.067708,0.072917,38400,0.072917
"2001-09-28",0.064583,0.072917,0.064583,0.072917,230400,0.072917
"2001-10-01",0.071042,0.075417,0.071042,0.075417,52800,0.075417
"2001-10-02",0.070833,0.070833,0.064167,0.06875,158400,0.06875
"2001-10-03",0.06875,0.06875,0.06875,0.06875,62400,0.06875
"2001-10-04",0.06875,0.070833,0.06875,0.06875,134400,0.06875
"2001-10-05",0.070833,0.075417,0.070833,0.075417,235200,0.075417
"2001-10-08",0.069792,0.072917,0.069792,0.072917,28800,0.072917
"2001-10-09",0.072917,0.072917,0.070833,0.072917,355200,0.072917
"2001-10-10",0.070833,0.071875,0.070833,0.071875,144000,0.071875
"2001-10-11",0.071875,0.072917,0.071875,0.071875,67200,0.071875
"2001-10-12",0.071042,0.072917,0.070833,0.070833,100800,0.070833
"2001-10-15",0.071042,0.072917,0.071042,0.072917,48000,0.072917
"2001-10-16",0.072917,0.072917,0.07125,0.07125,163200,0.07125
"2001-10-17",0.07125,0.07125,0.07125,0.07125,100800,0.07125
"2001-10-18",0.072708,0.072708,0.07125,0.071458,129600,0.071458
"2001-10-19",0.071458,0.071875,0.071458,0.071875,134400,0.071875
"2001-10-22",0.0725,0.079167,0.0725,0.078958,763200,0.078958
"2001-10-23",0.079167,0.079792,0.078333,0.079792,153600,0.079792
"2001-10-24",0.079167,0.081042,0.07875,0.079167,460800,0.079167
"2001-10-25",0.079167,0.079167,0.079167,0.079167,0,0.079167
"2001-10-26",0.078125,0.08125,0.075,0.08125,432000,0.08125
"2001-10-29",0.076042,0.076458,0.076042,0.076042,57600,0.076042
"2001-10-30",0.080625,0.085417,0.080417,0.083125,1660800,0.083125
"2001-10-31",0.082917,0.082917,0.080833,0.082292,139200,0.082292
"2001-11-01",0.080417,0.083333,0.080417,0.083333,1051200,0.083333
"2001-11-02",0.082292,0.08375,0.081667,0.082292,316800,0.082292
"2001-11-05",0.083125,0.083333,0.076458,0.077083,288000,0.077083
"2001-11-06",0.077292,0.078125,0.077083,0.078125,345600,0.078125
"2001-11-07",0.080208,0.080208,0.08,0.08,9600,0.08
"2001-11-08",0.079792,0.08125,0.078125,0.078125,201600,0.078125
"2001-11-09",0.081458,0.081667,0.078542,0.080208,192000,0.080208
"2001-11-12",0.08,0.083333,0.08,0.083333,225600,0.083333
"2001-11-13",0.082292,0.083125,0.081458,0.0825,528000,0.0825
"2001-11-14",0.08125,0.083125,0.08125,0.083125,129600,0.083125
"2001-11-15",0.081458,0.083125,0.08125,0.0825,470400,0.0825
"2001-11-16",0.083333,0.08375,0.082292,0.082708,825600,0.082708
"2001-11-19",0.08125,0.083542,0.08125,0.083333,307200,0.083333
"2001-11-20",0.080833,0.083333,0.080833,0.083333,628800,0.083333
"2001-11-21",0.080417,0.080417,0.080417,0.080417,4800,0.080417
"2001-11-23",0.083958,0.084167,0.082292,0.082292,129600,0.082292
"2001-11-26",0.083333,0.083333,0.082292,0.082292,355200,0.082292
"2001-11-27",0.083333,0.084375,0.082292,0.082292,292800,0.082292
"2001-11-28",0.084375,0.084375,0.082292,0.082292,384000,0.082292
"2001-11-29",0.082292,0.0825,0.082292,0.082292,28800,0.082292
"2001-11-30",0.082292,0.083333,0.082292,0.083333,585600,0.083333
"2001-12-03",0.081875,0.083333,0.081875,0.083333,403200,0.083333
"2001-12-04",0.083333,0.083333,0.081458,0.081458,417600,0.081458
"2001-12-05",0.082292,0.082917,0.082083,0.082917,316800,0.082917
"2001-12-06",0.082917,0.083333,0.0825,0.083333,225600,0.083333
"2001-12-07",0.084167,0.084375,0.082917,0.083333,67200,0.083333
"2001-12-10",0.083125,0.084792,0.082292,0.084792,129600,0.084792
"2001-12-11",0.082292,0.083125,0.082292,0.083125,148800,0.083125
"2001-12-12",0.0825,0.084375,0.0825,0.084375,408000,0.084375
"2001-12-13",0.08625,0.08625,0.084375,0.084375,28800,0.084375
"2001-12-14",0.085417,0.086458,0.085417,0.086458,48000,0.086458
"2001-12-17",0.085833,0.086875,0.085833,0.086875,211200,0.086875
"2001-12-18",0.084792,0.087708,0.084792,0.087708,43200,0.087708
"2001-12-19",0.085833,0.085833,0.085833,0.085833,72000,0.085833
"2001-12-20",0.083542,0.087917,0.083333,0.0875,446400,0.0875
"2001-12-21",0.084583,0.084583,0.082292,0.084375,369600,0.084375
"2001-12-24",0.078542,0.079583,0.078333,0.078333,926400,0.078333
"2001-12-26",0.079167,0.084583,0.079167,0.084583,595200,0.084583
"2001-12-27",0.085417,0.088542,0.085417,0.088542,624000,0.088542
"2001-12-28",0.085417,0.086458,0.085208,0.085208,628800,0.085208
"2001-12-31",0.086458,0.0875,0.085208,0.0875,916800,0.0875
"2002-01-02",0.088333,0.093542,0.085,0.085417,2884800,0.085417
"2002-01-03",0.085,0.091667,0.083333,0.0875,273600,0.0875
"2002-01-04",0.087708,0.090625,0.0875,0.089583,220800,0.089583
"2002-01-07",0.0875,0.089583,0.0875,0.089583,206400,0.089583
"2002-01-08",0.087708,0.092708,0.087708,0.09125,6e+05,0.09125
"2002-01-09",0.091875,0.091875,0.088958,0.088958,19200,0.088958
"2002-01-10",0.091667,0.091667,0.089375,0.089583,1963200,0.089583
"2002-01-11",0.090625,0.090625,0.08875,0.089792,1012800,0.089792
"2002-01-14",0.087708,0.088542,0.0875,0.0875,172800,0.0875
"2002-01-15",0.087708,0.088542,0.087708,0.087708,201600,0.087708
"2002-01-16",0.087917,0.088542,0.087917,0.087917,292800,0.087917
"2002-01-17",0.087708,0.087708,0.085833,0.086875,604800,0.086875
"2002-01-18",0.085833,0.09,0.085625,0.09,667200,0.09
"2002-01-22",0.085625,0.087917,0.085625,0.087917,254400,0.087917
"2002-01-23",0.085625,0.0875,0.085625,0.0875,19200,0.0875
"2002-01-24",0.089167,0.089167,0.089167,0.089167,4800,0.089167
"2002-01-25",0.0875,0.0875,0.0875,0.0875,33600,0.0875
"2002-01-28",0.0875,0.088958,0.085625,0.085625,321600,0.085625
"2002-01-29",0.087917,0.08875,0.085833,0.086458,240000,0.086458
"2002-01-30",0.085625,0.086667,0.085625,0.086667,86400,0.086667
"2002-01-31",0.086667,0.086667,0.086667,0.086667,0,0.086667
"2002-02-01",0.086667,0.086667,0.085417,0.086458,446400,0.086458
"2002-02-04",0.085625,0.0875,0.085625,0.087292,657600,0.087292
"2002-02-05",0.085625,0.085625,0.081875,0.083333,734400,0.083333
"2002-02-06",0.084375,0.084375,0.084375,0.084375,57600,0.084375
"2002-02-07",0.087083,0.087083,0.086458,0.087083,81600,0.087083
"2002-02-08",0.086458,0.086458,0.086042,0.08625,364800,0.08625
"2002-02-11",0.08625,0.08625,0.085625,0.08625,225600,0.08625
"2002-02-12",0.08625,0.08625,0.08625,0.08625,0,0.08625
"2002-02-13",0.085625,0.086667,0.085625,0.086458,772800,0.086458
"2002-02-14",0.086667,0.086667,0.086667,0.086667,14400,0.086667
"2002-02-15",0.08625,0.08625,0.08625,0.08625,158400,0.08625
"2002-02-19",0.083333,0.085417,0.083333,0.085417,52800,0.085417
"2002-02-20",0.085417,0.08625,0.085417,0.08625,259200,0.08625
"2002-02-21",0.083333,0.083333,0.082292,0.082292,532800,0.082292
"2002-02-22",0.081042,0.083333,0.081042,0.083333,1084800,0.083333
"2002-02-25",0.08125,0.084375,0.08125,0.083958,945600,0.083958
"2002-02-26",0.083542,0.084583,0.083542,0.084583,28800,0.084583
"2002-02-27",0.085417,0.086667,0.085417,0.085417,187200,0.085417
"2002-02-28",0.083542,0.08625,0.083542,0.08625,283200,0.08625
"2002-03-01",0.083333,0.084375,0.083333,0.084375,48000,0.084375
"2002-03-04",0.084375,0.086042,0.084375,0.085417,1905600,0.085417
"2002-03-05",0.084375,0.086458,0.084167,0.084583,259200,0.084583
"2002-03-06",0.083542,0.083542,0.083542,0.083542,4800,0.083542
"2002-03-07",0.083333,0.083333,0.083333,0.083333,873600,0.083333
"2002-03-08",0.079583,0.08125,0.079583,0.08125,268800,0.08125
"2002-03-11",0.080417,0.083125,0.080417,0.083125,57600,0.083125
"2002-03-12",0.082917,0.085,0.082917,0.085,62400,0.085
"2002-03-13",0.083333,0.083333,0.083333,0.083333,163200,0.083333
"2002-03-14",0.083333,0.084375,0.081458,0.084375,369600,0.084375
"2002-03-15",0.084167,0.084375,0.08375,0.084375,120000,0.084375
"2002-03-18",0.083333,0.085208,0.082083,0.085208,57600,0.085208
"2002-03-19",0.08125,0.084792,0.08125,0.083333,264000,0.083333
"2002-03-20",0.081667,0.085417,0.081667,0.085417,168000,0.085417
"2002-03-21",0.083542,0.083542,0.083542,0.083542,48000,0.083542
"2002-03-22",0.083542,0.085417,0.083542,0.085417,86400,0.085417
"2002-03-25",0.085417,0.085417,0.084375,0.084792,220800,0.084792
"2002-03-26",0.085417,0.0875,0.085417,0.086667,1747200,0.086667
"2002-03-27",0.085625,0.086458,0.085625,0.086458,547200,0.086458
"2002-03-28",0.086458,0.087917,0.08625,0.087917,2174400,0.087917
"2002-04-01",0.0875,0.08875,0.0875,0.088542,830400,0.088542
"2002-04-02",0.089583,0.089583,0.0875,0.0875,158400,0.0875
"2002-04-03",0.08625,0.08625,0.085417,0.085417,67200,0.085417
"2002-04-04",0.08875,0.090417,0.088542,0.088542,211200,0.088542
"2002-04-05",0.086667,0.089167,0.086667,0.0875,278400,0.0875
"2002-04-08",0.0875,0.089583,0.0875,0.089583,379200,0.089583
"2002-04-09",0.090417,0.090625,0.088542,0.090625,307200,0.090625
"2002-04-10",0.0875,0.089583,0.0875,0.087708,105600,0.087708
"2002-04-11",0.087708,0.087708,0.084375,0.084583,326400,0.084583
"2002-04-12",0.085208,0.086458,0.083333,0.083333,177600,0.083333
"2002-04-15",0.083333,0.083542,0.083333,0.083542,81600,0.083542
"2002-04-16",0.0825,0.088542,0.0825,0.085833,297600,0.085833
"2002-04-17",0.084375,0.084375,0.084375,0.084375,19200,0.084375
"2002-04-18",0.083333,0.083333,0.083333,0.083333,9600,0.083333
"2002-04-19",0.083333,0.083333,0.083333,0.083333,0,0.083333
"2002-04-22",0.083333,0.083542,0.083333,0.083333,412800,0.083333
"2002-04-23",0.083333,0.085417,0.083333,0.085417,412800,0.085417
"2002-04-24",0.0875,0.0875,0.083333,0.083333,739200,0.083333
"2002-04-25",0.085417,0.088333,0.084792,0.084792,43200,0.084792
"2002-04-26",0.085417,0.085417,0.085417,0.085417,19200,0.085417
"2002-04-29",0.083333,0.086458,0.083333,0.086458,547200,0.086458
"2002-04-30",0.083542,0.086458,0.083542,0.084375,288000,0.084375
"2002-05-01",0.083333,0.084375,0.083333,0.084375,52800,0.084375
"2002-05-02",0.084375,0.086458,0.083333,0.085625,408000,0.085625
"2002-05-03",0.083958,0.084167,0.083958,0.083958,292800,0.083958
"2002-05-06",0.083958,0.083958,0.083333,0.083333,81600,0.083333
"2002-05-07",0.083333,0.083333,0.08125,0.08125,129600,0.08125
"2002-05-08",0.083125,0.083333,0.08125,0.08125,33600,0.08125
"2002-05-09",0.084167,0.084375,0.082292,0.082292,225600,0.082292
"2002-05-10",0.08125,0.083333,0.078125,0.078125,384000,0.078125
"2002-05-13",0.081042,0.081042,0.077708,0.078958,144000,0.078958
"2002-05-14",0.077708,0.079167,0.077708,0.079167,19200,0.079167
"2002-05-15",0.077917,0.08125,0.077917,0.080208,129600,0.080208
"2002-05-16",0.079375,0.085,0.079375,0.083333,67200,0.083333
"2002-05-17",0.086042,0.088542,0.079375,0.085417,604800,0.085417
"2002-05-20",0.083333,0.0875,0.083333,0.086458,336000,0.086458
"2002-05-21",0.086458,0.0875,0.086458,0.087083,182400,0.087083
"2002-05-22",0.085417,0.088125,0.085417,0.0875,566400,0.0875
"2002-05-23",0.085417,0.085417,0.085417,0.085417,9600,0.085417
"2002-05-24",0.088542,0.088542,0.085208,0.085208,14400,0.085208
"2002-05-28",0.085208,0.088542,0.081042,0.087083,1036800,0.087083
"2002-05-29",0.085208,0.0875,0.085208,0.0875,14400,0.0875
"2002-05-30",0.086458,0.08875,0.08625,0.088542,1243200,0.088542
"2002-05-31",0.08875,0.088958,0.086667,0.088542,134400,0.088542
"2002-06-03",0.086667,0.086875,0.084375,0.084375,504000,0.084375
"2002-06-04",0.084375,0.084375,0.083333,0.084375,81600,0.084375
"2002-06-05",0.083542,0.085,0.083542,0.084583,139200,0.084583
"2002-06-06",0.084792,0.086875,0.084792,0.086875,336000,0.086875
"2002-06-07",0.083542,0.086667,0.083542,0.085417,105600,0.085417
"2002-06-10",0.088125,0.091667,0.087917,0.088542,436800,0.088542
"2002-06-11",0.089583,0.089583,0.089583,0.089583,499200,0.089583
"2002-06-12",0.086875,0.087292,0.086875,0.087292,220800,0.087292
"2002-06-13",0.085208,0.085208,0.085208,0.085208,9600,0.085208
"2002-06-14",0.085625,0.086667,0.084375,0.085208,340800,0.085208
"2002-06-17",0.085417,0.085625,0.082917,0.082917,96000,0.082917
"2002-06-18",0.085,0.085,0.082917,0.083333,96000,0.083333
"2002-06-19",0.082917,0.084792,0.082917,0.083333,384000,0.083333
"2002-06-20",0.083542,0.085417,0.083542,0.085417,216000,0.085417
"2002-06-21",0.086042,0.086458,0.084375,0.084583,201600,0.084583
"2002-06-24",0.088542,0.088542,0.084583,0.085417,62400,0.085417
"2002-06-25",0.088542,0.088542,0.085417,0.087917,206400,0.087917
"2002-06-26",0.088958,0.088958,0.085417,0.086458,547200,0.086458
"2002-06-27",0.085417,0.088333,0.085417,0.088333,196800,0.088333
"2002-06-28",0.088542,0.088542,0.088542,0.088542,129600,0.088542
"2002-07-01",0.089375,0.089375,0.086458,0.087083,134400,0.087083
"2002-07-02",0.086458,0.087292,0.084167,0.084583,662400,0.084583
"2002-07-03",0.083958,0.0875,0.083958,0.084167,566400,0.084167
"2002-07-05",0.084167,0.084167,0.084167,0.084167,0,0.084167
"2002-07-08",0.085417,0.085625,0.08125,0.08125,225600,0.08125
"2002-07-09",0.080833,0.08125,0.079167,0.080208,926400,0.080208
"2002-07-10",0.083333,0.089583,0.079167,0.079167,211200,0.079167
"2002-07-11",0.088958,0.088958,0.079167,0.088542,144000,0.088542
"2002-07-12",0.088542,0.088542,0.074375,0.074375,211200,0.074375
"2002-07-15",0.086875,0.087917,0.077083,0.079167,283200,0.079167
"2002-07-16",0.082292,0.083333,0.082292,0.083333,33600,0.083333
"2002-07-17",0.082292,0.083333,0.082292,0.083333,355200,0.083333
"2002-07-18",0.083125,0.083333,0.083125,0.083333,312000,0.083333
"2002-07-19",0.083333,0.083333,0.083333,0.083333,52800,0.083333
