"","AMG.Open","AMG.High","AMG.Low","AMG.Close","AMG.Volume","AMG.Adjusted"
"2001-03-28",32.299999,32.400002,30.866667,31.466667,296400,30.745926
"2001-03-29",31.333334,32.346668,30.559999,30.826666,395200,30.120584
"2001-03-30",30.826666,31.333334,30.459999,31.333334,172000,30.61565
"2001-04-02",31.233334,31.333334,30.433332,30.673334,281800,29.970768
"2001-04-03",30.673334,30.799999,28.866667,29.066668,121600,28.4009
"2001-04-04",29.233334,29.766666,28.700001,29.200001,281500,28.531178
"2001-04-05",29.326666,31.933332,29.326666,31.466667,474900,30.745926
"2001-04-06",31.533333,31.533333,30.366667,30.700001,209200,29.996822
"2001-04-09",31.033333,31.860001,30.666666,30.993334,257500,30.283434
"2001-04-10",31.533333,32.833332,31.533333,32.233334,479800,31.495033
"2001-04-11",33.333332,33.900002,32.68,32.813332,270000,32.061741
"2001-04-12",32.813332,33.333332,32.213333,32.813332,220800,32.061741
"2001-04-16",32.933334,33,31.533333,31.866667,249600,31.136765
"2001-04-17",31.866667,32.546665,31.866667,32.533333,145800,31.788162
"2001-04-18",32.833332,35.466667,32.833332,34.626667,377700,33.833546
"2001-04-19",34.400002,34.599998,33.599998,34.466667,160300,33.677208
"2001-04-20",34.333332,34.633335,34,34.413334,136800,33.625103
"2001-04-23",34.133335,34.153332,33.833332,33.913334,82300,33.136551
"2001-04-24",34,34,33.200001,33.333332,421500,32.569828
"2001-04-25",32.900002,34.66,32.666668,34.66,281100,33.866112
"2001-04-26",34.666668,37.266666,34.666668,36.866665,229200,36.022236
"2001-04-27",37.073334,38.333332,36.533333,36.886665,289000,36.041779
"2001-04-30",37.033333,38,37.033333,37.48,196800,36.621521
"2001-05-01",37.400002,37.893333,36.926666,37.086666,266500,36.237202
"2001-05-02",35.200001,36.133335,35.066666,35.726665,1044100,34.908356
"2001-05-03",36.200001,36.666668,35.833332,36.026669,782100,35.201481
"2001-05-04",35.693333,36.593334,35.533333,36.593334,800200,35.755173
"2001-05-07",36.626667,37.133335,36.393333,37.013332,575800,36.165546
"2001-05-08",37.546665,37.933334,36.880001,37.566666,625000,36.706196
"2001-05-09",37.566666,37.793335,37.466667,37.533333,367300,36.673634
"2001-05-10",37.599998,37.733334,36.799999,37.693333,203700,36.829971
"2001-05-11",37.826668,38.226665,36.98,36.98,97900,36.132977
"2001-05-14",37.046665,37.046665,36.653332,36.666668,178900,35.826828
"2001-05-15",36.833332,37.360001,36.673332,37.360001,174400,36.504276
"2001-05-16",37.266666,38.333332,36.533333,38.333332,602400,37.455315
"2001-05-17",39,39.666668,38.759998,38.973331,225000,38.080654
"2001-05-18",38.906666,39.033333,37.933334,38.366665,310600,37.487881
"2001-05-21",38.666668,38.666668,38.366665,38.513332,251100,37.631191
"2001-05-22",38.133335,39.433334,38.133335,39.066666,239800,38.171844
"2001-05-23",39.073334,39.326668,38.400002,38.406666,134700,37.526966
"2001-05-24",38.433334,39.233334,38.366665,38.953335,203200,38.061111
"2001-05-25",38.993332,39.833332,38.993332,39.5,153400,38.595261
"2001-05-29",39.5,40.133335,38.266666,38.266666,266100,37.390171
"2001-05-30",38.266666,39.353333,37.799999,37.799999,220500,36.934196
"2001-05-31",37.666668,38.466667,37.346668,37.346668,224700,36.491241
"2001-06-01",37.599998,38.766666,37.593334,38.666668,321100,37.781017
"2001-06-04",38.673332,39.493332,38.673332,39.48,146500,38.575714
"2001-06-05",39.48,40.493332,39.48,40.34,246600,39.416016
"2001-06-06",40.333332,40.333332,39.633335,39.853333,141400,38.940495
"2001-06-07",39.933334,41.126667,39.906666,41.113335,503400,40.171642
"2001-06-08",41.113335,42.393333,41.113335,42.006668,322900,41.044506
"2001-06-11",42,42.666668,41.133335,41.213333,271800,40.269344
"2001-06-12",41.066666,42.333332,40.366665,42.206665,412600,41.239929
"2001-06-13",42.206665,42.5,41.966667,42.133335,187300,41.168274
"2001-06-14",42,42,40.873333,40.959999,368200,40.02182
"2001-06-15",40.959999,42.133335,40.866665,42.126667,291100,41.161758
"2001-06-18",42.060001,42.766666,40.426666,40.666668,266100,39.735199
"2001-06-19",41.666668,41.993332,40.986668,41.033333,201300,40.093475
"2001-06-20",41.033333,42.299999,41.033333,41.986668,292200,41.024967
"2001-06-21",42.086666,43.18,41.493332,41.793335,291600,40.83606
"2001-06-22",41.799999,42.119999,41.766666,42.119999,244600,41.155247
"2001-06-25",42.666668,43.266666,41.459999,41.459999,195300,40.510365
"2001-06-26",41,42.333332,40.400002,42.093334,444000,41.129196
"2001-06-27",42.093334,42.366665,41.666668,42,88500,41.037991
"2001-06-28",42.200001,42.833332,41.993332,42.599998,301200,41.624252
"2001-06-29",42.700001,43.32,41,41,547000,40.060898
"2001-07-02",41.099998,41.713333,41.093334,41.233334,271300,40.288887
"2001-07-03",41.299999,41.833332,41.133335,41.333332,115200,40.386597
"2001-07-05",41.400002,41.720001,41.333332,41.573334,139500,40.621101
"2001-07-06",41.5,41.5,40.206665,40.273335,159400,39.350876
"2001-07-09",40.206665,40.566666,39.466667,39.526669,244300,38.621315
"2001-07-10",39.633335,39.866665,38.466667,38.473331,399600,37.592102
"2001-07-11",38.5,38.633335,38.066666,38.333332,307900,37.455315
"2001-07-12",38.52,39.593334,38.52,39.133335,171400,38.236992
"2001-07-13",39.299999,39.98,39.299999,39.599998,189600,38.692963
"2001-07-16",39.666668,40,38.666668,38.733334,192900,37.846146
"2001-07-17",38.566666,39.119999,38.200001,39.119999,254400,38.223957
"2001-07-18",39.286667,39.333332,38.933334,38.933334,84000,38.041573
"2001-07-19",39.099998,39.099998,37.833332,38.066666,156300,37.194752
"2001-07-20",37.900002,39.026669,37.866665,38.893333,113200,38.002487
"2001-07-23",39.060001,40.259998,38.959999,39.466667,201600,38.562691
"2001-07-24",39.366665,39.366665,38.733334,38.733334,336000,37.846146
"2001-07-25",38.666668,39.153332,38,39,449200,38.106705
"2001-07-26",40.333332,42.466667,40.333332,41.939999,443400,40.979366
"2001-07-27",42.333332,45.933334,42.333332,45.32,1399600,44.281952
"2001-07-30",45.200001,45.206665,44.033333,44.200001,552100,43.187599
"2001-07-31",44.033333,45.16,44.013332,45.16,560400,44.125614
"2001-08-01",45.16,46,45.16,45.673332,529300,44.62719
"2001-08-02",45.566666,45.566666,45.133335,45.433334,191100,44.392681
"2001-08-03",45.439999,45.666668,45.293335,45.666668,165700,44.620674
"2001-08-06",45.666668,45.793335,44.513332,44.666668,159100,43.643581
"2001-08-07",44.673332,44.866665,44.32,44.84,76600,43.812939
"2001-08-08",44.84,44.84,43.733334,43.900002,213400,42.894478
"2001-08-09",43.833332,43.993332,43.006668,43.526669,237400,42.529697
"2001-08-10",43.526669,43.866665,42.666668,42.84,415600,41.858761
"2001-08-13",42.84,43.993332,42.426666,43.933334,327300,42.927044
"2001-08-14",44.099998,45.086666,44.013332,44.413334,330600,43.396049
"2001-08-15",44.246666,44.299999,43.466667,43.833332,218400,42.82933
"2001-08-16",43.933334,43.933334,43.326668,43.746666,190000,42.744652
"2001-08-17",43.580002,43.639999,42.533333,42.733334,162700,41.754536
"2001-08-20",42.733334,43.233334,42.733334,43.099998,170700,42.112801
"2001-08-21",43.099998,44.599998,43.099998,43.166668,255600,42.177944
"2001-08-22",43.366665,44.893333,43.353333,44.833332,497100,43.806423
"2001-08-23",44.766666,45.080002,43.666668,44.593334,259900,43.571926
"2001-08-24",44.5,45.919998,44.466667,45.833332,273300,44.783531
"2001-08-27",45.766666,45.866665,45,45.333332,287800,44.294975
"2001-08-28",45.34,45.34,43.933334,44.093334,168600,43.083378
"2001-08-29",44.093334,44.919998,44.073334,44.866665,382500,43.838997
"2001-08-30",44.833332,48,44.82,47.933334,712800,46.835423
"2001-08-31",48.166668,48.266666,46.560001,47.266666,943300,46.184032
"2001-09-04",47.266666,47.333332,46.099998,46.466667,384300,45.402363
"2001-09-05",46.400002,46.666668,45.799999,46.233334,309400,45.174358
"2001-09-06",46.299999,46.526669,44.786667,45,483700,43.96928
"2001-09-07",44.5,44.826668,43.453335,44.439999,540300,43.422108
"2001-09-10",44.32,44.653332,43.599998,44.279999,604800,43.265774
"2001-09-17",42.400002,42.533333,40.666668,41.013332,774900,40.073925
"2001-09-18",41.013332,41.766666,40.880001,41.233334,233500,40.288887
"2001-09-19",41.233334,41.566666,37.706665,38.666668,1114500,37.781017
"2001-09-20",37.366665,37.766666,36.666668,36.673332,919500,35.83334
"2001-09-21",36.666668,37.400002,35.473331,37.400002,625000,36.543358
"2001-09-24",37.400002,40.333332,37.400002,40.333332,435900,39.409508
"2001-09-25",39.833332,40.333332,38.633335,39.393333,492600,38.491043
"2001-09-26",39.639999,39.639999,38.666668,39,349600,38.106705
"2001-09-27",38.666668,38.666668,36.299999,37.386665,845700,36.530327
"2001-09-28",37.493332,38.733334,37.233334,37.873333,700200,37.005848
"2001-10-01",37.873333,38.133335,37.266666,37.860001,377500,36.992821
"2001-10-02",37.733334,38.333332,37.473331,38.046665,264900,37.175209
"2001-10-03",38.053333,41.333332,37.733334,41.333332,795400,40.386597
"2001-10-04",41.466667,42,40.599998,40.806667,459300,39.87199
"2001-10-05",40.639999,40.639999,39.673332,39.826668,259500,38.914444
"2001-10-08",39.66,39.98,38.533333,38.700001,354700,37.81358
"2001-10-09",38.733334,40.533333,38.733334,40.333332,296100,39.409508
"2001-10-10",40.166668,41.666668,39.933334,41.646667,225300,40.692745
"2001-10-11",42,43.32,42,43.166668,417900,42.177944
"2001-10-12",43,43,41.5,42.433334,382200,41.461399
"2001-10-15",42.266666,42.666668,41.333332,41.939999,403900,40.979366
"2001-10-16",42.106667,43.166668,42,42.799999,308700,41.819668
"2001-10-17",42.799999,43.099998,41,41.733334,355300,40.777439
"2001-10-18",41.366665,42.099998,41.200001,41.5,268200,40.54945
"2001-10-19",41.333332,41.373333,40.366665,41.333332,276100,40.386597
"2001-10-22",41.466667,42.766666,41.080002,42.599998,236800,41.624252
"2001-10-23",42.766666,42.766666,42.106667,42.220001,205800,41.252953
"2001-10-24",41.833332,43.099998,41.833332,42.799999,237700,41.819668
"2001-10-25",42.633335,44.259998,41.746666,44.173332,370000,43.161545
"2001-10-26",44.246666,44.246666,42.773335,43.013332,695700,42.028118
"2001-10-29",43.18,43.266666,42.139999,42.153332,227100,41.187805
"2001-10-30",42.200001,42.200001,41.066666,41.646667,204600,40.692745
"2001-10-31",42.333332,42.433334,41.133335,41.133335,215200,40.191185
"2001-11-01",40.966667,41.693333,40.366665,41.693333,340800,40.73835
"2001-11-02",41.933334,43.133335,41.933334,42.926666,256200,41.943439
"2001-11-05",42.799999,43.466667,42.799999,43.266666,165300,42.27565
"2001-11-06",43.099998,44.246666,42.766666,44.233334,225300,43.220173
"2001-11-07",44.240002,45,43.986668,44.400002,309000,43.383022
"2001-11-08",44.66,45.099998,44.5,44.566666,293200,43.545872
"2001-11-09",44.466667,44.566666,43.833332,44,193900,42.992188
"2001-11-12",43.900002,44.133335,42.833332,43.966667,377100,42.959614
"2001-11-13",44.493332,45.18,44.259998,45,573300,43.96928
"2001-11-14",46,46.666668,45.400002,46.533333,735900,45.467499
"2001-11-15",46.366665,46.366665,45.526669,46.18,468300,45.122253
"2001-11-16",46.080002,46.446667,45.299999,45.333332,258400,44.294975
"2001-11-19",45.400002,45.860001,45.099998,45.860001,305400,44.809586
"2001-11-20",45.873333,46.259998,45.200001,45.266666,261100,44.229839
"2001-11-21",45.34,45.700001,45.233334,45.619999,259600,44.575085
"2001-11-23",45.626667,46.299999,45.626667,46.099998,60100,45.044086
"2001-11-26",46.133335,47.139999,46.133335,46.880001,510100,45.806213
"2001-11-27",46.746666,46.833332,45.700001,45.900002,214600,44.848663
"2001-11-28",45.900002,46,44.566666,44.573334,434800,43.552383
"2001-11-29",44.573334,46.166668,43.966667,46.106667,289200,45.050598
"2001-11-30",45.939999,45.939999,45.233334,45.233334,218100,44.197266
"2001-12-03",45.066666,45.066666,44,44.433334,320200,43.415592
"2001-12-04",44.599998,45.66,44.599998,45.333332,231300,44.294975
"2001-12-05",45.5,47.333332,45.5,47.326668,340900,46.242661
"2001-12-06",47.259998,48.826668,47.126667,48.166668,436500,47.063416
"2001-12-07",48.166668,49.133335,48.133335,48.893333,509700,47.77343
"2001-12-10",48.733334,49.066666,47.5,47.533333,242800,46.444592
"2001-12-11",47.639999,47.900002,46.939999,47.200001,218200,46.118889
"2001-12-12",47.366665,47.799999,46.666668,47.733334,183400,46.640007
"2001-12-13",47.566666,48.299999,47.266666,48,196800,46.900562
"2001-12-14",47.933334,48.200001,47.033333,47.439999,208200,46.35339
"2001-12-17",47.400002,48.833332,47.400002,48.733334,422500,47.617096
"2001-12-18",46.666668,47.099998,46.366665,46.793335,2006500,45.721535
"2001-12-19",46.799999,47.16,46.599998,46.686668,441300,45.617317
"2001-12-20",46.700001,47.166668,46.326668,46.533333,299200,45.467499
"2001-12-21",46.700001,46.966667,45.966667,46.273335,497400,45.213448
"2001-12-24",46.273335,46.506668,46.133335,46.226665,45400,45.167847
"2001-12-26",46.333332,46.833332,46.133335,46.279999,98200,45.219963
"2001-12-27",46.326668,46.533333,45.5,46.046665,307900,44.991978
"2001-12-28",46.166668,46.933334,46.16,46.580002,396700,45.513088
"2001-12-31",46.700001,47.16,46.533333,46.986668,219000,45.910442
"2002-01-02",46.866665,46.933334,45.766666,46.933334,218500,45.85833
"2002-01-03",46.766666,48,46.766666,47.693333,330100,46.600922
"2002-01-04",47.860001,48.166668,47.740002,48,873100,46.900562
"2002-01-07",48,48.353333,47.866665,47.986668,320400,46.887539
"2002-01-08",47.986668,47.986668,47.380001,47.573334,387300,46.483669
"2002-01-09",48,48.513332,47.886665,47.893333,639300,46.796345
"2002-01-10",47.766666,48.5,47.406666,47.860001,180700,46.763771
"2002-01-11",47.860001,48.233334,47.466667,47.560001,209500,46.47065
"2002-01-14",47.533333,47.700001,46.34,46.593334,438400,45.526115
"2002-01-15",46.466667,47.186668,46.459999,46.926666,175500,45.851818
"2002-01-16",46.933334,46.933334,46.406666,46.513332,295800,45.447948
"2002-01-17",46.666668,46.826668,45.906666,46.173332,285000,45.115738
"2002-01-18",46.173332,46.566666,45.400002,45.900002,458700,44.848663
"2002-01-22",46,46.099998,45.34,45.419998,141600,44.379654
"2002-01-23",45.580002,46.200001,44.546665,44.599998,642300,43.578438
"2002-01-24",44.606667,46,44.606667,45.826668,563500,44.777012
"2002-01-25",45.766666,46.326668,45.560001,45.986668,396900,44.93335
"2002-01-28",45.919998,46,45.306667,45.773335,149700,44.724899
"2002-01-29",45.906666,46.02,43.673332,43.700001,293100,42.699062
"2002-01-30",43.813332,44.740002,43.099998,44.553333,841500,43.532841
"2002-01-31",44.553333,46.053333,44.466667,45.853333,284200,44.803062
"2002-02-01",46,46.779999,45.133335,46.653332,352000,45.584736
"2002-02-04",46.606667,46.606667,45.533333,45.666668,239100,44.620674
"2002-02-05",45.333332,46.133335,44.82,45.673332,330600,44.62719
"2002-02-06",45.84,46.066666,45.106667,45.333332,477700,44.294975
"2002-02-07",45.333332,45.926666,45.099998,45.133335,145500,44.099564
"2002-02-08",45.166668,46.799999,45.106667,46.753334,189100,45.682461
"2002-02-11",46.753334,46.799999,45.459999,46.66,264700,45.591255
"2002-02-12",45.833332,45.84,45.273335,45.333332,592500,44.294975
"2002-02-13",45.5,46.633335,45.5,46.526669,288700,45.460979
"2002-02-14",46.653332,47.166668,46.200001,46.639999,235000,45.571716
"2002-02-15",46.666668,46.700001,45.799999,45.880001,167500,44.829121
"2002-02-19",45.599998,45.599998,44.673332,44.913334,278500,43.884598
"2002-02-20",44.913334,45.84,44.673332,45.433334,254100,44.392681
"2002-02-21",45.333332,45.333332,43.900002,43.966667,460200,42.959614
"2002-02-22",43.973331,44.400002,43.666668,44.16,258600,43.148521
"2002-02-25",44.133335,44.84,44.133335,44.740002,171600,43.715237
"2002-02-26",44.906666,45.080002,44.599998,44.900002,235200,43.871571
"2002-02-27",44.966667,45.806667,44.68,44.68,305400,43.656612
"2002-02-28",44.846668,45.186668,44.380001,44.419998,419500,43.402561
"2002-03-01",44.493332,46.666668,44.266666,46.666668,743500,45.597771
"2002-03-04",46.599998,48.766666,46.213333,48.700001,608500,47.584534
"2002-03-05",48.566666,49.533333,48.186668,49.093334,337800,47.968857
"2002-03-06",49.026669,49.033333,48.333332,48.939999,349600,47.819035
"2002-03-07",49.333332,49.666668,48.5,48.653332,190000,47.538929
"2002-03-08",48.82,49,48.493332,48.82,290700,47.701778
"2002-03-11",48.953335,49.200001,48.66,48.853333,215100,47.734348
"2002-03-12",48.799999,49,48.400002,48.533333,285900,47.421673
"2002-03-13",48.366665,48.466667,47.240002,47.360001,322500,46.275223
"2002-03-14",47.526669,48.566666,46.946667,48.34,197400,47.232777
"2002-03-15",47.733334,48.700001,47.733334,48.106667,392700,47.004787
"2002-03-18",48.273335,48.833332,48.273335,48.786667,108900,47.669209
"2002-03-19",48.953335,48.993332,48.360001,48.619999,170500,47.506367
"2002-03-20",48.786667,48.933334,47.900002,48.006668,219000,46.907078
"2002-03-21",47.84,48.68,47.206665,48.646667,215800,47.532421
"2002-03-22",48.533333,48.533333,48.126667,48.259998,343300,47.154613
"2002-03-25",48.200001,48.206665,46.900002,46.919998,313200,45.845299
"2002-03-26",46.926666,47.833332,46.866665,47.833332,170500,46.737713
"2002-03-27",47.733334,48.866665,47.700001,47.966667,305500,46.868
"2002-03-28",48.133335,48.333332,47.833332,47.886665,142000,46.789825
"2002-04-01",47.833332,47.833332,47.133335,47.566666,153400,46.477154
"2002-04-02",47.433334,47.439999,47.173332,47.406666,188100,46.32082
"2002-04-03",47.400002,47.700001,47.066666,47.139999,268900,46.060261
"2002-04-04",47,47.306667,46.48,46.906666,380500,45.832272
"2002-04-05",47.073334,47.333332,46.866665,47.066666,210000,45.988613
"2002-04-08",46.986668,47.253334,46.540001,47.200001,233700,46.118889
"2002-04-09",47.366665,47.466667,46.733334,46.913334,120600,45.838791
"2002-04-10",47.080002,47.666668,47.080002,47.200001,281800,46.118889
"2002-04-11",47.193333,47.453335,44.873333,45.299999,735100,44.262413
"2002-04-12",46,46.033333,45.16,45.900002,297400,44.848663
"2002-04-15",46.066666,46.066666,45.139999,45.266666,177400,44.229839
"2002-04-16",45.433334,46.666668,45.433334,46.566666,166900,45.500065
"2002-04-17",46.566666,46.66,46.346668,46.426666,163200,45.36327
"2002-04-18",46.433334,46.633335,45.799999,46.093334,103800,45.037571
"2002-04-19",46.259998,46.599998,45.566666,45.773335,431700,44.724899
"2002-04-22",45.799999,45.813332,45.099998,45.133335,99400,44.099564
"2002-04-23",45.099998,45.106667,43.166668,43.166668,359700,42.177944
"2002-04-24",43.900002,45,42.333332,42.826668,1500400,41.845726
"2002-04-25",42.599998,43.400002,42.466667,42.799999,896700,41.819668
"2002-04-26",42.799999,42.900002,42.200001,42.333332,923500,41.363693
"2002-04-29",42.373333,42.633335,41.18,41.733334,1378300,40.777439
"2002-04-30",41.993332,42.459999,41.933334,42.400002,1220500,41.428833
"2002-05-01",41.666668,42.553333,41.66,42.52,803500,41.546097
"2002-05-02",42.686668,43.34,42.366665,43.080002,790500,42.093258
"2002-05-03",43.166668,43.166668,42.653332,42.966667,295800,41.982513
"2002-05-06",43.133335,43.493332,42.006668,42.466667,773400,41.493973
"2002-05-07",42.633335,43.226665,42.393333,42.900002,570400,41.917385
"2002-05-08",43.833332,45.646667,43.700001,45.540001,674700,44.496914
"2002-05-09",45.373333,45.373333,44.206665,44.346668,396100,43.33091
"2002-05-10",44.333332,44.333332,43.34,43.346668,305800,42.353813
"2002-05-13",43.34,44.333332,43.040001,44.333332,370600,43.317886
"2002-05-14",44.666668,45.400002,44.566666,45.266666,503700,44.229839
"2002-05-15",45.166668,46.533333,44.740002,46.106667,410700,45.050598
"2002-05-16",45.966667,45.973331,45.346668,45.446667,180900,44.405716
"2002-05-17",45.433334,46.233334,45.433334,45.720001,150400,44.672791
"2002-05-20",45.586666,45.593334,44.606667,44.753334,229800,43.728271
"2002-05-21",44.866665,45.466667,43.833332,43.959999,303100,42.953102
"2002-05-22",43.900002,44.566666,43.900002,44.48,323400,43.461193
"2002-05-23",44.466667,47.933334,44.466667,47.433334,1410400,46.346874
"2002-05-24",47.366665,48,46.373333,46.486668,494700,45.421898
"2002-05-28",46.653332,46.666668,45.706665,46.513332,256500,45.447948
"2002-05-29",46.346668,46.540001,46.006668,46.466667,151200,45.402363
"2002-05-30",46.333332,46.493332,45.533333,45.826668,286800,44.777012
"2002-05-31",45.66,46.98,45.66,46.266666,344100,45.20694
"2002-06-03",46.273335,46.273335,45.200001,45.82,472200,44.770496
"2002-06-04",45.733334,45.740002,44.673332,45.333332,441900,44.294975
"2002-06-05",45.333332,45.733334,45.166668,45.333332,204300,44.294975
"2002-06-06",45.266666,45.299999,44.5,44.506668,157500,43.487244
"2002-06-07",44,44.433334,43.193333,44.433334,469200,43.415592
"2002-06-10",44.566666,45.273335,44.073334,44.799999,180900,43.773865
"2002-06-11",44.966667,45.200001,43.326668,43.326668,454600,42.334274
"2002-06-12",43.493332,43.799999,42.966667,43.333332,452800,42.34079
"2002-06-13",43.34,43.946667,43.133335,43.139999,402300,42.151886
"2002-06-14",43,43.5,42.333332,43.493332,508200,42.49712
"2002-06-17",43.866665,44.720001,43.733334,44.720001,270400,43.69569
"2002-06-18",44.720001,45.393333,44.566666,45.046665,254200,44.014881
"2002-06-19",44.880001,45,43.933334,43.953335,355000,42.946587
"2002-06-20",43.953335,44.366665,43,43,234300,42.015091
"2002-06-21",43.166668,43.540001,42.566666,42.713333,209100,41.734989
"2002-06-24",42.686668,42.733334,41.639999,41.82,440500,40.862125
"2002-06-25",41.933334,42.400002,41.333332,41.493332,282300,40.542931
"2002-06-26",40.673332,41.200001,40.133335,40.900002,488700,39.963192
"2002-06-27",41.166668,41.259998,40.466667,40.653332,521800,39.722172
"2002-06-28",40.82,42.259998,40.82,41,736300,40.060898
"2002-07-01",40.933334,42,40.866665,41.786667,543600,40.829544
"2002-07-02",41.619999,41.619999,39.200001,39.933334,859300,39.018665
"2002-07-03",39.599998,39.766666,38.113335,38.566666,483300,37.6833
"2002-07-05",38.833332,40.433334,38.806667,40.220001,149200,39.298767
"2002-07-08",40.220001,40.533333,39.200001,39.299999,257400,38.399837
"2002-07-09",39.299999,39.306667,37.633335,37.700001,848800,36.836487
"2002-07-10",37.766666,38,36.5,36.599998,612600,35.761669
"2002-07-11",36.433334,36.626667,34.799999,36.400002,674700,35.566261
"2002-07-12",36.466667,36.746666,35.706665,35.886665,369600,35.06469
"2002-07-15",35.900002,35.900002,33.939999,34.986668,465900,34.185295
"2002-07-16",34.986668,36,34.533333,34.993332,465400,34.191814
"2002-07-17",35.666668,36.166668,34.306667,35,341800,34.198338
"2002-07-18",34.833332,34.833332,33,33,375700,32.244141
"2002-07-19",32.5,32.506668,28.66,29.1,2060200,28.433468
"2002-07-22",29.753334,30.266666,28.333334,29.493334,962700,28.817791
"2002-07-23",29.493334,29.493334,26.906666,27.006666,1116400,26.388081
"2002-07-24",26.933332,28.573334,26.200001,28.533333,1507800,27.879782
"2002-07-25",28.533333,29.4,28,28.806667,693300,28.146852
"2002-07-26",29.333334,29.933332,28.913334,29.666666,644100,28.987152
"2002-07-29",30.833334,32.766666,30.466667,32.533333,669700,31.788162
"2002-07-30",32.366665,32.386665,30.846666,32.133335,522000,31.397322
"2002-07-31",32.133335,32.139999,30.426666,31.48,462100,30.758957
"2002-08-01",31.646667,31.646667,30.333334,31.226667,375400,30.511425
