"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"2001-06-04",46.099998,46.290001,45.75,45.880001,9e+05,11.461102
"2001-06-05",45.900002,46.549999,45.599998,46.400002,1099700,11.590999
"2001-06-06",46.400002,47.200001,46.099998,46.130001,1241500,11.523553
"2001-06-07",45.880001,46.5,45.119999,45.259998,1364900,11.306222
"2001-06-08",41.599998,41.98,41,41.599998,2417500,10.391932
"2001-06-11",41.700001,41.700001,39.700001,40.150002,1167300,10.029712
"2001-06-12",40.25,40.25,38.400002,39,1285600,9.742436
"2001-06-13",39.099998,39.490002,38.509998,39.07,819200,9.759924
"2001-06-14",39.07,39.07,37.48,37.529999,1059800,9.375216
"2001-06-15",36.650002,37.900002,36.650002,37.700001,944000,9.417691
"2001-06-18",38.049999,38.5,37.400002,37.400002,1131300,9.34275
"2001-06-19",38,38.049999,37.040001,37.330002,583000,9.325262
"2001-06-20",37.150002,37.310001,36.75,36.950001,712500,9.230336
"2001-06-21",36.900002,37.240002,36,36.950001,1192800,9.230336
"2001-06-22",36.849998,37,36.16,36.310001,721600,9.07046
"2001-06-25",36.560001,36.849998,35.950001,35.950001,693800,8.980529
"2001-06-26",35.900002,37,35.900002,36.689999,1018400,9.165385
"2001-06-27",36.5,37.599998,36.439999,36.709999,735800,9.170382
"2001-06-28",36.849998,38.240002,36.82,37.66,868600,9.407694
"2001-06-29",37.66,38.599998,37.450001,38.119999,1031600,9.522603
"2001-07-02",16.950001,16.950001,14.4,14.7,3766200,9.581267
"2001-07-03",15.65,15.75,15,15.1,1720900,9.841982
"2001-07-05",15.3,15.39,15.12,15.25,1441700,9.939753
"2001-07-06",15.3,15.4,14.81,15.07,955300,9.822428
"2001-07-09",15.04,16,15.03,15.57,1455800,10.148323
"2001-07-10",15.5,15.69,15.38,15.54,1011500,10.128767
"2001-07-11",15.4,15.8,15.26,15.5,757900,10.102697
"2001-07-12",15.5,15.86,15.5,15.65,830200,10.200466
"2001-07-13",15.65,16.49,15.51,15.99,926700,10.422074
"2001-07-16",16,16.139999,15.88,16.049999,496200,10.46118
"2001-07-17",16.200001,16.200001,15.8,15.98,1168700,10.415557
"2001-07-18",16.200001,16.200001,15.89,16,562400,10.428589
"2001-07-19",16,16.24,15.81,15.96,613200,10.402521
"2001-07-20",16.049999,16.200001,15.92,15.96,368900,10.402521
"2001-07-23",15.95,16.030001,15.5,15.81,294100,10.304752
"2001-07-24",16.049999,16.049999,15.21,15.36,634100,10.011447
"2001-07-25",15.36,15.79,15.3,15.7,611200,10.233059
"2001-07-26",15.94,15.99,15.4,15.95,299700,10.396001
"2001-07-27",15.97,16.15,15.9,16.059999,457800,10.467699
"2001-07-30",16.09,16.299999,16,16.08,493300,10.480736
"2001-07-31",16.1,16.530001,16,16.049999,398400,10.46118
"2001-08-01",16.200001,17.299999,16.200001,16.26,650400,10.59805
"2001-08-02",16.299999,16.5,16.26,16.5,933300,10.754483
"2001-08-03",16.75,17.09,16.51,16.959999,803500,11.054304
"2001-08-06",16.719999,16.73,16.41,16.450001,491700,10.721894
"2001-08-07",16.35,16.700001,16.15,16.25,747400,10.591543
"2001-08-08",16.25,16.49,16.25,16.35,1595300,10.656713
"2001-08-09",15.98,16.450001,15.68,16.1,398600,10.600748
"2001-08-10",16.35,16.700001,16.299999,16.700001,439900,10.995805
"2001-08-13",16.700001,17,16.5,16.77,990900,11.0419
"2001-08-14",17,17.059999,16.4,16.549999,538000,10.897041
"2001-08-15",16.35,16.75,16.35,16.52,218500,10.877288
"2001-08-16",16.6,16.6,16.1,16.110001,536200,10.607335
"2001-08-17",16.120001,16.85,16.110001,16.780001,778900,11.04848
"2001-08-20",16.700001,16.940001,16.469999,16.610001,274800,10.936547
"2001-08-21",16.709999,17,16.35,16.66,406800,10.969471
"2001-08-22",16.9,16.9,16.4,16.780001,692400,11.04848
"2001-08-23",16.540001,16.700001,16.299999,16.549999,1039500,10.897041
"2001-08-24",16.540001,17.040001,16.450001,16.9,476200,11.127493
"2001-08-27",16.799999,17.01,16.52,16.75,449600,11.028729
"2001-08-28",16.700001,16.700001,16.049999,16.52,814500,10.877288
"2001-08-29",16.700001,16.76,16.040001,16.219999,436400,10.679761
"2001-08-30",16.25,16.889999,16.25,16.379999,506900,10.785106
"2001-08-31",16.389999,16.559999,16,16.049999,722100,10.567828
"2001-09-04",16.34,17.139999,16.26,16.75,788400,11.028729
"2001-09-05",16.9,16.9,15.75,16.15,961000,10.63367
"2001-09-06",16.25,16.450001,15.91,15.95,768200,10.501986
"2001-09-07",15.8,16.209999,15.41,15.48,532800,10.192525
"2001-09-10",15.5,15.9,15.26,15.76,1108500,10.376884
"2001-09-17",15.5,15.75,14.06,14.1,1258000,9.283886
"2001-09-18",14.11,15,13.92,14.5,1137000,9.547261
"2001-09-19",14.4,14.79,13.3,14.01,611700,9.224628
"2001-09-20",13.95,14.15,13.71,13.8,780600,9.086356
"2001-09-21",12.6,13.52,12.2,12.2,1347900,8.032866
"2001-09-24",13,13.55,12.53,12.53,1198500,8.250148
"2001-09-25",11.8,13.98,11.78,13.67,1752300,9.00076
"2001-09-26",14.23,14.59,13.45,14.4,724400,9.481418
"2001-09-27",14.3,14.38,13.85,14.23,748200,9.369481
"2001-09-28",14.5,15.09,14.4,14.68,787700,9.665774
"2001-10-01",14.7,14.95,13.1,13.4,1099200,8.822983
"2001-10-02",13.5,14.48,13.3,14.24,485800,9.376068
"2001-10-03",14.29,14.98,13.91,14.8,429500,9.744783
"2001-10-04",14.7,15.39,14.26,15.27,769200,10.05425
"2001-10-05",15.25,15.26,14.61,15.03,365600,9.896228
"2001-10-08",14.7,15.01,14.4,15,567400,9.876475
"2001-10-09",14.88,15.15,14.37,14.96,517900,9.850142
"2001-10-10",14.95,15.34,14.55,15.02,685800,9.889644
"2001-10-11",15.02,16,15.02,15.76,781800,10.376884
"2001-10-12",15.7,15.7,15.08,15.36,410200,10.113511
"2001-10-15",15.36,15.74,15.25,15.61,333100,10.278116
"2001-10-16",15.45,15.8,15.21,15.59,618000,10.264949
"2001-10-17",15.7,15.7,15.05,15.08,397100,9.929147
"2001-10-18",15.15,15.18,14.3,14.51,644200,9.553842
"2001-10-19",14.55,14.94,14.45,14.91,543500,9.817219
"2001-10-22",15.34,15.34,14.82,15.01,623100,9.883058
"2001-10-23",15.02,15.3,14.85,14.94,808300,9.836967
"2001-10-24",15,15.07,14.1,14.75,514200,9.711867
"2001-10-25",14.4,14.75,14.26,14.59,432600,9.606519
"2001-10-26",14.59,14.71,14.07,14.71,616200,9.685529
"2001-10-29",14.67,14.7,14.25,14.25,344700,9.382652
"2001-10-30",14.27,14.4,13.95,13.95,560200,9.185124
"2001-10-31",14.05,14.09,13.65,13.78,460700,9.073185
"2001-11-01",13.88,13.97,13.65,13.91,849000,9.158787
"2001-11-02",14,14.07,13.8,13.96,1381400,9.191707
"2001-11-05",14.25,14.25,13.87,14.02,1059900,9.23121
"2001-11-06",14.05,14.3,13.9,14,982800,9.218041
"2001-11-07",14.1,14.4,13.95,14,1121200,9.218041
"2001-11-08",14.1,14.18,13.94,13.95,1326100,9.294668
"2001-11-09",14,14.04,13.77,13.8,616700,9.194726
"2001-11-12",13.8,13.9,13.42,13.77,1049300,9.174734
"2001-11-13",13.8,13.89,13.67,13.8,1146400,9.194726
"2001-11-14",13.8,14.04,13.55,13.99,1192100,9.321319
"2001-11-15",14.4,15.11,14.4,14.85,1007700,9.894321
"2001-11-16",14.95,15.36,14.95,15.2,1227000,10.127522
"2001-11-19",15.8,16.049999,15.5,15.89,1131400,10.587256
"2001-11-20",16,16.190001,15.75,16.01,1041000,10.667214
"2001-11-21",16.15,16.66,16.15,16.34,1349100,10.887087
"2001-11-23",16.200001,16.59,16.15,16.4,253700,10.927059
"2001-11-26",16.450001,16.940001,16.4,16.65,644400,11.093632
"2001-11-27",16.5,16.9,16.43,16.559999,376500,11.033667
"2001-11-28",16.5,16.5,15.82,16.040001,507000,10.687199
"2001-11-29",16.200001,16.4,16,16.25,331300,10.827122
"2001-11-30",16.25,16.75,16.190001,16.5,529400,10.99369
"2001-12-03",16.700001,16.9,16.49,16.82,401900,11.206902
"2001-12-04",16.700001,17.18,16.49,17.18,557700,11.446764
"2001-12-05",17.780001,18.459999,17.610001,18.459999,1232600,12.299606
"2001-12-06",18.450001,18.700001,17.299999,17.959999,2128600,11.966466
"2001-12-07",18.200001,18.219999,17.6,18.18,775300,12.113047
"2001-12-10",17.950001,18.040001,17.23,17.34,415700,11.553363
"2001-12-11",17.52,17.74,17.32,17.59,303800,11.719941
"2001-12-12",17.860001,17.98,17.42,17.52,473500,11.673302
"2001-12-13",17.200001,17.32,16.85,17.09,673800,11.386796
"2001-12-14",16.93,17.24,16.83,16.950001,607400,11.29352
"2001-12-17",17.200001,17.360001,16.879999,17.040001,596800,11.353485
"2001-12-18",17.040001,17.299999,16.950001,17,613900,11.326834
"2001-12-19",17.049999,17.549999,16.860001,17.540001,598000,11.686627
"2001-12-20",17.559999,17.559999,16.85,16.92,333400,11.273529
"2001-12-21",16.92,17.6,16.83,17.450001,547000,11.626663
"2001-12-24",17.75,17.77,17.35,17.6,127800,11.726601
"2001-12-26",17.75,17.799999,17.4,17.629999,286100,11.746589
"2001-12-27",17.610001,18,17.43,18,441600,11.993116
"2001-12-28",18.15,18.280001,17.5,18.08,258000,12.046421
"2001-12-31",17.83,18.049999,17.6,17.860001,390500,11.899837
"2002-01-02",17.700001,17.93,17.26,17.93,598000,11.946478
"2002-01-03",18.1,18.92,17.950001,18.639999,718900,12.419539
"2002-01-04",18.889999,19.25,18.6,19.059999,796000,12.699374
"2002-01-07",19.049999,19.049999,18.389999,18.450001,760200,12.292948
"2002-01-08",18.6,18.98,18.51,18.860001,474800,12.566121
"2002-01-09",18.85,19.34,18.799999,19.16,484900,12.766006
"2002-01-10",19.049999,19.360001,18.700001,18.700001,989000,12.459518
"2002-01-11",18.68,18.700001,18.07,18.07,387100,12.03975
"2002-01-14",18.15,18.17,17.799999,17.959999,312400,11.966466
"2002-01-15",18.120001,18.5,18.110001,18.4,1051800,12.259629
"2002-01-16",18.35,18.879999,17.65,18.5,592300,12.326262
"2002-01-17",17.85,18.24,17.77,18.139999,380000,12.086397
"2002-01-18",18,18.24,17.559999,18.219999,436200,12.139702
"2002-01-22",18.219999,18.6,18,18.26,373500,12.166351
"2002-01-23",18.26,18.9,18,18.49,613500,12.319598
"2002-01-24",18.51,18.99,18.200001,18.9,555600,12.592773
"2002-01-25",18.959999,18.959999,18.530001,18.870001,424800,12.572788
"2002-01-28",18.780001,19.41,18.66,19.34,341200,12.885938
"2002-01-29",19.15,19.25,18.6,18.9,555700,12.592773
"2002-01-30",18.559999,19.01,18.35,19.01,473000,12.666062
"2002-01-31",18.82,19.42,18.629999,19.25,569100,12.825972
"2002-02-01",19,19.1,18.540001,18.77,490300,12.50615
"2002-02-04",18.84,19.049999,18.51,19.030001,587500,12.679392
"2002-02-05",19,19.030001,18.51,18.700001,634000,12.459518
"2002-02-06",18.49,18.719999,18,18.049999,625400,12.026432
"2002-02-07",18.1,18.299999,17.92,18.030001,702000,12.123937
"2002-02-08",18,18.1,17.65,17.99,493400,12.097035
"2002-02-11",18,18.360001,17.91,18.02,728000,12.117204
"2002-02-12",18.02,18.299999,17.99,18.15,527400,12.204625
"2002-02-13",18.35,18.799999,18.1,18.57,558300,12.487048
"2002-02-14",18.75,18.98,18.629999,18.9,547300,12.708942
"2002-02-15",18.99,19.07,18.5,18.620001,350600,12.520672
"2002-02-19",18.25,18.860001,18.209999,18.389999,364400,12.36601
"2002-02-20",18.41,18.85,18.389999,18.75,481200,12.608088
"2002-02-21",18.76,18.93,18.4,18.459999,339400,12.413079
"2002-02-22",18.459999,19,18.219999,19,633400,12.776192
"2002-02-25",19,19.76,18.950001,19.74,600500,13.273789
"2002-02-26",19.700001,19.709999,19.07,19.25,597500,12.944298
"2002-02-27",19.440001,20,19.32,19.6,693300,13.179652
"2002-02-28",19.35,20,19.200001,19.75,768800,13.280515
"2002-03-01",19.75,19.969999,19,19.76,651000,13.287237
"2002-03-04",19.75,21,19.719999,20.99,1417200,14.11433
"2002-03-05",20.85,20.940001,20.450001,20.85,427900,14.020189
"2002-03-06",20.75,21.370001,20.700001,21.370001,447200,14.369849
"2002-03-07",20.9,21.299999,20.58,21.110001,385700,14.19502
"2002-03-08",21.110001,21.35,20.780001,21.35,423200,14.356402
"2002-03-11",21.25,21.450001,21.059999,21.129999,285400,14.208469
"2002-03-12",20.700001,20.950001,20.5,20.950001,391800,14.087433
"2002-03-13",21.049999,21.1,20.450001,20.940001,394700,14.080708
"2002-03-14",20.940001,21.24,20.6,20.93,343500,14.073975
"2002-03-15",21.25,21.299999,20.700001,20.98,539600,14.1076
"2002-03-18",20.9,21.200001,20.51,21,291700,14.12105
"2002-03-19",21,21.200001,20.75,20.99,189000,14.11433
"2002-03-20",20.75,20.92,20.049999,20.75,395000,13.95295
"2002-03-21",20.66,20.74,20.370001,20.469999,313800,13.764666
"2002-03-22",20.049999,20.15,19.65,19.76,841000,13.287237
"2002-03-25",19.870001,19.950001,18.549999,19.01,669800,12.78292
"2002-03-26",19.049999,19.719999,19.049999,19.18,361100,12.897233
"2002-03-27",19.190001,19.629999,19,19.360001,464600,13.018268
"2002-03-28",19.5,20.120001,19.43,20.059999,507900,13.488969
"2002-04-01",19.799999,20.09,19.1,20.07,375600,13.495686
"2002-04-02",20.059999,20.16,19.84,19.889999,262500,13.374654
"2002-04-03",19.82,19.950001,19.120001,19.35,352400,13.011546
"2002-04-04",19.4,20.01,19.4,19.82,814000,13.327588
"2002-04-05",19.85,19.93,19.200001,19.450001,465700,13.078785
"2002-04-08",19.450001,19.549999,19.200001,19.450001,247700,13.078785
"2002-04-09",19.58,20.16,19.5,19.879999,223300,13.367931
"2002-04-10",19.879999,20,19.799999,19.870001,447700,13.361207
"2002-04-11",19.9,19.93,19.6,19.700001,401900,13.24689
"2002-04-12",19.700001,19.9,19.540001,19.74,243600,13.273789
"2002-04-15",19.74,19.879999,19.379999,19.5,302900,13.112407
"2002-04-16",19.549999,20.43,19.549999,20.360001,617800,13.690693
"2002-04-17",20.5,20.65,20.35,20.43,403500,13.737764
"2002-04-18",20.450001,20.530001,19.709999,20.01,293400,13.455349
"2002-04-19",20,20.200001,19.48,19.6,479000,13.179652
"2002-04-22",19.6,19.719999,19.5,19.540001,288300,13.139301
"2002-04-23",20.25,20.9,20.1,20.48,1138400,13.771388
"2002-04-24",20.700001,20.75,19.950001,20.16,768800,13.556211
"2002-04-25",20.190001,20.99,19.780001,20.799999,619000,13.986572
"2002-04-26",20.98,20.98,20.34,20.610001,433800,13.858803
"2002-04-29",20.65,20.98,20.360001,20.59,467300,13.845354
"2002-04-30",20.5,21.48,20.5,21.469999,726900,14.437094
"2002-05-01",20.969999,21.6,20.4,21.51,719800,14.463997
"2002-05-02",21.75,22.700001,21.629999,21.940001,837300,14.75314
"2002-05-03",21.700001,22.07,21.629999,21.940001,409500,14.75314
"2002-05-06",21.9,21.9,21.09,21.1,416800,14.188302
"2002-05-07",21.15,21.700001,20.940001,21.389999,319400,14.383304
"2002-05-08",21.5,22.68,21.49,22.66,739400,15.23729
"2002-05-09",22.200001,22.68,22.1,22.52,859900,15.254223
"2002-05-10",22.459999,22.6,22.15,22.24,444600,15.064564
"2002-05-13",22.200001,22.42,22,22.27,584100,15.084882
"2002-05-14",22.27,22.6,22.110001,22.17,919100,15.017151
"2002-05-15",21.799999,22.65,21.790001,22.48,538100,15.227126
"2002-05-16",22.68,22.780001,22.18,22.440001,283900,15.200028
"2002-05-17",22.549999,22.790001,22.219999,22.5,300800,15.240671
"2002-05-20",22.5,22.5,22,22.1,257400,14.969724
"2002-05-21",22.200001,22.4,21.33,21.610001,283000,14.637818
"2002-05-22",21.549999,22.02,21,21.799999,373700,14.766521
"2002-05-23",21.9,22.1,21.57,22.049999,269900,14.935868
"2002-05-24",22.049999,22.15,21.6,21.76,255300,14.73943
"2002-05-28",21.75,21.809999,21.27,21.450001,374400,14.529446
"2002-05-29",21.299999,21.58,20.860001,21.08,395300,14.278825
"2002-05-30",20.83,21.200001,20.43,20.68,337100,14.007879
"2002-05-31",20.6,22.059999,20.6,21.940001,815300,14.861359
"2002-06-03",21.940001,22.73,21.440001,21.450001,774100,14.529446
"2002-06-04",21.200001,21.700001,21,21.219999,383700,14.373649
"2002-06-05",21.15,21.85,20.9,21.58,359300,14.617497
"2002-06-06",21.65,21.65,21.200001,21.23,376000,14.380427
"2002-06-07",21.23,21.48,21.01,21.309999,400700,14.434613
"2002-06-10",21.299999,21.6,21,21,335900,14.224629
"2002-06-11",20.950001,21.84,20.65,20.67,886300,14.001102
"2002-06-12",20.66,20.67,19.870001,20.25,582800,13.716608
"2002-06-13",19.9,20.41,19.1,20.24,496600,13.709837
"2002-06-14",19.99,20.200001,19.34,20.110001,452900,13.621782
"2002-06-17",20.1,20.99,20.049999,20.93,713900,14.177205
"2002-06-18",21.02,21.530001,20.700001,20.91,642500,14.16367
"2002-06-19",20.700001,20.950001,20.27,20.41,308600,13.824986
"2002-06-20",20.4,20.75,20.049999,20.049999,667900,13.58113
"2002-06-21",19.6,20.889999,19.6,20.549999,893600,13.919817
"2002-06-24",20.549999,20.98,19.75,20.120001,425300,13.628551
"2002-06-25",20.17,20.25,19.379999,19.5,731200,13.208588
"2002-06-26",19,19.74,18.700001,19.620001,722600,13.28987
"2002-06-27",19.799999,20.049999,19.6,19.950001,690800,13.513402
"2002-06-28",20,20.16,19.6,19.98,606200,13.533718
"2002-07-01",19.940001,20.26,19.799999,19.879999,468900,13.465987
"2002-07-02",19.73,19.82,18.780001,18.83,586400,12.754755
"2002-07-03",18.91,19.48,18.1,18.84,904600,12.761526
"2002-07-05",19.15,19.620001,18.940001,19.299999,288100,13.073117
"2002-07-08",19.280001,20.08,19.18,19.68,376900,13.33051
"2002-07-09",19.65,20.049999,19.200001,19.200001,509700,13.005375
"2002-07-10",19.43,19.73,19,19.26,699100,13.046019
"2002-07-11",19.15,19.200001,18.299999,18.719999,789300,12.680241
"2002-07-12",18.549999,19.040001,18.1,18.860001,441200,12.775073
"2002-07-15",18.620001,18.709999,17.549999,18.549999,912600,12.565089
"2002-07-16",18.299999,18.68,17.9,18.219999,416200,12.341561
"2002-07-17",18.4,18.73,17.6,17.91,673000,12.131584
"2002-07-18",17.99,18.540001,17.75,17.82,402600,12.070615
"2002-07-19",17.82,18.17,17.27,17.309999,573400,11.725159
"2002-07-22",16.950001,17.469999,16.25,16.26,901800,11.013927
"2002-07-23",16.1,16.68,15.8,16.200001,932000,10.97329
"2002-07-24",15.8,17.299999,15.7,17.1,1478900,11.582912
"2002-07-25",16.75,17,16.15,16.75,953500,11.345835
"2002-07-26",16.66,17.200001,16.26,17.030001,780000,11.535499
"2002-07-29",17.280001,18.610001,17.25,18.610001,775600,12.605736
"2002-07-30",18.4,18.83,18.08,18.459999,577800,12.504125
"2002-07-31",18.549999,18.76,18.09,18.5,436400,12.531223
"2002-08-01",18.75,19.1,17.83,17.969999,635300,12.17222
"2002-08-02",18,18,16.5,16.799999,625000,11.379704
"2002-08-05",16.799999,16.85,16.1,16.43,876200,11.129079
"2002-08-06",17,18,17,17.48,834900,11.840307
"2002-08-07",17.950001,18.299999,17.51,18.1,891700,12.260281
"2002-08-08",18.200001,18.450001,17.74,18.43,394700,12.598656
"2002-08-09",18.299999,18.42,18.1,18.4,700300,12.578147
"2002-08-12",18.299999,18.48,18.040001,18.24,624700,12.468776
"2002-08-13",18.27,18.379999,17.51,17.620001,696800,12.044941
"2002-08-14",17.629999,18.25,17.219999,18.02,554600,12.318377
"2002-08-15",18.040001,18.200001,17.67,18.200001,639700,12.441428
"2002-08-16",18.200001,18.299999,17.860001,18.219999,488800,12.455103
"2002-08-19",18.15,18.68,18.049999,18.51,293600,12.653342
"2002-08-20",18.299999,18.379999,18.01,18.25,398000,12.475605
"2002-08-21",18.33,19,18.1,18.790001,429200,12.844752
"2002-08-22",18.790001,19.1,18.450001,19.059999,249900,13.029319
"2002-08-23",18.9,18.959999,18.26,18.52,266000,12.660178
"2002-08-26",18.6,18.790001,18.200001,18.66,294400,12.755878
"2002-08-27",18.700001,18.950001,18.450001,18.629999,251100,12.735377
"2002-08-28",18.469999,18.83,18.07,18.65,837000,12.749045
"2002-08-29",18.450001,18.530001,17.709999,17.799999,585900,12.16799
"2002-08-30",17.82,18.6,17.700001,18.42,424900,12.591824
"2002-09-03",18.4,18.450001,17.76,18,890500,12.304709
